Orthogroup	Prba	Prav
OG0000000	Prba.g_00203	Prav.g_01466
OG0000000	Prba.g_01639	Prav.g_01276
OG0000001	Prba.g_00270	Prav.g_01821
OG0000002	Prba.g_00211	Prav.g_01458
OG0000002	Prba.g_01081, Prba.g_01080	Prav.g_01820, Prav.g_02007
OG0000003	Prba.g_01172	Prav.g_01413
OG0000003	Prba.g_00268	Prav.g_01698
OG0000004	Prba.g_01570	Prav.g_00330
OG0000004	Prba.g_01563	Prav.g_00338
OG0000005	Prba.g_00269	Prav.g_01695
OG0000006	Prba.g_00964	Prav.g_01095
OG0000006	Prba.g_00226	Prav.g_01761
OG0000007	Prba.g_01131	Prav.g_01749
OG0000007	Prba.g_01645	Prav.g_01270
OG0000008	Prba.g_00878	Prav.g_01000
OG0000008	Prba.g_00901	Prav.g_01016
OG0000009	Prba.g_01519	Prav.g_00375
OG0000009	Prba.g_00468	Prav.g_01896
OG0000010	Prba.g_01157	Prav.g_01400
OG0000011	Prba.g_00546	Prav.g_01976
OG0000012	Prba.g_01719	Prav.g_01194
OG0000013	Prba.g_01538	Prav.g_00961
OG0000014	Prba.g_01175	Prav.g_01416
OG0000014	Prba.g_00991	Prav.g_01068
OG0000015	Prba.g_00876	Prav.g_00998
OG0000016	Prba.g_00200	Prav.g_01469
OG0000017	Prba.g_00693	Prav.g_01598
OG0000018	Prba.g_00460	Prav.g_02001
OG0000019	Prba.g_00858	Prav.g_00984
OG0000020	Prba.g_00868	Prav.g_00993
OG0000021	Prba.g_01517	Prav.g_00377
OG0000022	Prba.g_01174	Prav.g_01736, Prav.g_01415
OG0000023	Prba.g_00276	Prav.g_01688
OG0000024	Prba.g_00522	Prav.g_01952
OG0000025	Prba.g_01229	Prav.g_00247
OG0000025	Prba.g_00899	Prav.g_01013
OG0000026	Prba.g_01826	Prav.g_00101
OG0000027	Prba.g_01567	Prav.g_00333
OG0000028	Prba.g_00713	Prav.g_01578
OG0000029	Prba.g_00275	Prav.g_01689
OG0000031	Prba.g_01168	Prav.g_01410
OG0000033	Prba.g_01806	Prav.g_00081
OG0000034	Prba.g_00160	Prav.g_01533
OG0000035	Prba.g_01226	Prav.g_00251
OG0000035	Prba.g_01409	Prav.g_01877
OG0000036	Prba.g_01731	Prav.g_01182
