Orthogroup	Prba	Prac
OG0000000	Prba.g_00203	Prac.g_00210
OG0000000	Prba.g_01639	Prac.g_00693
OG0000001	Prba.g_00270	Prac.g_00926
OG0000002	Prba.g_00211	Prac.g_00202
OG0000002	Prba.g_01081, Prba.g_01080	Prac.g_00924
OG0000003	Prba.g_01172	Prac.g_00157
OG0000003	Prba.g_00268	Prac.g_00290
OG0000004	Prba.g_01570	Prac.g_01536
OG0000004	Prba.g_01563	Prac.g_01529
OG0000005	Prba.g_00269	Prac.g_00292
OG0000005	Prba.g_00243	Prac.g_00277
OG0000006	Prba.g_00964	Prac.g_00874
OG0000006	Prba.g_00226	Prac.g_00625
OG0000007	Prba.g_01131	Prac.g_00904
OG0000007	Prba.g_01645	Prac.g_00699
OG0000008	Prba.g_00878	Prac.g_01149
OG0000008	Prba.g_01104	Prac.g_00893
OG0000008	Prba.g_00901	Prac.g_01954
OG0000009	Prba.g_01519	Prac.g_01496
OG0000009	Prba.g_00468	Prac.g_01681
OG0000010	Prba.g_00734	Prac.g_01035
OG0000010	Prba.g_01157	Prac.g_00139
OG0000011	Prba.g_00913	Prac.g_01127
OG0000011	Prba.g_00546	Prac.g_01601
OG0000012	Prba.g_01719	Prac.g_00773
OG0000013	Prba.g_01538	Prac.g_00898
OG0000014	Prba.g_00991	Prac.g_01074
OG0000015	Prba.g_00876	Prac.g_01151
OG0000016	Prba.g_00200	Prac.g_00213
OG0000017	Prba.g_00693	Prac.g_00391
OG0000018	Prba.g_00460	Prac.g_01689
OG0000019	Prba.g_00858	Prac.g_01169
OG0000020	Prba.g_00868	Prac.g_01159
OG0000021	Prba.g_01517	Prac.g_01494
OG0000022	Prba.g_01174	Prac.g_00159
OG0000023	Prba.g_00276	Prac.g_00301
OG0000024	Prba.g_00522	Prac.g_01625
OG0000025	Prba.g_01229	Prac.g_01220
OG0000026	Prba.g_01826	Prac.g_01914, Prac.g_01913
OG0000027	Prba.g_00301	Prac.g_00325
OG0000027	Prba.g_01567	Prac.g_01533
OG0000028	Prba.g_00713	Prac.g_00411
OG0000029	Prba.g_00275	Prac.g_00300
OG0000030	Prba.g_01832	Prac.g_01905
OG0000032	Prba.g_00173	Prac.g_00249
OG0000033	Prba.g_01806	Prac.g_01934
OG0000035	Prba.g_01226	Prac.g_01217
OG0000035	Prba.g_01409	Prac.g_01399
OG0000036	Prba.g_01731	Prac.g_00788
OG0000037	Prba.g_01694	Prac.g_00748
OG0000038	Prba.g_01543	Prac.g_01510
OG0000039	Prba.g_00622	Prac.g_01764
OG0000040	Prba.g_00854	Prac.g_01174
OG0000041	Prba.g_01041	Prac.g_01119
OG0000042	Prba.g_01594	Prac.g_01560
OG0000043	Prba.g_01514	Prac.g_01491
OG0000044	Prba.g_00064	Prac.g_00985
OG0000045	Prba.g_00153	Prac.g_00434, Prac.g_00258
OG0000046	Prba.g_00233	Prac.g_00632
OG0000047	Prba.g_00768	Prac.g_00041
OG0000048	Prba.g_00775	Prac.g_00048
OG0000050	Prba.g_01824	Prac.g_01916
OG0000051	Prba.g_01945	Prac.g_01590, Prac.g_01773
OG0000052	Prba.g_00864	Prac.g_01163
OG0000053	Prba.g_00922	Prac.g_00833
OG0000054	Prba.g_01548	Prac.g_01515
OG0000055	Prba.g_01477	Prac.g_01453
OG0000056	Prba.g_00727	Prac.g_01029
OG0000057	Prba.g_00456	Prac.g_01693
OG0000058	Prba.g_00986	Prac.g_01069
OG0000059	Prba.g_01619	Prac.g_00673
OG0000060	Prba.g_01565	Prac.g_01531
OG0000061	Prba.g_00099	Prac.g_01020
OG0000062	Prba.g_00097	Prac.g_01018
OG0000063	Prba.g_01135	Prac.g_01955
OG0000064	Prba.g_01145	Prac.g_00133
OG0000065	Prba.g_01192	Prac.g_00175
OG0000066	Prba.g_00175	Prac.g_00248
OG0000067	Prba.g_01132	Prac.g_00142
OG0000068	Prba.g_00429	Prac.g_00548
OG0000069	Prba.g_00149	Prac.g_00242
OG0000071	Prba.g_01804	Prac.g_01936
OG0000072	Prba.g_00538	Prac.g_01609
OG0000073	Prba.g_01648	Prac.g_00702
OG0000074	Prba.g_01626	Prac.g_00680
OG0000075	Prba.g_01492	Prac.g_01468
OG0000076	Prba.g_01264	Prac.g_01256
OG0000077	Prba.g_00242	Prac.g_00276
OG0000078	Prba.g_00155	Prac.g_00256
OG0000079	Prba.g_00310	Prac.g_00333
OG0000080	Prba.g_00261	Prac.g_00886
OG0000081	Prba.g_01069	Prac.g_00015
OG0000082	Prba.g_00831	Prac.g_00101
OG0000083	Prba.g_01796	Prac.g_01944
OG0000084	Prba.g_01799	Prac.g_01941
OG0000085	Prba.g_01816	Prac.g_01924
OG0000086	Prba.g_01833	Prac.g_01893
OG0000087	Prba.g_01843	Prac.g_01882
OG0000088	Prba.g_01901	Prac.g_01818
OG0000089	Prba.g_01909	Prac.g_01810
OG0000090	Prba.g_01927	Prac.g_01792
OG0000091	Prba.g_00625	Prac.g_01761
OG0000092	Prba.g_00626	Prac.g_01760
OG0000093	Prba.g_00640	Prac.g_01746
OG0000094	Prba.g_00658	Prac.g_01728
OG0000095	Prba.g_00663	Prac.g_01723
OG0000097	Prba.g_00491	Prac.g_01657
OG0000098	Prba.g_00501	Prac.g_01647
OG0000099	Prba.g_00510	Prac.g_01637
OG0000100	Prba.g_00513	Prac.g_01634
OG0000101	Prba.g_00851	Prac.g_01177
