Orthogroup	Prba	Pras
OG0000000	Prba.g_00203	Pras.g_00243
OG0000000	Prba.g_01639	Pras.g_01554
OG0000001	Prba.g_00270	Pras.g_00117, Pras.g_00469
OG0000002	Prba.g_00211	Pras.g_00235
OG0000002	Prba.g_01081, Prba.g_01080	Pras.g_00118, Pras.g_00120
OG0000003	Prba.g_01172	Pras.g_00182
OG0000003	Prba.g_00268	Pras.g_00471
OG0000004	Prba.g_01570	Pras.g_01631
OG0000004	Prba.g_01563	Pras.g_01638
OG0000005	Prba.g_00269	Pras.g_00470
OG0000005	Prba.g_00243	Pras.g_00493
OG0000006	Prba.g_00964	Pras.g_01375
OG0000006	Prba.g_00226	Pras.g_00550
OG0000007	Prba.g_01645	Pras.g_01548
OG0000008	Prba.g_00878	Pras.g_01237
OG0000008	Prba.g_01115	Pras.g_01596, Pras.g_00139
OG0000008	Prba.g_00901	Pras.g_00151
OG0000009	Prba.g_01519	Pras.g_01681
OG0000009	Prba.g_00468	Pras.g_01101
OG0000010	Prba.g_00734	Pras.g_00004
OG0000010	Prba.g_01157	Pras.g_00163
OG0000011	Prba.g_00913	Pras.g_01263
OG0000011	Prba.g_00546	Pras.g_01182
OG0000012	Prba.g_01719	Pras.g_01474
OG0000013	Prba.g_01538	Pras.g_00127
OG0000014	Prba.g_01175	Pras.g_00185
OG0000014	Prba.g_00991	Pras.g_01348
OG0000015	Prba.g_00876	Pras.g_01235
OG0000016	Prba.g_00200	Pras.g_00246
OG0000017	Prba.g_00693	Pras.g_00370
OG0000018	Prba.g_00460	Pras.g_00148, Pras.g_01093
OG0000019	Prba.g_00245	Pras.g_00507
OG0000019	Prba.g_00858	Pras.g_01218
OG0000020	Prba.g_00868	Pras.g_01227
OG0000021	Prba.g_01517	Pras.g_01683
OG0000022	Prba.g_01174	Pras.g_00184
OG0000023	Prba.g_01142	Pras.g_00157
OG0000023	Prba.g_00276	Pras.g_00463
OG0000024	Prba.g_00522	Pras.g_01158
OG0000025	Prba.g_01229	Pras.g_01969
OG0000026	Prba.g_01826	Pras.g_00875
OG0000027	Prba.g_00301	Pras.g_00440
OG0000027	Prba.g_01567	Pras.g_01634
OG0000028	Prba.g_00713	Pras.g_00350
OG0000029	Prba.g_00275	Pras.g_00464
OG0000030	Prba.g_01832	Pras.g_00119
OG0000031	Prba.g_01168	Pras.g_00179
OG0000032	Prba.g_00173	Pras.g_00331
OG0000033	Prba.g_01806	Pras.g_00855
OG0000034	Prba.g_00160	Pras.g_00285, Pras.g_00096
OG0000036	Prba.g_01731	Pras.g_01462
OG0000037	Prba.g_01694	Pras.g_01499
OG0000038	Prba.g_01543	Pras.g_01662
OG0000039	Prba.g_00622	Pras.g_01017
OG0000040	Prba.g_00854	Pras.g_01213
OG0000041	Prba.g_01041	Pras.g_01296
OG0000042	Prba.g_01594	Pras.g_01606
OG0000043	Prba.g_01514	Pras.g_01686
OG0000044	Prba.g_00064	Pras.g_00056
OG0000045	Prba.g_00153	Pras.g_00291
OG0000046	Prba.g_00233	Pras.g_00543
OG0000047	Prba.g_00768	Pras.g_00743
OG0000048	Prba.g_00775	Pras.g_00750
OG0000050	Prba.g_01824	Pras.g_00873
OG0000051	Prba.g_01945	Pras.g_01008
OG0000052	Prba.g_00864	Pras.g_01223
OG0000053	Prba.g_00922	Pras.g_01416
OG0000054	Prba.g_01548	Pras.g_01656
OG0000055	Prba.g_01477	Pras.g_01723
OG0000056	Prba.g_00727	Pras.g_00011
OG0000057	Prba.g_00456	Pras.g_01089
OG0000058	Prba.g_00986	Pras.g_01353
OG0000059	Prba.g_01619	Pras.g_01574
OG0000060	Prba.g_01565	Pras.g_01636
OG0000061	Prba.g_00099	Pras.g_00021
OG0000061	Prba.g_01317	Pras.g_01880
OG0000062	Prba.g_00097	Pras.g_00023
OG0000063	Prba.g_01135	Pras.g_00150
OG0000064	Prba.g_00249	Pras.g_00504
OG0000065	Prba.g_01192	Pras.g_00209
OG0000066	Prba.g_00175	Pras.g_00273, Pras.g_00271, Pras.g_00272
OG0000067	Prba.g_01132	Pras.g_00142
OG0000068	Prba.g_00429	Pras.g_00687
OG0000069	Prba.g_00149	Pras.g_00326
OG0000070	Prba.g_01120	Pras.g_00881
OG0000071	Prba.g_01804	Pras.g_00853
OG0000072	Prba.g_00538	Pras.g_01174
OG0000073	Prba.g_01648	Pras.g_01545
