Orthogroup	Prba	Prai
OG0000000	Prba.g_00203	Prai.g_01363
OG0000000	Prba.g_01639	Prai.g_00707
OG0000001	Prba.g_00003	Prai.g_01591
OG0000001	Prba.g_00270	Prai.g_01775
OG0000002	Prba.g_00211	Prai.g_01235, Prai.g_01356
OG0000002	Prba.g_01081, Prba.g_01080	Prai.g_01236
OG0000003	Prba.g_01172	Prai.g_01314
OG0000003	Prba.g_00268	Prai.g_01596
OG0000004	Prba.g_01570	Prai.g_00441
OG0000004	Prba.g_01563, Prba.g_01171	Prai.g_01313
OG0000005	Prba.g_00269	Prai.g_01592
OG0000005	Prba.g_00243	Prai.g_01612
OG0000006	Prba.g_00964	Prai.g_00527
OG0000006	Prba.g_00226	Prai.g_01638
OG0000007	Prba.g_01645	Prai.g_00701
OG0000008	Prba.g_00878	Prai.g_00394
OG0000008	Prba.g_01104	Prai.g_01246
OG0000008	Prba.g_01304	Prai.g_01256
OG0000009	Prba.g_01519	Prai.g_00867
OG0000009	Prba.g_00468	Prai.g_00262
OG0000011	Prba.g_00913	Prai.g_00424
OG0000011	Prba.g_00546	Prai.g_00343
OG0000012	Prba.g_01719	Prai.g_00626
OG0000013	Prba.g_01538	Prai.g_01243
OG0000014	Prba.g_01175	Prai.g_00904
OG0000015	Prba.g_00876	Prai.g_01259
OG0000016	Prba.g_00200	Prai.g_01366
OG0000017	Prba.g_00693	Prai.g_01483
OG0000018	Prba.g_00460	Prai.g_00252, Prai.g_00254
OG0000019	Prba.g_00245, Prba.g_00858	Prai.g_00378
OG0000020	Prba.g_00868	Prai.g_00387
OG0000022	Prba.g_01174	Prai.g_00905, Prai.g_01772
OG0000023	Prba.g_00276	Prai.g_01578
OG0000024	Prba.g_00522	Prai.g_00319
OG0000025	Prba.g_01229, Prba.g_00899	Prai.g_01093
OG0000026	Prba.g_01826	Prai.g_00033
OG0000027	Prba.g_00301	Prai.g_01549
OG0000028	Prba.g_00713	Prai.g_01463
OG0000029	Prba.g_00275	Prai.g_01579
OG0000031	Prba.g_01168	Prai.g_00434
OG0000032	Prba.g_00173	Prai.g_01444
OG0000033	Prba.g_01806	Prai.g_00013
OG0000034	Prba.g_00160	Prai.g_00154
OG0000035	Prba.g_01226	Prai.g_01097
OG0000035	Prba.g_01409	Prai.g_01059
OG0000036	Prba.g_01731	Prai.g_00613
OG0000037	Prba.g_01694	Prai.g_00652
OG0000038	Prba.g_01543	Prai.g_00885
OG0000040	Prba.g_00854	Prai.g_00373
OG0000042	Prba.g_01594	Prai.g_00748
