Orthogroup	Prba	Prbd
OG0000000	Prba.g_00203	Prbd.g_01771
OG0000000	Prba.g_01639	Prbd.g_00566
OG0000001	Prba.g_00270	Prbd.g_00528
OG0000002	Prba.g_00211	Prbd.g_01779
OG0000002	Prba.g_01081, Prba.g_01080	Prbd.g_01930
OG0000003	Prba.g_01172	Prbd.g_01835
OG0000003	Prba.g_00268	Prbd.g_01567
OG0000004	Prba.g_01570	Prbd.g_00031
OG0000004	Prba.g_01563	Prbd.g_00038
OG0000004	Prba.g_01171	Prbd.g_01855
OG0000005	Prba.g_00269	Prbd.g_01568
OG0000005	Prba.g_00243	Prbd.g_01914
OG0000006	Prba.g_00964	Prbd.g_00745
OG0000006	Prba.g_00226	Prbd.g_01525
OG0000007	Prba.g_01645	Prbd.g_00572
OG0000008	Prba.g_00878	Prbd.g_00854
OG0000008	Prba.g_01304	Prbd.g_00297
OG0000008	Prba.g_00901	Prbd.g_01894
OG0000009	Prba.g_01519	Prbd.g_00082
OG0000009	Prba.g_00468	Prbd.g_00990
OG0000010	Prba.g_00734	Prbd.g_00409
OG0000010	Prba.g_01157	Prbd.g_01870
OG0000011	Prba.g_00546	Prbd.g_00909
OG0000012	Prba.g_01719	Prbd.g_00646
OG0000013	Prba.g_01538	Prbd.g_00826
OG0000014	Prba.g_01175	Prbd.g_01832
OG0000014	Prba.g_00991	Prbd.g_00772
OG0000015	Prba.g_00876	Prbd.g_00856
OG0000016	Prba.g_00200	Prbd.g_01768
OG0000017	Prba.g_00693	Prbd.g_01669
OG0000018	Prba.g_00460	Prbd.g_00998
OG0000019	Prba.g_00245	Prbd.g_01546
OG0000019	Prba.g_00858	Prbd.g_00874
OG0000020	Prba.g_00868	Prbd.g_00864
OG0000021	Prba.g_01517	Prbd.g_00084
OG0000022	Prba.g_01174	Prbd.g_01833
OG0000023	Prba.g_01142	Prbd.g_01887
OG0000023	Prba.g_00276	Prbd.g_01576
OG0000024	Prba.g_00522	Prbd.g_00933
OG0000025	Prba.g_01229	Prbd.g_00375
OG0000026	Prba.g_01826	Prbd.g_01204
OG0000027	Prba.g_00301	Prbd.g_01601
OG0000027	Prba.g_01567	Prbd.g_00034
OG0000028	Prba.g_00713	Prbd.g_01689
OG0000029	Prba.g_00275	Prbd.g_01575
OG0000033	Prba.g_01806	Prbd.g_01224
