Orthogroup	Prba	Praf
OG0000000	Prba.g_00203	Praf.g_01631
OG0000000	Prba.g_01639	Praf.g_00948
OG0000002	Prba.g_00211	Praf.g_02422, Praf.g_01293, Praf.g_01031, Praf.g_01895, Praf.g_00818, Praf.g_01896
OG0000003	Prba.g_01172, Prba.g_00268	Praf.g_00814
OG0000004	Prba.g_01563	Praf.g_01014, Praf.g_02005
OG0000006	Prba.g_00964	Praf.g_00614
OG0000006	Prba.g_00226	Praf.g_00480
OG0000007	Prba.g_01131, Prba.g_01645	Praf.g_01224, Praf.g_01223
OG0000009	Prba.g_01519, Prba.g_00468	Praf.g_02214
OG0000011	Prba.g_00913	Praf.g_01898
OG0000011	Prba.g_00546	Praf.g_01864
OG0000012	Prba.g_01719	Praf.g_00760, Praf.g_00752
OG0000013	Prba.g_01538	Praf.g_01030, Praf.g_01033, Praf.g_01618
OG0000016	Prba.g_00200	Praf.g_01108, Praf.g_01143
OG0000018	Prba.g_00460	Praf.g_00396, Praf.g_01719
OG0000019	Prba.g_00245, Prba.g_00858	Praf.g_00746
OG0000024	Prba.g_00522	Praf.g_02319, Praf.g_00112
OG0000025	Prba.g_01229, Prba.g_00899	Praf.g_01105
OG0000026	Prba.g_01826	Praf.g_00041
OG0000028	Prba.g_00713	Praf.g_01794
OG0000032	Prba.g_00173	Praf.g_02400, Praf.g_00101, Praf.g_00113
OG0000033	Prba.g_01806	Praf.g_00014
OG0000034	Prba.g_00160	Praf.g_02366
OG0000036	Prba.g_01731	Praf.g_00731
OG0000037	Prba.g_01694	Praf.g_01668
OG0000038	Prba.g_01543	Praf.g_00965, Praf.g_00201
OG0000039	Prba.g_00622	Praf.g_01239
OG0000042	Prba.g_01594	Praf.g_01302, Praf.g_01238
OG0000043	Prba.g_01514	Praf.g_00941, Praf.g_00943
OG0000044	Prba.g_00064	Praf.g_00854
OG0000045	Prba.g_00153	Praf.g_02345
OG0000046	Prba.g_00233	Praf.g_00491
OG0000047	Prba.g_00768	Praf.g_00178
OG0000048	Prba.g_00775	Praf.g_00920, Praf.g_00164
OG0000050	Prba.g_01824	Praf.g_00037
OG0000051	Prba.g_01945	Praf.g_02445
OG0000052	Prba.g_00864	Praf.g_00496
OG0000053	Prba.g_00922	Praf.g_00672
OG0000054	Prba.g_01548	Praf.g_00348
OG0000055	Prba.g_01477	Praf.g_01556
OG0000056	Prba.g_00727	Praf.g_02587
