Orthogroup	Prba	Prbg
OG0000000	Prba.g_00203	Prbg.g_01222, Prbg.g_01227
OG0000000	Prba.g_01639	Prbg.g_01119, Prbg.g_00694, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521
OG0000002	Prba.g_00211	Prbg.g_00502
OG0000002	Prba.g_01081, Prba.g_01080	Prbg.g_01069
OG0000003	Prba.g_01172, Prba.g_00268	Prbg.g_01524
OG0000004	Prba.g_01563	Prbg.g_00451
OG0000005	Prba.g_00269, Prba.g_00243	Prbg.g_01567
OG0000006	Prba.g_00964	Prbg.g_00216
OG0000006	Prba.g_00226	Prbg.g_01650
OG0000007	Prba.g_01131	Prbg.g_00744
OG0000009	Prba.g_01519	Prbg.g_01510
OG0000009	Prba.g_00468	Prbg.g_01032
OG0000010	Prba.g_00734, Prba.g_01157	Prbg.g_00032
OG0000011	Prba.g_00913	Prbg.g_00143
OG0000012	Prba.g_01719	Prbg.g_00324, Prbg.g_00317
OG0000013	Prba.g_01538	Prbg.g_01589, Prbg.g_01635
OG0000014	Prba.g_01175, Prba.g_00991	Prbg.g_01569, Prbg.g_00721
OG0000015	Prba.g_00876	Prbg.g_01578, Prbg.g_01611
OG0000016	Prba.g_00200	Prbg.g_01540, Prbg.g_00688
OG0000018	Prba.g_00460	Prbg.g_01024
OG0000019	Prba.g_00245, Prba.g_00858	Prbg.g_01145
OG0000020	Prba.g_00868	Prbg.g_00050
OG0000021	Prba.g_01517	Prbg.g_01632
OG0000023	Prba.g_01142	Prbg.g_00686
OG0000024	Prba.g_00522	Prbg.g_00086
OG0000025	Prba.g_00899	Prbg.g_01055
OG0000028	Prba.g_00713	Prbg.g_00591
OG0000029	Prba.g_00275	Prbg.g_00174
OG0000032	Prba.g_00173	Prbg.g_00550
OG0000034	Prba.g_00160	Prbg.g_00569, Prbg.g_00816
OG0000035	Prba.g_01409	Prbg.g_00025
OG0000036	Prba.g_01731	Prbg.g_00304, Prbg.g_01639
