Orthogroup	Pras	Prak
OG0000000	Pras.g_00493, Pras.g_00470	Prak.g_01562
OG0000002	Pras.g_00243	Prak.g_00908, Prak.g_00913
OG0000002	Pras.g_01554	Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207, Prak.g_01494, Prak.g_00805
OG0000004	Pras.g_01571	Prak.g_00826
OG0000004	Pras.g_01084	Prak.g_00248
OG0000005	Pras.g_00429	Prak.g_01474
OG0000006	Pras.g_00148, Pras.g_01093	Prak.g_00258
OG0000007	Pras.g_01375	Prak.g_00458
OG0000007	Pras.g_00550	Prak.g_01645
OG0000009	Pras.g_00157	Prak.g_01486
OG0000010	Pras.g_01352	Prak.g_00739, Prak.g_01034, Prak.g_00435
OG0000012	Pras.g_01499	Prak.g_01506, Prak.g_00584
OG0000013	Pras.g_01179	Prak.g_00343
OG0000014	Pras.g_01158	Prak.g_00325
OG0000015	Pras.g_00127	Prak.g_01584, Prak.g_01630
OG0000016	Pras.g_00855	Prak.g_00013
OG0000017	Pras.g_01474	Prak.g_00559
OG0000018	Pras.g_00037	Prak.g_01194
OG0000018	Pras.g_01728	Prak.g_00873
OG0000019	Pras.g_01101	Prak.g_00266
OG0000019	Pras.g_01681	Prak.g_01196
OG0000020	Pras.g_00001	Prak.g_01498
OG0000020	Pras.g_00530	Prak.g_01527
OG0000021	Pras.g_00507, Pras.g_01218	Prak.g_01499
OG0000022	Pras.g_01662	Prak.g_01482
OG0000023	Pras.g_01213	Prak.g_00721
OG0000024	Pras.g_01645	Prak.g_01038
OG0000024	Pras.g_01551	Prak.g_00802
OG0000025	Pras.g_01735, Pras.g_01183	Prak.g_00881
OG0000026	Pras.g_00873, Pras.g_01949	Prak.g_00032
OG0000027	Pras.g_01348, Pras.g_00185	Prak.g_01521
OG0000028	Pras.g_00169	Prak.g_01543
OG0000029	Pras.g_01228	Prak.g_01735
OG0000029	Pras.g_01653	Prak.g_01534, Prak.g_01576
OG0000030	Pras.g_00753	Prak.g_01853
OG0000031	Pras.g_00331	Prak.g_01350
OG0000033	Pras.g_01020	Prak.g_00181
OG0000034	Pras.g_00219	Prak.g_01288
OG0000037	Pras.g_00960	Prak.g_00115
OG0000038	Pras.g_00795	Prak.g_01893
OG0000039	Pras.g_01562	Prak.g_00814
OG0000041	Pras.g_00597	Prak.g_01692
OG0000042	Pras.g_00750	Prak.g_01850
OG0000043	Pras.g_01772	Prak.g_01193
OG0000045	Pras.g_01224	Prak.g_01216
OG0000047	Pras.g_01263	Prak.g_00385
OG0000048	Pras.g_01227	Prak.g_00289
OG0000052	Pras.g_00285	Prak.g_01369
OG0000053	Pras.g_00886, Pras.g_00370	Prak.g_01590, Prak.g_01412
OG0000054	Pras.g_01482	Prak.g_00568
OG0000055	Pras.g_01682	Prak.g_01221
OG0000057	Pras.g_01574	Prak.g_00829
OG0000058	Pras.g_00291	Prak.g_01351
OG0000059	Pras.g_00637	Prak.g_01732
OG0000061	Pras.g_00056	Prak.g_01172
OG0000062	Pras.g_00431	Prak.g_01476
OG0000063	Pras.g_00875	Prak.g_01530
OG0000065	Pras.g_00958	Prak.g_00113
OG0000066	Pras.g_01416	Prak.g_00498, Prak.g_01557
OG0000067	Pras.g_01701, Pras.g_00311	Prak.g_00845
OG0000068	Pras.g_00250	Prak.g_01329
OG0000069	Pras.g_00538, Pras.g_00464	Prak.g_00416
OG0000070	Pras.g_01328	Prak.g_00412
OG0000071	Pras.g_00209	Prak.g_01277
OG0000072	Pras.g_01022	Prak.g_00183
OG0000073	Pras.g_01377	Prak.g_00461
OG0000074	Pras.g_01558	Prak.g_00809
OG0000075	Pras.g_00719	Prak.g_01816
OG0000076	Pras.g_00883, Pras.g_00743	Prak.g_01842
OG0000077	Pras.g_00929	Prak.g_00083
OG0000078	Pras.g_01091	Prak.g_00256
OG0000079	Pras.g_01104	Prak.g_00269
OG0000080	Pras.g_00279	Prak.g_01363
OG0000080	Pras.g_00277	Prak.g_01365
OG0000081	Pras.g_01408	Prak.g_00490
OG0000082	Pras.g_01462	Prak.g_00546, Prak.g_01634
OG0000084	Pras.g_00346	Prak.g_01388
OG0000085	Pras.g_00543	Prak.g_01637, Prak.g_01516
OG0000086	Pras.g_00939	Prak.g_00092
OG0000087	Pras.g_00990	Prak.g_00147
OG0000088	Pras.g_01017	Prak.g_00178
OG0000089	Pras.g_01209	Prak.g_00379
OG0000090	Pras.g_01410	Prak.g_00492
OG0000091	Pras.g_01518	Prak.g_01100
OG0000092	Pras.g_01806	Prak.g_00775
OG0000093	Pras.g_01827	Prak.g_01071
OG0000094	Pras.g_01915	Prak.g_01022
OG0000095	Pras.g_01934	Prak.g_00920
OG0000096	Pras.g_00004, Pras.g_00163	Prak.g_00702
OG0000097	Pras.g_00098	Prak.g_01126
OG0000098	Pras.g_00232	Prak.g_01305
OG0000099	Pras.g_00294	Prak.g_01352
OG0000100	Pras.g_00427	Prak.g_01470
OG0000101	Pras.g_00687	Prak.g_01780
OG0000102	Pras.g_00748	Prak.g_01847
OG0000103	Pras.g_00829	Prak.g_01932
OG0000104	Pras.g_00838	Prak.g_01941
OG0000105	Pras.g_01126	Prak.g_00292
