Orthogroup	Pras	Prbm
OG0000000	Pras.g_00184	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000000	Pras.g_00493	Prbm.g_00435, Prbm.g_01116, Prbm.g_01406, Prbm.g_01808
OG0000000	Pras.g_00470	Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436
OG0000001	Pras.g_00118, Pras.g_00120	Prbm.g_01426
OG0000002	Pras.g_00243	Prbm.g_00874
OG0000002	Pras.g_01554	Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581, Prbm.g_00712
OG0000004	Pras.g_01571	Prbm.g_01483
OG0000004	Pras.g_01084	Prbm.g_00291
OG0000005	Pras.g_00429	Prbm.g_01790
OG0000006	Pras.g_00148, Pras.g_01093	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000007	Pras.g_01375	Prbm.g_00522
OG0000007	Pras.g_00550	Prbm.g_01841
OG0000009	Pras.g_00157	Prbm.g_01235, Prbm.g_01400
OG0000010	Pras.g_01352	Prbm.g_01066, Prbm.g_00499
OG0000011	Pras.g_00176, Pras.g_01289	Prbm.g_01202
OG0000011	Pras.g_00142, Pras.g_00166	Prbm.g_01174
OG0000012	Pras.g_01499	Prbm.g_01106
OG0000013	Pras.g_01179	Prbm.g_00382
OG0000014	Pras.g_01158	Prbm.g_00362
OG0000015	Pras.g_00127	Prbm.g_01427, Prbm.g_01149
OG0000016	Pras.g_00855	Prbm.g_00013
OG0000017	Pras.g_01474	Prbm.g_00635
OG0000018	Pras.g_00037	Prbm.g_01571
OG0000018	Pras.g_01728	Prbm.g_00843
OG0000019	Pras.g_01681	Prbm.g_00792
OG0000020	Pras.g_00001	Prbm.g_01065
OG0000020	Pras.g_00530	Prbm.g_01156
OG0000021	Pras.g_00507, Pras.g_01218	Prbm.g_01939
OG0000022	Pras.g_01662	Prbm.g_01204
OG0000022	Pras.g_00019	Prbm.g_01324
OG0000023	Pras.g_01213	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284
OG0000024	Pras.g_01645	Prbm.g_01151
OG0000024	Pras.g_01551	Prbm.g_00709
OG0000025	Pras.g_01735, Pras.g_01183	Prbm.g_00849
OG0000026	Pras.g_00873, Pras.g_01949	Prbm.g_00031
OG0000028	Pras.g_00169	Prbm.g_01656
OG0000029	Pras.g_01653	Prbm.g_01823
OG0000030	Pras.g_00753	Prbm.g_02105
OG0000031	Pras.g_00331	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393
OG0000033	Pras.g_01020	Prbm.g_00228
OG0000034	Pras.g_00219	Prbm.g_01620
OG0000035	Pras.g_00350	Prbm.g_01710
OG0000037	Pras.g_00960	Prbm.g_00166
OG0000038	Pras.g_00795	Prbm.g_02174
OG0000039	Pras.g_01562	Prbm.g_00723
OG0000040	Pras.g_00489	Prbm.g_01409, Prbm.g_01813
OG0000041	Pras.g_00597	Prbm.g_01886
OG0000042	Pras.g_00750	Prbm.g_02102
OG0000043	Pras.g_01772	Prbm.g_00906
OG0000043	Pras.g_00153	Prbm.g_01173
OG0000045	Pras.g_01224	Prbm.g_01088
OG0000047	Pras.g_01263	Prbm.g_00428
OG0000047	Pras.g_01182	Prbm.g_00390
OG0000048	Pras.g_01227	Prbm.g_00329
OG0000050	Pras.g_01969	Prbm.g_00118
OG0000051	Pras.g_00508	Prbm.g_01276
OG0000053	Pras.g_00886, Pras.g_00370	Prbm.g_01729
OG0000054	Pras.g_01482	Prbm.g_00637
OG0000055	Pras.g_01682	Prbm.g_00778
OG0000056	Pras.g_00881	Prbm.g_00477
OG0000057	Pras.g_01574	Prbm.g_00735
OG0000058	Pras.g_00291	Prbm.g_00881
OG0000059	Pras.g_00637	Prbm.g_01973
OG0000061	Pras.g_00056	Prbm.g_01549
OG0000062	Pras.g_00431	Prbm.g_01792
