Orthogroup	Pras	Syao
OG0000001	Pras.g_00235, Pras.g_00118, Pras.g_00120, Pras.g_00541	Syao.g_00314
OG0000004	Pras.g_01571	Syao.g_02374
OG0000004	Pras.g_01084	Syao.g_01271, Syao.g_01007
OG0000005	Pras.g_00563	Syao.g_01680
OG0000005	Pras.g_00429	Syao.g_01578
OG0000006	Pras.g_00148, Pras.g_01093	Syao.g_01518
OG0000007	Pras.g_01375	Syao.g_00105
OG0000007	Pras.g_00550	Syao.g_01554
OG0000009	Pras.g_00956	Syao.g_02598
OG0000010	Pras.g_00523, Pras.g_01942, Pras.g_01352	Syao.g_02683
OG0000011	Pras.g_00176, Pras.g_01289, Pras.g_00142, Pras.g_00166	Syao.g_01282
OG0000012	Pras.g_01499	Syao.g_01193
OG0000013	Pras.g_01179	Syao.g_01222, Syao.g_01844, Syao.g_01910
OG0000014	Pras.g_01158	Syao.g_02027
OG0000014	Pras.g_00304	Syao.g_01136
OG0000015	Pras.g_00127	Syao.g_00302
OG0000016	Pras.g_00855	Syao.g_01955
OG0000017	Pras.g_01474	Syao.g_00997
OG0000018	Pras.g_00037, Pras.g_01728	Syao.g_00071
OG0000019	Pras.g_01101, Pras.g_01681	Syao.g_02108
OG0000021	Pras.g_00507, Pras.g_01218	Syao.g_01002
OG0000022	Pras.g_01662, Pras.g_00019	Syao.g_01218
OG0000023	Pras.g_01213	Syao.g_01266
OG0000025	Pras.g_01735, Pras.g_01183	Syao.g_00436, Syao.g_00437
OG0000026	Pras.g_00873, Pras.g_01949	Syao.g_02234
OG0000027	Pras.g_01348, Pras.g_00185	Syao.g_00202
OG0000028	Pras.g_01172, Pras.g_00169	Syao.g_02012
OG0000030	Pras.g_00753	Syao.g_02189, Syao.g_02188
OG0000031	Pras.g_00331	Syao.g_01083
OG0000032	Pras.g_00326	Syao.g_01984, Syao.g_01983, Syao.g_01135
OG0000033	Pras.g_01020	Syao.g_02507
OG0000035	Pras.g_00350	Syao.g_01486
OG0000037	Pras.g_00960	Syao.g_00374
OG0000038	Pras.g_00795	Syao.g_02440, Syao.g_02442
OG0000039	Pras.g_01562	Syao.g_00704
