Orthogroup	Pras	Syap
OG0000004	Pras.g_01084	Syap.g_01987
OG0000005	Pras.g_00563	Syap.g_01773
OG0000005	Pras.g_00429	Syap.g_01218
OG0000007	Pras.g_01375	Syap.g_00275
OG0000007	Pras.g_00550	Syap.g_00621
OG0000009	Pras.g_00956	Syap.g_02081
OG0000010	Pras.g_00523, Pras.g_01942, Pras.g_01352	Syap.g_02757
OG0000013	Pras.g_01179	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Pras.g_01158	Syap.g_01675
OG0000016	Pras.g_00855	Syap.g_00071
OG0000017	Pras.g_01474	Syap.g_00449
OG0000018	Pras.g_00037, Pras.g_01728	Syap.g_02010
OG0000019	Pras.g_01101, Pras.g_01681	Syap.g_01586
OG0000025	Pras.g_01735, Pras.g_01183	Syap.g_01846
OG0000027	Pras.g_01348, Pras.g_00185	Syap.g_01440
OG0000028	Pras.g_01172, Pras.g_00169	Syap.g_01658
OG0000030	Pras.g_00753	Syap.g_00787, Syap.g_00788
OG0000031	Pras.g_00331	Syap.g_00722
OG0000032	Pras.g_00326	Syap.g_02461, Syap.g_01133, Syap.g_01134
OG0000033	Pras.g_01020	Syap.g_01198
OG0000034	Pras.g_00219	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Pras.g_00350	Syap.g_02465
OG0000037	Pras.g_00960	Syap.g_02492
OG0000038	Pras.g_00795	Syap.g_00139
OG0000039	Pras.g_01562	Syap.g_01749, Syap.g_01748
OG0000042	Pras.g_00750	Syap.g_01891, Syap.g_01120
OG0000043	Pras.g_01772, Pras.g_00153	Syap.g_01998
OG0000045	Pras.g_00509, Pras.g_01224	Syap.g_02525
OG0000048	Pras.g_01227	Syap.g_02340
OG0000051	Pras.g_00179, Pras.g_00508	Syap.g_01574
OG0000053	Pras.g_00886, Pras.g_00370	Syap.g_02006
OG0000054	Pras.g_01482	Syap.g_00678
