Orthogroup	Pras	Syad
OG0000001	Pras.g_00235, Pras.g_00118, Pras.g_00120, Pras.g_00541	Syad.g_00628
OG0000002	Pras.g_00243, Pras.g_01554	Syad.g_00619
OG0000004	Pras.g_01571	Syad.g_01304
OG0000004	Pras.g_01084	Syad.g_02184, Syad.g_00810
OG0000005	Pras.g_00563	Syad.g_02639
OG0000005	Pras.g_00429	Syad.g_02596
OG0000006	Pras.g_00148, Pras.g_01093	Syad.g_00588, Syad.g_00829
OG0000007	Pras.g_01375	Syad.g_00923
OG0000007	Pras.g_00550	Syad.g_02623
OG0000009	Pras.g_00157, Pras.g_00463	Syad.g_01952, Syad.g_00868
OG0000009	Pras.g_00956	Syad.g_02799
OG0000010	Pras.g_00523, Pras.g_01942, Pras.g_01352	Syad.g_02354
OG0000011	Pras.g_00176, Pras.g_01289	Syad.g_02006
OG0000012	Pras.g_01499	Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008, Syad.g_02176
OG0000013	Pras.g_01179	Syad.g_00737, Syad.g_00724, Syad.g_00729
OG0000014	Pras.g_01158	Syad.g_00480
OG0000015	Pras.g_00127	Syad.g_01600, Syad.g_01601
OG0000016	Pras.g_00855	Syad.g_00176
OG0000017	Pras.g_01474	Syad.g_01084
OG0000018	Pras.g_00037, Pras.g_01728	Syad.g_02306
OG0000019	Pras.g_01101, Pras.g_01681	Syad.g_00569
OG0000020	Pras.g_00001, Pras.g_00530	Syad.g_00845
OG0000022	Pras.g_01662, Pras.g_00019	Syad.g_02090
OG0000023	Pras.g_01213	Syad.g_01701, Syad.g_02337, Syad.g_01583
OG0000024	Pras.g_01645, Pras.g_01551	Syad.g_01374
OG0000025	Pras.g_01735, Pras.g_01183	Syad.g_01241
OG0000026	Pras.g_00873, Pras.g_01949	Syad.g_00198
OG0000027	Pras.g_01348, Pras.g_00185	Syad.g_01257
OG0000028	Pras.g_01172, Pras.g_00169	Syad.g_00463
OG0000029	Pras.g_01228, Pras.g_01653	Syad.g_02099
OG0000030	Pras.g_00753	Syad.g_00328, Syad.g_00327
OG0000031	Pras.g_00331	Syad.g_00294
OG0000033	Pras.g_01020	Syad.g_02903
OG0000034	Pras.g_00219	Syad.g_02420, Syad.g_02872
OG0000035	Pras.g_00350	Syad.g_02275
OG0000037	Pras.g_00960	Syad.g_02805
OG0000038	Pras.g_00795	Syad.g_03038
OG0000039	Pras.g_01562	Syad.g_01249, Syad.g_01111
OG0000041	Pras.g_00597	Syad.g_02498
OG0000042	Pras.g_00750	Syad.g_00333
OG0000043	Pras.g_01772, Pras.g_00153	Syad.g_02119
OG0000045	Pras.g_00509	Syad.g_00964
OG0000047	Pras.g_01263, Pras.g_01182	Syad.g_00754
OG0000048	Pras.g_01227	Syad.g_00534
OG0000051	Pras.g_00179	Syad.g_00842
OG0000052	Pras.g_00285	Syad.g_00434
OG0000053	Pras.g_00886, Pras.g_00370	Syad.g_02302
OG0000054	Pras.g_01482	Syad.g_02209
OG0000055	Pras.g_01682	Syad.g_01255
OG0000057	Pras.g_01574	Syad.g_01301
OG0000058	Pras.g_00291	Syad.g_00452
OG0000059	Pras.g_00637	Syad.g_00642
OG0000061	Pras.g_00056	Syad.g_01152
OG0000063	Pras.g_00875	Syad.g_00202
OG0000065	Pras.g_00958	Syad.g_02574, Syad.g_02801
OG0000066	Pras.g_01416	Syad.g_00992
OG0000067	Pras.g_01701, Pras.g_00311	Syad.g_01889
OG0000068	Pras.g_00250	Syad.g_00891
OG0000070	Pras.g_01328	Syad.g_02424
OG0000071	Pras.g_00209	Syad.g_02405
OG0000072	Pras.g_01022	Syad.g_02905
OG0000073	Pras.g_01377	Syad.g_00926
OG0000075	Pras.g_00719	Syad.g_00416
OG0000076	Pras.g_00883, Pras.g_00743	Syad.g_00348
OG0000077	Pras.g_00929	Syad.g_02741
OG0000078	Pras.g_01091	Syad.g_00824
OG0000079	Pras.g_01104	Syad.g_00565
OG0000081	Pras.g_01408	Syad.g_00833
OG0000082	Pras.g_01462	Syad.g_01063
OG0000084	Pras.g_00346	Syad.g_02272
OG0000085	Pras.g_00543	Syad.g_02612
OG0000086	Pras.g_00939	Syad.g_02770
OG0000087	Pras.g_00990	Syad.g_02860
OG0000088	Pras.g_01017	Syad.g_02899
OG0000089	Pras.g_01209	Syad.g_00785, Syad.g_02829
OG0000090	Pras.g_01410	Syad.g_00977
OG0000091	Pras.g_01518	Syad.g_02144
OG0000092	Pras.g_01806	Syad.g_01190
OG0000094	Pras.g_01915	Syad.g_01676
OG0000097	Pras.g_00098	Syad.g_01458
OG0000098	Pras.g_00232	Syad.g_00625
OG0000099	Pras.g_00294	Syad.g_00460
OG0000100	Pras.g_00427	Syad.g_01846
OG0000101	Pras.g_00687	Syad.g_00694
OG0000102	Pras.g_00748	Syad.g_00343
OG0000103	Pras.g_00829	Syad.g_00143
OG0000104	Pras.g_00838	Syad.g_00158
OG0000105	Pras.g_01126	Syad.g_00530
OG0000106	Pras.g_01223	Syad.g_01993
OG0000107	Pras.g_01239	Syad.g_00590
OG0000108	Pras.g_01358	Syad.g_00904
OG0000109	Pras.g_01372	Syad.g_00919
OG0000110	Pras.g_01451	Syad.g_01048
OG0000111	Pras.g_01575	Syad.g_01300
OG0000112	Pras.g_01665	Syad.g_01766
OG0000113	Pras.g_01723	Syad.g_01851
OG0000114	Pras.g_01801	Syad.g_01617
OG0000115	Pras.g_01994	Syad.g_02300
OG0000116	Pras.g_00046	Syad.g_01123
OG0000117	Pras.g_00150	Syad.g_01510
OG0000118	Pras.g_00221, Pras.g_00222	Syad.g_01104
OG0000119	Pras.g_00246	Syad.g_01168
OG0000120	Pras.g_00273, Pras.g_00272, Pras.g_00271, Pras.g_00330	Syad.g_00459
OG0000121	Pras.g_00352	Syad.g_02280
OG0000122	Pras.g_00391	Syad.g_02122
OG0000123	Pras.g_00694	Syad.g_00701
OG0000124	Pras.g_00759	Syad.g_00320
OG0000125	Pras.g_00797	Syad.g_03040
OG0000126	Pras.g_00837	Syad.g_00156
OG0000128	Pras.g_00853	Syad.g_00174
OG0000129	Pras.g_00897	Syad.g_03028
OG0000130	Pras.g_00921	Syad.g_02728
OG0000131	Pras.g_00996	Syad.g_02876
OG0000132	Pras.g_01015	Syad.g_02897
OG0000133	Pras.g_01174	Syad.g_01761
OG0000134	Pras.g_01210	Syad.g_00788
OG0000135	Pras.g_01236	Syad.g_00063
OG0000136	Pras.g_01319	Syad.g_02445
OG0000137	Pras.g_01353	Syad.g_02353
OG0000138	Pras.g_01373	Syad.g_00920
OG0000139	Pras.g_01414	Syad.g_00983
OG0000140	Pras.g_01415	Syad.g_00987
OG0000141	Pras.g_01483	Syad.g_02208
OG0000142	Pras.g_01511	Syad.g_02152
OG0000143	Pras.g_01515	Syad.g_02148
OG0000144	Pras.g_01528	Syad.g_02024
OG0000145	Pras.g_01664	Syad.g_00927
OG0000146	Pras.g_01666	Syad.g_01767
OG0000147	Pras.g_01667	Syad.g_01768
OG0000148	Pras.g_01717	Syad.g_01861
OG0000149	Pras.g_01747	Syad.g_01221
OG0000150	Pras.g_01755	Syad.g_02207, Syad.g_00989
OG0000151	Pras.g_01811	Syad.g_01956
OG0000152	Pras.g_01859	Syad.g_01757
OG0000153	Pras.g_01878	Syad.g_01713
OG0000154	Pras.g_01908	Syad.g_01686
OG0000155	Pras.g_00076	Syad.g_01189
OG0000156	Pras.g_00197	Syad.g_01116
OG0000157	Pras.g_00198	Syad.g_01115
OG0000158	Pras.g_00289	Syad.g_00374
OG0000160	Pras.g_00351	Syad.g_02279
OG0000161	Pras.g_00357	Syad.g_02287
OG0000162	Pras.g_00363	Syad.g_02293
OG0000163	Pras.g_00399	Syad.g_02542
OG0000164	Pras.g_00574	Syad.g_02659
OG0000165	Pras.g_00581	Syad.g_02476
OG0000166	Pras.g_00651	Syad.g_00654
OG0000167	Pras.g_00717	Syad.g_00419
OG0000168	Pras.g_00727	Syad.g_00371
OG0000169	Pras.g_00737	Syad.g_00360
OG0000170	Pras.g_00739	Syad.g_00353
OG0000171	Pras.g_00758	Syad.g_00321
OG0000172	Pras.g_00768	Syad.g_00244
OG0000173	Pras.g_00783	Syad.g_00220
OG0000174	Pras.g_00811, Pras.g_00810	Syad.g_00065
OG0000175	Pras.g_00821	Syad.g_00129
OG0000176	Pras.g_00846	Syad.g_00166
OG0000177	Pras.g_00847	Syad.g_00167
OG0000178	Pras.g_00848	Syad.g_00168
OG0000179	Pras.g_00858	Syad.g_00183
OG0000180	Pras.g_00859	Syad.g_00184
OG0000181	Pras.g_00860	Syad.g_00185
OG0000182	Pras.g_00861	Syad.g_00186
OG0000183	Pras.g_00865	Syad.g_00190
OG0000184	Pras.g_00899	Syad.g_03018
OG0000185	Pras.g_00902	Syad.g_03006
OG0000186	Pras.g_00916	Syad.g_02722
OG0000187	Pras.g_00917	Syad.g_02724
OG0000188	Pras.g_00933	Syad.g_02759
OG0000189	Pras.g_00947	Syad.g_02788
OG0000190	Pras.g_00948	Syad.g_02790
OG0000191	Pras.g_00968	Syad.g_02824
OG0000192	Pras.g_00972	Syad.g_02834
OG0000193	Pras.g_00997	Syad.g_02877
OG0000194	Pras.g_01000	Syad.g_02880
OG0000195	Pras.g_01002	Syad.g_02884
OG0000196	Pras.g_01012	Syad.g_02894
OG0000197	Pras.g_01013	Syad.g_02895
OG0000198	Pras.g_01014	Syad.g_02896
OG0000199	Pras.g_01021	Syad.g_02904
OG0000200	Pras.g_01035	Syad.g_02921
OG0000201	Pras.g_01043	Syad.g_02937
OG0000202	Pras.g_01044	Syad.g_02938
OG0000203	Pras.g_01045	Syad.g_02939
OG0000204	Pras.g_01046	Syad.g_02940
OG0000205	Pras.g_01053	Syad.g_02948
OG0000206	Pras.g_01058, Pras.g_01059	Syad.g_02955
OG0000207	Pras.g_01061	Syad.g_02957
OG0000208	Pras.g_01062	Syad.g_02958
OG0000209	Pras.g_01071	Syad.g_02981
OG0000210	Pras.g_01072	Syad.g_02982
OG0000212	Pras.g_01092	Syad.g_00825
OG0000213	Pras.g_01109	Syad.g_00556
OG0000214	Pras.g_01119	Syad.g_00538
OG0000215	Pras.g_01144	Syad.g_00508
OG0000216	Pras.g_01145	Syad.g_00504, Syad.g_00285
OG0000217	Pras.g_01148	Syad.g_00500
OG0000218	Pras.g_01150	Syad.g_00498
OG0000219	Pras.g_01151	Syad.g_00497
OG0000220	Pras.g_01152	Syad.g_00496
OG0000221	Pras.g_01153	Syad.g_00488
OG0000222	Pras.g_01162	Syad.g_00473
OG0000223	Pras.g_01175	Syad.g_00451
OG0000224	Pras.g_01177	Syad.g_00444
OG0000225	Pras.g_01199	Syad.g_00777
OG0000226	Pras.g_01203	Syad.g_00781
OG0000227	Pras.g_01205	Syad.g_00783
OG0000228	Pras.g_01208	Syad.g_00784
OG0000229	Pras.g_01314	Syad.g_02450
OG0000230	Pras.g_01316	Syad.g_02448
OG0000231	Pras.g_01327	Syad.g_02436
OG0000232	Pras.g_01335	Syad.g_02392
OG0000233	Pras.g_01341	Syad.g_02382
OG0000234	Pras.g_01354	Syad.g_02351
OG0000235	Pras.g_01357	Syad.g_00903
OG0000236	Pras.g_01371	Syad.g_00918
OG0000237	Pras.g_01384	Syad.g_00936
OG0000238	Pras.g_01390	Syad.g_00941
OG0000239	Pras.g_01402	Syad.g_00957
OG0000240	Pras.g_01403	Syad.g_00958
OG0000241	Pras.g_01407	Syad.g_02160
OG0000242	Pras.g_01409	Syad.g_00975
OG0000243	Pras.g_01420	Syad.g_01000
OG0000244	Pras.g_01423	Syad.g_01012
OG0000245	Pras.g_01425	Syad.g_01014
OG0000246	Pras.g_01429	Syad.g_01017
OG0000247	Pras.g_01439	Syad.g_01029
OG0000248	Pras.g_01441	Syad.g_01032
OG0000249	Pras.g_01443	Syad.g_01034
OG0000250	Pras.g_01448	Syad.g_01044
OG0000251	Pras.g_01467	Syad.g_01071
OG0000252	Pras.g_01470	Syad.g_01078
OG0000253	Pras.g_01471	Syad.g_01081
OG0000254	Pras.g_01487	Syad.g_02203
OG0000255	Pras.g_01493	Syad.g_02185
OG0000256	Pras.g_01503	Syad.g_02167
OG0000257	Pras.g_01506	Syad.g_02161
OG0000258	Pras.g_01519	Syad.g_02143
OG0000259	Pras.g_01536	Syad.g_01576
OG0000260	Pras.g_01539	Syad.g_01587
OG0000261	Pras.g_01541	Syad.g_01590
OG0000262	Pras.g_00327, Pras.g_01545	Syad.g_01595
OG0000263	Pras.g_01557	Syad.g_01475
OG0000264	Pras.g_01567	Syad.g_01360
OG0000265	Pras.g_01606	Syad.g_01383
OG0000266	Pras.g_01616	Syad.g_01804
OG0000267	Pras.g_01627	Syad.g_01645
OG0000268	Pras.g_01628	Syad.g_01646
OG0000269	Pras.g_01696	Syad.g_01894
OG0000270	Pras.g_01699	Syad.g_01891
OG0000271	Pras.g_01707	Syad.g_01883
OG0000272	Pras.g_01708	Syad.g_01882
OG0000273	Pras.g_01731	Syad.g_01247
OG0000274	Pras.g_01732	Syad.g_01246
OG0000275	Pras.g_01734	Syad.g_01242
OG0000276	Pras.g_01739	Syad.g_01229
OG0000277	Pras.g_01740	Syad.g_01228
OG0000278	Pras.g_01743	Syad.g_01225
OG0000279	Pras.g_01750	Syad.g_01208
OG0000280	Pras.g_01751	Syad.g_01198
OG0000281	Pras.g_01756	Syad.g_00624
OG0000282	Pras.g_01803	Syad.g_01619
OG0000283	Pras.g_01836	Syad.g_01661
OG0000284	Pras.g_01841	Syad.g_01787
OG0000285	Pras.g_01846	Syad.g_01776
OG0000286	Pras.g_01858	Syad.g_01758
OG0000288	Pras.g_01907	Syad.g_01687
OG0000289	Pras.g_01918	Syad.g_01672
OG0000290	Pras.g_01931	Syad.g_01287
OG0000291	Pras.g_01933	Syad.g_01289
OG0000292	Pras.g_01982	Syad.g_00155
OG0000293	Pras.g_00047	Syad.g_01124
OG0000294	Pras.g_00048	Syad.g_01125
OG0000295	Pras.g_00068	Syad.g_01181
OG0000296	Pras.g_00070	Syad.g_01183
OG0000297	Pras.g_00078	Syad.g_01512
OG0000298	Pras.g_00079	Syad.g_01511
OG0000299	Pras.g_00096, Pras.g_00097	Syad.g_01462
OG0000300	Pras.g_00100	Syad.g_01455
OG0000301	Pras.g_00101	Syad.g_01454
OG0000302	Pras.g_00103	Syad.g_01453
OG0000303	Pras.g_00110	Syad.g_01442
OG0000304	Pras.g_00114	Syad.g_01436
OG0000305	Pras.g_00242	Syad.g_01292
OG0000306	Pras.g_00245	Syad.g_01989
OG0000307	Pras.g_00259	Syad.g_00883
OG0000308	Pras.g_00260	Syad.g_00881
OG0000309	Pras.g_00264	Syad.g_00876
OG0000310	Pras.g_00335	Syad.g_02250
OG0000311	Pras.g_00337	Syad.g_02254
OG0000312	Pras.g_00340	Syad.g_02265
OG0000313	Pras.g_00354	Syad.g_02284
OG0000314	Pras.g_00377	Syad.g_02313
OG0000315	Pras.g_00388	Syad.g_02323
OG0000316	Pras.g_00410	Syad.g_02564
OG0000317	Pras.g_00548	Syad.g_02620
OG0000318	Pras.g_00551	Syad.g_02624
OG0000319	Pras.g_00564	Syad.g_02642
OG0000320	Pras.g_00566	Syad.g_02644
OG0000321	Pras.g_00567	Syad.g_02645
OG0000322	Pras.g_00568	Syad.g_02646
OG0000323	Pras.g_00577	Syad.g_02661
OG0000324	Pras.g_00604	Syad.g_02505
OG0000325	Pras.g_00614	Syad.g_00591
OG0000326	Pras.g_00620	Syad.g_00598
OG0000327	Pras.g_00646	Syad.g_00649
OG0000328	Pras.g_00647	Syad.g_00650
OG0000329	Pras.g_00664	Syad.g_00668
OG0000330	Pras.g_00665	Syad.g_00669
OG0000331	Pras.g_00666	Syad.g_00670
OG0000332	Pras.g_00680	Syad.g_00685
OG0000333	Pras.g_00682	Syad.g_00688
OG0000334	Pras.g_00690	Syad.g_00697
OG0000335	Pras.g_00695	Syad.g_00702
OG0000336	Pras.g_00699	Syad.g_00706
OG0000337	Pras.g_00715	Syad.g_00425, Syad.g_00427
OG0000338	Pras.g_00716	Syad.g_00421
OG0000339	Pras.g_00720	Syad.g_00414
OG0000340	Pras.g_00728	Syad.g_00370
OG0000341	Pras.g_00730	Syad.g_00368
OG0000342	Pras.g_00731	Syad.g_00367
OG0000343	Pras.g_00732	Syad.g_00366
OG0000344	Pras.g_00735	Syad.g_00362
OG0000345	Pras.g_00740	Syad.g_00352
OG0000346	Pras.g_00744	Syad.g_00347
OG0000347	Pras.g_00761	Syad.g_00318
OG0000348	Pras.g_00771	Syad.g_00233
OG0000349	Pras.g_00788	Syad.g_00213
OG0000350	Pras.g_00806, Pras.g_00131	Syad.g_00605
OG0000351	Pras.g_00824	Syad.g_00134
OG0000352	Pras.g_00825	Syad.g_00135
OG0000353	Pras.g_00841	Syad.g_00161
OG0000355	Pras.g_00843	Syad.g_00163
OG0000356	Pras.g_00844	Syad.g_00164
OG0000357	Pras.g_00845	Syad.g_00165
OG0000358	Pras.g_00849	Syad.g_00169
OG0000359	Pras.g_00850	Syad.g_00171
OG0000360	Pras.g_00851	Syad.g_00172
OG0000361	Pras.g_00852	Syad.g_00173
OG0000362	Pras.g_00854	Syad.g_00175
OG0000363	Pras.g_00856	Syad.g_00177
OG0000364	Pras.g_00857	Syad.g_00178
OG0000365	Pras.g_00862	Syad.g_00187
OG0000366	Pras.g_00863	Syad.g_00188
OG0000367	Pras.g_00864	Syad.g_00189
OG0000368	Pras.g_00866	Syad.g_00191
OG0000369	Pras.g_00867	Syad.g_00192
OG0000370	Pras.g_00868	Syad.g_00193
OG0000371	Pras.g_00874	Syad.g_00201
OG0000372	Pras.g_00877	Syad.g_00206
OG0000373	Pras.g_00878	Syad.g_00207
OG0000374	Pras.g_00879	Syad.g_00208
OG0000375	Pras.g_00893	Syad.g_00209
OG0000376	Pras.g_00895	Syad.g_00211
OG0000377	Pras.g_00898	Syad.g_03027
OG0000378	Pras.g_00900	Syad.g_03012
OG0000379	Pras.g_00903	Syad.g_03005
OG0000380	Pras.g_00918	Syad.g_02725
OG0000381	Pras.g_00922	Syad.g_02729
OG0000382	Pras.g_00932	Syad.g_02758
OG0000383	Pras.g_00934	Syad.g_02761
OG0000384	Pras.g_00935	Syad.g_02762
OG0000385	Pras.g_00936	Syad.g_02763
OG0000386	Pras.g_00937	Syad.g_02764
OG0000387	Pras.g_00950	Syad.g_02792
OG0000388	Pras.g_00953	Syad.g_02796
OG0000389	Pras.g_00957	Syad.g_02800
OG0000390	Pras.g_00964	Syad.g_02818
OG0000391	Pras.g_00967	Syad.g_02823
OG0000392	Pras.g_00971	Syad.g_02833
OG0000393	Pras.g_00973	Syad.g_02837
OG0000394	Pras.g_00974	Syad.g_02838
OG0000395	Pras.g_00975	Syad.g_02839
OG0000396	Pras.g_00978	Syad.g_02843
OG0000397	Pras.g_00980	Syad.g_02845
OG0000398	Pras.g_00982	Syad.g_02850
OG0000399	Pras.g_00983	Syad.g_02851
OG0000400	Pras.g_00984	Syad.g_02852
OG0000401	Pras.g_00985	Syad.g_02853
OG0000402	Pras.g_00987	Syad.g_02855
OG0000403	Pras.g_00988	Syad.g_02856
OG0000404	Pras.g_00989	Syad.g_02858
OG0000405	Pras.g_00993	Syad.g_02874
