Orthogroup	Syag	Pras
OG0000001	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Pras.g_00235
OG0000004	Syag.g_00988	Pras.g_01571
OG0000004	Syag.g_00370, Syag.g_01790	Pras.g_01084
OG0000005	Syag.g_01708	Pras.g_00563
OG0000005	Syag.g_01667	Pras.g_00429
OG0000006	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687	Pras.g_00148, Pras.g_01093
OG0000007	Syag.g_01507	Pras.g_01375
OG0000007	Syag.g_01687	Pras.g_00550
OG0000009	Syag.g_00220, Syag.g_00231	Pras.g_00157, Pras.g_00463
OG0000009	Syag.g_01883	Pras.g_00956
OG0000010	Syag.g_01355	Pras.g_00523, Pras.g_01942
OG0000011	Syag.g_01299	Pras.g_00142, Pras.g_00166
OG0000012	Syag.g_00377, Syag.g_00995, Syag.g_00686, Syag.g_01105	Pras.g_01499
OG0000013	Syag.g_02811, Syag.g_02820, Syag.g_02806	Pras.g_01179
OG0000014	Syag.g_02559	Pras.g_01158
OG0000015	Syag.g_02252, Syag.g_00596	Pras.g_00127
OG0000016	Syag.g_02286	Pras.g_00855
OG0000017	Syag.g_00336, Syag.g_00344	Pras.g_01474
OG0000018	Syag.g_01387	Pras.g_00037
OG0000019	Syag.g_02663	Pras.g_01101, Pras.g_01681
OG0000020	Syag.g_00085	Pras.g_00001, Pras.g_00530
OG0000021	Syag.g_00229	Pras.g_00507, Pras.g_01218
OG0000022	Syag.g_00458	Pras.g_00019
OG0000023	Syag.g_00261, Syag.g_00234	Pras.g_01213
OG0000024	Syag.g_00455	Pras.g_01645, Pras.g_01551
OG0000025	Syag.g_00718	Pras.g_01183, Pras.g_01735
OG0000026	Syag.g_02309	Pras.g_00873, Pras.g_01949
OG0000027	Syag.g_00950, Syag.g_00165	Pras.g_01348, Pras.g_00185
OG0000028	Syag.g_02540	Pras.g_00169, Pras.g_01172
OG0000029	Syag.g_00195	Pras.g_01653, Pras.g_01228
OG0000030	Syag.g_02375, Syag.g_02374	Pras.g_00753
OG0000031	Syag.g_02486	Pras.g_00331
OG0000032	Syag.g_02480	Pras.g_00326
OG0000034	Syag.g_01225, Syag.g_01947	Pras.g_00219
OG0000035	Syag.g_01420, Syag.g_01421	Pras.g_00350
OG0000037	Syag.g_00173	Pras.g_00960
OG0000038	Syag.g_02130, Syag.g_02132	Pras.g_00795
OG0000039	Syag.g_01325, Syag.g_02155	Pras.g_01562
OG0000040	Syag.g_02215	Pras.g_00036
OG0000041	Syag.g_01750, Syag.g_00962	Pras.g_00597
OG0000042	Syag.g_01094, Syag.g_02378	Pras.g_00750
OG0000043	Syag.g_00564	Pras.g_00153
OG0000045	Syag.g_00223	Pras.g_01224
OG0000045	Syag.g_00225	Pras.g_00509
OG0000047	Syag.g_00768	Pras.g_01182, Pras.g_01263
OG0000048	Syag.g_02611	Pras.g_01227
OG0000051	Syag.g_01026	Pras.g_00179
OG0000052	Syag.g_02491	Pras.g_00285
OG0000053	Syag.g_01391	Pras.g_00886, Pras.g_00370
OG0000054	Syag.g_00350	Pras.g_01482
OG0000055	Syag.g_01799, Syag.g_00946	Pras.g_01682
OG0000057	Syag.g_00985	Pras.g_01574
OG0000059	Syag.g_02721	Pras.g_00637
OG0000061	Syag.g_01141	Pras.g_00056
OG0000062	Syag.g_01669	Pras.g_00431
OG0000063	Syag.g_02313	Pras.g_00875
OG0000065	Syag.g_01885, Syag.g_00182	Pras.g_00958
OG0000066	Syag.g_01443	Pras.g_01416
OG0000067	Syag.g_00667	Pras.g_01701, Pras.g_00311
OG0000068	Syag.g_01537	Pras.g_00250
OG0000070	Syag.g_00049	Pras.g_01328
OG0000071	Syag.g_01192	Pras.g_00209
OG0000072	Syag.g_01980, Syag.g_02859	Pras.g_01022
OG0000073	Syag.g_01505	Pras.g_01377
OG0000075	Syag.g_02434	Pras.g_00719
OG0000076	Syag.g_02393	Pras.g_00883, Pras.g_00743
OG0000077	Syag.g_01831	Pras.g_00929
OG0000078	Syag.g_01778	Pras.g_01091
OG0000079	Syag.g_02659, Syag.g_02652	Pras.g_01104
OG0000081	Syag.g_00167	Pras.g_01408
OG0000082	Syag.g_00318	Pras.g_01462
OG0000084	Syag.g_00212, Syag.g_01425	Pras.g_00346
OG0000085	Syag.g_01676	Pras.g_00543
OG0000086	Syag.g_01853	Pras.g_00939
OG0000087	Syag.g_01939	Pras.g_00990
OG0000088	Syag.g_01974	Pras.g_01017
OG0000089	Syag.g_00005	Pras.g_01209
OG0000090	Syag.g_01454	Pras.g_01410
OG0000091	Syag.g_00418	Pras.g_01518
OG0000093	Syag.g_00649	Pras.g_01827
OG0000094	Syag.g_00881	Pras.g_01915
OG0000095	Syag.g_00974	Pras.g_01934
OG0000097	Syag.g_01065	Pras.g_00098
OG0000098	Syag.g_00578, Syag.g_01445	Pras.g_00232
OG0000099	Syag.g_02536	Pras.g_00294
OG0000100	Syag.g_00704	Pras.g_00427
OG0000101	Syag.g_02773	Pras.g_00687
OG0000102	Syag.g_02387	Pras.g_00748
OG0000103	Syag.g_02253	Pras.g_00829
OG0000104	Syag.g_02268	Pras.g_00838
OG0000105	Syag.g_02606	Pras.g_01126
OG0000106	Syag.g_00462	Pras.g_01223
OG0000107	Syag.g_02689	Pras.g_01239
OG0000108	Syag.g_01528	Pras.g_01358
OG0000109	Syag.g_01512	Pras.g_01372
OG0000110	Syag.g_00303	Pras.g_01451
OG0000111	Syag.g_00984	Pras.g_01575
OG0000112	Syag.g_00801	Pras.g_01665
OG0000113	Syag.g_00699	Pras.g_01723
OG0000114	Syag.g_00609	Pras.g_01801
OG0000115	Syag.g_01397	Pras.g_01994
OG0000116	Syag.g_01156	Pras.g_00046
OG0000117	Syag.g_01097	Pras.g_00150
OG0000118	Syag.g_01232	Pras.g_00221, Pras.g_00222
OG0000120	Syag.g_02535	Pras.g_00273, Pras.g_00272, Pras.g_00271, Pras.g_00330
OG0000121	Syag.g_01414	Pras.g_00352
OG0000122	Syag.g_00446	Pras.g_00391
OG0000123	Syag.g_02781	Pras.g_00694
OG0000124	Syag.g_02367, Syag.g_02485	Pras.g_00759
OG0000125	Syag.g_02136, Syag.g_02134	Pras.g_00797
OG0000126	Syag.g_02266	Pras.g_00837
OG0000128	Syag.g_02284	Pras.g_00853
OG0000129	Syag.g_02121	Pras.g_00897
OG0000130	Syag.g_01819	Pras.g_00921
OG0000131	Syag.g_01951	Pras.g_00996
OG0000132	Syag.g_01972	Pras.g_01015
OG0000133	Syag.g_00806	Pras.g_01174
OG0000134	Syag.g_00008	Pras.g_01210
OG0000135	Syag.g_02171	Pras.g_01236
OG0000136	Syag.g_00038	Pras.g_01319
OG0000137	Syag.g_01356	Pras.g_01353
OG0000138	Syag.g_01511	Pras.g_01373
OG0000139	Syag.g_01448	Pras.g_01414
OG0000140	Syag.g_01446	Pras.g_01415
OG0000141	Syag.g_00351	Pras.g_01483
OG0000142	Syag.g_00410	Pras.g_01511
OG0000143	Syag.g_00414	Pras.g_01515
OG0000144	Syag.g_00493	Pras.g_01528
OG0000145	Syag.g_01504	Pras.g_01664
OG0000146	Syag.g_00800	Pras.g_01666
OG0000147	Syag.g_00799	Pras.g_01667
OG0000148	Syag.g_00693	Pras.g_01717
OG0000149	Syag.g_00731	Pras.g_01747
OG0000150	Syag.g_00352	Pras.g_01755
OG0000151	Syag.g_00623	Pras.g_01811
OG0000152	Syag.g_00810	Pras.g_01859
OG0000153	Syag.g_00845	Pras.g_01878
OG0000154	Syag.g_00870	Pras.g_01908
OG0000155	Syag.g_01107	Pras.g_00076
OG0000156	Syag.g_01166	Pras.g_00197
OG0000157	Syag.g_01167	Pras.g_00198
OG0000158	Syag.g_02422	Pras.g_00289
OG0000160	Syag.g_01415	Pras.g_00351
OG0000161	Syag.g_01409	Pras.g_00357
OG0000162	Syag.g_01402	Pras.g_00363
OG0000163	Syag.g_00706, Syag.g_01618	Pras.g_00399
OG0000164	Syag.g_01725	Pras.g_00574
OG0000165	Syag.g_01733	Pras.g_00581
OG0000166	Syag.g_02733	Pras.g_00651
OG0000167	Syag.g_02437	Pras.g_00717
OG0000168	Syag.g_02417	Pras.g_00727
OG0000169	Syag.g_02405	Pras.g_00737
OG0000170	Syag.g_02398	Pras.g_00739
OG0000171	Syag.g_02368	Pras.g_00758
OG0000172	Syag.g_02360	Pras.g_00768
OG0000173	Syag.g_02337	Pras.g_00783
OG0000174	Syag.g_02175	Pras.g_00811, Pras.g_00810
OG0000175	Syag.g_02240	Pras.g_00821
OG0000176	Syag.g_02276	Pras.g_00846
OG0000177	Syag.g_02277	Pras.g_00847
OG0000178	Syag.g_02278	Pras.g_00848
OG0000179	Syag.g_02293	Pras.g_00858
OG0000180	Syag.g_02294	Pras.g_00859
OG0000181	Syag.g_02295	Pras.g_00860
OG0000182	Syag.g_02296	Pras.g_00861
OG0000183	Syag.g_02300	Pras.g_00865
