Orthogroup	Syag	Prar
OG0000001	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prar.g_00926
OG0000004	Syag.g_00988	Prar.g_01525
OG0000004	Syag.g_00370, Syag.g_01790	Prar.g_00095
OG0000005	Syag.g_01708	Prar.g_01130
OG0000005	Syag.g_01667	Prar.g_00771
OG0000006	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687	Prar.g_00086
OG0000007	Syag.g_01507	Prar.g_01328
OG0000007	Syag.g_01687	Prar.g_01143
OG0000008	Syag.g_00496	Prar.g_01185
OG0000009	Syag.g_00220, Syag.g_00231	Prar.g_00737
OG0000009	Syag.g_01883	Prar.g_00223
OG0000010	Syag.g_01355	Prar.g_01567, Prar.g_01912
OG0000011	Syag.g_01299	Prar.g_00988
OG0000012	Syag.g_00377, Syag.g_00995, Syag.g_00686, Syag.g_01105	Prar.g_01453
OG0000013	Syag.g_02811, Syag.g_02820, Syag.g_02806	Prar.g_00260
OG0000014	Syag.g_02559	Prar.g_00281
OG0000015	Syag.g_02252, Syag.g_00596	Prar.g_01179
OG0000016	Syag.g_02286	Prar.g_00025
OG0000017	Syag.g_00336, Syag.g_00344	Prar.g_01428
OG0000018	Syag.g_01387	Prar.g_01282
OG0000019	Syag.g_02663	Prar.g_00078, Prar.g_01663
OG0000020	Syag.g_00085	Prar.g_01315, Prar.g_01187, Prar.g_01007, Prar.g_01155, Prar.g_01561
OG0000021	Syag.g_00229	Prar.g_00425
OG0000022	Syag.g_00458	Prar.g_01300
OG0000023	Syag.g_00261, Syag.g_00234	Prar.g_00420
OG0000024	Syag.g_00455	Prar.g_01634, Prar.g_01505
OG0000025	Syag.g_00718	Prar.g_00256, Prar.g_01718
OG0000026	Syag.g_02309	Prar.g_00007, Prar.g_01919
OG0000027	Syag.g_00950, Syag.g_00165	Prar.g_00520
OG0000028	Syag.g_02540	Prar.g_00985, Prar.g_00267
OG0000029	Syag.g_00195	Prar.g_00436
OG0000030	Syag.g_02375, Syag.g_02374	Prar.g_00662
OG0000031	Syag.g_02510, Syag.g_02486	Prar.g_00879
