Orthogroup	Syag	Prac
OG0000001	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prac.g_00202
OG0000004	Syag.g_00988	Prac.g_00676
OG0000004	Syag.g_00370, Syag.g_01790	Prac.g_01698
OG0000005	Syag.g_01708	Prac.g_00612
OG0000005	Syag.g_01667	Prac.g_00335
OG0000006	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687	Prac.g_01689
OG0000007	Syag.g_01507	Prac.g_00874
OG0000007	Syag.g_01687	Prac.g_00625
OG0000008	Syag.g_00496	Prac.g_00904
OG0000009	Syag.g_00220, Syag.g_00231	Prac.g_00301
OG0000009	Syag.g_01883	Prac.g_01826
OG0000010	Syag.g_01355	Prac.g_01592, Prac.g_01248
OG0000011	Syag.g_01299	Prac.g_00142
OG0000012	Syag.g_00377, Syag.g_00995, Syag.g_00686, Syag.g_01105	Prac.g_00748
OG0000013	Syag.g_02811, Syag.g_02820, Syag.g_02806	Prac.g_01604
OG0000014	Syag.g_02559	Prac.g_01625
OG0000015	Syag.g_02252, Syag.g_00596	Prac.g_00898
OG0000016	Syag.g_02286	Prac.g_01934
OG0000017	Syag.g_00336, Syag.g_00344	Prac.g_00773
OG0000018	Syag.g_01387	Prac.g_01004
OG0000019	Syag.g_02663	Prac.g_01681, Prac.g_01496
OG0000020	Syag.g_00085	Prac.g_01037, Prac.g_00906, Prac.g_00875, Prac.g_01598
OG0000021	Syag.g_00229	Prac.g_01169
OG0000022	Syag.g_00458	Prac.g_01022
OG0000023	Syag.g_00261, Syag.g_00234	Prac.g_01174
OG0000024	Syag.g_00455	Prac.g_01525, Prac.g_00696
OG0000025	Syag.g_00718	Prac.g_01600, Prac.g_01441
OG0000026	Syag.g_02309	Prac.g_01916, Prac.g_01241
OG0000027	Syag.g_00950, Syag.g_00165	Prac.g_01074
OG0000028	Syag.g_02540	Prac.g_00145, Prac.g_01611
OG0000029	Syag.g_00195	Prac.g_01158
OG0000030	Syag.g_02375, Syag.g_02374	Prac.g_00050
OG0000031	Syag.g_02510, Syag.g_02486	Prac.g_00249
OG0000032	Syag.g_02480	Prac.g_00242
OG0000034	Syag.g_01225, Syag.g_01947	Prac.g_00185
OG0000035	Syag.g_01420, Syag.g_01421	Prac.g_00411
OG0000037	Syag.g_00173	Prac.g_01822
OG0000038	Syag.g_02130, Syag.g_02132	Prac.g_00090
OG0000039	Syag.g_01325, Syag.g_02155	Prac.g_00685
OG0000040	Syag.g_02215	Prac.g_01005
OG0000041	Syag.g_01750, Syag.g_00962	Prac.g_00579
OG0000042	Syag.g_01094, Syag.g_02378	Prac.g_00048
OG0000044	Syag.g_00945	Prac.g_00892
OG0000045	Syag.g_00223	Prac.g_01162
OG0000045	Syag.g_00225	Prac.g_01576
OG0000047	Syag.g_00768	Prac.g_01601, Prac.g_01127
OG0000048	Syag.g_02611	Prac.g_01159
OG0000053	Syag.g_01391	Prac.g_01901, Prac.g_00391
OG0000054	Syag.g_00350	Prac.g_00765
OG0000055	Syag.g_01799, Syag.g_00946	Prac.g_01495
OG0000057	Syag.g_00985	Prac.g_00673
OG0000059	Syag.g_02721	Prac.g_00500
OG0000061	Syag.g_01141	Prac.g_00985
OG0000062	Syag.g_01669	Prac.g_00333
OG0000063	Syag.g_02313	Prac.g_01913, Prac.g_01914, Prac.g_00908
OG0000065	Syag.g_01885, Syag.g_00182	Prac.g_01824
OG0000066	Syag.g_01443	Prac.g_00833
OG0000067	Syag.g_00667	Prac.g_01475
OG0000068	Syag.g_01537	Prac.g_00217
OG0000070	Syag.g_00049	Prac.g_01097
OG0000071	Syag.g_01192	Prac.g_00175
OG0000072	Syag.g_01980, Syag.g_02859	Prac.g_01759
