Orthogroup	Syag	Prau
OG0000001	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prau.g_01394
OG0000004	Syag.g_00988	Prau.g_00735
OG0000004	Syag.g_00370, Syag.g_01790	Prau.g_00233
OG0000005	Syag.g_01708	Prau.g_01745
OG0000005	Syag.g_01667	Prau.g_01607
OG0000006	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687	Prau.g_01316
OG0000007	Syag.g_01507	Prau.g_00538
OG0000007	Syag.g_01687	Prau.g_01732
OG0000008	Syag.g_00496	Prau.g_00781
OG0000009	Syag.g_00220, Syag.g_00231	Prau.g_01324, Prau.g_01641
OG0000009	Syag.g_01883	Prau.g_00106
OG0000010	Syag.g_01355	Prau.g_01698, Prau.g_01096
OG0000011	Syag.g_01299	Prau.g_01307, Prau.g_01335
OG0000012	Syag.g_00377, Syag.g_00995, Syag.g_00686, Syag.g_01105	Prau.g_00663
OG0000013	Syag.g_02811, Syag.g_02820, Syag.g_02806	Prau.g_00329
OG0000014	Syag.g_02559	Prau.g_00308
OG0000014	Syag.g_02487	Prau.g_01470
OG0000015	Syag.g_02252, Syag.g_00596	Prau.g_00817
OG0000016	Syag.g_02286	Prau.g_00013
OG0000017	Syag.g_00336, Syag.g_00344	Prau.g_00636
OG0000018	Syag.g_01387	Prau.g_01188
OG0000019	Syag.g_02663	Prau.g_00251, Prau.g_00834
OG0000020	Syag.g_00085	Prau.g_01153, Prau.g_01704
OG0000021	Syag.g_00229	Prau.g_01680, Prau.g_00367
OG0000022	Syag.g_00458	Prau.g_01170
OG0000023	Syag.g_00261, Syag.g_00234	Prau.g_00362
OG0000024	Syag.g_00455	Prau.g_00796, Prau.g_00715
OG0000025	Syag.g_00718	Prau.g_00333, Prau.g_00888
OG0000026	Syag.g_02309	Prau.g_00030, Prau.g_01103
OG0000027	Syag.g_00950, Syag.g_00165	Prau.g_01353
OG0000028	Syag.g_02540	Prau.g_01338, Prau.g_00322
OG0000029	Syag.g_00195	Prau.g_00804, Prau.g_00378
OG0000030	Syag.g_02375, Syag.g_02374	Prau.g_01935
OG0000031	Syag.g_02486	Prau.g_01469
OG0000032	Syag.g_02480	Prau.g_01475, Prau.g_01446
OG0000033	Syag.g_01978	Prau.g_01465
OG0000034	Syag.g_01225, Syag.g_01947	Prau.g_01381
OG0000035	Syag.g_01420, Syag.g_01421	Prau.g_01531, Prau.g_01528
OG0000037	Syag.g_00173	Prau.g_00110
OG0000038	Syag.g_02130, Syag.g_02132	Prau.g_01976
OG0000039	Syag.g_01325, Syag.g_02155	Prau.g_00726
OG0000040	Syag.g_02215	Prau.g_01187
OG0000041	Syag.g_01750, Syag.g_00962	Prau.g_01778
OG0000042	Syag.g_01094, Syag.g_02378	Prau.g_01932
OG0000043	Syag.g_00564	Prau.g_01321
OG0000045	Syag.g_00223	Prau.g_00374
OG0000045	Syag.g_00225	Prau.g_01682
OG0000047	Syag.g_00768	Prau.g_00332, Prau.g_00414
OG0000048	Syag.g_02611	Prau.g_00377
OG0000051	Syag.g_01026	Prau.g_01347
OG0000052	Syag.g_02491	Prau.g_01489
OG0000053	Syag.g_01391	Prau.g_00040, Prau.g_01551
OG0000054	Syag.g_00350	Prau.g_00644
OG0000055	Syag.g_01799, Syag.g_00946	Prau.g_00835
OG0000057	Syag.g_00985	Prau.g_00738
OG0000059	Syag.g_02721	Prau.g_01818
OG0000061	Syag.g_01141	Prau.g_01206
OG0000062	Syag.g_01669	Prau.g_01609
OG0000063	Syag.g_02313	Prau.g_00032, Prau.g_01295
OG0000065	Syag.g_01885, Syag.g_00182	Prau.g_00108
OG0000066	Syag.g_01443	Prau.g_00579
OG0000067	Syag.g_00667	Prau.g_00854
OG0000068	Syag.g_01537	Prau.g_01409
OG0000070	Syag.g_00049	Prau.g_00491
OG0000071	Syag.g_01192	Prau.g_01371
OG0000072	Syag.g_01980, Syag.g_02859	Prau.g_00172
OG0000073	Syag.g_01505	Prau.g_00540
OG0000075	Syag.g_02434	Prau.g_01901
OG0000076	Syag.g_02393	Prau.g_00037, Prau.g_01925
OG0000077	Syag.g_01831	Prau.g_00079
OG0000078	Syag.g_01778	Prau.g_00240
OG0000079	Syag.g_02659, Syag.g_02652	Prau.g_00254
OG0000080	Syag.g_02499	Prau.g_01440
OG0000081	Syag.g_00167	Prau.g_00571
OG0000082	Syag.g_00318	Prau.g_00624
OG0000084	Syag.g_00212, Syag.g_01425	Prau.g_01524
OG0000085	Syag.g_01676	Prau.g_01725
OG0000086	Syag.g_01853	Prau.g_00089
OG0000087	Syag.g_01939	Prau.g_00140
OG0000088	Syag.g_01974	Prau.g_00167
OG0000089	Syag.g_00005	Prau.g_00358
OG0000090	Syag.g_01454	Prau.g_00573
OG0000091	Syag.g_00418	Prau.g_00682
OG0000092	Syag.g_00242	Prau.g_00052, Prau.g_00451
OG0000093	Syag.g_00649	Prau.g_00983
OG0000094	Syag.g_00881	Prau.g_01070
OG0000095	Syag.g_00974	Prau.g_01089
OG0000097	Syag.g_01065	Prau.g_01247
OG0000098	Syag.g_00578, Syag.g_01445	Prau.g_01391
OG0000099	Syag.g_02536	Prau.g_01435
OG0000100	Syag.g_00704	Prau.g_01605
OG0000101	Syag.g_02773	Prau.g_01869
OG0000102	Syag.g_02387	Prau.g_01930
OG0000103	Syag.g_02253	Prau.g_02009
OG0000104	Syag.g_02268	Prau.g_02018
OG0000105	Syag.g_02606	Prau.g_00276
OG0000106	Syag.g_00462	Prau.g_00373
OG0000107	Syag.g_02689	Prau.g_00389
OG0000108	Syag.g_01528	Prau.g_00521
OG0000109	Syag.g_01512	Prau.g_00535
OG0000110	Syag.g_00303	Prau.g_00614
OG0000111	Syag.g_00984	Prau.g_00739
OG0000112	Syag.g_00801	Prau.g_00818
OG0000113	Syag.g_00699	Prau.g_00876
OG0000114	Syag.g_00609	Prau.g_00956
OG0000115	Syag.g_01397	Prau.g_01148
OG0000116	Syag.g_01156	Prau.g_01197
OG0000117	Syag.g_01097	Prau.g_01318
OG0000118	Syag.g_01232	Prau.g_01383
OG0000120	Syag.g_02535	Prau.g_01430
OG0000121	Syag.g_01414	Prau.g_01533
OG0000122	Syag.g_00446	Prau.g_01571
OG0000123	Syag.g_02781	Prau.g_01876
OG0000124	Syag.g_02367, Syag.g_02485	Prau.g_01941
OG0000125	Syag.g_02136, Syag.g_02134	Prau.g_01978
OG0000126	Syag.g_02266	Prau.g_02017
OG0000128	Syag.g_02284	Prau.g_00011
OG0000129	Syag.g_02121	Prau.g_00051
OG0000130	Syag.g_01819	Prau.g_00071
OG0000131	Syag.g_01951	Prau.g_00146
OG0000132	Syag.g_01972	Prau.g_00165
OG0000133	Syag.g_00806	Prau.g_00324
OG0000134	Syag.g_00008	Prau.g_00359
OG0000135	Syag.g_02171	Prau.g_00386
OG0000136	Syag.g_00038	Prau.g_00482
OG0000137	Syag.g_01356	Prau.g_00516
OG0000138	Syag.g_01511	Prau.g_00536
OG0000139	Syag.g_01448	Prau.g_00577
OG0000140	Syag.g_01446	Prau.g_00578
OG0000141	Syag.g_00351	Prau.g_00645
OG0000142	Syag.g_00410	Prau.g_00675
OG0000143	Syag.g_00414	Prau.g_00679
OG0000144	Syag.g_00493	Prau.g_00692
OG0000145	Syag.g_01504	Prau.g_00816
OG0000146	Syag.g_00800	Prau.g_00819
OG0000147	Syag.g_00799	Prau.g_00820
OG0000148	Syag.g_00693	Prau.g_00870
OG0000149	Syag.g_00731	Prau.g_00900
OG0000150	Syag.g_00352	Prau.g_00909
OG0000151	Syag.g_00623	Prau.g_00966
OG0000152	Syag.g_00810	Prau.g_01015
OG0000153	Syag.g_00845	Prau.g_01034
OG0000154	Syag.g_00870	Prau.g_01063
OG0000155	Syag.g_01107	Prau.g_01226
OG0000156	Syag.g_01166	Prau.g_01359
OG0000157	Syag.g_01167	Prau.g_01360
OG0000158	Syag.g_02422	Prau.g_01436
OG0000160	Syag.g_01415	Prau.g_01532
OG0000161	Syag.g_01409	Prau.g_01538
OG0000162	Syag.g_01402	Prau.g_01544
OG0000163	Syag.g_00706, Syag.g_01618	Prau.g_01578
OG0000164	Syag.g_01725	Prau.g_01756
OG0000165	Syag.g_01733	Prau.g_01763
OG0000166	Syag.g_02733	Prau.g_01833
OG0000167	Syag.g_02437	Prau.g_01899
OG0000168	Syag.g_02417	Prau.g_01909
OG0000169	Syag.g_02405	Prau.g_01919
OG0000170	Syag.g_02398	Prau.g_01921
OG0000171	Syag.g_02368	Prau.g_01940
OG0000172	Syag.g_02360	Prau.g_01949
OG0000173	Syag.g_02337	Prau.g_01964
OG0000174	Syag.g_02175	Prau.g_01991
OG0000175	Syag.g_02240	Prau.g_02001
OG0000176	Syag.g_02276	Prau.g_00004
OG0000177	Syag.g_02277	Prau.g_00005
OG0000178	Syag.g_02278	Prau.g_00006
OG0000179	Syag.g_02293	Prau.g_00016
OG0000180	Syag.g_02294	Prau.g_00017
OG0000181	Syag.g_02295	Prau.g_00018
OG0000182	Syag.g_02296	Prau.g_00019
OG0000183	Syag.g_02300	Prau.g_00023
OG0000184	Syag.g_02110	Prau.g_00054
OG0000185	Syag.g_02092	Prau.g_00057
OG0000186	Syag.g_01815	Prau.g_00066
OG0000187	Syag.g_01816	Prau.g_00067
OG0000188	Syag.g_01839	Prau.g_00083
OG0000189	Syag.g_01872	Prau.g_00097
OG0000190	Syag.g_01874	Prau.g_00098
OG0000191	Syag.g_01909	Prau.g_00118
OG0000192	Syag.g_01915	Prau.g_00122
OG0000193	Syag.g_01952	Prau.g_00147
OG0000194	Syag.g_01955	Prau.g_00150
OG0000195	Syag.g_01957	Prau.g_00152
OG0000196	Syag.g_01968	Prau.g_00162
OG0000197	Syag.g_01969	Prau.g_00163
OG0000198	Syag.g_00108, Syag.g_01971	Prau.g_00164
OG0000199	Syag.g_01979	Prau.g_00171
OG0000200	Syag.g_01996	Prau.g_00185
OG0000201	Syag.g_02019, Syag.g_02023	Prau.g_00193
OG0000202	Syag.g_02024	Prau.g_00194
OG0000203	Syag.g_02025	Prau.g_00195
OG0000204	Syag.g_02020, Syag.g_02026	Prau.g_00196
OG0000205	Syag.g_02035	Prau.g_00203
OG0000206	Syag.g_02047	Prau.g_00208
OG0000207	Syag.g_02051	Prau.g_00210
OG0000208	Syag.g_02052	Prau.g_00211
OG0000209	Syag.g_02069	Prau.g_00220
OG0000210	Syag.g_02070	Prau.g_00221
OG0000211	Syag.g_01788	Prau.g_00234
OG0000212	Syag.g_01777	Prau.g_00241
OG0000213	Syag.g_02632	Prau.g_00259
OG0000214	Syag.g_02615	Prau.g_00269
OG0000215	Syag.g_02584	Prau.g_00294
OG0000216	Syag.g_02580	Prau.g_00296
OG0000217	Syag.g_02576	Prau.g_00299
OG0000218	Syag.g_02574	Prau.g_00301
OG0000219	Syag.g_02573	Prau.g_00302
OG0000220	Syag.g_02572	Prau.g_00303
OG0000221	Syag.g_02566	Prau.g_00304
OG0000222	Syag.g_02550	Prau.g_00312
OG0000223	Syag.g_02475	Prau.g_00325
OG0000224	Syag.g_02471	Prau.g_00327
OG0000225	Syag.g_02861	Prau.g_00348
OG0000226	Syag.g_02865	Prau.g_00352
OG0000227	Syag.g_02867	Prau.g_00354
OG0000228	Syag.g_00004	Prau.g_00357
OG0000229	Syag.g_00033	Prau.g_00477
OG0000230	Syag.g_00035	Prau.g_00479
OG0000231	Syag.g_00048	Prau.g_00490
OG0000232	Syag.g_00059	Prau.g_00499
OG0000233	Syag.g_01330	Prau.g_00505
OG0000234	Syag.g_01358	Prau.g_00517
OG0000235	Syag.g_01529	Prau.g_00520
OG0000236	Syag.g_01513	Prau.g_00534
OG0000237	Syag.g_01495	Prau.g_00547
OG0000238	Syag.g_01490	Prau.g_00553
OG0000239	Syag.g_01472	Prau.g_00565
OG0000240	Syag.g_01471	Prau.g_00566
OG0000241	Syag.g_00396	Prau.g_00570
OG0000242	Syag.g_01456	Prau.g_00572
OG0000243	Syag.g_00255	Prau.g_00583
OG0000244	Syag.g_00268	Prau.g_00586
OG0000245	Syag.g_00270	Prau.g_00588
OG0000246	Syag.g_00274	Prau.g_00592
OG0000247	Syag.g_00286	Prau.g_00602
OG0000248	Syag.g_00289	Prau.g_00604
OG0000249	Syag.g_00291	Prau.g_00606
OG0000250	Syag.g_00299	Prau.g_00611
OG0000251	Syag.g_00328	Prau.g_00629
OG0000252	Syag.g_00331	Prau.g_00632
OG0000253	Syag.g_00333	Prau.g_00633
OG0000254	Syag.g_00356	Prau.g_00649
OG0000255	Syag.g_00369	Prau.g_00655
OG0000256	Syag.g_00385	Prau.g_00667
OG0000257	Syag.g_00395	Prau.g_00670
OG0000258	Syag.g_00423	Prau.g_00683
OG0000259	Syag.g_00560	Prau.g_00700
OG0000260	Syag.g_00570	Prau.g_00703
OG0000261	Syag.g_00581	Prau.g_00705
OG0000262	Syag.g_00586	Prau.g_00709
OG0000263	Syag.g_01079	Prau.g_00721
OG0000264	Syag.g_01011	Prau.g_00731
OG0000265	Syag.g_01021	Prau.g_00755
OG0000266	Syag.g_00907	Prau.g_00765
OG0000267	Syag.g_00762	Prau.g_00776
OG0000268	Syag.g_00763	Prau.g_00777
OG0000269	Syag.g_00662	Prau.g_00849
OG0000270	Syag.g_00665	Prau.g_00852
OG0000271	Syag.g_00673	Prau.g_00860
OG0000273	Syag.g_00713	Prau.g_00884
OG0000274	Syag.g_00714	Prau.g_00885
OG0000275	Syag.g_00717	Prau.g_00887
OG0000276	Syag.g_00723	Prau.g_00892
OG0000277	Syag.g_00724	Prau.g_00893
OG0000278	Syag.g_00727	Prau.g_00896
OG0000279	Syag.g_00735	Prau.g_00904
OG0000280	Syag.g_00741	Prau.g_00905
OG0000281	Syag.g_00572	Prau.g_00910
OG0000282	Syag.g_00611	Prau.g_00958
OG0000283	Syag.g_00775	Prau.g_00992
OG0000284	Syag.g_00780	Prau.g_00997
OG0000285	Syag.g_00791	Prau.g_01002
OG0000286	Syag.g_00809	Prau.g_01014
OG0000287	Syag.g_00838	Prau.g_01031
OG0000288	Syag.g_00869	Prau.g_01062
OG0000289	Syag.g_00884	Prau.g_01073
OG0000290	Syag.g_00970	Prau.g_01086
OG0000291	Syag.g_00972	Prau.g_01088
OG0000292	Syag.g_02265	Prau.g_01136
OG0000293	Syag.g_01155	Prau.g_01198
OG0000294	Syag.g_01154	Prau.g_01199
OG0000295	Syag.g_01115	Prau.g_01218
OG0000296	Syag.g_01113	Prau.g_01220
OG0000297	Syag.g_01099	Prau.g_01228
OG0000298	Syag.g_01098	Prau.g_01229
OG0000299	Syag.g_01067	Prau.g_01246
