Orthogroup	Syag	Syab
OG0000001	Syag.g_00575	Syab.g_01549
OG0000001	Syag.g_01943	Syab.g_02553, Syab.g_02555
OG0000001	Syag.g_00520	Syab.g_01509, Syab.g_01510
OG0000003	Syag.g_02658	Syab.g_01580
OG0000004	Syag.g_00988	Syab.g_01193
OG0000004	Syag.g_00370	Syab.g_01911
OG0000004	Syag.g_01790	Syab.g_02377
OG0000005	Syag.g_01708	Syab.g_02289
OG0000005	Syag.g_01667	Syab.g_02232
OG0000006	Syag.g_00435	Syab.g_01849
OG0000006	Syag.g_01772, Syag.g_02678, Syag.g_02687	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Syag.g_01507	Syab.g_02117
OG0000007	Syag.g_01687	Syab.g_02256
OG0000008	Syag.g_00496	Syab.g_01755
OG0000008	Syag.g_01017	Syab.g_01168
OG0000009	Syag.g_00220, Syag.g_00231	Syab.g_00995
OG0000009	Syag.g_01883	Syab.g_02498
OG0000010	Syag.g_01355	Syab.g_00696
OG0000011	Syag.g_01299	Syab.g_01491, Syab.g_01083
OG0000012	Syag.g_00995, Syag.g_00686, Syag.g_01105	Syab.g_01774
OG0000013	Syag.g_02811	Syab.g_00487
OG0000013	Syag.g_02820	Syab.g_00497
OG0000013	Syag.g_02806	Syab.g_00482
OG0000014	Syag.g_02559	Syab.g_00249
OG0000014	Syag.g_02487	Syab.g_00178
OG0000015	Syag.g_02252	Syab.g_02889
OG0000016	Syag.g_02286	Syab.g_00014
OG0000016	Syag.g_01066	Syab.g_01049
OG0000017	Syag.g_00336	Syab.g_01953
OG0000017	Syag.g_00344	Syab.g_01945
OG0000018	Syag.g_01387	Syab.g_00742
OG0000019	Syag.g_02663	Syab.g_00344
OG0000020	Syag.g_00085	Syab.g_02230
OG0000022	Syag.g_00458	Syab.g_01825
OG0000023	Syag.g_00261	Syab.g_02058
OG0000023	Syag.g_00234	Syab.g_01294
OG0000024	Syag.g_00455	Syab.g_01834
OG0000025	Syag.g_00718	Syab.g_01705
OG0000026	Syag.g_02309	Syab.g_00036
OG0000027	Syag.g_00165	Syab.g_01782
OG0000028	Syag.g_02540	Syab.g_00234
OG0000030	Syag.g_02375	Syab.g_00096
OG0000030	Syag.g_02374	Syab.g_00095
OG0000031	Syag.g_02510	Syab.g_00160
OG0000032	Syag.g_01366	Syab.g_00724
OG0000032	Syag.g_02480	Syab.g_00149
OG0000033	Syag.g_01978	Syab.g_02590
OG0000034	Syag.g_01225, Syag.g_01947	Syab.g_00900, Syab.g_02560
OG0000035	Syag.g_01421	Syab.g_00778
OG0000036	Syag.g_00928	Syab.g_00846
OG0000036	Syag.g_01031, Syag.g_00063	Syab.g_00839
OG0000036	Syag.g_01274	Syab.g_01108, Syab.g_01109, Syab.g_02412, Syab.g_01247
OG0000038	Syag.g_02130	Syab.g_02759
OG0000038	Syag.g_02132	Syab.g_02761
OG0000039	Syag.g_02155	Syab.g_02791
OG0000040	Syag.g_02215	Syab.g_02853
OG0000042	Syag.g_01094, Syag.g_02378	Syab.g_01019, Syab.g_00099
OG0000043	Syag.g_00564	Syab.g_02802, Syab.g_01785, Syab.g_01539
OG0000044	Syag.g_00945	Syab.g_01256
OG0000045	Syag.g_00223	Syab.g_01787
OG0000045	Syag.g_00225	Syab.g_00871
OG0000046	Syag.g_02812	Syab.g_00488
OG0000046	Syag.g_02819	Syab.g_00496
OG0000046	Syag.g_02805	Syab.g_00481
OG0000047	Syag.g_00768	Syab.g_00876
OG0000048	Syag.g_02611	Syab.g_00308
OG0000051	Syag.g_00214	Syab.g_02216
OG0000052	Syag.g_02451	Syab.g_00214
OG0000053	Syag.g_01391	Syab.g_00746
OG0000054	Syag.g_00350	Syab.g_01932
OG0000055	Syag.g_00946	Syab.g_01255
OG0000057	Syag.g_00985	Syab.g_01200
OG0000058	Syag.g_02477	Syab.g_00227
OG0000059	Syag.g_02721	Syab.g_00397
OG0000060	Syag.g_01338	Syab.g_00662
OG0000060	Syag.g_01530	Syab.g_02094
OG0000060	Syag.g_02045	Syab.g_00707
OG0000061	Syag.g_01141	Syab.g_00969
OG0000062	Syag.g_01669	Syab.g_02234
OG0000063	Syag.g_02313	Syab.g_00040
OG0000064	Syag.g_00076	Syab.g_00824
OG0000064	Syag.g_00487	Syab.g_01783
OG0000064	Syag.g_01589	Syab.g_00997
OG0000065	Syag.g_01885	Syab.g_02500
OG0000065	Syag.g_00182	Syab.g_01768
OG0000066	Syag.g_01443	Syab.g_02031
OG0000067	Syag.g_00667	Syab.g_01659
OG0000068	Syag.g_01537	Syab.g_02087
OG0000070	Syag.g_00049	Syab.g_00614
OG0000071	Syag.g_01192	Syab.g_00915
OG0000072	Syag.g_01980	Syab.g_02593
OG0000073	Syag.g_01505	Syab.g_02119
OG0000075	Syag.g_02434	Syab.g_00202
OG0000076	Syag.g_02393	Syab.g_00113
OG0000077	Syag.g_01831	Syab.g_02446
OG0000078	Syag.g_01778	Syab.g_02366
OG0000079	Syag.g_02659, Syag.g_02652	Syab.g_00340
OG0000081	Syag.g_00167	Syab.g_01793
OG0000082	Syag.g_00318	Syab.g_01971
OG0000084	Syag.g_00212, Syag.g_01425	Syab.g_00781
OG0000085	Syag.g_01676	Syab.g_02243
OG0000086	Syag.g_01853	Syab.g_02468
OG0000087	Syag.g_01939	Syab.g_02551
OG0000088	Syag.g_01974	Syab.g_02586
OG0000089	Syag.g_00005	Syab.g_00551
OG0000090	Syag.g_01454	Syab.g_02041
OG0000091	Syag.g_00418	Syab.g_01866
OG0000092	Syag.g_00242	Syab.g_01242, Syab.g_00690
OG0000093	Syag.g_00649	Syab.g_01582
OG0000094	Syag.g_00881	Syab.g_01306
OG0000095	Syag.g_00974	Syab.g_01210
OG0000097	Syag.g_01065	Syab.g_01051
OG0000098	Syag.g_00578	Syab.g_01553
OG0000099	Syag.g_02536	Syab.g_00230
OG0000100	Syag.g_00704	Syab.g_01694
OG0000101	Syag.g_02773	Syab.g_00446
OG0000102	Syag.g_02387	Syab.g_00104
OG0000103	Syag.g_02253	Syab.g_02895, Syab.g_01296
OG0000104	Syag.g_02268	Syab.g_02910
OG0000105	Syag.g_02606	Syab.g_00303
OG0000106	Syag.g_00462	Syab.g_01817
OG0000107	Syag.g_02689	Syab.g_00367
OG0000108	Syag.g_01528	Syab.g_02096
OG0000109	Syag.g_01512	Syab.g_02112
OG0000110	Syag.g_00303	Syab.g_01984
OG0000111	Syag.g_00984	Syab.g_01201
OG0000112	Syag.g_00801	Syab.g_01392
OG0000113	Syag.g_00699	Syab.g_01689
OG0000114	Syag.g_00609	Syab.g_02656, Syab.g_01633
OG0000115	Syag.g_01397	Syab.g_00748
OG0000116	Syag.g_01156	Syab.g_00945
OG0000117	Syag.g_01097	Syab.g_01018
OG0000118	Syag.g_01232	Syab.g_00897
OG0000120	Syag.g_02535	Syab.g_00229
OG0000121	Syag.g_01414	Syab.g_00772
OG0000122	Syag.g_00446	Syab.g_01839
OG0000123	Syag.g_02781	Syab.g_00454
OG0000124	Syag.g_02367	Syab.g_00088
