Orthogroup	Syag	Prbi
OG0000001	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prbi.g_01424
OG0000004	Syag.g_00988	Prbi.g_00698
OG0000004	Syag.g_00370, Syag.g_01790	Prbi.g_00256
OG0000005	Syag.g_01708	Prbi.g_01800
OG0000005	Syag.g_01667	Prbi.g_01666
OG0000006	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687	Prbi.g_00265
OG0000007	Syag.g_01507	Prbi.g_00500
OG0000007	Syag.g_01687	Prbi.g_01787
OG0000008	Syag.g_00496	Prbi.g_01764
OG0000008	Syag.g_01017	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539
OG0000009	Syag.g_00220, Syag.g_00231	Prbi.g_01338, Prbi.g_01701
OG0000009	Syag.g_01883	Prbi.g_00112
OG0000010	Syag.g_01355	Prbi.g_01094
OG0000012	Syag.g_00377, Syag.g_00995, Syag.g_00686, Syag.g_01105	Prbi.g_00625
OG0000013	Syag.g_02811, Syag.g_02820, Syag.g_02806	Prbi.g_00351
OG0000014	Syag.g_02559	Prbi.g_00330
OG0000014	Syag.g_02487	Prbi.g_01475
OG0000015	Syag.g_02252, Syag.g_00596	Prbi.g_00810, Prbi.g_01304
OG0000016	Syag.g_02286	Prbi.g_00013
OG0000017	Syag.g_00336, Syag.g_00344	Prbi.g_00600
OG0000018	Syag.g_01387	Prbi.g_01188
OG0000019	Syag.g_02663	Prbi.g_00273, Prbi.g_00827
OG0000020	Syag.g_00085	Prbi.g_01153
OG0000021	Syag.g_00229	Prbi.g_01742, Prbi.g_00389
OG0000022	Syag.g_00458	Prbi.g_01170
OG0000023	Syag.g_00261, Syag.g_00234	Prbi.g_00384
OG0000024	Syag.g_00455	Prbi.g_00788, Prbi.g_00678
OG0000025	Syag.g_00718	Prbi.g_00355, Prbi.g_00882
OG0000026	Syag.g_02309	Prbi.g_00031, Prbi.g_01101
OG0000027	Syag.g_00950, Syag.g_00165	Prbi.g_00472, Prbi.g_01374
OG0000028	Syag.g_02540	Prbi.g_01319, Prbi.g_01768, Prbi.g_00344
OG0000029	Syag.g_00195	Prbi.g_00796, Prbi.g_00399
OG0000030	Syag.g_02375, Syag.g_02374	Prbi.g_02004
OG0000032	Syag.g_02480	Prbi.g_01497
OG0000034	Syag.g_01225, Syag.g_01947	Prbi.g_01401
OG0000035	Syag.g_01420, Syag.g_01421	Prbi.g_01589, Prbi.g_01591
OG0000037	Syag.g_00173	Prbi.g_00116
OG0000038	Syag.g_02130, Syag.g_02132	Prbi.g_02057
OG0000039	Syag.g_01325, Syag.g_02155	Prbi.g_00689
OG0000040	Syag.g_02215	Prbi.g_01187
OG0000041	Syag.g_01750, Syag.g_00962	Prbi.g_01833
OG0000042	Syag.g_01094, Syag.g_02378	Prbi.g_02001
OG0000043	Syag.g_00564	Prbi.g_01334
OG0000044	Syag.g_00945	Prbi.g_01744, Prbi.g_01760
OG0000045	Syag.g_00223	Prbi.g_00395
OG0000047	Syag.g_00768	Prbi.g_00354
OG0000048	Syag.g_02611	Prbi.g_00398
OG0000051	Syag.g_01026	Prbi.g_01364
OG0000052	Syag.g_02491	Prbi.g_01478
OG0000053	Syag.g_01391	Prbi.g_01611
OG0000054	Syag.g_00350	Prbi.g_00608
OG0000055	Syag.g_01799, Syag.g_00946	Prbi.g_00828
OG0000057	Syag.g_00985	Prbi.g_00702
OG0000059	Syag.g_02721	Prbi.g_01873
OG0000061	Syag.g_01141	Prbi.g_01207
OG0000062	Syag.g_01669	Prbi.g_01668
OG0000063	Syag.g_02313	Prbi.g_00033
OG0000065	Syag.g_01885, Syag.g_00182	Prbi.g_00114
OG0000066	Syag.g_01443	Prbi.g_00542
OG0000067	Syag.g_00667	Prbi.g_00847
OG0000068	Syag.g_01537	Prbi.g_01439
OG0000070	Syag.g_00049	Prbi.g_00451
OG0000071	Syag.g_01192	Prbi.g_01391
OG0000072	Syag.g_01980, Syag.g_02859	Prbi.g_00195
OG0000073	Syag.g_01505	Prbi.g_00502
OG0000075	Syag.g_02434	Prbi.g_01970
OG0000076	Syag.g_02393	Prbi.g_01994
OG0000077	Syag.g_01831	Prbi.g_00085
OG0000078	Syag.g_01778	Prbi.g_00263
OG0000079	Syag.g_02659, Syag.g_02652	Prbi.g_00276
OG0000080	Syag.g_02499	Prbi.g_01492
OG0000081	Syag.g_00167	Prbi.g_00534
OG0000082	Syag.g_00318	Prbi.g_00587
OG0000084	Syag.g_00212, Syag.g_01425	Prbi.g_01585
OG0000085	Syag.g_01676	Prbi.g_01780
OG0000086	Syag.g_01853	Prbi.g_00095
OG0000087	Syag.g_01939	Prbi.g_00147
OG0000088	Syag.g_01974	Prbi.g_00190
OG0000089	Syag.g_00005	Prbi.g_00380
OG0000090	Syag.g_01454	Prbi.g_00536
OG0000091	Syag.g_00418	Prbi.g_00645
OG0000093	Syag.g_00649	Prbi.g_00977
OG0000094	Syag.g_00881	Prbi.g_01067
OG0000095	Syag.g_00974	Prbi.g_01086
OG0000097	Syag.g_01065	Prbi.g_01248
OG0000098	Syag.g_00578, Syag.g_01445	Prbi.g_01421
OG0000099	Syag.g_02536	Prbi.g_01462
OG0000100	Syag.g_00704	Prbi.g_01664
OG0000101	Syag.g_02773	Prbi.g_01938
OG0000102	Syag.g_02387	Prbi.g_01999
OG0000103	Syag.g_02253	Prbi.g_02091
OG0000104	Syag.g_02268	Prbi.g_02099
OG0000105	Syag.g_02606	Prbi.g_00298
OG0000106	Syag.g_00462	Prbi.g_00394
OG0000107	Syag.g_02689	Prbi.g_00409
OG0000108	Syag.g_01528	Prbi.g_00483
OG0000109	Syag.g_01512	Prbi.g_00497
OG0000110	Syag.g_00303	Prbi.g_00577
OG0000111	Syag.g_00984	Prbi.g_00703
OG0000112	Syag.g_00801	Prbi.g_00811
OG0000113	Syag.g_00699	Prbi.g_00869
OG0000114	Syag.g_00609	Prbi.g_00951
OG0000115	Syag.g_01397	Prbi.g_01148
OG0000116	Syag.g_01156	Prbi.g_01197
OG0000117	Syag.g_01097	Prbi.g_01330
OG0000118	Syag.g_01232	Prbi.g_01403
OG0000120	Syag.g_02535	Prbi.g_01460
OG0000121	Syag.g_01414	Prbi.g_01593
OG0000122	Syag.g_00446	Prbi.g_01630
OG0000123	Syag.g_02781	Prbi.g_01945
OG0000124	Syag.g_02367, Syag.g_02485	Prbi.g_02010
OG0000125	Syag.g_02136, Syag.g_02134	Prbi.g_02059
OG0000126	Syag.g_02266	Prbi.g_02098
OG0000128	Syag.g_02284	Prbi.g_00011
OG0000129	Syag.g_02121	Prbi.g_00053
OG0000130	Syag.g_01819	Prbi.g_00076
OG0000131	Syag.g_01951	Prbi.g_00169
OG0000132	Syag.g_01972	Prbi.g_00188
OG0000133	Syag.g_00806	Prbi.g_00346
OG0000134	Syag.g_00008	Prbi.g_00381
OG0000135	Syag.g_02171	Prbi.g_00407
OG0000136	Syag.g_00038	Prbi.g_00442
OG0000137	Syag.g_01356	Prbi.g_00478
OG0000138	Syag.g_01511	Prbi.g_00498
OG0000139	Syag.g_01448	Prbi.g_00540
