Orthogroup	Syag	Syat
OG0000001	Syag.g_01942	Syat.g_02910, Syat.g_02911
OG0000001	Syag.g_01943	Syat.g_02908, Syat.g_02909
OG0000001	Syag.g_00520	Syat.g_01540
OG0000005	Syag.g_01708	Syat.g_03065
OG0000005	Syag.g_01667	Syat.g_03105
OG0000006	Syag.g_00435	Syat.g_00371
OG0000006	Syag.g_01772, Syag.g_02678, Syag.g_02687	Syat.g_01439, Syat.g_01865
OG0000007	Syag.g_01507	Syat.g_03191
OG0000007	Syag.g_01687	Syat.g_03124
OG0000008	Syag.g_00496	Syat.g_02626
OG0000008	Syag.g_01017	Syat.g_02627
OG0000009	Syag.g_01883	Syat.g_01567
OG0000010	Syag.g_01355	Syat.g_01372
OG0000012	Syag.g_00995, Syag.g_00686, Syag.g_01105	Syat.g_03313, Syat.g_02642, Syat.g_02987, Syat.g_00139, Syat.g_00143
OG0000013	Syag.g_02806	Syat.g_01027
OG0000014	Syag.g_02559	Syat.g_02104
OG0000014	Syag.g_02487	Syat.g_02250
OG0000016	Syag.g_02286	Syat.g_02329
OG0000016	Syag.g_01066	Syat.g_00909
OG0000018	Syag.g_01387	Syat.g_01334
OG0000019	Syag.g_02663	Syat.g_01876
OG0000021	Syag.g_00229	Syat.g_00964
OG0000022	Syag.g_00458	Syat.g_00210
OG0000024	Syag.g_00455	Syat.g_03394
OG0000025	Syag.g_00718	Syat.g_00719
OG0000026	Syag.g_02309	Syat.g_02306
OG0000027	Syag.g_00950, Syag.g_00165	Syat.g_00850
OG0000028	Syag.g_02540	Syat.g_02126
OG0000030	Syag.g_02375	Syat.g_00307
OG0000030	Syag.g_02374	Syat.g_00308
OG0000031	Syag.g_02510	Syat.g_02131
OG0000032	Syag.g_01366	Syat.g_01354
OG0000032	Syag.g_02480	Syat.g_02237
OG0000033	Syag.g_01978, Syag.g_02481	Syat.g_02858
OG0000034	Syag.g_01225, Syag.g_01947	Syat.g_01165, Syat.g_02902
OG0000038	Syag.g_02130	Syat.g_02688
OG0000038	Syag.g_02132	Syat.g_02686
OG0000039	Syag.g_01325, Syag.g_02155	Syat.g_01278
OG0000040	Syag.g_02215	Syat.g_02551
OG0000042	Syag.g_01094, Syag.g_02378	Syat.g_00223, Syat.g_02222
OG0000045	Syag.g_00225	Syat.g_00935
OG0000046	Syag.g_02805	Syat.g_01626, Syat.g_01026
OG0000048	Syag.g_02611	Syat.g_02046
OG0000052	Syag.g_02451	Syat.g_02140
OG0000053	Syag.g_01391	Syat.g_01330
OG0000054	Syag.g_00350	Syat.g_00987, Syat.g_03390
OG0000055	Syag.g_01799	Syat.g_00693
OG0000057	Syag.g_00985	Syat.g_00817, Syat.g_02055
OG0000058	Syag.g_02477	Syat.g_02133, Syat.g_02238
OG0000059	Syag.g_02721	Syat.g_01832
OG0000060	Syag.g_01530	Syat.g_01384
OG0000060	Syag.g_01095	Syat.g_01047
OG0000061	Syag.g_01141	Syat.g_03260
OG0000062	Syag.g_01669	Syat.g_03107
OG0000063	Syag.g_02313	Syat.g_02303
OG0000064	Syag.g_00487	Syat.g_01568
OG0000065	Syag.g_01885	Syat.g_01571
OG0000066	Syag.g_01443	Syat.g_03283
OG0000068	Syag.g_01537	Syat.g_00085, Syat.g_01295
OG0000070	Syag.g_00049	Syat.g_01032, Syat.g_01040
OG0000072	Syag.g_01980	Syat.g_02856
OG0000072	Syag.g_02859	Syat.g_01597
OG0000073	Syag.g_01505	Syat.g_03201
OG0000075	Syag.g_02434	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Syag.g_02393	Syat.g_02206
OG0000077	Syag.g_01831	Syat.g_01481
OG0000078	Syag.g_01778	Syat.g_00184
OG0000079	Syag.g_02659, Syag.g_02652	Syat.g_01879
OG0000081	Syag.g_00167	Syat.g_00980
OG0000082	Syag.g_00318	Syat.g_00035
OG0000085	Syag.g_01676	Syat.g_03113
OG0000086	Syag.g_01853	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Syag.g_01939	Syat.g_02912
