Orthogroup	Syag	Prbf
OG0000001	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prbf.g_00068
OG0000004	Syag.g_00988	Prbf.g_01264
OG0000004	Syag.g_00370, Syag.g_01790	Prbf.g_01570
OG0000005	Syag.g_01667	Prbf.g_00240
OG0000006	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687	Prbf.g_01580
OG0000007	Syag.g_01507	Prbf.g_01780
OG0000007	Syag.g_01687	Prbf.g_00693
OG0000008	Syag.g_00496	Prbf.g_00793
OG0000008	Syag.g_01017	Prbf.g_00792
OG0000009	Syag.g_00220, Syag.g_00231	Prbf.g_00252
OG0000010	Syag.g_01355	Prbf.g_00847, Prbf.g_01056
OG0000012	Syag.g_00377	Prbf.g_01905
OG0000013	Syag.g_02811, Syag.g_02820, Syag.g_02806	Prbf.g_01665
OG0000014	Syag.g_02559	Prbf.g_01647
OG0000015	Syag.g_02252, Syag.g_00596	Prbf.g_00754, Prbf.g_00708
OG0000016	Syag.g_01066	Prbf.g_00860
OG0000017	Syag.g_00336	Prbf.g_01880
OG0000017	Syag.g_00344	Prbf.g_01887
OG0000018	Syag.g_01387	Prbf.g_00896
OG0000019	Syag.g_02663	Prbf.g_01588, Prbf.g_00894
OG0000020	Syag.g_00085	Prbf.g_00264, Prbf.g_00811
OG0000021	Syag.g_00229	Prbf.g_00265, Prbf.g_01259
OG0000023	Syag.g_00261, Syag.g_00234	Prbf.g_00287
OG0000024	Syag.g_00455	Prbf.g_01052, Prbf.g_01288
OG0000025	Syag.g_00718	Prbf.g_01209
OG0000026	Syag.g_02309	Prbf.g_01354
OG0000027	Syag.g_00950, Syag.g_00165	Prbf.g_00817, Prbf.g_00774
OG0000028	Syag.g_02540	Prbf.g_00794
OG0000029	Syag.g_00195	Prbf.g_00804, Prbf.g_00762, Prbf.g_00603
OG0000030	Syag.g_02375, Syag.g_02374	Prbf.g_00484
OG0000031	Syag.g_02510, Syag.g_02486	Prbf.g_00116
OG0000032	Syag.g_01366	Prbf.g_00196
OG0000033	Syag.g_01978	Prbf.g_00123
OG0000034	Syag.g_01225, Syag.g_01947	Prbf.g_00015
OG0000035	Syag.g_01420, Syag.g_01421	Prbf.g_00157
OG0000037	Syag.g_00173	Prbf.g_01437
OG0000038	Syag.g_02130, Syag.g_02132	Prbf.g_00445
OG0000039	Syag.g_01325, Syag.g_02155	Prbf.g_01276
OG0000041	Syag.g_01750, Syag.g_00962	Prbf.g_00646
OG0000042	Syag.g_01094, Syag.g_02378	Prbf.g_00487
OG0000043	Syag.g_00564	Prbf.g_00897
OG0000046	Syag.g_02812, Syag.g_02819, Syag.g_02805	Prbf.g_01666
OG0000047	Syag.g_00768	Prbf.g_01707
OG0000048	Syag.g_02611	Prbf.g_00039
OG0000052	Syag.g_02491	Prbf.g_00135
OG0000052	Syag.g_02451	Prbf.g_01380
OG0000053	Syag.g_01391	Prbf.g_00178, Prbf.g_00748
OG0000054	Syag.g_00350	Prbf.g_01889
OG0000055	Syag.g_01799	Prbf.g_00719
OG0000057	Syag.g_00985	Prbf.g_01261
OG0000058	Syag.g_02477	Prbf.g_00117
OG0000059	Syag.g_02721	Prbf.g_00606
OG0000061	Syag.g_01141	Prbf.g_00918
OG0000062	Syag.g_01669	Prbf.g_00242
OG0000063	Syag.g_02313	Prbf.g_00808
OG0000064	Syag.g_00076, Syag.g_00487, Syag.g_01589	Prbf.g_01394
OG0000065	Syag.g_01885, Syag.g_00182	Prbf.g_01435
OG0000066	Syag.g_01443	Prbf.g_01820, Prbf.g_00781
OG0000067	Syag.g_00667	Prbf.g_01245
OG0000068	Syag.g_01537	Prbf.g_00095
OG0000070	Syag.g_00049	Prbf.g_01734
OG0000071	Syag.g_01192	Prbf.g_00026
OG0000072	Syag.g_01980, Syag.g_02859	Prbf.g_01505
OG0000073	Syag.g_01505	Prbf.g_01783
OG0000075	Syag.g_02434	Prbf.g_00522
OG0000076	Syag.g_02393	Prbf.g_00496
OG0000077	Syag.g_01831	Prbf.g_01405
OG0000078	Syag.g_01778	Prbf.g_01578
OG0000079	Syag.g_02659, Syag.g_02652	Prbf.g_01591
OG0000081	Syag.g_00167	Prbf.g_01812
OG0000082	Syag.g_00318	Prbf.g_01867, Prbf.g_00704
OG0000084	Syag.g_00212, Syag.g_01425	Prbf.g_00154
OG0000085	Syag.g_01676	Prbf.g_00822, Prbf.g_00701
OG0000086	Syag.g_01853	Prbf.g_01414
OG0000087	Syag.g_01939	Prbf.g_01469
OG0000088	Syag.g_01974	Prbf.g_01500
OG0000089	Syag.g_00005	Prbf.g_01701
OG0000090	Syag.g_01454	Prbf.g_01814
OG0000091	Syag.g_00418	Prbf.g_00990
OG0000093	Syag.g_00649	Prbf.g_01019
OG0000094	Syag.g_00881	Prbf.g_01068
OG0000095	Syag.g_00974	Prbf.g_01170
OG0000097	Syag.g_01065	Prbf.g_00964
OG0000098	Syag.g_00578, Syag.g_01445	Prbf.g_00071
OG0000099	Syag.g_02536	Prbf.g_00118
OG0000100	Syag.g_00704	Prbf.g_00236
OG0000101	Syag.g_02773	Prbf.g_00558
OG0000102	Syag.g_02387	Prbf.g_00491
OG0000103	Syag.g_02253	Prbf.g_00406
OG0000104	Syag.g_02268	Prbf.g_00397
OG0000105	Syag.g_02606	Prbf.g_01614
OG0000106	Syag.g_00462	Prbf.g_00320
OG0000107	Syag.g_02689	Prbf.g_00629
OG0000108	Syag.g_01528	Prbf.g_01763
OG0000109	Syag.g_01512	Prbf.g_01777
OG0000110	Syag.g_00303	Prbf.g_01856
OG0000111	Syag.g_00984	Prbf.g_01260
OG0000112	Syag.g_00801	Prbf.g_01929
OG0000113	Syag.g_00699	Prbf.g_01222
OG0000114	Syag.g_00609	Prbf.g_01320
OG0000115	Syag.g_01397	Prbf.g_00062
OG0000116	Syag.g_01156	Prbf.g_00907
OG0000117	Syag.g_01097	Prbf.g_00945
OG0000118	Syag.g_01232	Prbf.g_00013
OG0000120	Syag.g_02535	Prbf.g_00115
OG0000121	Syag.g_01414	Prbf.g_00159
OG0000122	Syag.g_00446	Prbf.g_00055, Prbf.g_00200
OG0000123	Syag.g_02781	Prbf.g_00551
OG0000124	Syag.g_02367	Prbf.g_00478
OG0000125	Syag.g_02136, Syag.g_02134	Prbf.g_00443
OG0000126	Syag.g_02266	Prbf.g_00398
OG0000128	Syag.g_02284	Prbf.g_00382
OG0000129	Syag.g_02121	Prbf.g_01367
OG0000130	Syag.g_01819	Prbf.g_01396
OG0000131	Syag.g_01951	Prbf.g_01478
OG0000132	Syag.g_01972	Prbf.g_01498
OG0000133	Syag.g_00806	Prbf.g_01661
OG0000134	Syag.g_00008	Prbf.g_01703
OG0000135	Syag.g_02171	Prbf.g_00044
OG0000136	Syag.g_00038	Prbf.g_01725
OG0000137	Syag.g_01356	Prbf.g_01758
OG0000138	Syag.g_01511	Prbf.g_01778
OG0000139	Syag.g_01448	Prbf.g_01818
OG0000140	Syag.g_01446	Prbf.g_01819
OG0000141	Syag.g_00351	Prbf.g_01890
OG0000142	Syag.g_00410	Prbf.g_00982
OG0000143	Syag.g_00414	Prbf.g_00986
OG0000144	Syag.g_00493	Prbf.g_01000
OG0000145	Syag.g_01504	Prbf.g_00042
OG0000146	Syag.g_00800	Prbf.g_01928
OG0000147	Syag.g_00799	Prbf.g_01927
OG0000148	Syag.g_00693	Prbf.g_01228
OG0000149	Syag.g_00731	Prbf.g_01196
OG0000150	Syag.g_00352	Prbf.g_01186
OG0000151	Syag.g_00623	Prbf.g_01310
OG0000152	Syag.g_00810	Prbf.g_01117
OG0000153	Syag.g_00845	Prbf.g_01098
OG0000154	Syag.g_00870	Prbf.g_01078
OG0000155	Syag.g_01107	Prbf.g_00939
