Orthogroup	Syag	Pral
OG0000001	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Pral.g_01236
OG0000004	Syag.g_00988	Pral.g_01743
OG0000004	Syag.g_00370, Syag.g_01790	Pral.g_00809
OG0000005	Syag.g_01667	Pral.g_01075
OG0000006	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687	Pral.g_00797
OG0000007	Syag.g_01507	Pral.g_00593
OG0000007	Syag.g_01687	Pral.g_00107
OG0000008	Syag.g_00496	Pral.g_00020
OG0000008	Syag.g_01017	Pral.g_00021
OG0000009	Syag.g_00220, Syag.g_00231	Pral.g_01065, Pral.g_01163
OG0000010	Syag.g_01355	Pral.g_01832, Pral.g_01848
OG0000011	Syag.g_01299	Pral.g_00064
OG0000013	Syag.g_02811, Syag.g_02820, Syag.g_02806	Pral.g_00712
OG0000014	Syag.g_02559	Pral.g_00732
OG0000014	Syag.g_02487	Pral.g_01261
OG0000015	Syag.g_02252, Syag.g_00596	Pral.g_01813
OG0000017	Syag.g_00336	Pral.g_00491
OG0000017	Syag.g_00344	Pral.g_00484
OG0000018	Syag.g_01387	Pral.g_01346
OG0000019	Syag.g_02663	Pral.g_00790, Pral.g_01344
OG0000020	Syag.g_00085	Pral.g_01038, Pral.g_00443, Pral.g_01883, Pral.g_01891
OG0000021	Syag.g_00229	Pral.g_01667, Pral.g_01738
OG0000023	Syag.g_00261, Syag.g_00234	Pral.g_01687
OG0000024	Syag.g_00455	Pral.g_01895
OG0000025	Syag.g_00718	Pral.g_01523
OG0000026	Syag.g_02309	Pral.g_01012
OG0000027	Syag.g_00950, Syag.g_00165	Pral.g_01036, Pral.g_00039
OG0000028	Syag.g_02540	Pral.g_00053, Pral.g_00719
OG0000029	Syag.g_00195	Pral.g_01890
OG0000030	Syag.g_02375, Syag.g_02374	Pral.g_00316
OG0000031	Syag.g_02486	Pral.g_01193
OG0000032	Syag.g_01366	Pral.g_01121
OG0000034	Syag.g_01225, Syag.g_01947	Pral.g_01271
OG0000035	Syag.g_01420, Syag.g_01421	Pral.g_01161, Pral.g_01165
OG0000037	Syag.g_00173	Pral.g_00938
OG0000038	Syag.g_02130, Syag.g_02132	Pral.g_00356
OG0000039	Syag.g_01325, Syag.g_02155	Pral.g_01755
OG0000041	Syag.g_01750, Syag.g_00962	Pral.g_00155
OG0000042	Syag.g_01094, Syag.g_02378	Pral.g_00313
OG0000043	Syag.g_00564	Pral.g_01347
OG0000044	Syag.g_00945	Pral.g_01888
OG0000046	Syag.g_02812, Syag.g_02819, Syag.g_02805	Pral.g_00711
OG0000047	Syag.g_00768	Pral.g_00672
OG0000048	Syag.g_02611	Pral.g_00768
OG0000052	Syag.g_02451	Pral.g_00987
OG0000053	Syag.g_01391	Pral.g_01139, Pral.g_00066
OG0000054	Syag.g_00350	Pral.g_00482
OG0000055	Syag.g_01799	Pral.g_00082
OG0000057	Syag.g_00985	Pral.g_01740
OG0000058	Syag.g_02477	Pral.g_01202
OG0000059	Syag.g_02721	Pral.g_00195
OG0000061	Syag.g_01141	Pral.g_01367
OG0000062	Syag.g_01669	Pral.g_01073
OG0000063	Syag.g_02313	Pral.g_00435
OG0000064	Syag.g_00076, Syag.g_00487, Syag.g_01589	Pral.g_00980
OG0000065	Syag.g_01885, Syag.g_00182	Pral.g_00940
OG0000066	Syag.g_01443	Pral.g_00551
OG0000067	Syag.g_00667	Pral.g_01488
OG0000068	Syag.g_01537	Pral.g_01222
OG0000070	Syag.g_00049	Pral.g_00643
OG0000071	Syag.g_01192	Pral.g_01281
OG0000072	Syag.g_01980, Syag.g_02859	Pral.g_00872
OG0000073	Syag.g_01505	Pral.g_00591
OG0000075	Syag.g_02434	Pral.g_00279
OG0000076	Syag.g_02393	Pral.g_00305
OG0000077	Syag.g_01831	Pral.g_00969
OG0000078	Syag.g_01778	Pral.g_00800
OG0000079	Syag.g_02659, Syag.g_02652	Pral.g_00787
OG0000081	Syag.g_00167	Pral.g_00559
OG0000082	Syag.g_00318	Pral.g_00057
OG0000084	Syag.g_00212, Syag.g_01425	Pral.g_01169
OG0000085	Syag.g_01676	Pral.g_00099
OG0000086	Syag.g_01853	Pral.g_00959
OG0000087	Syag.g_01939	Pral.g_00906
OG0000088	Syag.g_01974	Pral.g_00878
OG0000089	Syag.g_00005	Pral.g_00676
OG0000090	Syag.g_01454	Pral.g_00557
OG0000091	Syag.g_00418	Pral.g_01443
OG0000092	Syag.g_00242	Pral.g_01244
OG0000093	Syag.g_00649	Pral.g_01472
OG0000094	Syag.g_00881	Pral.g_01604
OG0000095	Syag.g_00974	Pral.g_01561
OG0000097	Syag.g_01065	Pral.g_01416
OG0000098	Syag.g_00578, Syag.g_01445	Pral.g_01239
OG0000099	Syag.g_02536	Pral.g_01201
OG0000100	Syag.g_00704	Pral.g_01078
OG0000101	Syag.g_02773	Pral.g_00243
OG0000102	Syag.g_02387	Pral.g_00310
OG0000103	Syag.g_02253	Pral.g_00397
OG0000104	Syag.g_02268	Pral.g_00406
OG0000105	Syag.g_02606	Pral.g_00765
OG0000106	Syag.g_00462	Pral.g_01859
OG0000107	Syag.g_02689	Pral.g_00171
OG0000108	Syag.g_01528	Pral.g_00611
OG0000109	Syag.g_01512	Pral.g_00596
OG0000110	Syag.g_00303	Pral.g_00513
OG0000111	Syag.g_00984	Pral.g_01739
OG0000112	Syag.g_00801	Pral.g_01635
OG0000113	Syag.g_00699	Pral.g_01511
OG0000114	Syag.g_00609	Pral.g_01799
OG0000115	Syag.g_01397	Pral.g_01141
OG0000116	Syag.g_01156	Pral.g_01356
OG0000117	Syag.g_01097	Pral.g_01396, Pral.g_01398, Pral.g_01397
OG0000118	Syag.g_01232	Pral.g_01269
OG0000120	Syag.g_02535	Pral.g_00702
OG0000121	Syag.g_01414	Pral.g_01159
OG0000122	Syag.g_00446	Pral.g_01116
OG0000123	Syag.g_02781	Pral.g_00250
OG0000124	Syag.g_02367	Pral.g_00322
OG0000125	Syag.g_02136, Syag.g_02134	Pral.g_00358
OG0000126	Syag.g_02266	Pral.g_00405
OG0000128	Syag.g_02284	Pral.g_00421
OG0000129	Syag.g_02121	Pral.g_01000
OG0000130	Syag.g_01819	Pral.g_00978
OG0000131	Syag.g_01951	Pral.g_00900
OG0000132	Syag.g_01972	Pral.g_00880
OG0000133	Syag.g_00806	Pral.g_00717
OG0000134	Syag.g_00008	Pral.g_00674
OG0000135	Syag.g_02171	Pral.g_01034
OG0000136	Syag.g_00038	Pral.g_00653
OG0000137	Syag.g_01356	Pral.g_00617
OG0000138	Syag.g_01511	Pral.g_00595
OG0000139	Syag.g_01448	Pral.g_00553
OG0000140	Syag.g_01446	Pral.g_00552
OG0000141	Syag.g_00351	Pral.g_00481
OG0000142	Syag.g_00410	Pral.g_01436
OG0000143	Syag.g_00414	Pral.g_01440
