Orthogroup	Syag	Prbe
OG0000001	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prbe.g_00400
OG0000004	Syag.g_00988	Prbe.g_01203
OG0000004	Syag.g_00370, Syag.g_01790	Prbe.g_01784
OG0000005	Syag.g_01667	Prbe.g_00228
OG0000006	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687	Prbe.g_01794
OG0000007	Syag.g_01507	Prbe.g_00636
OG0000007	Syag.g_01687	Prbe.g_00985
OG0000008	Syag.g_00496	Prbe.g_00036
OG0000008	Syag.g_01017	Prbe.g_00037
OG0000009	Syag.g_00220, Syag.g_00231	Prbe.g_00216
OG0000010	Syag.g_01355	Prbe.g_00096, Prbe.g_01411
OG0000012	Syag.g_00377	Prbe.g_00511
OG0000013	Syag.g_02811, Syag.g_02820, Syag.g_02806	Prbe.g_01879
OG0000014	Syag.g_02559	Prbe.g_01861
OG0000015	Syag.g_02252, Syag.g_00596	Prbe.g_01046, Prbe.g_01000
OG0000016	Syag.g_01066	Prbe.g_01607
OG0000017	Syag.g_00336	Prbe.g_00536
OG0000017	Syag.g_00344	Prbe.g_00529
OG0000018	Syag.g_01387	Prbe.g_01571
OG0000019	Syag.g_02663	Prbe.g_01802, Prbe.g_01573
OG0000020	Syag.g_00085	Prbe.g_00204, Prbe.g_00018
OG0000021	Syag.g_00229	Prbe.g_00203, Prbe.g_01208
OG0000023	Syag.g_00261, Syag.g_00234	Prbe.g_00062
OG0000024	Syag.g_00455	Prbe.g_01415, Prbe.g_00449
OG0000025	Syag.g_00718	Prbe.g_01258
OG0000026	Syag.g_02309	Prbe.g_00132
OG0000027	Syag.g_00950, Syag.g_00165	Prbe.g_00012, Prbe.g_01121
OG0000028	Syag.g_02540	Prbe.g_00034
OG0000029	Syag.g_00195	Prbe.g_00025, Prbe.g_01054, Prbe.g_01133, Prbe.g_01091
OG0000030	Syag.g_02375, Syag.g_02374	Prbe.g_00763
OG0000031	Syag.g_02510, Syag.g_02486	Prbe.g_00352
OG0000032	Syag.g_01366	Prbe.g_00272
