Orthogroup	Syag	Syaq
OG0000001	Syag.g_01942	Syaq.g_00118, Syaq.g_01435, Syaq.g_00115
OG0000001	Syag.g_01943	Syaq.g_01434
OG0000001	Syag.g_00520	Syaq.g_02178, Syaq.g_02413
OG0000003	Syag.g_01246, Syag.g_01565, Syag.g_01570, Syag.g_00064, Syag.g_00065, Syag.g_01566, Syag.g_01571, Syag.g_01561	Syaq.g_01566, Syaq.g_00887
OG0000004	Syag.g_00988	Syaq.g_02603
OG0000004	Syag.g_00370	Syaq.g_02042
OG0000004	Syag.g_01790	Syaq.g_01567
OG0000005	Syag.g_01708	Syaq.g_01658
OG0000005	Syag.g_01667	Syaq.g_01692
OG0000006	Syag.g_00435	Syaq.g_02108
OG0000006	Syag.g_01772, Syag.g_02678, Syag.g_02687	Syaq.g_00696, Syaq.g_01590
OG0000007	Syag.g_01507	Syaq.g_01793
OG0000007	Syag.g_01687	Syaq.g_01673
OG0000008	Syag.g_00496	Syaq.g_02162
OG0000008	Syag.g_01017	Syaq.g_02575
OG0000009	Syag.g_01883	Syaq.g_01489
OG0000010	Syag.g_01355	Syaq.g_00443
OG0000011	Syag.g_01299	Syaq.g_01038
OG0000012	Syag.g_00377	Syaq.g_02059
OG0000012	Syag.g_00995, Syag.g_00686, Syag.g_01105	Syaq.g_00077
OG0000013	Syag.g_02811, Syag.g_02820, Syag.g_02806	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Syag.g_02559	Syaq.g_00862
OG0000015	Syag.g_02252	Syaq.g_00121, Syaq.g_01171
OG0000015	Syag.g_00596	Syaq.g_02255
OG0000016	Syag.g_02286	Syaq.g_01136
OG0000016	Syag.g_01066	Syaq.g_00169
OG0000017	Syag.g_00336	Syaq.g_01992
OG0000017	Syag.g_00344	Syaq.g_01999
OG0000018	Syag.g_01387	Syaq.g_00401
OG0000019	Syag.g_02663	Syaq.g_00717
OG0000022	Syag.g_00458	Syaq.g_02126
OG0000023	Syag.g_00261, Syag.g_00234	Syaq.g_02540
OG0000025	Syag.g_00718	Syaq.g_02381
OG0000026	Syag.g_02309	Syaq.g_01114
OG0000028	Syag.g_02540	Syaq.g_00878
OG0000030	Syag.g_02375	Syaq.g_01047
OG0000030	Syag.g_02374	Syaq.g_01048
OG0000031	Syag.g_02510	Syaq.g_01009
OG0000032	Syag.g_01366	Syaq.g_00421
OG0000033	Syag.g_01978	Syaq.g_01399
OG0000034	Syag.g_01225, Syag.g_01947	Syaq.g_00312, Syaq.g_01431
OG0000035	Syag.g_01420	Syaq.g_00372
OG0000035	Syag.g_01421	Syaq.g_00371
OG0000037	Syag.g_00173	Syaq.g_01483
OG0000038	Syag.g_02130	Syaq.g_01260
OG0000038	Syag.g_02132	Syaq.g_01258
OG0000039	Syag.g_01325	Syaq.g_01601
OG0000039	Syag.g_02155	Syaq.g_01241
OG0000041	Syag.g_00962	Syaq.g_02688
OG0000042	Syag.g_01094, Syag.g_02378	Syaq.g_00200, Syaq.g_01044
OG0000043	Syag.g_00564	Syaq.g_01920
OG0000044	Syag.g_00945	Syaq.g_02701
OG0000045	Syag.g_00223, Syag.g_00225	Syaq.g_02047
OG0000046	Syag.g_02805	Syaq.g_00570, Syaq.g_00573
OG0000048	Syag.g_02611	Syaq.g_00749
OG0000052	Syag.g_02491	Syaq.g_00935
OG0000052	Syag.g_02451	Syaq.g_00969
OG0000053	Syag.g_01391	Syaq.g_00397
OG0000054	Syag.g_00350	Syaq.g_02005
OG0000055	Syag.g_00946	Syaq.g_02700
OG0000057	Syag.g_00985	Syaq.g_02541, Syaq.g_02605
OG0000058	Syag.g_02477	Syaq.g_00944
OG0000059	Syag.g_02721	Syaq.g_00657
OG0000060	Syag.g_01338	Syaq.g_00456
OG0000060	Syag.g_01530	Syaq.g_01770
OG0000060	Syag.g_01095	Syaq.g_00201
OG0000061	Syag.g_01141	Syaq.g_00249
OG0000062	Syag.g_01669	Syaq.g_01690
OG0000063	Syag.g_02313	Syaq.g_01110
OG0000064	Syag.g_00487	Syaq.g_02138
OG0000065	Syag.g_01885	Syaq.g_01487
OG0000065	Syag.g_00182	Syaq.g_01908
OG0000066	Syag.g_01443	Syaq.g_01851
OG0000067	Syag.g_00667	Syaq.g_02340
OG0000068	Syag.g_01537	Syaq.g_01763
OG0000070	Syag.g_00049	Syaq.g_00484
OG0000071	Syag.g_01192	Syaq.g_00297
OG0000072	Syag.g_01980	Syaq.g_01397
OG0000073	Syag.g_01505	Syaq.g_01795
OG0000075	Syag.g_02434	Syaq.g_00986
