Orthogroup	Syag	Prbd
OG0000001	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520	Prbd.g_01779
OG0000004	Syag.g_00988	Prbd.g_00549
OG0000004	Syag.g_00370, Syag.g_01790	Prbd.g_01007
OG0000005	Syag.g_01708	Prbd.g_01512
OG0000005	Syag.g_01667	Prbd.g_01612
OG0000006	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687	Prbd.g_00998
OG0000007	Syag.g_01507	Prbd.g_00745
OG0000007	Syag.g_01687	Prbd.g_01525
OG0000009	Syag.g_00220, Syag.g_00231	Prbd.g_01887, Prbd.g_01576
OG0000009	Syag.g_01883	Prbd.g_01139
OG0000010	Syag.g_01355	Prbd.g_00348
OG0000011	Syag.g_01299	Prbd.g_00534, Prbd.g_01867
OG0000012	Syag.g_00377, Syag.g_00995, Syag.g_00686, Syag.g_01105	Prbd.g_00621
OG0000013	Syag.g_02811, Syag.g_02820, Syag.g_02806	Prbd.g_00912
OG0000014	Syag.g_02559	Prbd.g_00933
OG0000015	Syag.g_02252, Syag.g_00596	Prbd.g_00065, Prbd.g_00826
OG0000016	Syag.g_02286	Prbd.g_01224
OG0000017	Syag.g_00336, Syag.g_00344	Prbd.g_00646
OG0000018	Syag.g_01387	Prbd.g_00449
OG0000019	Syag.g_02663	Prbd.g_00990, Prbd.g_00082
OG0000020	Syag.g_00085	Prbd.g_00406
OG0000021	Syag.g_00229	Prbd.g_01546, Prbd.g_00874
OG0000022	Syag.g_00458	Prbd.g_00423
OG0000023	Syag.g_00261, Syag.g_00234	Prbd.g_00879
OG0000024	Syag.g_00455	Prbd.g_00045, Prbd.g_00569
OG0000025	Syag.g_00718	Prbd.g_00908, Prbd.g_00137
OG0000026	Syag.g_02309	Prbd.g_01206, Prbd.g_00355
OG0000027	Syag.g_00950, Syag.g_00165	Prbd.g_00772, Prbd.g_01832
OG0000028	Syag.g_02540	Prbd.g_01864, Prbd.g_00919
OG0000029	Syag.g_00195	Prbd.g_00052, Prbd.g_00863
OG0000030	Syag.g_02375, Syag.g_02374	Prbd.g_01325
OG0000032	Syag.g_02480	Prbd.g_01730
OG0000034	Syag.g_01225, Syag.g_01947	Prbd.g_01791
OG0000035	Syag.g_01420, Syag.g_01421	Prbd.g_01689
OG0000037	Syag.g_00173	Prbd.g_01135
OG0000038	Syag.g_02130, Syag.g_02132	Prbd.g_01283
OG0000039	Syag.g_01325, Syag.g_02155	Prbd.g_00558
OG0000040	Syag.g_02215	Prbd.g_00448
OG0000041	Syag.g_01750, Syag.g_00962	Prbd.g_01478
OG0000042	Syag.g_01094, Syag.g_02378	Prbd.g_01328
OG0000043	Syag.g_00564	Prbd.g_01891
OG0000045	Syag.g_00223	Prbd.g_00867
OG0000047	Syag.g_00768	Prbd.g_00909
OG0000048	Syag.g_02611	Prbd.g_00439, Prbd.g_00864
OG0000053	Syag.g_01391	Prbd.g_01669
OG0000054	Syag.g_00350	Prbd.g_00638
OG0000055	Syag.g_01799, Syag.g_00946	Prbd.g_00083
OG0000057	Syag.g_00985	Prbd.g_00546
OG0000059	Syag.g_02721	Prbd.g_01439
OG0000060	Syag.g_01338, Syag.g_01530, Syag.g_02045, Syag.g_01095	Prbd.g_00824
OG0000061	Syag.g_01141	Prbd.g_00468
OG0000062	Syag.g_01669	Prbd.g_01610
OG0000063	Syag.g_02313	Prbd.g_01204
OG0000065	Syag.g_01885, Syag.g_00182	Prbd.g_01137
OG0000066	Syag.g_01443	Prbd.g_00703
OG0000067	Syag.g_00667	Prbd.g_00102
OG0000068	Syag.g_01537	Prbd.g_01764
OG0000070	Syag.g_00049	Prbd.g_00792
OG0000071	Syag.g_01192	Prbd.g_01801
OG0000072	Syag.g_01980, Syag.g_02859	Prbd.g_01069
OG0000073	Syag.g_01505	Prbd.g_00743
OG0000075	Syag.g_02434	Prbd.g_01359
OG0000076	Syag.g_02393	Prbd.g_01335
OG0000077	Syag.g_01831	Prbd.g_01166
OG0000078	Syag.g_01778	Prbd.g_01000
OG0000079	Syag.g_02659, Syag.g_02652	Prbd.g_00987
OG0000080	Syag.g_02499	Prbd.g_01731
OG0000081	Syag.g_00167	Prbd.g_00711
OG0000082	Syag.g_00318	Prbd.g_00658
OG0000084	Syag.g_00212, Syag.g_01425	Prbd.g_01693
OG0000085	Syag.g_01676	Prbd.g_01532
OG0000086	Syag.g_01853	Prbd.g_01156
OG0000087	Syag.g_01939	Prbd.g_01104, Prbd.g_01103
OG0000088	Syag.g_01974	Prbd.g_01074
OG0000089	Syag.g_00005	Prbd.g_00883
OG0000090	Syag.g_01454	Prbd.g_00709
OG0000091	Syag.g_00418	Prbd.g_00602
OG0000092	Syag.g_00242	Prbd.g_01193
OG0000093	Syag.g_00649	Prbd.g_00232
OG0000094	Syag.g_00881	Prbd.g_00321
OG0000095	Syag.g_00974	Prbd.g_00340
OG0000097	Syag.g_01065	Prbd.g_00509
OG0000098	Syag.g_00578, Syag.g_01445	Prbd.g_01782
OG0000099	Syag.g_02536	Prbd.g_01734
OG0000100	Syag.g_00704	Prbd.g_01614
OG0000101	Syag.g_02773	Prbd.g_01391
OG0000102	Syag.g_02387	Prbd.g_01330
OG0000103	Syag.g_02253	Prbd.g_01250
OG0000104	Syag.g_02268	Prbd.g_01241
OG0000105	Syag.g_02606	Prbd.g_00965
OG0000106	Syag.g_00462	Prbd.g_00868
OG0000107	Syag.g_02689	Prbd.g_00852
OG0000108	Syag.g_01528	Prbd.g_00762
OG0000109	Syag.g_01512	Prbd.g_00748
OG0000110	Syag.g_00303	Prbd.g_00668
OG0000111	Syag.g_00984	Prbd.g_00545
OG0000112	Syag.g_00801	Prbd.g_00066
OG0000113	Syag.g_00699	Prbd.g_00124
OG0000114	Syag.g_00609	Prbd.g_00206
OG0000115	Syag.g_01397	Prbd.g_00401
OG0000116	Syag.g_01156	Prbd.g_00458
OG0000117	Syag.g_01097	Prbd.g_01895
OG0000118	Syag.g_01232	Prbd.g_01789
OG0000120	Syag.g_02535	Prbd.g_01737
OG0000121	Syag.g_01414	Prbd.g_01687
OG0000122	Syag.g_00446	Prbd.g_01649
OG0000123	Syag.g_02781	Prbd.g_01384
OG0000124	Syag.g_02367, Syag.g_02485	Prbd.g_01318
OG0000125	Syag.g_02136, Syag.g_02134	Prbd.g_01281
OG0000126	Syag.g_02266	Prbd.g_01242
OG0000128	Syag.g_02284	Prbd.g_01226
OG0000129	Syag.g_02121	Prbd.g_01194
OG0000130	Syag.g_01819	Prbd.g_01175
OG0000131	Syag.g_01951	Prbd.g_01095
OG0000132	Syag.g_01972	Prbd.g_01076
OG0000133	Syag.g_00806	Prbd.g_00917
OG0000134	Syag.g_00008	Prbd.g_00882
OG0000135	Syag.g_02171	Prbd.g_00855
OG0000136	Syag.g_00038	Prbd.g_01722, Prbd.g_00801
OG0000137	Syag.g_01356	Prbd.g_00767
OG0000138	Syag.g_01511	Prbd.g_00747
OG0000139	Syag.g_01448	Prbd.g_00705
OG0000140	Syag.g_01446	Prbd.g_00704
OG0000141	Syag.g_00351	Prbd.g_00637
OG0000142	Syag.g_00410	Prbd.g_00609
OG0000143	Syag.g_00414	Prbd.g_00605
OG0000144	Syag.g_00493	Prbd.g_00592
OG0000145	Syag.g_01504	Prbd.g_00062
OG0000146	Syag.g_00800	Prbd.g_00067
OG0000147	Syag.g_00799	Prbd.g_00068
OG0000148	Syag.g_00693	Prbd.g_00118
OG0000149	Syag.g_00731	Prbd.g_00149
