Orthogroup	Syag	Syaf
OG0000001	Syag.g_01942	Syaf.g_00846
OG0000001	Syag.g_01943	Syaf.g_00845
OG0000001	Syag.g_00520	Syaf.g_01634
OG0000004	Syag.g_00988	Syaf.g_01455
OG0000004	Syag.g_00370	Syaf.g_02351
OG0000004	Syag.g_01790	Syaf.g_02794
OG0000005	Syag.g_01708	Syaf.g_01017
OG0000005	Syag.g_01667	Syaf.g_01057
OG0000006	Syag.g_00435	Syaf.g_02288
OG0000006	Syag.g_01772, Syag.g_02678, Syag.g_02687	Syaf.g_00179, Syaf.g_02778
OG0000007	Syag.g_01507	Syaf.g_02702
OG0000007	Syag.g_01687	Syaf.g_01033
OG0000008	Syag.g_00496	Syaf.g_01479
OG0000008	Syag.g_01017	Syaf.g_01480
OG0000009	Syag.g_01883	Syaf.g_00905
OG0000010	Syag.g_01355	Syaf.g_02499
OG0000011	Syag.g_01299	Syaf.g_01483
OG0000012	Syag.g_00995, Syag.g_00686, Syag.g_01105	Syaf.g_01693
OG0000013	Syag.g_02811	Syaf.g_00056
OG0000013	Syag.g_02820	Syaf.g_00044
OG0000013	Syag.g_02806	Syaf.g_00061
OG0000014	Syag.g_02559	Syaf.g_00280
OG0000015	Syag.g_00596	Syaf.g_02120, Syaf.g_02121
OG0000016	Syag.g_02286	Syaf.g_00484
OG0000016	Syag.g_01066	Syaf.g_01576
OG0000017	Syag.g_00336	Syaf.g_02561
OG0000017	Syag.g_00344	Syaf.g_02554
OG0000018	Syag.g_01387	Syaf.g_02451
OG0000019	Syag.g_02663	Syaf.g_00193
OG0000020	Syag.g_00085	Syaf.g_02187
OG0000021	Syag.g_00229	Syaf.g_02773
OG0000022	Syag.g_00458	Syaf.g_02256
OG0000023	Syag.g_00261, Syag.g_00234	Syaf.g_01995
OG0000024	Syag.g_00455	Syaf.g_01484
OG0000025	Syag.g_00718	Syaf.g_01385
OG0000026	Syag.g_02309	Syaf.g_00461
OG0000027	Syag.g_00950	Syaf.g_02284
OG0000027	Syag.g_00165	Syaf.g_01688
OG0000028	Syag.g_02540	Syaf.g_00297
OG0000029	Syag.g_00195	Syaf.g_01761
OG0000030	Syag.g_02375	Syaf.g_00406
OG0000030	Syag.g_02374	Syaf.g_00407
OG0000031	Syag.g_02510	Syaf.g_00314
OG0000031	Syag.g_02486	Syaf.g_01143
OG0000032	Syag.g_01366	Syaf.g_02471
OG0000033	Syag.g_01978	Syaf.g_00807
OG0000034	Syag.g_01225, Syag.g_01947	Syaf.g_01241, Syaf.g_00837
OG0000035	Syag.g_01420, Syag.g_01421	Syaf.g_02412
OG0000036	Syag.g_01274	Syaf.g_01128, Syaf.g_01829, Syaf.g_01129, Syaf.g_01828, Syaf.g_01127
OG0000037	Syag.g_00173	Syaf.g_00899
OG0000038	Syag.g_02130	Syaf.g_00642
OG0000040	Syag.g_02215	Syaf.g_00558
OG0000041	Syag.g_00962	Syaf.g_01414
OG0000042	Syag.g_01094, Syag.g_02378	Syaf.g_00403
OG0000043	Syag.g_00564	Syaf.g_01747
OG0000044	Syag.g_00945	Syaf.g_01400
OG0000045	Syag.g_00223	Syaf.g_00979
OG0000046	Syag.g_02812	Syaf.g_00055
OG0000046	Syag.g_02819	Syaf.g_00045
OG0000046	Syag.g_02805	Syaf.g_00062
OG0000047	Syag.g_00768	Syaf.g_00030
OG0000048	Syag.g_02611	Syaf.g_00230
OG0000052	Syag.g_02451	Syaf.g_00335
OG0000053	Syag.g_01391	Syaf.g_02447
OG0000054	Syag.g_00350	Syaf.g_02376
OG0000055	Syag.g_00946	Syaf.g_01402
OG0000057	Syag.g_00985	Syaf.g_01665, Syaf.g_01452
OG0000058	Syag.g_02477	Syaf.g_00316
OG0000059	Syag.g_02721	Syaf.g_00143
OG0000060	Syag.g_01338	Syaf.g_02515
OG0000060	Syag.g_01530	Syaf.g_02726
OG0000060	Syag.g_01095	Syaf.g_01603
OG0000061	Syag.g_01141	Syaf.g_01288
OG0000062	Syag.g_01669	Syaf.g_01055
OG0000063	Syag.g_02313	Syaf.g_00457
OG0000064	Syag.g_00076	Syaf.g_01063
OG0000064	Syag.g_01589	Syaf.g_01667
OG0000067	Syag.g_00667	Syaf.g_02049
OG0000068	Syag.g_01537	Syaf.g_02733
OG0000070	Syag.g_00049	Syaf.g_01237
OG0000071	Syag.g_01192	Syaf.g_01254
OG0000072	Syag.g_01980	Syaf.g_00805
OG0000073	Syag.g_01505	Syaf.g_02700
OG0000075	Syag.g_02434	Syaf.g_00353
OG0000076	Syag.g_02393	Syaf.g_00388
OG0000078	Syag.g_01778	Syaf.g_02782
OG0000080	Syag.g_02499	Syaf.g_00306
OG0000082	Syag.g_00318	Syaf.g_02576
OG0000085	Syag.g_01676	Syaf.g_01048
OG0000086	Syag.g_01853	Syaf.g_00932
OG0000087	Syag.g_01939	Syaf.g_00848
OG0000088	Syag.g_01974	Syaf.g_00811
OG0000089	Syag.g_00005	Syaf.g_02807
OG0000090	Syag.g_01454	Syaf.g_02654
OG0000091	Syag.g_00418	Syaf.g_02302
OG0000093	Syag.g_00649	Syaf.g_02065
OG0000094	Syag.g_00881	Syaf.g_01940
OG0000095	Syag.g_00974	Syaf.g_01442
OG0000097	Syag.g_01065	Syaf.g_01574
OG0000098	Syag.g_00578, Syag.g_01445	Syaf.g_01637
OG0000099	Syag.g_02536	Syaf.g_00312
OG0000100	Syag.g_00704	Syaf.g_02017
OG0000101	Syag.g_02773	Syaf.g_00093
OG0000102	Syag.g_02387	Syaf.g_00393
OG0000103	Syag.g_02253	Syaf.g_00520
OG0000104	Syag.g_02268	Syaf.g_00502
OG0000105	Syag.g_02606	Syaf.g_00235
OG0000106	Syag.g_00462	Syaf.g_01745
OG0000107	Syag.g_02689	Syaf.g_00758
OG0000108	Syag.g_01528	Syaf.g_02721
OG0000109	Syag.g_01512	Syaf.g_02706
OG0000110	Syag.g_00303	Syaf.g_02589
OG0000111	Syag.g_00984	Syaf.g_01451
OG0000112	Syag.g_00801	Syaf.g_01852
OG0000113	Syag.g_00699	Syaf.g_02022
OG0000114	Syag.g_00609	Syaf.g_02103
OG0000115	Syag.g_01397	Syaf.g_02445
OG0000116	Syag.g_01156	Syaf.g_01276
OG0000117	Syag.g_01097	Syaf.g_01605
OG0000118	Syag.g_01232	Syaf.g_02544
OG0000120	Syag.g_02535	Syaf.g_00313
OG0000121	Syag.g_01414	Syaf.g_02419
OG0000123	Syag.g_02781	Syaf.g_00086
OG0000124	Syag.g_02367	Syaf.g_00414
OG0000125	Syag.g_02136, Syag.g_02134	Syaf.g_00640
OG0000126	Syag.g_02266	Syaf.g_00504
OG0000128	Syag.g_02284	Syaf.g_00486
OG0000129	Syag.g_02121	Syaf.g_00651
OG0000130	Syag.g_01819	Syaf.g_00963
OG0000131	Syag.g_01951	Syaf.g_00833
OG0000132	Syag.g_01972	Syaf.g_00813
OG0000133	Syag.g_00806	Syaf.g_01857
OG0000134	Syag.g_00008	Syaf.g_02804
OG0000135	Syag.g_02171	Syaf.g_00605
OG0000136	Syag.g_00038	Syaf.g_01224
OG0000137	Syag.g_01356	Syaf.g_02498
OG0000138	Syag.g_01511	Syaf.g_02705
OG0000139	Syag.g_01448	Syaf.g_02648
OG0000140	Syag.g_01446	Syaf.g_02646
OG0000141	Syag.g_00351	Syaf.g_02375
OG0000142	Syag.g_00410	Syaf.g_02310
OG0000143	Syag.g_00414	Syaf.g_02306
OG0000144	Syag.g_00493	Syaf.g_01735
OG0000145	Syag.g_01504	Syaf.g_02699
OG0000146	Syag.g_00800	Syaf.g_01851
OG0000147	Syag.g_00799	Syaf.g_01850
OG0000148	Syag.g_00693	Syaf.g_02028
OG0000149	Syag.g_00731	Syaf.g_01371
OG0000150	Syag.g_00352	Syaf.g_02645
OG0000151	Syag.g_00623	Syaf.g_02091
OG0000152	Syag.g_00810	Syaf.g_01861
OG0000153	Syag.g_00845	Syaf.g_01904
OG0000154	Syag.g_00870	Syaf.g_01930
OG0000155	Syag.g_01107	Syaf.g_01324
OG0000156	Syag.g_01166	Syaf.g_01270
OG0000157	Syag.g_01167	Syaf.g_01269
OG0000158	Syag.g_02422	Syaf.g_00364
OG0000159	Syag.g_02425	Syaf.g_00311
OG0000160	Syag.g_01415	Syaf.g_02418
OG0000161	Syag.g_01409	Syaf.g_02424
OG0000162	Syag.g_01402	Syaf.g_02431
OG0000163	Syag.g_01618	Syaf.g_01105
OG0000164	Syag.g_01725	Syaf.g_00999
OG0000165	Syag.g_01733	Syaf.g_01197
OG0000166	Syag.g_02733	Syaf.g_00133
OG0000167	Syag.g_02437	Syaf.g_00350
OG0000168	Syag.g_02417	Syaf.g_00365
OG0000169	Syag.g_02405	Syaf.g_00376
OG0000170	Syag.g_02398	Syaf.g_00383
OG0000171	Syag.g_02368	Syaf.g_00413
OG0000172	Syag.g_02360	Syaf.g_00419
OG0000173	Syag.g_02337	Syaf.g_00438
OG0000174	Syag.g_02175	Syaf.g_00603
OG0000175	Syag.g_02240	Syaf.g_00531
OG0000176	Syag.g_02276	Syaf.g_00494
OG0000177	Syag.g_02277	Syaf.g_00493
OG0000178	Syag.g_02278	Syaf.g_00492
OG0000179	Syag.g_02293	Syaf.g_00477
OG0000180	Syag.g_02294	Syaf.g_00476
OG0000181	Syag.g_02295	Syaf.g_00475
OG0000182	Syag.g_02296	Syaf.g_00474
OG0000183	Syag.g_02300	Syaf.g_00470
OG0000184	Syag.g_02110	Syaf.g_00664
OG0000185	Syag.g_02092	Syaf.g_00684
OG0000186	Syag.g_01815	Syaf.g_00968
OG0000187	Syag.g_01816	Syaf.g_00966
OG0000188	Syag.g_01839	Syaf.g_00944
OG0000189	Syag.g_01872	Syaf.g_00916
OG0000190	Syag.g_01874	Syaf.g_00914
OG0000191	Syag.g_01909	Syaf.g_00877
OG0000192	Syag.g_01915	Syaf.g_00871
OG0000193	Syag.g_01952	Syaf.g_00832
OG0000194	Syag.g_01955	Syaf.g_00829
OG0000195	Syag.g_01957	Syaf.g_00827
OG0000196	Syag.g_01968	Syaf.g_00816
OG0000197	Syag.g_01969	Syaf.g_00815
OG0000198	Syag.g_00108, Syag.g_01971	Syaf.g_00814
OG0000199	Syag.g_01979	Syaf.g_00806
OG0000200	Syag.g_01996	Syaf.g_00789
OG0000201	Syag.g_02023	Syaf.g_00771
OG0000202	Syag.g_02024	Syaf.g_00770
OG0000203	Syag.g_02025	Syaf.g_00769
OG0000204	Syag.g_02020, Syag.g_02026	Syaf.g_00768
OG0000205	Syag.g_02035	Syaf.g_00761
OG0000206	Syag.g_02047	Syaf.g_00736
OG0000207	Syag.g_02051	Syaf.g_00735
OG0000208	Syag.g_02052	Syaf.g_00734
OG0000209	Syag.g_02069	Syaf.g_00714
OG0000210	Syag.g_02070	Syaf.g_00713
OG0000211	Syag.g_01788	Syaf.g_02791
OG0000212	Syag.g_01777	Syaf.g_02781
OG0000213	Syag.g_02632	Syaf.g_00210
OG0000214	Syag.g_02615	Syaf.g_00226
OG0000215	Syag.g_02584	Syaf.g_00258
OG0000216	Syag.g_02580	Syaf.g_00262
OG0000217	Syag.g_02576	Syaf.g_00266
OG0000218	Syag.g_02574	Syaf.g_00268
OG0000219	Syag.g_02573	Syaf.g_00269
OG0000220	Syag.g_02572	Syaf.g_00270
OG0000221	Syag.g_02566	Syaf.g_02597, Syaf.g_00273
OG0000222	Syag.g_02550	Syaf.g_00287
OG0000223	Syag.g_02475	Syaf.g_00317
OG0000224	Syag.g_02471	Syaf.g_00324
OG0000225	Syag.g_02861	Syaf.g_00007
OG0000226	Syag.g_02865	Syaf.g_00003
OG0000227	Syag.g_02867	Syaf.g_00001
OG0000228	Syag.g_00004	Syaf.g_02808
OG0000229	Syag.g_00033	Syaf.g_01214
OG0000230	Syag.g_00035	Syaf.g_01216
OG0000231	Syag.g_00048	Syaf.g_01236
OG0000232	Syag.g_00059	Syaf.g_02536
OG0000233	Syag.g_01330	Syaf.g_02528
OG0000234	Syag.g_01358	Syaf.g_02497
OG0000235	Syag.g_01529	Syaf.g_02722
OG0000236	Syag.g_01513	Syaf.g_02707
OG0000237	Syag.g_01495	Syaf.g_02690
OG0000238	Syag.g_01490	Syaf.g_02685
OG0000239	Syag.g_01472	Syaf.g_02669
OG0000240	Syag.g_01471	Syaf.g_02668
OG0000241	Syag.g_00396	Syaf.g_02322
OG0000242	Syag.g_01456	Syaf.g_02656
OG0000243	Syag.g_00255	Syaf.g_02634
OG0000244	Syag.g_00268	Syaf.g_02627
OG0000245	Syag.g_00270	Syaf.g_02625
OG0000246	Syag.g_00274	Syaf.g_02621
OG0000247	Syag.g_00286	Syaf.g_02610
OG0000248	Syag.g_00289	Syaf.g_02607
OG0000249	Syag.g_00291	Syaf.g_02605
OG0000250	Syag.g_00299	Syaf.g_02593
OG0000251	Syag.g_00328	Syaf.g_02568
OG0000252	Syag.g_00331	Syaf.g_02565
OG0000253	Syag.g_00333	Syaf.g_02564
OG0000254	Syag.g_00356	Syaf.g_02371
OG0000255	Syag.g_00369	Syaf.g_02352
OG0000256	Syag.g_00385	Syaf.g_02329
OG0000257	Syag.g_00395	Syaf.g_02323
OG0000258	Syag.g_00423	Syaf.g_02301
OG0000259	Syag.g_00560	Syaf.g_02137
OG0000260	Syag.g_00570	Syaf.g_02134
OG0000261	Syag.g_00581	Syaf.g_02131
OG0000262	Syag.g_00586	Syaf.g_02126
OG0000263	Syag.g_01079	Syaf.g_01585
OG0000264	Syag.g_01011	Syaf.g_01473
OG0000265	Syag.g_01021	Syaf.g_01196
OG0000266	Syag.g_00907	Syaf.g_01967
OG0000267	Syag.g_00762	Syaf.g_01787
OG0000268	Syag.g_00763	Syaf.g_01788
OG0000269	Syag.g_00662	Syaf.g_02054
OG0000270	Syag.g_00665	Syaf.g_02051
OG0000271	Syag.g_00673	Syaf.g_02043
OG0000274	Syag.g_00714	Syaf.g_01391
OG0000275	Syag.g_00717	Syaf.g_01386
OG0000276	Syag.g_00723	Syaf.g_01379
OG0000277	Syag.g_00724	Syaf.g_01378
OG0000278	Syag.g_00727	Syaf.g_01375
OG0000279	Syag.g_00735	Syaf.g_01367
OG0000280	Syag.g_00741	Syaf.g_01337
