Orthogroup	Prbn	Prap
OG0000000	Prbn.g_01483	Prap.g_00720
OG0000000	Prbn.g_01478	Prap.g_00715
OG0000000	Prbn.g_01586	Prap.g_00823
OG0000000	Prbn.g_01159	Prap.g_00486
OG0000000	Prbn.g_01234	Prap.g_01946
OG0000000	Prbn.g_01161	Prap.g_00484
OG0000000	Prbn.g_01154	Prap.g_00491
OG0000000	Prbn.g_00879	Prap.g_00224
OG0000001	Prbn.g_01678	Prap.g_01846
OG0000001	Prbn.g_01152	Prap.g_00493
OG0000001	Prbn.g_01663	Prap.g_00493
OG0000001	Prbn.g_01152	Prap.g_01861
OG0000001	Prbn.g_01663	Prap.g_01861
OG0000002	Prbn.g_01213	Prap.g_01925
OG0000002	Prbn.g_01923	Prap.g_00653
OG0000003	Prbn.g_01151	Prap.g_00494
OG0000004	Prbn.g_01110	Prap.g_00535
OG0000005	Prbn.g_01662	Prap.g_01862
OG0000006	Prbn.g_00617	Prap.g_01270
OG0000006	Prbn.g_01745	Prap.g_01779
OG0000007	Prbn.g_01645	Prap.g_01888
OG0000007	Prbn.g_01646	Prap.g_01887
OG0000009	Prbn.g_01165	Prap.g_00480
OG0000009	Prbn.g_00015	Prap.g_01462
OG0000010	Prbn.g_01049	Prap.g_00010
OG0000011	Prbn.g_00690	Prap.g_01343
OG0000012	Prbn.g_00517	Prap.g_01170
OG0000012	Prbn.g_00510	Prap.g_01163
OG0000013	Prbn.g_01684	Prap.g_01840
OG0000013	Prbn.g_01730	Prap.g_01794
OG0000014	Prbn.g_00139	Prap.g_01912
OG0000014	Prbn.g_01664	Prap.g_01860
OG0000015	Prbn.g_01673	Prap.g_01851
OG0000015	Prbn.g_01706	Prap.g_01818
OG0000016	Prbn.g_01135	Prap.g_00510
OG0000016	Prbn.g_00885	Prap.g_00218
OG0000017	Prbn.g_00233	Prap.g_00142
OG0000017	Prbn.g_01690	Prap.g_01834
OG0000018	Prbn.g_00308	Prap.g_01470
OG0000019	Prbn.g_01560	Prap.g_00797
OG0000020	Prbn.g_01097	Prap.g_00548
OG0000020	Prbn.g_00038	Prap.g_01439
OG0000021	Prbn.g_01727	Prap.g_01797
OG0000023	Prbn.g_00887	Prap.g_00216
OG0000024	Prbn.g_00074	Prap.g_01403
OG0000025	Prbn.g_01937	Prap.g_00667
OG0000026	Prbn.g_00130	Prap.g_01903
OG0000028	Prbn.g_00212	Prap.g_00121
OG0000029	Prbn.g_00659	Prap.g_01312
OG0000031	Prbn.g_00809	Prap.g_00611
OG0000032	Prbn.g_00171	Prap.g_00080
OG0000033	Prbn.g_01131	Prap.g_00514
OG0000034	Prbn.g_00724	Prap.g_00897
OG0000034	Prbn.g_00190	Prap.g_00099
OG0000035	Prbn.g_01042	Prap.g_00017
OG0000036	Prbn.g_01734	Prap.g_01790
OG0000036	Prbn.g_00530	Prap.g_01183
OG0000037	Prbn.g_00867	Prap.g_00236
OG0000037	Prbn.g_00492	Prap.g_01145
OG0000038	Prbn.g_00891	Prap.g_00212
OG0000039	Prbn.g_01247	Prap.g_01004
OG0000040	Prbn.g_01030	Prap.g_00029
OG0000041	Prbn.g_01709	Prap.g_01815
OG0000041	Prbn.g_01703	Prap.g_01821
OG0000042	Prbn.g_01554	Prap.g_00791
OG0000043	Prbn.g_01454	Prap.g_00691
OG0000044	Prbn.g_01189	Prap.g_00456
OG0000045	Prbn.g_00172	Prap.g_00081
OG0000046	Prbn.g_01737	Prap.g_01787
OG0000046	Prbn.g_00144	Prap.g_01917
