Orthogroup	Prbn	Praw
OG0000000	Prbn.g_01483, Prbn.g_01478	Praw.g_01009
OG0000000	Prbn.g_01586, Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879	Praw.g_01844
OG0000002	Prbn.g_01213	Praw.g_01000
OG0000002	Prbn.g_01923	Praw.g_01739, Praw.g_01951, Praw.g_00497
OG0000003	Prbn.g_01151	Praw.g_00959
OG0000004	Prbn.g_01110	Praw.g_01775, Praw.g_01769, Praw.g_00958
OG0000005	Prbn.g_01662	Praw.g_01780
OG0000006	Prbn.g_00617	Praw.g_00651
OG0000006	Prbn.g_01745	Praw.g_00515
OG0000007	Prbn.g_01645	Praw.g_00501
OG0000007	Prbn.g_01646	Praw.g_00502
OG0000009	Prbn.g_01165	Praw.g_01717
OG0000009	Prbn.g_00015	Praw.g_00884
OG0000010	Prbn.g_01049	Praw.g_00482, Praw.g_00184, Praw.g_00945
OG0000012	Prbn.g_00517, Prbn.g_00510	Praw.g_01944
OG0000013	Prbn.g_01684, Prbn.g_01730	Praw.g_01738
OG0000014	Prbn.g_00139, Prbn.g_01664	Praw.g_00677, Praw.g_00962, Praw.g_00492
OG0000015	Prbn.g_01673, Prbn.g_01706	Praw.g_00752
OG0000016	Prbn.g_01135, Prbn.g_00885	Praw.g_01012
OG0000018	Prbn.g_00308	Praw.g_01950
OG0000019	Prbn.g_01560	Praw.g_00479
OG0000020	Prbn.g_01097, Prbn.g_00038	Praw.g_00758, Praw.g_00504
OG0000021	Prbn.g_01727	Praw.g_01715
OG0000023	Prbn.g_00887	Praw.g_00447
OG0000024	Prbn.g_00074	Praw.g_00828
OG0000025	Prbn.g_01937	Praw.g_01432
OG0000028	Prbn.g_00212	Praw.g_01083
OG0000029	Prbn.g_00659	Praw.g_00448
OG0000032	Prbn.g_00171	Praw.g_01073
OG0000033	Prbn.g_01131	Praw.g_00484
OG0000034	Prbn.g_00190	Praw.g_01071
OG0000035	Prbn.g_01042	Praw.g_00323
OG0000036	Prbn.g_01734, Prbn.g_00530	Praw.g_01932
OG0000037	Prbn.g_00867, Prbn.g_00492	Praw.g_00159
OG0000038	Prbn.g_00891	Praw.g_01746
OG0000039	Prbn.g_01247	Praw.g_01269
OG0000040	Prbn.g_01030	Praw.g_00772
OG0000042	Prbn.g_01554	Praw.g_01809
OG0000043	Prbn.g_01454	Praw.g_01712
OG0000045	Prbn.g_00172	Praw.g_01055
OG0000046	Prbn.g_01737, Prbn.g_00144	Praw.g_00508
OG0000047	Prbn.g_00996	Praw.g_00039
OG0000048	Prbn.g_00988	Praw.g_00032
OG0000050	Prbn.g_00750	Praw.g_01397
OG0000051	Prbn.g_01256	Praw.g_01278
OG0000052	Prbn.g_00829	Praw.g_00762
OG0000053	Prbn.g_00577, Prbn.g_01657	Praw.g_00609
OG0000054	Prbn.g_00475	Praw.g_01752
OG0000055	Prbn.g_01523	Praw.g_01675
OG0000056	Prbn.g_01133	Praw.g_00189
OG0000057	Prbn.g_00313	Praw.g_01198
OG0000058	Prbn.g_00639	Praw.g_00672
OG0000059	Prbn.g_01562	Praw.g_01824
OG0000062	Prbn.g_01650	Praw.g_00201
OG0000063	Prbn.g_00389	Praw.g_00926
OG0000065	Prbn.g_01084	Praw.g_00981
OG0000066	Prbn.g_00170	Praw.g_01050
