Orthogroup	Prbn	Prac
OG0000000	Prbn.g_01483, Prbn.g_01478	Prac.g_00210
OG0000000	Prbn.g_01586, Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879	Prac.g_00693
OG0000001	Prbn.g_01678, Prbn.g_01152, Prbn.g_01663	Prac.g_00293
OG0000002	Prbn.g_01213	Prac.g_00202
OG0000002	Prbn.g_01923	Prac.g_00924, Prac.g_00925
OG0000003	Prbn.g_01151	Prac.g_00157
OG0000004	Prbn.g_01110	Prac.g_01536, Prac.g_01529
OG0000005	Prbn.g_01662	Prac.g_00277
OG0000006	Prbn.g_00617	Prac.g_00874
OG0000006	Prbn.g_01745	Prac.g_00625
OG0000007	Prbn.g_01645	Prac.g_00904
OG0000009	Prbn.g_01165	Prac.g_01496
OG0000009	Prbn.g_00015	Prac.g_01681
OG0000010	Prbn.g_01049	Prac.g_01958, Prac.g_01035, Prac.g_00139
OG0000011	Prbn.g_00690	Prac.g_01127
OG0000012	Prbn.g_00517, Prbn.g_00510	Prac.g_00773
OG0000013	Prbn.g_01684, Prbn.g_01730	Prac.g_00898
OG0000014	Prbn.g_00139, Prbn.g_01664	Prac.g_01074
OG0000015	Prbn.g_01673, Prbn.g_01706	Prac.g_01151
OG0000016	Prbn.g_01135, Prbn.g_00885	Prac.g_00213
OG0000017	Prbn.g_00233, Prbn.g_01690	Prac.g_01901
OG0000018	Prbn.g_00308	Prac.g_01689
OG0000019	Prbn.g_01560	Prac.g_01169
OG0000020	Prbn.g_01097, Prbn.g_00038	Prac.g_01159
OG0000021	Prbn.g_01727	Prac.g_01494
OG0000023	Prbn.g_00887	Prac.g_00301
OG0000024	Prbn.g_00074	Prac.g_01625
OG0000025	Prbn.g_01937	Prac.g_01220
OG0000026	Prbn.g_00130	Prac.g_00908
OG0000028	Prbn.g_00212	Prac.g_00411
OG0000029	Prbn.g_00659	Prac.g_00300, Prac.g_00890
OG0000032	Prbn.g_00171	Prac.g_00249
OG0000033	Prbn.g_01131	Prac.g_01934
OG0000035	Prbn.g_01042	Prac.g_01399
OG0000036	Prbn.g_01734, Prbn.g_00530	Prac.g_00788
OG0000037	Prbn.g_00867, Prbn.g_00492	Prac.g_00748
OG0000038	Prbn.g_00891	Prac.g_01510
OG0000039	Prbn.g_01247	Prac.g_01764
OG0000040	Prbn.g_01030	Prac.g_01174
OG0000041	Prbn.g_01709, Prbn.g_01703	Prac.g_01119
OG0000042	Prbn.g_01554	Prac.g_01560
OG0000043	Prbn.g_01454	Prac.g_01491
OG0000044	Prbn.g_01189	Prac.g_00985
OG0000045	Prbn.g_00172	Prac.g_00258, Prac.g_00434
OG0000046	Prbn.g_01737, Prbn.g_00144	Prac.g_00632
OG0000047	Prbn.g_00996	Prac.g_00041, Prac.g_01904
OG0000048	Prbn.g_00988	Prac.g_00048
OG0000050	Prbn.g_00750	Prac.g_01916
OG0000051	Prbn.g_01256	Prac.g_01773, Prac.g_01590
OG0000052	Prbn.g_00829	Prac.g_01163
OG0000053	Prbn.g_00577, Prbn.g_01657	Prac.g_00833
OG0000054	Prbn.g_00475	Prac.g_01515
OG0000055	Prbn.g_01523	Prac.g_01453
OG0000056	Prbn.g_01133	Prac.g_01029
OG0000057	Prbn.g_00313	Prac.g_01693
OG0000058	Prbn.g_00639	Prac.g_01069
OG0000059	Prbn.g_01562	Prac.g_00673
OG0000062	Prbn.g_01650	Prac.g_01018
OG0000063	Prbn.g_00389	Prac.g_01955
OG0000065	Prbn.g_01084	Prac.g_00175
OG0000066	Prbn.g_00170	Prac.g_00248
OG0000067	Prbn.g_00802	Prac.g_00142
