locus_tag	ftype	length_bp	gene	EC_number	COG	product
Prao.g_00001	gene	906				
Prao.g_00001	CDS	906				hypothetical protein
Prao.g_00002	gene	216				
Prao.g_00002	CDS	216				hypothetical protein
Prao.g_00003	gene	291				
Prao.g_00003	CDS	291				hypothetical protein
Prao.g_00004	gene	390				
Prao.g_00004	CDS	390				hypothetical protein
Prao.g_00005	gene	174				
Prao.g_00005	CDS	174				hypothetical protein
Prao.g_00006	gene	1050	yhdW			
Prao.g_00006	CDS	1050	yhdW			Putative amino-acid ABC transporter-binding protein YhdW
Prao.g_00007	gene	894				
Prao.g_00007	CDS	894				hypothetical protein
Prao.g_00008	gene	1032	yhdY			
Prao.g_00008	CDS	1032	yhdY		COG0765	Inner membrane amino-acid ABC transporter permease protein YhdY
Prao.g_00009	gene	741	glnQ			
Prao.g_00009	CDS	741	glnQ			Glutamine transport ATP-binding protein GlnQ
Prao.g_00010	gene	432				
Prao.g_00010	CDS	432				hypothetical protein
Prao.g_00011	gene	879				
Prao.g_00011	CDS	879				hypothetical protein
Prao.g_00012	gene	408				
Prao.g_00012	CDS	408				hypothetical protein
Prao.g_00013	gene	74				
Prao.g_00013	tRNA	74				tRNA-Pro(tgg)
Prao.g_00014	gene	519	apt			
Prao.g_00014	CDS	519	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
Prao.g_00015	gene	1707	bepA			
Prao.g_00015	CDS	1707	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
Prao.g_00016	gene	168				
Prao.g_00016	CDS	168				hypothetical protein
Prao.g_00017	gene	312				
Prao.g_00017	CDS	312				hypothetical protein
Prao.g_00018	gene	1206	pnp_1			
Prao.g_00018	CDS	1206	pnp_1	2.7.7.8		Polyribonucleotide nucleotidyltransferase
Prao.g_00019	gene	795	mftE			
Prao.g_00019	CDS	795	mftE	3.5.-.-	COG1402	Putative mycofactocin system creatinine amidohydrolase family protein MftE
Prao.g_00020	gene	756				
Prao.g_00020	CDS	756		4.1.99.5		Aldehyde decarbonylase
Prao.g_00021	gene	1041				
Prao.g_00021	CDS	1041		1.2.1.80	COG5322	Long-chain acyl-[acyl-carrier-protein] reductase
Prao.g_00022	gene	1008	accA			
Prao.g_00022	CDS	1008	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
Prao.g_00023	gene	765	acr1_1			
Prao.g_00023	CDS	765	acr1_1	1.2.1.-	COG3320	Fatty acyl-CoA reductase
Prao.g_00024	gene	741	folE			
Prao.g_00024	CDS	741	folE	3.5.4.16		GTP cyclohydrolase 1
Prao.g_00025	gene	657	trpF			
Prao.g_00025	CDS	657	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
Prao.g_00026	gene	1224	rip3			
Prao.g_00026	CDS	1224	rip3		COG0517	Putative zinc metalloprotease Rip3
Prao.g_00027	gene	744	lipM			
Prao.g_00027	CDS	744	lipM	2.3.1.181		Octanoyltransferase LipM
Prao.g_00028	gene	360				
Prao.g_00028	CDS	360				hypothetical protein
Prao.g_00029	gene	1005				
Prao.g_00029	CDS	1005				hypothetical protein
Prao.g_00030	gene	888	chlL			
Prao.g_00030	CDS	888	chlL	1.3.7.7	COG1348	Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein
Prao.g_00031	gene	1572	chlB			
Prao.g_00031	CDS	1572	chlB	1.3.7.7	COG2710	Light-independent protochlorophyllide reductase subunit B
Prao.g_00032	gene	1257	chlN			
Prao.g_00032	CDS	1257	chlN	1.3.7.7	COG2710	Light-independent protochlorophyllide reductase subunit N
Prao.g_00033	gene	369				
Prao.g_00033	CDS	369				hypothetical protein
Prao.g_00034	gene	771				
Prao.g_00034	CDS	771				hypothetical protein
Prao.g_00035	gene	585				
Prao.g_00035	CDS	585		3.6.1.66	COG0127	dITP/XTP pyrophosphatase
Prao.g_00036	gene	312	ccmK			
Prao.g_00036	CDS	312	ccmK		COG4577	Carbon dioxide-concentrating mechanism protein CcmK
Prao.g_00037	gene	1416	cbbL			
Prao.g_00037	CDS	1416	cbbL	4.1.1.39	COG1850	Ribulose bisphosphate carboxylase large chain
Prao.g_00038	gene	342	cbbS2			
Prao.g_00038	CDS	342	cbbS2	4.1.1.39	COG4451	Ribulose bisphosphate carboxylase small chain 2
Prao.g_00039	gene	2310				
Prao.g_00039	CDS	2310				hypothetical protein
Prao.g_00040	gene	1530				
Prao.g_00040	CDS	1530				hypothetical protein
Prao.g_00041	gene	252				
Prao.g_00041	CDS	252				hypothetical protein
Prao.g_00042	gene	249	eutN			
Prao.g_00042	CDS	249	eutN		COG4576	Ethanolamine utilization protein EutN
Prao.g_00043	gene	240				
Prao.g_00043	CDS	240				hypothetical protein
Prao.g_00044	gene	228				
Prao.g_00044	CDS	228				hypothetical protein
Prao.g_00045	gene	393	yabJ			
Prao.g_00045	CDS	393	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
Prao.g_00046	gene	741	gloB			
Prao.g_00046	CDS	741	gloB	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloB
Prao.g_00047	gene	639	hisG			
Prao.g_00047	CDS	639	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
Prao.g_00048	gene	1794				
Prao.g_00048	CDS	1794			COG1132	putative ABC transporter ATP-binding protein
Prao.g_00049	gene	531				
Prao.g_00049	CDS	531				hypothetical protein
Prao.g_00050	gene	687				
Prao.g_00050	CDS	687				hypothetical protein
Prao.g_00051	gene	636				
Prao.g_00051	CDS	636				hypothetical protein
Prao.g_00052	gene	1398	dnaA			
Prao.g_00052	CDS	1398	dnaA		COG0593	Chromosomal replication initiator protein DnaA
Prao.g_00053	gene	1230				
Prao.g_00053	CDS	1230				hypothetical protein
Prao.g_00054	gene	1365	garB			
Prao.g_00054	CDS	1365	garB	1.8.1.16		Glutathione amide reductase
Prao.g_00055	gene	1077				
Prao.g_00055	CDS	1077				hypothetical protein
Prao.g_00056	gene	1050	pyrC			
Prao.g_00056	CDS	1050	pyrC	3.5.2.3	COG0418	Dihydroorotase
Prao.g_00057	gene	672				
Prao.g_00057	CDS	672				hypothetical protein
Prao.g_00058	gene	87				
Prao.g_00058	tRNA	87				tRNA-Leu(taa)
Prao.g_00059	gene	234	ndhL			
Prao.g_00059	CDS	234	ndhL	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit L
Prao.g_00060	gene	321				
Prao.g_00060	CDS	321				hypothetical protein
Prao.g_00061	gene	843	trpA			
Prao.g_00061	CDS	843	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
Prao.g_00062	gene	363				
Prao.g_00062	CDS	363				hypothetical protein
Prao.g_00063	gene	270				
Prao.g_00063	CDS	270				hypothetical protein
Prao.g_00064	gene	321				
Prao.g_00064	CDS	321				hypothetical protein
Prao.g_00065	gene	369				
Prao.g_00065	CDS	369				hypothetical protein
Prao.g_00066	gene	924	sigA2_1			
Prao.g_00066	CDS	924	sigA2_1		COG0568	RNA polymerase sigma factor SigA2
Prao.g_00067	gene	660	hisI			
Prao.g_00067	CDS	660	hisI	3.5.4.19		Histidine biosynthesis bifunctional protein HisIE
Prao.g_00068	gene	471				
Prao.g_00068	CDS	471				hypothetical protein
Prao.g_00069	gene	2583	clpB1_1			
Prao.g_00069	CDS	2583	clpB1_1		COG0542	Chaperone protein ClpB 1
Prao.g_00070	gene	351	petE			
Prao.g_00070	CDS	351	petE		COG3794	Plastocyanin
Prao.g_00071	gene	984				
Prao.g_00071	CDS	984				hypothetical protein
Prao.g_00072	gene	1041	hemE			
Prao.g_00072	CDS	1041	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
Prao.g_00073	gene	2265	glgB			
Prao.g_00073	CDS	2265	glgB	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
Prao.g_00074	gene	1581	cocE			
Prao.g_00074	CDS	1581	cocE	3.1.1.84		Cocaine esterase
Prao.g_00075	gene	267				
Prao.g_00075	CDS	267				hypothetical protein
Prao.g_00076	gene	420				
Prao.g_00076	CDS	420				hypothetical protein
Prao.g_00077	gene	444				
Prao.g_00077	CDS	444				hypothetical protein
Prao.g_00078	gene	3960				
Prao.g_00078	CDS	3960				hypothetical protein
Prao.g_00079	gene	1311	proA			
Prao.g_00079	CDS	1311	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
Prao.g_00080	gene	363	folB			
Prao.g_00080	CDS	363	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
Prao.g_00081	gene	594				
Prao.g_00081	CDS	594				hypothetical protein
Prao.g_00082	gene	2088	prlC			
Prao.g_00082	CDS	2088	prlC	3.4.24.70	COG0339	Oligopeptidase A
Prao.g_00083	gene	1542	ndhD1_1			
Prao.g_00083	CDS	1542	ndhD1_1	7.1.1.-	COG1008	NAD(P)H-quinone oxidoreductase chain 4 1
Prao.g_00084	gene	948	thrB			
Prao.g_00084	CDS	948	thrB	2.7.1.39	COG0083	Homoserine kinase
Prao.g_00085	gene	1035	glk			
Prao.g_00085	CDS	1035	glk	2.7.1.2	COG0837	Glucokinase
