Orthogroup	Prav	Prab
OG0000000	Prav.g_01276	Prab.g_00683
OG0000001	Prav.g_01694	Prab.g_01278
OG0000001	Prav.g_01821	Prab.g_01278
OG0000001	Prav.g_01694	Prab.g_01597
OG0000001	Prav.g_01821	Prab.g_01597
OG0000001	Prav.g_01715, Prav.g_01730	Prab.g_01606
OG0000001	Prav.g_01738	Prab.g_00918, Prab.g_01620
OG0000002	Prav.g_00962	Prab.g_00788
OG0000002	Prav.g_01734	Prab.g_01279, Prab.g_01281
OG0000003	Prav.g_01019, Prav.g_01413	Prab.g_01308
OG0000004	Prav.g_00330	Prab.g_00921
OG0000004	Prav.g_00338	Prab.g_00747
OG0000005	Prav.g_00973	Prab.g_00760
OG0000005	Prav.g_01695	Prab.g_01598
OG0000006	Prav.g_01095	Prab.g_00501
OG0000006	Prav.g_01761	Prab.g_01669
OG0000007	Prav.g_01270	Prab.g_00677
OG0000008	Prav.g_01000	Prab.g_00372
OG0000008	Prav.g_01016	Prab.g_00971
OG0000009	Prav.g_00375	Prab.g_00820
OG0000009	Prav.g_01896	Prab.g_00239
OG0000010	Prav.g_01732	Prab.g_01596
OG0000011	Prav.g_01976	Prab.g_00318
OG0000012	Prav.g_01194	Prab.g_00602
OG0000013	Prav.g_00961	Prab.g_00789
OG0000014	Prav.g_01416	Prab.g_00914, Prab.g_01616
OG0000015	Prav.g_00998	Prab.g_00370
OG0000016	Prav.g_01469	Prab.g_01356
OG0000017	Prav.g_01598	Prab.g_01486
OG0000018	Prav.g_02001	Prab.g_00231
OG0000019	Prav.g_00984	Prab.g_00354
OG0000020	Prav.g_00993	Prab.g_00411, Prab.g_00363
OG0000021	Prav.g_00377	Prab.g_00822
OG0000022	Prav.g_01736	Prab.g_00915, Prab.g_01617
OG0000023	Prav.g_01688	Prab.g_01584
OG0000024	Prav.g_01952	Prab.g_00294
OG0000025	Prav.g_01013	Prab.g_01635, Prab.g_00394
OG0000026	Prav.g_00101	Prab.g_00033
OG0000027	Prav.g_00333, Prav.g_01309	Prab.g_00719
OG0000028	Prav.g_01578	Prab.g_01466
OG0000029	Prav.g_01689, Prav.g_01881	Prab.g_01585
OG0000031	Prav.g_01410	Prab.g_01304
OG0000033	Prav.g_01385	Prab.g_01579
OG0000034	Prav.g_01533	Prab.g_01423
OG0000035	Prav.g_01877	Prab.g_01082
OG0000035	Prav.g_00251	Prab.g_01134
OG0000036	Prav.g_01182	Prab.g_00589
OG0000037	Prav.g_01221	Prab.g_00627
OG0000038	Prav.g_00360	Prab.g_00782
OG0000039	Prav.g_00872	Prab.g_00157
OG0000040	Prav.g_00979	Prab.g_00348
OG0000042	Prav.g_00306	Prab.g_00723
OG0000043	Prav.g_00381	Prab.g_00825
OG0000044	Prav.g_00065	Prab.g_01219
OG0000045	Prav.g_01512	Prab.g_01393
OG0000046	Prav.g_01754	Prab.g_01662
OG0000047	Prav.g_00689	Prab.g_01857
OG0000048	Prav.g_00696	Prab.g_01864
OG0000050	Prav.g_01324	Prab.g_01629
OG0000051	Prav.g_00881	Prab.g_00148
OG0000052	Prav.g_00989	Prab.g_00359
OG0000053	Prav.g_01137	Prab.g_00543
OG0000054	Prav.g_01325	Prab.g_00803
OG0000055	Prav.g_00419	Prab.g_00862
OG0000056	Prav.g_00021	Prab.g_01634
OG0000057	Prav.g_00801	Prab.g_00228
