Orthogroup	Prav	Prbl
OG0000000	Prav.g_01466	Prbl.g_01582
OG0000000	Prav.g_01276	Prbl.g_01092
OG0000001	Prav.g_01715, Prav.g_01730	Prbl.g_00118
OG0000001	Prav.g_01738	Prbl.g_00116
OG0000002	Prav.g_01458	Prbl.g_00725, Prbl.g_02599, Prbl.g_00808, Prbl.g_02598, Prbl.g_00121, Prbl.g_02578
OG0000003	Prav.g_01019, Prav.g_01413	Prbl.g_00117
OG0000004	Prav.g_00330, Prav.g_00338	Prbl.g_01685, Prbl.g_00628, Prbl.g_00679
OG0000006	Prav.g_01095	Prbl.g_00531
OG0000006	Prav.g_01761	Prbl.g_00394
OG0000007	Prav.g_01749	Prbl.g_01855
OG0000007	Prav.g_01270, Prav.g_01750	Prbl.g_01854
OG0000009	Prav.g_00375, Prav.g_01896	Prbl.g_01509
OG0000011	Prav.g_01976	Prbl.g_00719
OG0000012	Prav.g_01194	Prbl.g_01755, Prbl.g_01763
OG0000013	Prav.g_00961	Prbl.g_01566
OG0000016	Prav.g_01469	Prbl.g_00007, Prbl.g_00046
OG0000018	Prav.g_02001	Prbl.g_02601
OG0000019	Prav.g_00984	Prbl.g_01768
OG0000020	Prav.g_00993	Prbl.g_01465
OG0000024	Prav.g_01952	Prbl.g_01416
OG0000026	Prav.g_00101	Prbl.g_01981
OG0000028	Prav.g_01578	Prbl.g_00242
OG0000031	Prav.g_01410	Prbl.g_01677
OG0000036	Prav.g_01182	Prbl.g_01783
OG0000037	Prav.g_01221	Prbl.g_01618
OG0000038	Prav.g_00360	Prbl.g_01072, Prbl.g_01310
OG0000039	Prav.g_00872	Prbl.g_01838, Prbl.g_00281
OG0000040	Prav.g_00979	Prbl.g_02355
OG0000042	Prav.g_00306	Prbl.g_01839, Prbl.g_02567
OG0000043	Prav.g_00381	Prbl.g_01097, Prbl.g_01099
OG0000044	Prav.g_00065	Prbl.g_02084
OG0000045	Prav.g_01512	Prbl.g_00890
OG0000046	Prav.g_01754	Prbl.g_00405
OG0000047	Prav.g_00689	Prbl.g_01285
OG0000048	Prav.g_00696	Prbl.g_01121, Prbl.g_01236
OG0000050	Prav.g_01324	Prbl.g_01977
OG0000051	Prav.g_00881	Prbl.g_00290
OG0000052	Prav.g_00989	Prbl.g_00411
OG0000053	Prav.g_01137	Prbl.g_00752
OG0000054	Prav.g_01325	Prbl.g_01943
OG0000055	Prav.g_00419	Prbl.g_02310
OG0000056	Prav.g_00021, Prav.g_01388	Prbl.g_00138
OG0000058	Prav.g_01073	Prbl.g_01340
OG0000059	Prav.g_01296	Prbl.g_00025
OG0000062	Prav.g_00033	Prbl.g_02204
OG0000063	Prav.g_01390	Prbl.g_01384
OG0000065	Prav.g_01438	Prbl.g_01722
OG0000066	Prav.g_01513	Prbl.g_00892
OG0000068	Prav.g_00632	Prbl.g_01126, Prbl.g_01000
OG0000069	Prav.g_01499	Prbl.g_00712
OG0000070	Prav.g_01421	Prbl.g_01171, Prbl.g_01599
OG0000071	Prav.g_00079	Prbl.g_02109
OG0000073	Prav.g_01267	Prbl.g_01395
OG0000074	Prav.g_01289	Prbl.g_01859
OG0000075	Prav.g_00404	Prbl.g_02328
OG0000076	Prav.g_00933	Prbl.g_00927
OG0000078	Prav.g_01514	Prbl.g_00893
OG0000079	Prav.g_01551	Prbl.g_00417
OG0000080	Prav.g_01705	Prbl.g_00462
OG0000081	Prav.g_00663	Prbl.g_00857
OG0000082	Prav.g_00751	Prbl.g_02195
OG0000083	Prav.g_00789	Prbl.g_02118
OG0000084	Prav.g_00792	Prbl.g_02115
OG0000085	Prav.g_00091	Prbl.g_01968
