Orthogroup	Prav	Prbm
OG0000000	Prav.g_01466	Prbm.g_00874
OG0000000	Prav.g_01276	Prbm.g_00712, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581
OG0000002	Prav.g_01458	Prbm.g_01633
OG0000002	Prav.g_00962, Prav.g_01820, Prav.g_02007, Prav.g_01734	Prbm.g_00496, Prbm.g_01940
OG0000003	Prav.g_01019, Prav.g_01413	Prbm.g_01140, Prbm.g_00433, Prbm.g_01231, Prbm.g_01384, Prbm.g_01313, Prbm.g_01814
OG0000004	Prav.g_00330, Prav.g_00338	Prbm.g_01436, Prbm.g_01988, Prbm.g_00081
OG0000005	Prav.g_00973	Prbm.g_01406, Prbm.g_00435, Prbm.g_01116, Prbm.g_01808, Prbm.g_01407, Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_00436
OG0000006	Prav.g_01095	Prbm.g_00522
OG0000006	Prav.g_01761	Prbm.g_01841
OG0000007	Prav.g_01749	Prbm.g_01907
OG0000007	Prav.g_01750	Prbm.g_01908
OG0000008	Prav.g_01000	Prbm.g_00463
OG0000009	Prav.g_00375	Prbm.g_00792
OG0000010	Prav.g_01732, Prav.g_01400	Prbm.g_01359
OG0000011	Prav.g_01976	Prbm.g_00390
OG0000012	Prav.g_01194	Prbm.g_00628, Prbm.g_00635
OG0000013	Prav.g_00961	Prbm.g_01427, Prbm.g_01149
OG0000015	Prav.g_00998	Prbm.g_01415, Prbm.g_01164
OG0000016	Prav.g_01469	Prbm.g_01653
OG0000017	Prav.g_01598	Prbm.g_01729
OG0000018	Prav.g_02001	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000020	Prav.g_00993	Prbm.g_00329
OG0000021	Prav.g_00377	Prbm.g_01091, Prbm.g_01262, Prbm.g_01017, Prbm.g_01016
OG0000022	Prav.g_01736	Prbm.g_01115, Prbm.g_01408, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000023	Prav.g_01688	Prbm.g_01400, Prbm.g_01235
OG0000024	Prav.g_01952	Prbm.g_00362, Prbm.g_02126
OG0000025	Prav.g_01013	Prbm.g_00118, Prbm.g_01485
OG0000026	Prav.g_00101	Prbm.g_01947
OG0000027	Prav.g_01309	Prbm.g_01124, Prbm.g_01110, Prbm.g_01445, Prbm.g_01461
OG0000028	Prav.g_01578	Prbm.g_01710
OG0000029	Prav.g_01689, Prav.g_01881	Prbm.g_00772, Prbm.g_01414, Prbm.g_01387, Prbm.g_01753
OG0000033	Prav.g_01385	Prbm.g_01944
OG0000035	Prav.g_01877	Prbm.g_01482
OG0000036	Prav.g_01182	Prbm.g_01900
OG0000037	Prav.g_01221	Prbm.g_01106
OG0000038	Prav.g_00360	Prbm.g_01204
OG0000039	Prav.g_00872	Prbm.g_00225
OG0000040	Prav.g_00979	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284
OG0000042	Prav.g_00306	Prbm.g_00742
OG0000043	Prav.g_00381	Prbm.g_00950
OG0000044	Prav.g_00065	Prbm.g_01549
OG0000046	Prav.g_01754	Prbm.g_01834
OG0000047	Prav.g_00689	Prbm.g_02094
OG0000048	Prav.g_00696	Prbm.g_02102
OG0000050	Prav.g_01324	Prbm.g_00031
OG0000051	Prav.g_00881	Prbm.g_00216
OG0000052	Prav.g_00989	Prbm.g_01172, Prbm.g_01237
OG0000053	Prav.g_01137	Prbm.g_00572
OG0000054	Prav.g_01325	Prbm.g_00047
OG0000055	Prav.g_00419	Prbm.g_00838, Prbm.g_01191
OG0000056	Prav.g_00021, Prav.g_01388	Prbm.g_00048
OG0000057	Prav.g_00801	Prbm.g_00297
OG0000058	Prav.g_01073	Prbm.g_00500
OG0000059	Prav.g_01296	Prbm.g_00735
OG0000060	Prav.g_00335	Prbm.g_01186
OG0000061	Prav.g_00031, Prav.g_00576	Prbm.g_01648
OG0000062	Prav.g_00033	Prbm.g_01910
OG0000063	Prav.g_01390	Prbm.g_01522
OG0000065	Prav.g_01438	Prbm.g_00468, Prbm.g_01611
OG0000066	Prav.g_01513	Prbm.g_00707
OG0000067	Prav.g_01334	Prbm.g_01174
OG0000068	Prav.g_00632	Prbm.g_02033
OG0000069	Prav.g_01499	Prbm.g_01747
OG0000070	Prav.g_01421	Prbm.g_00477
