Orthogroup	Prav	Prbf
OG0000000	Prav.g_01466	Prbf.g_01182, Prbf.g_01177
OG0000000	Prav.g_01276	Prbf.g_01285, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260
OG0000002	Prav.g_01458	Prbf.g_00068
OG0000002	Prav.g_00962, Prav.g_01820, Prav.g_02007, Prav.g_01734	Prbf.g_00831
OG0000003	Prav.g_01019, Prav.g_01413	Prbf.g_00880
OG0000004	Prav.g_00330, Prav.g_00338	Prbf.g_00052
OG0000005	Prav.g_00973	Prbf.g_00776
OG0000006	Prav.g_01095	Prbf.g_01780
OG0000006	Prav.g_01761	Prbf.g_00693
OG0000007	Prav.g_01749	Prbf.g_00793
OG0000007	Prav.g_01750	Prbf.g_00792
OG0000009	Prav.g_00375	Prbf.g_00894
OG0000009	Prav.g_01896	Prbf.g_01588
OG0000010	Prav.g_01732, Prav.g_01400	Prbf.g_00306
OG0000012	Prav.g_01194	Prbf.g_01880, Prbf.g_01887
OG0000013	Prav.g_00961	Prbf.g_00754, Prbf.g_00708
OG0000014	Prav.g_01068, Prav.g_01416	Prbf.g_00817, Prbf.g_00774
OG0000015	Prav.g_00998	Prbf.g_00765, Prbf.g_00732
OG0000016	Prav.g_01469	Prbf.g_00864, Prbf.g_00254
OG0000018	Prav.g_02001	Prbf.g_01580
OG0000019	Prav.g_00984	Prbf.g_01259
OG0000020	Prav.g_00993	Prbf.g_00039, Prbf.g_01611
OG0000021	Prav.g_00377	Prbf.g_00711
OG0000023	Prav.g_01688	Prbf.g_00252
OG0000024	Prav.g_01952	Prbf.g_01647
OG0000025	Prav.g_01013	Prbf.g_00845
OG0000028	Prav.g_01578	Prbf.g_00157
OG0000029	Prav.g_01689, Prav.g_01881	Prbf.g_01738
OG0000033	Prav.g_01385	Prbf.g_00860
OG0000034	Prav.g_01533	Prbf.g_00135
OG0000035	Prav.g_01877	Prbf.g_00299
OG0000036	Prav.g_01182	Prbf.g_00704, Prbf.g_01867
