Orthogroup	Prav	Prae
OG0000000	Prav.g_01466	Prae.g_01361
OG0000000	Prav.g_01276	Prae.g_00652
OG0000001	Prav.g_01694	Prae.g_01222
OG0000001	Prav.g_01821	Prae.g_01222
OG0000001	Prav.g_01694	Prae.g_01579
OG0000001	Prav.g_01821	Prae.g_01579
OG0000001	Prav.g_01715, Prav.g_01730	Prae.g_01300
OG0000002	Prav.g_01458	Prae.g_01353
OG0000002	Prav.g_00962	Prae.g_01236
OG0000002	Prav.g_01820, Prav.g_02007	Prae.g_01223, Prae.g_01224
OG0000003	Prav.g_01698	Prae.g_01581
OG0000003	Prav.g_01413	Prae.g_01308
OG0000004	Prav.g_00330	Prae.g_00735
OG0000004	Prav.g_00338	Prae.g_00742
OG0000005	Prav.g_01695	Prae.g_01580
OG0000006	Prav.g_01095	Prae.g_00471
OG0000006	Prav.g_01761	Prae.g_01623
OG0000007	Prav.g_01270	Prae.g_00646
OG0000008	Prav.g_01000	Prae.g_00383
OG0000008	Prav.g_01016	Prae.g_01264
OG0000009	Prav.g_00375	Prae.g_00786
OG0000009	Prav.g_01896	Prae.g_00252
OG0000010	Prav.g_01400	Prae.g_01283
OG0000011	Prav.g_01976	Prae.g_00331
OG0000012	Prav.g_01194	Prae.g_00572
OG0000013	Prav.g_00961	Prae.g_01235
OG0000013	Prav.g_00363	Prae.g_00769
OG0000014	Prav.g_01416	Prae.g_01311
OG0000015	Prav.g_00998	Prae.g_00381
OG0000016	Prav.g_01469	Prae.g_01364
OG0000017	Prav.g_01598	Prae.g_01479
OG0000018	Prav.g_02001	Prae.g_00244
OG0000019	Prav.g_00984	Prae.g_00364, Prae.g_01600
OG0000020	Prav.g_00993	Prae.g_00374
OG0000021	Prav.g_00377	Prae.g_00788
OG0000022	Prav.g_01736, Prav.g_01415	Prae.g_01310
OG0000023	Prav.g_01688	Prae.g_01572, Prae.g_01270
OG0000024	Prav.g_01952	Prae.g_00307
OG0000026	Prav.g_00101	Prae.g_00033
OG0000027	Prav.g_00333	Prae.g_00738
OG0000027	Prav.g_01309	Prae.g_01546
OG0000028	Prav.g_01578	Prae.g_01459
OG0000029	Prav.g_01689, Prav.g_01881	Prae.g_01573
OG0000031	Prav.g_01410	Prae.g_01294
OG0000033	Prav.g_00081, Prav.g_01385	Prae.g_00013
OG0000034	Prav.g_01533	Prae.g_01416
