Orthogroup	Prav	Prap
OG0000000	Prav.g_01466	Prap.g_00720, Prap.g_00715
OG0000000	Prav.g_01276	Prap.g_00823, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224
OG0000002	Prav.g_01458	Prap.g_01925
OG0000002	Prav.g_00962, Prav.g_01820, Prav.g_02007, Prav.g_01734	Prap.g_00653
OG0000003	Prav.g_01019, Prav.g_01413	Prap.g_00494
OG0000004	Prav.g_00330, Prav.g_00338	Prap.g_00535
OG0000005	Prav.g_00973	Prap.g_01862
OG0000006	Prav.g_01095	Prap.g_01270
OG0000006	Prav.g_01761	Prap.g_01779
OG0000007	Prav.g_01749	Prap.g_01888
OG0000007	Prav.g_01750	Prap.g_01887
OG0000009	Prav.g_00375	Prap.g_00480
OG0000009	Prav.g_01896	Prap.g_01462
OG0000010	Prav.g_01732, Prav.g_01400	Prap.g_00010
OG0000012	Prav.g_01194	Prap.g_01170, Prap.g_01163
OG0000013	Prav.g_00961	Prap.g_01840, Prap.g_01794
OG0000014	Prav.g_01068, Prav.g_01416	Prap.g_01912, Prap.g_01860
OG0000015	Prav.g_00998	Prap.g_01851, Prap.g_01818
OG0000016	Prav.g_01469	Prap.g_00510, Prap.g_00218
OG0000018	Prav.g_02001	Prap.g_01470
OG0000019	Prav.g_00984	Prap.g_00797
OG0000020	Prav.g_00993	Prap.g_00548, Prap.g_01439
OG0000021	Prav.g_00377	Prap.g_01797
OG0000023	Prav.g_01688	Prap.g_00216
OG0000024	Prav.g_01952	Prap.g_01403
OG0000025	Prav.g_01013	Prap.g_00667
OG0000028	Prav.g_01578	Prap.g_00121
OG0000029	Prav.g_01689, Prav.g_01881	Prap.g_01312
OG0000033	Prav.g_01385	Prap.g_00514
OG0000034	Prav.g_01533	Prap.g_00099
OG0000035	Prav.g_01877	Prap.g_00017
OG0000036	Prav.g_01182	Prap.g_01790, Prap.g_01183
OG0000037	Prav.g_01221	Prap.g_00236, Prap.g_01145
OG0000038	Prav.g_00360	Prap.g_00212
OG0000039	Prav.g_00872	Prap.g_01004
OG0000040	Prav.g_00979	Prap.g_00029
OG0000042	Prav.g_00306	Prap.g_00791
OG0000043	Prav.g_00381	Prap.g_00691
OG0000044	Prav.g_00065	Prap.g_00456
OG0000045	Prav.g_01512	Prap.g_00081
OG0000046	Prav.g_01754	Prap.g_01787, Prap.g_01917
OG0000047	Prav.g_00689	Prap.g_01580
OG0000048	Prav.g_00696	Prap.g_01572
OG0000050	Prav.g_01324	Prap.g_00923
OG0000051	Prav.g_00881	Prap.g_01013
