Orthogroup	Prad	Prbf
OG0000000	Prad.g_00601	Prbf.g_01182, Prbf.g_01177
OG0000000	Prad.g_01252	Prbf.g_01285, Prbf.g_00260, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883
OG0000001	Prad.g_01297	Prbf.g_00760, Prbf.g_00881, Prbf.g_00775
OG0000002	Prad.g_00609	Prbf.g_00068
OG0000002	Prad.g_01434, Prad.g_01994	Prbf.g_00831
OG0000003	Prad.g_00350, Prad.g_00389	Prbf.g_00880
OG0000004	Prad.g_01082	Prbf.g_00052
OG0000005	Prad.g_00392, Prad.g_01982	Prbf.g_00776
OG0000006	Prad.g_00132	Prbf.g_01780
OG0000006	Prad.g_00941	Prbf.g_00693
OG0000009	Prad.g_01125	Prbf.g_00894
OG0000009	Prad.g_01742	Prbf.g_01588
OG0000010	Prad.g_00650, Prad.g_00330	Prbf.g_00306
OG0000011	Prad.g_00683	Prbf.g_01707
OG0000012	Prad.g_01387	Prbf.g_01887, Prbf.g_01880
OG0000013	Prad.g_01108	Prbf.g_00754, Prbf.g_00708
OG0000014	Prad.g_00353, Prad.g_01298	Prbf.g_00774, Prbf.g_00817
OG0000015	Prad.g_00951, Prad.g_00728	Prbf.g_00765, Prbf.g_00732
OG0000016	Prad.g_00598	Prbf.g_00864, Prbf.g_00254
OG0000018	Prad.g_01750	Prbf.g_01580
OG0000019	Prad.g_01981, Prad.g_00745	Prbf.g_01259
OG0000020	Prad.g_00735	Prbf.g_01611
OG0000021	Prad.g_01127	Prbf.g_00711
OG0000023	Prad.g_00317	Prbf.g_00252
OG0000024	Prad.g_01685	Prbf.g_01647
OG0000026	Prad.g_00081	Prbf.g_00808
OG0000028	Prad.g_00515	Prbf.g_00157
OG0000029	Prad.g_00400, Prad.g_00952	Prbf.g_01738
OG0000034	Prad.g_00571	Prbf.g_01380
OG0000035	Prad.g_00258	Prbf.g_00299
OG0000036	Prad.g_01374	Prbf.g_01867, Prbf.g_00704
OG0000037	Prad.g_01412	Prbf.g_01905, Prbf.g_00272
OG0000038	Prad.g_01105	Prbf.g_00248
OG0000039	Prad.g_01825	Prbf.g_01500
OG0000040	Prad.g_00751	Prbf.g_00287
OG0000041	Prad.g_00697	Prbf.g_00729, Prbf.g_00735
OG0000042	Prad.g_01049	Prbf.g_01253
OG0000043	Prad.g_01130	Prbf.g_01153
OG0000044	Prad.g_01496	Prbf.g_00918
OG0000045	Prad.g_00565	Prbf.g_00117
OG0000046	Prad.g_00948	Prbf.g_00822, Prbf.g_00701
OG0000047	Prad.g_01631	Prbf.g_00496
OG0000048	Prad.g_01624	Prbf.g_00487
OG0000050	Prad.g_01955	Prbf.g_01354
OG0000051	Prad.g_01834	Prbf.g_01491
OG0000052	Prad.g_00739	Prbf.g_00320
OG0000053	Prad.g_00090	Prbf.g_00781, Prbf.g_01820
OG0000055	Prad.g_01168	Prbf.g_01222
OG0000057	Prad.g_01754, Prad.g_00965	Prbf.g_01575
OG0000058	Prad.g_00032	Prbf.g_01758
OG0000059	Prad.g_01272	Prbf.g_01261
OG0000062	Prad.g_01989	Prbf.g_00788
