Orthogroup	Prad	Pram
OG0000000	Prad.g_00601	Pram.g_00873, Pram.g_00879
OG0000000	Prad.g_01252	Pram.g_00768, Pram.g_01278, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174
OG0000001	Prad.g_01297	Pram.g_01556, Pram.g_01512
OG0000002	Prad.g_00609	Pram.g_01953, Pram.g_01954
OG0000002	Prad.g_01434, Prad.g_01994	Pram.g_00719
OG0000003	Prad.g_00350, Prad.g_00389	Pram.g_01513, Pram.g_01176
OG0000004	Prad.g_01082	Pram.g_01207
OG0000005	Prad.g_00392, Prad.g_01982	Pram.g_01511
OG0000006	Prad.g_00132	Pram.g_00433
OG0000006	Prad.g_00941	Pram.g_01632
OG0000009	Prad.g_01125	Pram.g_01164
OG0000009	Prad.g_01742	Pram.g_00237
OG0000010	Prad.g_00650, Prad.g_00330	Pram.g_01505, Pram.g_00621
OG0000011	Prad.g_00683	Pram.g_00359
OG0000012	Prad.g_01387	Pram.g_00542, Pram.g_00535
OG0000013	Prad.g_01108	Pram.g_01545, Pram.g_00696
OG0000015	Prad.g_00951, Prad.g_00728	Pram.g_01597, Pram.g_00618, Pram.g_00662
OG0000016	Prad.g_00598	Pram.g_01283
OG0000018	Prad.g_01750	Pram.g_00229
OG0000019	Prad.g_01981, Prad.g_00745	Pram.g_00794
OG0000020	Prad.g_00735	Pram.g_00259
OG0000021	Prad.g_01127	Pram.g_01544, Pram.g_00644
OG0000022	Prad.g_00352	Pram.g_01561
OG0000023	Prad.g_00317	Pram.g_00390, Pram.g_01573
OG0000023	Prad.g_00401	Pram.g_01284
OG0000024	Prad.g_01685	Pram.g_00295
OG0000026	Prad.g_00081	Pram.g_01258
OG0000028	Prad.g_00515	Pram.g_01381, Pram.g_01378
OG0000029	Prad.g_00400, Prad.g_00952	Pram.g_00391
OG0000034	Prad.g_00571	Pram.g_00040
OG0000035	Prad.g_00258	Pram.g_00681
OG0000036	Prad.g_01374	Pram.g_01559
OG0000037	Prad.g_01412	Pram.g_00561
OG0000038	Prad.g_01105	Pram.g_01287
OG0000039	Prad.g_01825	Pram.g_00151
OG0000040	Prad.g_00751	Pram.g_00689
OG0000041	Prad.g_00697	Pram.g_01587
OG0000042	Prad.g_01049	Pram.g_00801
OG0000043	Prad.g_01130	Pram.g_00905
OG0000044	Prad.g_01496	Pram.g_01140
OG0000045	Prad.g_00565	Pram.g_01447
OG0000046	Prad.g_00948	Pram.g_01265
OG0000047	Prad.g_01631	Pram.g_01833
OG0000048	Prad.g_01624	Pram.g_01841
OG0000050	Prad.g_01955	Pram.g_00018
OG0000051	Prad.g_01834	Pram.g_00142
OG0000052	Prad.g_00739	Pram.g_00677
OG0000053	Prad.g_00090	Pram.g_01558
OG0000055	Prad.g_01168	Pram.g_00832
OG0000057	Prad.g_01754, Prad.g_00965	Pram.g_00224
OG0000058	Prad.g_00032	Pram.g_00411
OG0000059	Prad.g_01272	Pram.g_00792
OG0000060	Prad.g_01080, Prad.g_01300	Pram.g_00631
OG0000062	Prad.g_01989	Pram.g_01546
OG0000063	Prad.g_01214	Pram.g_01112
OG0000065	Prad.g_00628	Pram.g_01230
OG0000066	Prad.g_00564	Pram.g_01446
