Orthogroup	Prad	Prae
OG0000000	Prad.g_00601	Prae.g_01361
OG0000000	Prad.g_01252	Prae.g_00652
OG0000001	Prad.g_01435	Prae.g_01222
OG0000001	Prad.g_00372, Prad.g_00349	Prae.g_01300
OG0000002	Prad.g_00609	Prae.g_01353
OG0000002	Prad.g_01434, Prad.g_01994	Prae.g_01223, Prae.g_01224, Prae.g_01236
OG0000003	Prad.g_00350	Prae.g_01308
OG0000003	Prad.g_00389	Prae.g_01581
OG0000004	Prad.g_01075	Prae.g_00735
OG0000004	Prad.g_01082	Prae.g_00742
OG0000004	Prad.g_00345	Prae.g_01297
OG0000005	Prad.g_00392	Prae.g_01580
OG0000006	Prad.g_00132	Prae.g_00471
OG0000006	Prad.g_00941	Prae.g_01623
OG0000007	Prad.g_01246	Prae.g_00646
OG0000008	Prad.g_00726	Prae.g_00383
OG0000008	Prad.g_00377	Prae.g_00997
OG0000008	Prad.g_01215	Prae.g_01264
OG0000009	Prad.g_01125	Prae.g_00786
OG0000009	Prad.g_01742	Prae.g_00252
OG0000010	Prad.g_00650	Prae.g_01110
OG0000010	Prad.g_00330	Prae.g_01283
OG0000011	Prad.g_01661	Prae.g_00331
OG0000012	Prad.g_01387	Prae.g_00572
OG0000013	Prad.g_01108	Prae.g_00769, Prae.g_01235
OG0000014	Prad.g_00353	Prae.g_01311
OG0000015	Prad.g_00728	Prae.g_00381
OG0000016	Prad.g_00598	Prae.g_01364
OG0000017	Prad.g_00494	Prae.g_01479
OG0000018	Prad.g_01750	Prae.g_00244
OG0000019	Prad.g_01981	Prae.g_01600
OG0000019	Prad.g_00745	Prae.g_00364
OG0000020	Prad.g_00735	Prae.g_00374
OG0000021	Prad.g_01127	Prae.g_00788
OG0000022	Prad.g_00352	Prae.g_01310
OG0000023	Prad.g_00317	Prae.g_01270
OG0000023	Prad.g_00401	Prae.g_01572
OG0000024	Prad.g_01685	Prae.g_00307
OG0000025	Prad.g_00985	Prae.g_01077
OG0000026	Prad.g_01953	Prae.g_00033
OG0000027	Prad.g_00427	Prae.g_01546
OG0000027	Prad.g_01078	Prae.g_00738
OG0000028	Prad.g_00515	Prae.g_01459
OG0000029	Prad.g_00400	Prae.g_01573
OG0000031	Prad.g_00342	Prae.g_01294
OG0000033	Prad.g_01973	Prae.g_00013
OG0000034	Prad.g_00571	Prae.g_01416
OG0000035	Prad.g_00258	Prae.g_00894
OG0000036	Prad.g_01374	Prae.g_00559
OG0000037	Prad.g_01412	Prae.g_00597
OG0000038	Prad.g_01105	Prae.g_00764
OG0000039	Prad.g_01825	Prae.g_00169
OG0000040	Prad.g_00751	Prae.g_00359
OG0000041	Prad.g_00697	Prae.g_00402
OG0000042	Prad.g_01049	Prae.g_00711
OG0000043	Prad.g_01130	Prae.g_00791
OG0000044	Prad.g_01496	Prae.g_01163
OG0000045	Prad.g_00565	Prae.g_01406, Prae.g_01417
OG0000046	Prad.g_00948	Prae.g_01616
OG0000047	Prad.g_01631	Prae.g_01815
OG0000048	Prad.g_01624	Prae.g_01822
OG0000050	Prad.g_01955	Prae.g_00031
OG0000051	Prad.g_01834	Prae.g_00160
OG0000052	Prad.g_00739	Prae.g_00370
