Orthogroup	Prad	Prbk
OG0000000	Prad.g_00601	Prbk.g_02574
OG0000000	Prad.g_01252	Prbk.g_01649
OG0000001	Prad.g_00372, Prad.g_00349	Prbk.g_00167
OG0000002	Prad.g_00609	Prbk.g_00561, Prbk.g_02701, Prbk.g_00630, Prbk.g_01196, Prbk.g_00170
OG0000003	Prad.g_00350, Prad.g_00389	Prbk.g_00166
OG0000004	Prad.g_01082	Prbk.g_01701, Prbk.g_00304, Prbk.g_00355
OG0000006	Prad.g_00941	Prbk.g_00907
OG0000007	Prad.g_01246	Prbk.g_01820, Prbk.g_01819
OG0000009	Prad.g_01125, Prad.g_01742	Prbk.g_01004
OG0000011	Prad.g_00683	Prbk.g_02565
OG0000011	Prad.g_01661	Prbk.g_01202
OG0000012	Prad.g_01387	Prbk.g_01150, Prbk.g_01142
OG0000013	Prad.g_01108	Prbk.g_02558
OG0000016	Prad.g_00598	Prbk.g_01746, Prbk.g_01786
OG0000018	Prad.g_01750	Prbk.g_02695
OG0000019	Prad.g_01981, Prad.g_00745	Prbk.g_01137
OG0000024	Prad.g_01685	Prbk.g_00454
OG0000026	Prad.g_01953, Prad.g_00081	Prbk.g_01613
OG0000028	Prad.g_00515	Prbk.g_00259
OG0000034	Prad.g_00571	Prbk.g_00499
OG0000036	Prad.g_01374	Prbk.g_01122
OG0000037	Prad.g_01412	Prbk.g_02610
OG0000038	Prad.g_01105	Prbk.g_01667, Prbk.g_00212
OG0000039	Prad.g_01825	Prbk.g_00773, Prbk.g_01836
OG0000040	Prad.g_00751	Prbk.g_02448
OG0000042	Prad.g_01049	Prbk.g_00619, Prbk.g_01835
OG0000043	Prad.g_01130	Prbk.g_01642, Prbk.g_01644
OG0000044	Prad.g_01496	Prbk.g_01019
OG0000045	Prad.g_00565	Prbk.g_00479
OG0000046	Prad.g_00948	Prbk.g_00919
OG0000047	Prad.g_01631	Prbk.g_00237
OG0000048	Prad.g_01624	Prbk.g_01495, Prbk.g_00140
OG0000050	Prad.g_01955	Prbk.g_01617
OG0000051	Prad.g_01834	Prbk.g_00764
OG0000052	Prad.g_00739	Prbk.g_00925
OG0000053	Prad.g_00090	Prbk.g_01094
OG0000054	Prad.g_01099	Prbk.g_01468
OG0000055	Prad.g_01168	Prbk.g_02493
OG0000056	Prad.g_00657	Prbk.g_00694
OG0000058	Prad.g_00032	Prbk.g_02113
OG0000059	Prad.g_01272	Prbk.g_01765
OG0000062	Prad.g_01989	Prbk.g_02195
OG0000063	Prad.g_01214	Prbk.g_01496
OG0000065	Prad.g_00628	Prbk.g_01183
OG0000066	Prad.g_00564	Prbk.g_00477
OG0000068	Prad.g_00807	Prbk.g_00796, Prbk.g_00944
OG0000069	Prad.g_00572	Prbk.g_01209
OG0000069	Prad.g_00561	Prbk.g_00480
OG0000071	Prad.g_01975	Prbk.g_02290
OG0000072	Prad.g_01669	Prbk.g_00472
OG0000073	Prad.g_01243	Prbk.g_00709
OG0000074	Prad.g_01265	Prbk.g_01815
OG0000075	Prad.g_01153	Prbk.g_02475
OG0000076	Prad.g_01018	Prbk.g_00056
OG0000078	Prad.g_00566	Prbk.g_00476
OG0000079	Prad.g_00436	Prbk.g_00931
OG0000080	Prad.g_00383	Prbk.g_02012
OG0000081	Prad.g_00777	Prbk.g_00512
OG0000083	Prad.g_01533	Prbk.g_02281
OG0000084	Prad.g_01530	Prbk.g_02284
OG0000085	Prad.g_01963	Prbk.g_01626
OG0000087	Prad.g_01937	Prbk.g_02126
OG0000088	Prad.g_00011, Prad.g_01880	Prbk.g_00191
OG0000089	Prad.g_01872	Prbk.g_00206
OG0000090	Prad.g_01854	Prbk.g_00559
OG0000091	Prad.g_01822	Prbk.g_00776
OG0000092	Prad.g_01821	Prbk.g_00777
OG0000093	Prad.g_01807	Prbk.g_01280
OG0000094	Prad.g_01789	Prbk.g_01251
OG0000095	Prad.g_01784	Prbk.g_00632
OG0000096	Prad.g_01740	Prbk.g_01001
OG0000097	Prad.g_01717	Prbk.g_00409
OG0000099	Prad.g_01697	Prbk.g_00434
OG0000100	Prad.g_01694	Prbk.g_00438
OG0000101	Prad.g_00754	Prbk.g_00361
OG0000102	Prad.g_00727	Prbk.g_02209
OG0000103	Prad.g_00031	Prbk.g_02114
OG0000104	Prad.g_00027	Prbk.g_02061
OG0000105	Prad.g_00130	Prbk.g_01862
OG0000106	Prad.g_00097	Prbk.g_01078
OG0000107	Prad.g_00096	Prbk.g_01080
OG0000108	Prad.g_01333	Prbk.g_02684
OG0000109	Prad.g_01342	Prbk.g_01890
OG0000110	Prad.g_01358	Prbk.g_01871
OG0000111	Prad.g_01225	Prbk.g_00740
OG0000112	Prad.g_01226	Prbk.g_00739
OG0000113	Prad.g_01071	Prbk.g_02370
OG0000114	Prad.g_01144	Prbk.g_02466
