Orthogroup	Prad	Praj
OG0000000	Prad.g_00601	Praj.g_00832
OG0000000	Prad.g_01252	Praj.g_00670, Praj.g_01492, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487
OG0000001	Prad.g_00372, Prad.g_00349	Praj.g_01267, Praj.g_00087
OG0000001	Prad.g_01297	Praj.g_01080, Praj.g_01100, Praj.g_01732, Praj.g_01307, Praj.g_01359
OG0000002	Prad.g_00609	Praj.g_01549
OG0000002	Prad.g_01434, Prad.g_01994	Praj.g_01861, Praj.g_00463, Praj.g_01112
OG0000003	Prad.g_00350, Prad.g_00389	Praj.g_01099, Praj.g_01204, Praj.g_01311, Praj.g_01274, Praj.g_00415, Praj.g_01737
OG0000004	Prad.g_01082	Praj.g_01222, Praj.g_00411, Praj.g_01121
OG0000005	Prad.g_00392, Prad.g_01982	Praj.g_01730, Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01202, Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417
OG0000006	Prad.g_00132	Praj.g_00489
OG0000006	Prad.g_00941	Praj.g_01768
OG0000009	Prad.g_01125	Praj.g_00747
OG0000010	Prad.g_00650, Prad.g_00330	Praj.g_01249
OG0000011	Prad.g_00683	Praj.g_00408
OG0000011	Prad.g_01661	Praj.g_00370
OG0000012	Prad.g_01387	Praj.g_00592, Praj.g_00585
OG0000013	Prad.g_01108	Praj.g_01113
OG0000014	Prad.g_00353, Prad.g_01298	Praj.g_01331
OG0000015	Prad.g_00951, Prad.g_00728	Praj.g_01148
OG0000016	Prad.g_00598	Praj.g_01568
OG0000017	Prad.g_00494	Praj.g_01651
OG0000018	Prad.g_01750	Praj.g_01505, Praj.g_01281, Praj.g_00282
OG0000019	Prad.g_01981, Prad.g_00745	Praj.g_00084
OG0000021	Prad.g_01127	Praj.g_01335, Praj.g_00976, Praj.g_00975, Praj.g_01051, Praj.g_01316
OG0000022	Prad.g_00352	Praj.g_01076, Praj.g_01308, Praj.g_01201, Praj.g_01271, Praj.g_01356, Praj.g_00419
OG0000024	Prad.g_01685	Praj.g_00341, Praj.g_01609
OG0000026	Prad.g_01953, Prad.g_00081	Praj.g_01867
OG0000027	Prad.g_00427	Praj.g_01070, Praj.g_01084
OG0000028	Prad.g_00515	Praj.g_01632
OG0000029	Prad.g_00400, Prad.g_00952	Praj.g_01276, Praj.g_01675
OG0000033	Prad.g_01973	Praj.g_00013
OG0000034	Prad.g_00571	Praj.g_00095
OG0000035	Prad.g_00258	Praj.g_01395
OG0000036	Prad.g_01374	Praj.g_01827
OG0000037	Prad.g_01412	Praj.g_01066
OG0000038	Prad.g_01105	Praj.g_01189
OG0000039	Prad.g_01825	Praj.g_00206
OG0000040	Prad.g_00751	Praj.g_01329, Praj.g_01365
OG0000041	Prad.g_00697	Praj.g_01242
OG0000042	Prad.g_01049	Praj.g_00698
OG0000043	Prad.g_01130	Praj.g_00909
OG0000044	Prad.g_01496	Praj.g_01461
OG0000045	Prad.g_00565	Praj.g_00839
OG0000046	Prad.g_00948	Praj.g_01762
OG0000047	Prad.g_01631	Praj.g_02012
OG0000048	Prad.g_01624	Praj.g_02020
OG0000050	Prad.g_01955	Praj.g_00031
OG0000051	Prad.g_01834	Praj.g_00197
OG0000052	Prad.g_00739	Praj.g_01156, Praj.g_01282
OG0000053	Prad.g_00090	Praj.g_00530
OG0000055	Prad.g_01168	Praj.g_00793, Praj.g_01176
OG0000056	Prad.g_00657	Praj.g_00043
OG0000057	Prad.g_01754, Prad.g_00965	Praj.g_00277
OG0000058	Prad.g_00032	Praj.g_00467
OG0000059	Prad.g_01272	Praj.g_01313, Praj.g_00691
OG0000060	Prad.g_01300	Praj.g_01170
OG0000061	Prad.g_01991, Prad.g_00166	Praj.g_01563
OG0000062	Prad.g_01989	Praj.g_01832
OG0000063	Prad.g_01214	Praj.g_01355
OG0000065	Prad.g_00628	Praj.g_01528
OG0000066	Prad.g_00564	Praj.g_00664
OG0000067	Prad.g_01218	Praj.g_01323
OG0000067	Prad.g_01212	Praj.g_01158
OG0000068	Prad.g_00807	Praj.g_01952
OG0000069	Prad.g_00572	Praj.g_01669
OG0000071	Prad.g_01975	Praj.g_00011
OG0000072	Prad.g_01669	Praj.g_00357
OG0000073	Prad.g_01243	Praj.g_00659
OG0000074	Prad.g_01265	Praj.g_00684
OG0000075	Prad.g_01153	Praj.g_00776
OG0000076	Prad.g_01018	Praj.g_01024
OG0000077	Prad.g_01983	Praj.g_01079, Praj.g_01203, Praj.g_01731, Praj.g_01273, Praj.g_00416, Praj.g_01310, Praj.g_01358
OG0000078	Prad.g_00566	Praj.g_00372
OG0000079	Prad.g_00436	Praj.g_01714
OG0000080	Prad.g_00383	Praj.g_01166
OG0000081	Prad.g_00777	Praj.g_01985
OG0000083	Prad.g_01533	Praj.g_00003
OG0000084	Prad.g_01530	Praj.g_00006
OG0000085	Prad.g_01963	Praj.g_00023
OG0000086	Prad.g_01948, Prad.g_00675	Praj.g_01154
OG0000087	Prad.g_01937	Praj.g_00053
OG0000088	Prad.g_00011, Prad.g_01880	Praj.g_00153
OG0000089	Prad.g_01872	Praj.g_00162
OG0000090	Prad.g_01854	Praj.g_00179
OG0000091	Prad.g_01822	Praj.g_00209
OG0000092	Prad.g_01821	Praj.g_00210
OG0000093	Prad.g_01807	Praj.g_00223
OG0000094	Prad.g_01789	Praj.g_00242
OG0000095	Prad.g_01784	Praj.g_00246
OG0000096	Prad.g_01740	Praj.g_00290
OG0000097	Prad.g_01717	Praj.g_00310
OG0000099	Prad.g_01697	Praj.g_00329
OG0000100	Prad.g_01694	Praj.g_00332
OG0000101	Prad.g_00754	Praj.g_00405
OG0000102	Prad.g_00727	Praj.g_01279
OG0000103	Prad.g_00031	Praj.g_00468
OG0000104	Prad.g_00027	Praj.g_00473
OG0000105	Prad.g_00130	Praj.g_00491
OG0000106	Prad.g_00097	Praj.g_00523
OG0000107	Prad.g_00096	Praj.g_00524
OG0000108	Prad.g_01333	Praj.g_00534
OG0000109	Prad.g_01342	Praj.g_00543
OG0000110	Prad.g_01358	Praj.g_00559
OG0000111	Prad.g_01225	Praj.g_00639
OG0000112	Prad.g_01226	Praj.g_00640
OG0000113	Prad.g_01071	Praj.g_00722
OG0000114	Prad.g_01144	Praj.g_00767
OG0000115	Prad.g_00186	Praj.g_01601, Praj.g_00946
OG0000116	Prad.g_00182	Praj.g_00950
OG0000117	Prad.g_01021	Praj.g_01021
OG0000118	Prad.g_00972	Praj.g_01196
OG0000119	Prad.g_01526	Praj.g_01835
OG0000120	Prad.g_01490	Praj.g_01455
OG0000121	Prad.g_01471, Prad.g_01470	Praj.g_01433
OG0000122	Prad.g_01451	Praj.g_01413
OG0000123	Prad.g_01438	Praj.g_01402
OG0000124	Prad.g_00076	Praj.g_01014
OG0000125	Prad.g_00616	Praj.g_01540
OG0000126	Prad.g_00594	Praj.g_01575
OG0000127	Prad.g_00528	Praj.g_01618
OG0000128	Prad.g_00514	Praj.g_01633
OG0000129	Prad.g_00477	Praj.g_01667
OG0000130	Prad.g_00943	Praj.g_01766
OG0000131	Prad.g_00905	Praj.g_01803
OG0000132	Prad.g_00902	Praj.g_01805
OG0000133	Prad.g_00848	Praj.g_01910
OG0000134	Prad.g_00812	Praj.g_01946
OG0000135	Prad.g_00810	Praj.g_01948
OG0000136	Prad.g_00766, Prad.g_01294	Praj.g_01997
OG0000137	Prad.g_01615	Praj.g_02034
OG0000138	Prad.g_01580	Praj.g_02091
OG0000139	Prad.g_01553	Praj.g_02128
OG0000140	Prad.g_01535	Praj.g_00001
OG0000141	Prad.g_01534	Praj.g_00002
OG0000142	Prad.g_01532	Praj.g_00004
OG0000143	Prad.g_01531	Praj.g_00005
OG0000144	Prad.g_01529	Praj.g_00007
OG0000145	Prad.g_01528	Praj.g_00008
OG0000146	Prad.g_01527	Praj.g_00009
OG0000147	Prad.g_01976	Praj.g_00010
OG0000148	Prad.g_01974	Praj.g_00012
OG0000149	Prad.g_01972	Praj.g_00014
OG0000150	Prad.g_01971	Praj.g_00015
OG0000151	Prad.g_01970	Praj.g_00016
OG0000152	Prad.g_01969	Praj.g_00017
OG0000153	Prad.g_01968	Praj.g_00018
OG0000154	Prad.g_01967	Praj.g_00019
OG0000155	Prad.g_01966	Praj.g_00020
OG0000156	Prad.g_01965	Praj.g_00021
OG0000157	Prad.g_01964	Praj.g_00022
OG0000158	Prad.g_01962	Praj.g_00024
OG0000159	Prad.g_01961	Praj.g_00025
