Orthogroup	Prbj	Prap
OG0000000	Prbj.g_02517	Prap.g_00720, Prap.g_00715
OG0000000	Prbj.g_00030	Prap.g_00823, Prap.g_00224, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491
OG0000002	Prbj.g_01549, Prbj.g_02662, Prbj.g_02690, Prbj.g_00672, Prbj.g_00169	Prap.g_01925
OG0000003	Prbj.g_00165	Prap.g_00494
OG0000004	Prbj.g_00697, Prbj.g_01897, Prbj.g_00073	Prap.g_00535
OG0000006	Prbj.g_01610	Prap.g_01270
OG0000006	Prbj.g_00857	Prap.g_01779
OG0000007	Prbj.g_00928, Prbj.g_00929	Prap.g_01888, Prap.g_01887
OG0000009	Prbj.g_01349	Prap.g_00480, Prap.g_01462
OG0000011	Prbj.g_02509	Prap.g_01343
OG0000012	Prbj.g_01761	Prap.g_01163
OG0000012	Prbj.g_01769	Prap.g_01170
OG0000013	Prbj.g_02502	Prap.g_01794
OG0000016	Prbj.g_00740	Prap.g_00510
OG0000016	Prbj.g_00778	Prap.g_00218
OG0000017	Prbj.g_00638	Prap.g_01834, Prap.g_00142
OG0000018	Prbj.g_02699	Prap.g_01470
OG0000019	Prbj.g_01774	Prap.g_00797
OG0000020	Prbj.g_01393	Prap.g_00548
OG0000024	Prbj.g_01442	Prap.g_01403
OG0000026	Prbj.g_01208	Prap.g_01903
OG0000028	Prbj.g_01056	Prap.g_00121
OG0000031	Prbj.g_00705	Prap.g_00611
OG0000032	Prbj.g_01522, Prbj.g_01527	Prap.g_00080
OG0000034	Prbj.g_01487	Prap.g_00897
OG0000036	Prbj.g_01789	Prap.g_01183, Prap.g_01790
OG0000037	Prbj.g_02552	Prap.g_01145, Prap.g_00236
OG0000038	Prbj.g_00050	Prap.g_00212
OG0000039	Prbj.g_00521	Prap.g_01004
OG0000040	Prbj.g_02392	Prap.g_00029
OG0000042	Prbj.g_02178, Prbj.g_00913	Prap.g_00791
OG0000043	Prbj.g_00023, Prbj.g_00025	Prap.g_00691
OG0000044	Prbj.g_00971	Prap.g_00456
OG0000045	Prbj.g_01467	Prap.g_00081
OG0000046	Prbj.g_00869	Prap.g_01917, Prap.g_01787
OG0000047	Prbj.g_01598	Prap.g_01580
OG0000048	Prbj.g_01808, Prbj.g_00001	Prap.g_01572
OG0000050	Prbj.g_01204	Prap.g_00923
OG0000051	Prbj.g_00530	Prap.g_01013
OG0000052	Prbj.g_00875	Prap.g_00591
OG0000053	Prbj.g_02141	Prap.g_01230
OG0000054	Prbj.g_01324	Prap.g_01128
OG0000055	Prbj.g_02437	Prap.g_00760
OG0000056	Prbj.g_00227	Prap.g_00512
OG0000058	Prbj.g_00128	Prap.g_01292
OG0000059	Prbj.g_00758	Prap.g_00799
OG0000062	Prbj.g_01990	Prap.g_01883
OG0000063	Prbj.g_01915	Prap.g_00429
OG0000065	Prbj.g_01728	Prap.g_00561
OG0000066	Prbj.g_01465	Prap.g_00079
OG0000068	Prbj.g_00415, Prbj.g_00981	Prap.g_01642
OG0000069	Prbj.g_00659	Prap.g_00160
OG0000071	Prbj.g_02085	Prap.g_00043
OG0000072	Prbj.g_01460	Prap.g_01389
OG0000073	Prbj.g_00824	Prap.g_00356
OG0000074	Prbj.g_00933	Prap.g_00809
OG0000075	Prbj.g_02419	Prap.g_00776
OG0000076	Prbj.g_01838	Prap.g_00708
OG0000078	Prbj.g_01464	Prap.g_00082
OG0000079	Prbj.g_00881	Prap.g_00206
OG0000080	Prbj.g_01678	Prap.g_00618
OG0000081	Prbj.g_01500	Prap.g_01608
OG0000082	Prbj.g_01999	Prap.g_00623
OG0000083	Prbj.g_02076	Prap.g_00051
OG0000084	Prbj.g_02079	Prap.g_00048
OG0000085	Prbj.g_01195	Prap.g_00932
OG0000087	Prbj.g_01921	Prap.g_00903
OG0000088	Prbj.g_01551	Prap.g_01061
OG0000089	Prbj.g_01566	Prap.g_01052
OG0000090	Prbj.g_01547	Prap.g_01035
OG0000091	Prbj.g_00518	Prap.g_01001
OG0000092	Prbj.g_00517	Prap.g_01000
OG0000093	Prbj.g_01138	Prap.g_00986
OG0000094	Prbj.g_01167	Prap.g_00967
OG0000095	Prbj.g_00288	Prap.g_00962
OG0000096	Prbj.g_01352	Prap.g_01460
OG0000097	Prbj.g_01397	Prap.g_01436
OG0000098	Prbj.g_01410	Prap.g_01425
OG0000099	Prbj.g_01422	Prap.g_01415
OG0000100	Prbj.g_01426	Prap.g_01412
OG0000101	Prbj.g_00067	Prap.g_01347
OG0000102	Prbj.g_02004	Prap.g_00543
OG0000103	Prbj.g_00127	Prap.g_01291
OG0000104	Prbj.g_01630	Prap.g_01287
OG0000105	Prbj.g_01608	Prap.g_01267
OG0000106	Prbj.g_02125	Prap.g_01237
OG0000107	Prbj.g_02127	Prap.g_01236
OG0000108	Prbj.g_02668	Prap.g_01226
OG0000109	Prbj.g_01866	Prap.g_01217
OG0000110	Prbj.g_01885	Prap.g_01200
OG0000111	Prbj.g_00792	Prap.g_00375
OG0000112	Prbj.g_00793	Prap.g_00374
OG0000113	Prbj.g_02314	Prap.g_00324
OG0000114	Prbj.g_02410	Prap.g_00785
OG0000115	Prbj.g_02268	Prap.g_00257
OG0000116	Prbj.g_02260	Prap.g_00261
OG0000117	Prbj.g_01841	Prap.g_00705
OG0000118	Prbj.g_02066	Prap.g_00501
OG0000119	Prbj.g_01992	Prap.g_01880
OG0000120	Prbj.g_00843	Prap.g_00450
