Orthogroup	Prbj	Prao
OG0000000	Prbj.g_02517	Prao.g_01246
OG0000000	Prbj.g_00030	Prao.g_00116
OG0000001	Prbj.g_00166	Prao.g_01297, Prao.g_01528
OG0000001	Prbj.g_00164	Prao.g_01514
OG0000002	Prbj.g_01549, Prbj.g_02662, Prbj.g_02690, Prbj.g_00672, Prbj.g_00169	Prao.g_01254
OG0000003	Prbj.g_00165	Prao.g_01296, Prao.g_01518
OG0000004	Prbj.g_00697, Prbj.g_01897, Prbj.g_00073	Prao.g_00679
OG0000006	Prbj.g_01610	Prao.g_00603
OG0000006	Prbj.g_00857	Prao.g_01552
OG0000007	Prbj.g_00928, Prbj.g_00929	Prao.g_00111
OG0000009	Prbj.g_01349	Prao.g_00720, Prao.g_00387
OG0000011	Prbj.g_00666	Prao.g_00466
OG0000012	Prbj.g_01761, Prbj.g_01769	Prao.g_00036
OG0000013	Prbj.g_02502	Prao.g_00703
OG0000016	Prbj.g_00740, Prbj.g_00778	Prao.g_01243
OG0000018	Prbj.g_02699	Prao.g_00379
OG0000019	Prbj.g_01774	Prao.g_01346, Prao.g_00500
OG0000024	Prbj.g_01442	Prao.g_01213
OG0000026	Prbj.g_01208	Prao.g_00179
OG0000028	Prbj.g_01056	Prao.g_01397
OG0000031	Prbj.g_00705	Prao.g_01304
OG0000034	Prbj.g_01487	Prao.g_01358
OG0000036	Prbj.g_01789	Prao.g_00024
OG0000037	Prbj.g_02552	Prao.g_00062
OG0000038	Prbj.g_00050, Prbj.g_01572	Prao.g_00699
OG0000039	Prbj.g_00521, Prbj.g_00912	Prao.g_00304
OG0000040	Prbj.g_02392	Prao.g_00494
OG0000042	Prbj.g_02178, Prbj.g_00913	Prao.g_00648
OG0000043	Prbj.g_00023, Prbj.g_00025	Prao.g_00725
OG0000044	Prbj.g_00971	Prao.g_01089
OG0000045	Prbj.g_01467	Prao.g_01191
OG0000046	Prbj.g_00869	Prao.g_01545
OG0000047	Prbj.g_01598	Prao.g_01743
OG0000048	Prbj.g_01808, Prbj.g_00001	Prao.g_01750
OG0000050	Prbj.g_01204	Prao.g_00177
OG0000051	Prbj.g_00530	Prao.g_00295
OG0000052	Prbj.g_00875	Prao.g_00505
OG0000054	Prbj.g_01324	Prao.g_00693
OG0000055	Prbj.g_02437	Prao.g_00763
OG0000056	Prbj.g_00227	Prao.g_01135
OG0000058	Prbj.g_00128	Prao.g_00581
OG0000059	Prbj.g_00758	Prao.g_00136
OG0000062	Prbj.g_01990	Prao.g_01122
OG0000063	Prbj.g_01915	Prao.g_01332
OG0000065	Prbj.g_01728	Prao.g_01276
OG0000066	Prbj.g_01465	Prao.g_01215
OG0000068	Prbj.g_00415, Prbj.g_00981	Prao.g_01687
OG0000069	Prbj.g_01468	Prao.g_01201, Prao.g_01362
OG0000071	Prbj.g_02085	Prao.g_00158
OG0000072	Prbj.g_01460	Prao.g_00458
OG0000073	Prbj.g_00824	Prao.g_00108
OG0000074	Prbj.g_00933	Prao.g_00129
OG0000075	Prbj.g_02419	Prao.g_00748
OG0000076	Prbj.g_01838	Prao.g_00974
OG0000078	Prbj.g_01464	Prao.g_01214
OG0000079	Prbj.g_00881	Prao.g_01474
OG0000080	Prbj.g_01678	Prao.g_01522
OG0000081	Prbj.g_01500	Prao.g_01717
OG0000083	Prbj.g_02076	Prao.g_01844
OG0000084	Prbj.g_02079	Prao.g_01847
OG0000085	Prbj.g_01195	Prao.g_00170
OG0000087	Prbj.g_01921	Prao.g_00195
OG0000088	Prbj.g_01551	Prao.g_00251
OG0000089	Prbj.g_01566	Prao.g_00260
OG0000090	Prbj.g_01547	Prao.g_00277
OG0000091	Prbj.g_00518	Prao.g_00307
OG0000092	Prbj.g_00517	Prao.g_00308
OG0000093	Prbj.g_01138	Prao.g_00322
OG0000094	Prbj.g_01167	Prao.g_00340
OG0000095	Prbj.g_00288	Prao.g_00345
OG0000096	Prbj.g_01352	Prao.g_00389
OG0000097	Prbj.g_01397	Prao.g_01378
OG0000099	Prbj.g_01422	Prao.g_00431
OG0000100	Prbj.g_01426	Prao.g_00434
OG0000101	Prbj.g_00067	Prao.g_00491
OG0000102	Prbj.g_02004	Prao.g_00516
OG0000103	Prbj.g_00127	Prao.g_00582
OG0000104	Prbj.g_01630	Prao.g_00586
OG0000105	Prbj.g_01608	Prao.g_00605
OG0000106	Prbj.g_02125	Prao.g_01859
OG0000107	Prbj.g_02127	Prao.g_01858
OG0000108	Prbj.g_02668	Prao.g_01162
OG0000109	Prbj.g_01866	Prao.g_01171
OG0000110	Prbj.g_01885	Prao.g_01187
OG0000111	Prbj.g_00792	Prao.g_00090
OG0000112	Prbj.g_00793	Prao.g_00091
OG0000113	Prbj.g_02314	Prao.g_00670
OG0000114	Prbj.g_02410	Prao.g_00739
OG0000115	Prbj.g_02268	Prao.g_00902
OG0000116	Prbj.g_02260	Prao.g_00906
OG0000117	Prbj.g_01841	Prao.g_00971
OG0000118	Prbj.g_02066	Prao.g_01025
OG0000119	Prbj.g_01992	Prao.g_01119
OG0000120	Prbj.g_00843	Prao.g_01083
OG0000121	Prbj.g_00003	Prao.g_01064
OG0000122	Prbj.g_02156	Prao.g_01045
OG0000123	Prbj.g_00020	Prao.g_01032
