Orthogroup	Prbj	Pram
OG0000000	Prbj.g_02517	Pram.g_00873, Pram.g_00879
OG0000000	Prbj.g_00030	Pram.g_00768, Pram.g_01278, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174
OG0000002	Prbj.g_01549, Prbj.g_02662, Prbj.g_02690, Prbj.g_00672, Prbj.g_00169	Pram.g_01953, Pram.g_01954
OG0000003	Prbj.g_00165	Pram.g_01513, Pram.g_01176
OG0000004	Prbj.g_00697, Prbj.g_01897, Prbj.g_00073	Pram.g_01207
OG0000006	Prbj.g_01610	Pram.g_00433
OG0000006	Prbj.g_00857	Pram.g_01632
OG0000007	Prbj.g_00928, Prbj.g_00929	Pram.g_01263, Pram.g_01262
OG0000009	Prbj.g_01349	Pram.g_01164, Pram.g_00237
OG0000011	Prbj.g_02509	Pram.g_00359
OG0000012	Prbj.g_01761	Pram.g_00542
OG0000012	Prbj.g_01769	Pram.g_00535
OG0000013	Prbj.g_02502	Pram.g_00696
OG0000016	Prbj.g_00778	Pram.g_01283
OG0000017	Prbj.g_00638	Pram.g_01580, Pram.g_01357
OG0000018	Prbj.g_02699	Pram.g_00229
OG0000019	Prbj.g_01774	Pram.g_00794
OG0000020	Prbj.g_01393	Pram.g_00259
OG0000024	Prbj.g_01442	Pram.g_00295
OG0000026	Prbj.g_01208	Pram.g_01258
OG0000028	Prbj.g_01056	Pram.g_01381, Pram.g_01378
OG0000032	Prbj.g_01522, Prbj.g_01527	Pram.g_01413
OG0000034	Prbj.g_01487	Pram.g_00040
OG0000036	Prbj.g_01789	Pram.g_01559
OG0000037	Prbj.g_02552	Pram.g_00561
OG0000038	Prbj.g_00050	Pram.g_01287
OG0000039	Prbj.g_00521	Pram.g_00151
OG0000040	Prbj.g_02392	Pram.g_00689
OG0000042	Prbj.g_02178, Prbj.g_00913	Pram.g_00801
OG0000043	Prbj.g_00023, Prbj.g_00025	Pram.g_00905
OG0000044	Prbj.g_00971	Pram.g_01140
OG0000045	Prbj.g_01467	Pram.g_01447
OG0000046	Prbj.g_00869	Pram.g_01265
OG0000047	Prbj.g_01598	Pram.g_01833
OG0000048	Prbj.g_01808, Prbj.g_00001	Pram.g_01841
OG0000050	Prbj.g_01204	Pram.g_00018
OG0000051	Prbj.g_00530	Pram.g_00142
OG0000052	Prbj.g_00875	Pram.g_00677
OG0000054	Prbj.g_01324	Pram.g_01517
OG0000055	Prbj.g_02437	Pram.g_00832
OG0000056	Prbj.g_00227	Pram.g_01191
OG0000058	Prbj.g_00128	Pram.g_00411
OG0000059	Prbj.g_00758	Pram.g_00792
OG0000062	Prbj.g_01990	Pram.g_01546
OG0000063	Prbj.g_01915	Pram.g_01112
OG0000065	Prbj.g_01728	Pram.g_01230
OG0000066	Prbj.g_01465	Pram.g_01446
OG0000068	Prbj.g_00415, Prbj.g_00981	Pram.g_01770
OG0000069	Prbj.g_00659	Pram.g_01339
OG0000070	Prbj.g_01125	Pram.g_00603, Pram.g_00602
OG0000070	Prbj.g_00371, Prbj.g_02533	Pram.g_01611
