Orthogroup	Prbj	Prat
OG0000000	Prbj.g_02517	Prat.g_00977
OG0000000	Prbj.g_00030	Prat.g_00751, Prat.g_01462, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187
OG0000001	Prbj.g_00164	Prat.g_01549
OG0000002	Prbj.g_01549, Prbj.g_02662, Prbj.g_02690, Prbj.g_00672, Prbj.g_00169	Prat.g_01285, Prat.g_01286
OG0000003	Prbj.g_00165	Prat.g_01190
OG0000004	Prbj.g_00697, Prbj.g_01897, Prbj.g_00073	Prat.g_00824
OG0000006	Prbj.g_01610	Prat.g_00458
OG0000006	Prbj.g_00857	Prat.g_01592
OG0000007	Prbj.g_00928, Prbj.g_00929	Prat.g_00376, Prat.g_00377
OG0000009	Prbj.g_01349	Prat.g_01180, Prat.g_00255
OG0000011	Prbj.g_02509	Prat.g_00374
OG0000012	Prbj.g_01761	Prat.g_00567
OG0000012	Prbj.g_01769	Prat.g_00560
OG0000013	Prbj.g_02502	Prat.g_00701
OG0000016	Prbj.g_00740	Prat.g_00647
OG0000016	Prbj.g_00778	Prat.g_01452
OG0000017	Prbj.g_00638	Prat.g_01375
OG0000018	Prbj.g_02699	Prat.g_00248
OG0000019	Prbj.g_01774	Prat.g_00461
OG0000020	Prbj.g_01393	Prat.g_00278
OG0000024	Prbj.g_01442	Prat.g_00314
OG0000026	Prbj.g_01208	Prat.g_01516
OG0000028	Prbj.g_01056	Prat.g_01352, Prat.g_01353
OG0000034	Prbj.g_01487	Prat.g_00058
OG0000036	Prbj.g_01789	Prat.g_01507
OG0000037	Prbj.g_02552	Prat.g_00586
OG0000038	Prbj.g_00050	Prat.g_01448
OG0000038	Prbj.g_01572	Prat.g_01192
OG0000039	Prbj.g_00521	Prat.g_00166
OG0000040	Prbj.g_02392	Prat.g_00834
OG0000042	Prbj.g_02178, Prbj.g_00913	Prat.g_00788
OG0000043	Prbj.g_00023, Prbj.g_00025	Prat.g_00856
OG0000044	Prbj.g_00971	Prat.g_01156
OG0000045	Prbj.g_01467	Prat.g_01311
OG0000046	Prbj.g_00869	Prat.g_01584
OG0000047	Prbj.g_01598	Prat.g_01788
OG0000048	Prbj.g_01808, Prbj.g_00001	Prat.g_01796
OG0000050	Prbj.g_01204	Prat.g_00033
OG0000051	Prbj.g_00530	Prat.g_00157
OG0000052	Prbj.g_00875	Prat.g_00637
OG0000053	Prbj.g_02141	Prat.g_01499
OG0000054	Prbj.g_01324	Prat.g_01503
OG0000055	Prbj.g_02437	Prat.g_01014
OG0000056	Prbj.g_00227	Prat.g_00666, Prat.g_01463
OG0000058	Prbj.g_00128	Prat.g_00434
OG0000059	Prbj.g_00758	Prat.g_00775
OG0000062	Prbj.g_01990	Prat.g_01495
OG0000063	Prbj.g_01915	Prat.g_01129
OG0000065	Prbj.g_01728	Prat.g_01249
OG0000066	Prbj.g_01465	Prat.g_00344
OG0000068	Prbj.g_00415, Prbj.g_00981	Prat.g_01726
OG0000069	Prbj.g_00659	Prat.g_01394
OG0000071	Prbj.g_02085	Prat.g_00011
OG0000072	Prbj.g_01460	Prat.g_00329
OG0000073	Prbj.g_00824	Prat.g_01054
OG0000074	Prbj.g_00933	Prat.g_00765
OG0000075	Prbj.g_02419	Prat.g_01030
OG0000076	Prbj.g_01838	Prat.g_00965
OG0000078	Prbj.g_01464	Prat.g_01312
OG0000079	Prbj.g_00881	Prat.g_01442
OG0000080	Prbj.g_01678	Prat.g_01539
OG0000081	Prbj.g_01500	Prat.g_01759
OG0000082	Prbj.g_01999	Prat.g_01853
OG0000083	Prbj.g_02076	Prat.g_00003
OG0000084	Prbj.g_02079	Prat.g_00006
OG0000085	Prbj.g_01195	Prat.g_01314, Prat.g_00024
OG0000087	Prbj.g_01921	Prat.g_00054
OG0000088	Prbj.g_01551	Prat.g_00112
OG0000089	Prbj.g_01566	Prat.g_00121
OG0000090	Prbj.g_01547	Prat.g_00138
OG0000091	Prbj.g_00518	Prat.g_00170
OG0000092	Prbj.g_00517	Prat.g_00171
OG0000093	Prbj.g_01138	Prat.g_00185
OG0000094	Prbj.g_01167	Prat.g_00204
OG0000095	Prbj.g_00288	Prat.g_00209
OG0000096	Prbj.g_01352	Prat.g_00257
OG0000097	Prbj.g_01397	Prat.g_00281
OG0000098	Prbj.g_01410	Prat.g_00292
OG0000099	Prbj.g_01422	Prat.g_00302
OG0000100	Prbj.g_01426	Prat.g_00305
OG0000101	Prbj.g_00067	Prat.g_00372
OG0000102	Prbj.g_02004	Prat.g_01477
OG0000103	Prbj.g_00127	Prat.g_00435
OG0000104	Prbj.g_01630	Prat.g_00440
OG0000105	Prbj.g_01608	Prat.g_00462
OG0000106	Prbj.g_02125	Prat.g_00494
OG0000107	Prbj.g_02127	Prat.g_00495
OG0000108	Prbj.g_02668	Prat.g_00504
OG0000109	Prbj.g_01866	Prat.g_00514, Prat.g_00513
OG0000110	Prbj.g_01885	Prat.g_00532
OG0000111	Prbj.g_00792	Prat.g_01073
OG0000112	Prbj.g_00793	Prat.g_01072
OG0000113	Prbj.g_02314	Prat.g_00815
OG0000114	Prbj.g_02410	Prat.g_01039
OG0000115	Prbj.g_02268	Prat.g_00896
OG0000116	Prbj.g_02260	Prat.g_00900
OG0000117	Prbj.g_01841	Prat.g_00962
OG0000118	Prbj.g_02066	Prat.g_01208
OG0000119	Prbj.g_01992	Prat.g_01557
OG0000120	Prbj.g_00843	Prat.g_01150
OG0000121	Prbj.g_00003	Prat.g_01127
OG0000122	Prbj.g_02156	Prat.g_01107
OG0000123	Prbj.g_00020	Prat.g_00595
OG0000124	Prbj.g_01848	Prat.g_01509
OG0000125	Prbj.g_01742	Prat.g_01261
OG0000126	Prbj.g_01639	Prat.g_01291
OG0000127	Prbj.g_01040	Prat.g_01338
OG0000128	Prbj.g_01057	Prat.g_01354
OG0000129	Prbj.g_00656	Prat.g_01392
OG0000130	Prbj.g_00863	Prat.g_01589
OG0000131	Prbj.g_00461	Prat.g_01377, Prat.g_01628
OG0000132	Prbj.g_00458	Prat.g_01631
