Orthogroup	Prbj	Prbk
OG0000000	Prbj.g_02517	Prbk.g_02574
OG0000000	Prbj.g_00030	Prbk.g_01649
OG0000001	Prbj.g_00166	Prbk.g_00167
OG0000001	Prbj.g_00164	Prbk.g_00165
OG0000002	Prbj.g_01549	Prbk.g_00561
OG0000002	Prbj.g_02662	Prbk.g_02701
OG0000002	Prbj.g_02690	Prbk.g_00630
OG0000002	Prbj.g_00672	Prbk.g_01196
OG0000002	Prbj.g_00169	Prbk.g_00170
OG0000003	Prbj.g_00165	Prbk.g_00166
OG0000004	Prbj.g_00697	Prbk.g_01701
OG0000004	Prbj.g_01897	Prbk.g_00304
OG0000004	Prbj.g_00073	Prbk.g_00355
OG0000006	Prbj.g_00857	Prbk.g_00907
OG0000007	Prbj.g_00928	Prbk.g_01820
OG0000007	Prbj.g_00929	Prbk.g_01819
OG0000009	Prbj.g_01349	Prbk.g_01004
OG0000011	Prbj.g_02509	Prbk.g_02565
OG0000011	Prbj.g_00666	Prbk.g_01202
OG0000012	Prbj.g_01761	Prbk.g_01150
OG0000012	Prbj.g_01769	Prbk.g_01142
OG0000013	Prbj.g_02502	Prbk.g_02558
OG0000016	Prbj.g_00740	Prbk.g_01746
OG0000016	Prbj.g_00778	Prbk.g_01786
OG0000017	Prbj.g_00638	Prbk.g_01230
OG0000018	Prbj.g_02699	Prbk.g_02695
OG0000019	Prbj.g_01774	Prbk.g_01137
OG0000020	Prbj.g_01393	Prbk.g_00405
OG0000024	Prbj.g_01442	Prbk.g_00454
OG0000026	Prbj.g_01208	Prbk.g_01613
OG0000028	Prbj.g_01056	Prbk.g_00259
OG0000031	Prbj.g_00705	Prbk.g_01709
OG0000032	Prbj.g_01522	Prbk.g_00534
OG0000032	Prbj.g_01527	Prbk.g_00539
OG0000034	Prbj.g_01487	Prbk.g_00499
OG0000036	Prbj.g_01789	Prbk.g_01122
OG0000037	Prbj.g_02552	Prbk.g_02610
OG0000038	Prbj.g_00050	Prbk.g_01667
OG0000038	Prbj.g_01572	Prbk.g_00212
OG0000039	Prbj.g_00521	Prbk.g_00773
OG0000039	Prbj.g_00912	Prbk.g_01836
OG0000040	Prbj.g_02392	Prbk.g_02448
OG0000042	Prbj.g_02178	Prbk.g_00619
OG0000042	Prbj.g_00913	Prbk.g_01835
OG0000043	Prbj.g_00023	Prbk.g_01642
OG0000043	Prbj.g_00025	Prbk.g_01644
OG0000044	Prbj.g_00971	Prbk.g_01019
OG0000045	Prbj.g_01467	Prbk.g_00479
OG0000046	Prbj.g_00869	Prbk.g_00919
OG0000047	Prbj.g_01598	Prbk.g_00237
OG0000048	Prbj.g_01808	Prbk.g_01495
OG0000048	Prbj.g_00001	Prbk.g_00140
OG0000049	Prbj.g_01037	Prbk.g_00240
OG0000049	Prbj.g_02147	Prbk.g_01100
OG0000049	Prbj.g_00849	Prbk.g_00899
OG0000049	Prbj.g_01133	Prbk.g_01285
OG0000049	Prbj.g_00218	Prbk.g_02676
OG0000049	Prbj.g_01822	Prbk.g_00040
OG0000049	Prbj.g_01175	Prbk.g_01243
OG0000049	Prbj.g_02016	Prbk.g_02221
OG0000049	Prbj.g_00505	Prbk.g_00789
OG0000049	Prbj.g_01104	Prbk.g_01943
OG0000050	Prbj.g_01204	Prbk.g_01617
OG0000051	Prbj.g_00530	Prbk.g_00764
OG0000052	Prbj.g_00875	Prbk.g_00925
OG0000053	Prbj.g_02141	Prbk.g_01094
OG0000054	Prbj.g_01324	Prbk.g_01468
OG0000055	Prbj.g_02437	Prbk.g_02493
OG0000056	Prbj.g_00227	Prbk.g_00694
OG0000058	Prbj.g_00128	Prbk.g_02113
OG0000059	Prbj.g_00758	Prbk.g_01765
OG0000062	Prbj.g_01990	Prbk.g_02195
OG0000063	Prbj.g_01915	Prbk.g_01496
OG0000065	Prbj.g_01728	Prbk.g_01183
OG0000066	Prbj.g_01465	Prbk.g_00477
OG0000068	Prbj.g_00415	Prbk.g_00796
OG0000068	Prbj.g_00981	Prbk.g_00944
OG0000069	Prbj.g_00659	Prbk.g_01209
OG0000069	Prbj.g_01468	Prbk.g_00480
OG0000070	Prbj.g_01125	Prbk.g_00094
OG0000070	Prbj.g_00371	Prbk.g_00841
OG0000070	Prbj.g_02533	Prbk.g_02591
OG0000071	Prbj.g_02085	Prbk.g_02290
OG0000072	Prbj.g_01460	Prbk.g_00472
OG0000073	Prbj.g_00824	Prbk.g_00709
OG0000074	Prbj.g_00933	Prbk.g_01815
OG0000075	Prbj.g_02419	Prbk.g_02475
OG0000076	Prbj.g_01838	Prbk.g_00056
OG0000078	Prbj.g_01464	Prbk.g_00476
OG0000079	Prbj.g_00881	Prbk.g_00931
OG0000080	Prbj.g_01678	Prbk.g_02012
OG0000081	Prbj.g_01500	Prbk.g_00512
OG0000082	Prbj.g_01999	Prbk.g_02204
OG0000083	Prbj.g_02076	Prbk.g_02281
OG0000084	Prbj.g_02079	Prbk.g_02284
OG0000085	Prbj.g_01195	Prbk.g_01626
OG0000087	Prbj.g_01921	Prbk.g_02126
OG0000088	Prbj.g_01551	Prbk.g_00191
OG0000089	Prbj.g_01566	Prbk.g_00206
OG0000090	Prbj.g_01547	Prbk.g_00559
OG0000091	Prbj.g_00518	Prbk.g_00776
OG0000092	Prbj.g_00517	Prbk.g_00777
OG0000093	Prbj.g_01138	Prbk.g_01280
OG0000094	Prbj.g_01167	Prbk.g_01251
OG0000095	Prbj.g_00288	Prbk.g_00632
OG0000096	Prbj.g_01352	Prbk.g_01001
OG0000097	Prbj.g_01397	Prbk.g_00409
OG0000098	Prbj.g_01410	Prbk.g_00422
OG0000099	Prbj.g_01422	Prbk.g_00434
OG0000100	Prbj.g_01426	Prbk.g_00438
OG0000101	Prbj.g_00067	Prbk.g_00361
OG0000102	Prbj.g_02004	Prbk.g_02209
OG0000103	Prbj.g_00127	Prbk.g_02114
OG0000104	Prbj.g_01630	Prbk.g_02061
OG0000105	Prbj.g_01608	Prbk.g_01862
OG0000106	Prbj.g_02125	Prbk.g_01078
OG0000107	Prbj.g_02127	Prbk.g_01080
OG0000108	Prbj.g_02668	Prbk.g_02684
OG0000109	Prbj.g_01866	Prbk.g_01890
OG0000110	Prbj.g_01885	Prbk.g_01871
OG0000111	Prbj.g_00792	Prbk.g_00740
OG0000112	Prbj.g_00793	Prbk.g_00739
OG0000113	Prbj.g_02314	Prbk.g_02370
OG0000114	Prbj.g_02410	Prbk.g_02466
OG0000115	Prbj.g_02268	Prbk.g_02324
OG0000116	Prbj.g_02260	Prbk.g_02316
OG0000117	Prbj.g_01841	Prbk.g_00059
OG0000118	Prbj.g_02066	Prbk.g_02271
OG0000119	Prbj.g_01992	Prbk.g_02197
