Orthogroup	Prbj	Prbg
OG0000000	Prbj.g_02517	Prbg.g_01222, Prbg.g_01227
OG0000000	Prbj.g_00030	Prbg.g_01119, Prbg.g_00694, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521
OG0000002	Prbj.g_01549, Prbj.g_02662, Prbj.g_02690, Prbj.g_00672, Prbj.g_00169	Prbg.g_00502
OG0000003	Prbj.g_00165	Prbg.g_01524
OG0000004	Prbj.g_00697, Prbj.g_01897, Prbj.g_00073	Prbg.g_00451
OG0000006	Prbj.g_01610	Prbg.g_00216
OG0000006	Prbj.g_00857	Prbg.g_01650
OG0000007	Prbj.g_00928, Prbj.g_00929	Prbg.g_00744, Prbg.g_00745
OG0000009	Prbj.g_01349	Prbg.g_01510, Prbg.g_01032
OG0000011	Prbj.g_02509	Prbg.g_00143
OG0000012	Prbj.g_01761	Prbg.g_00324
OG0000012	Prbj.g_01769	Prbg.g_00317
OG0000013	Prbj.g_02502	Prbg.g_01635
OG0000016	Prbj.g_00740	Prbg.g_01540
OG0000016	Prbj.g_00778	Prbg.g_00688
OG0000017	Prbj.g_00638	Prbg.g_01595, Prbg.g_00612
OG0000018	Prbj.g_02699	Prbg.g_01024
OG0000019	Prbj.g_01774	Prbg.g_01145
OG0000020	Prbj.g_01393	Prbg.g_00464
OG0000024	Prbj.g_01442	Prbg.g_00086
OG0000026	Prbj.g_01208	Prbg.g_00730
OG0000028	Prbj.g_01056	Prbg.g_00591
OG0000031	Prbj.g_00705	Prbg.g_00408
OG0000032	Prbj.g_01522, Prbj.g_01527	Prbg.g_00550
OG0000034	Prbj.g_01487	Prbg.g_00816
OG0000036	Prbj.g_01789	Prbg.g_00304, Prbg.g_01639
OG0000037	Prbj.g_02552	Prbg.g_00342, Prbg.g_00706
OG0000038	Prbj.g_00050	Prbg.g_00682
OG0000039	Prbj.g_00521	Prbg.g_00944
OG0000040	Prbj.g_02392	Prbg.g_00013
OG0000042	Prbj.g_02178, Prbj.g_00913	Prbg.g_01151
OG0000043	Prbj.g_00023, Prbj.g_00025	Prbg.g_01251
OG0000044	Prbj.g_00971	Prbg.g_01486
OG0000045	Prbj.g_01467	Prbg.g_00551
OG0000046	Prbj.g_00869	Prbg.g_00716, Prbg.g_01642
OG0000047	Prbj.g_01598	Prbg.g_01847
OG0000048	Prbj.g_01808, Prbj.g_00001	Prbg.g_01855
OG0000050	Prbj.g_01204	Prbg.g_00842
OG0000051	Prbj.g_00530	Prbg.g_00935
OG0000052	Prbj.g_00875	Prbg.g_00388
OG0000053	Prbj.g_02141	Prbg.g_00256
OG0000054	Prbj.g_01324	Prbg.g_00359
OG0000055	Prbj.g_02437	Prbg.g_01182
OG0000056	Prbj.g_00227	Prbg.g_01542
OG0000058	Prbj.g_00128	Prbg.g_00194
OG0000059	Prbj.g_00758	Prbg.g_01143
OG0000062	Prbj.g_01990	Prbg.g_00749
OG0000063	Prbj.g_01915	Prbg.g_01459
OG0000065	Prbj.g_01728	Prbg.g_00477
OG0000066	Prbj.g_01465	Prbg.g_00549
OG0000068	Prbj.g_00415, Prbj.g_00981	Prbg.g_01785
OG0000069	Prbj.g_00659	Prbg.g_00630
OG0000071	Prbj.g_02085	Prbg.g_00778
OG0000072	Prbj.g_01460	Prbg.g_00100
OG0000073	Prbj.g_00824	Prbg.g_01386
OG0000074	Prbj.g_00933	Prbg.g_01133
OG0000075	Prbj.g_02419	Prbg.g_01166
OG0000076	Prbj.g_01838	Prbg.g_01234
OG0000078	Prbj.g_01464	Prbg.g_00552
OG0000079	Prbj.g_00881	Prbg.g_00676
OG0000080	Prbj.g_01678	Prbg.g_00414
OG0000081	Prbj.g_01500	Prbg.g_01819
OG0000082	Prbj.g_01999	Prbg.g_00419
OG0000083	Prbj.g_02076	Prbg.g_00770
OG0000084	Prbj.g_02079	Prbg.g_00773
OG0000085	Prbj.g_01195	Prbg.g_00851
OG0000087	Prbj.g_01921	Prbg.g_00822
OG0000088	Prbj.g_01551	Prbg.g_00887
OG0000089	Prbj.g_01566	Prbg.g_00896
OG0000090	Prbj.g_01547	Prbg.g_00913
OG0000091	Prbj.g_00518	Prbg.g_00947
OG0000092	Prbj.g_00517	Prbg.g_00948
OG0000093	Prbj.g_01138	Prbg.g_00962
OG0000094	Prbj.g_01167	Prbg.g_00981
OG0000095	Prbj.g_00288	Prbg.g_00986
OG0000096	Prbj.g_01352	Prbg.g_01034
OG0000097	Prbj.g_01397	Prbg.g_00053
OG0000098	Prbj.g_01410	Prbg.g_00064
OG0000099	Prbj.g_01422	Prbg.g_00074
OG0000100	Prbj.g_01426	Prbg.g_00077
OG0000101	Prbj.g_00067	Prbg.g_00139
OG0000102	Prbj.g_02004	Prbg.g_00459
OG0000103	Prbj.g_00127	Prbg.g_00195
OG0000104	Prbj.g_01630	Prbg.g_00199
OG0000105	Prbj.g_01608	Prbg.g_00219
OG0000106	Prbj.g_02125	Prbg.g_00249
OG0000107	Prbj.g_02127	Prbg.g_00250
OG0000108	Prbj.g_02668	Prbg.g_00260
OG0000109	Prbj.g_01866	Prbg.g_00270
OG0000110	Prbj.g_01885	Prbg.g_00287
OG0000111	Prbj.g_00792	Prbg.g_01405
OG0000112	Prbj.g_00793	Prbg.g_01404
OG0000113	Prbj.g_02314	Prbg.g_01354
OG0000114	Prbj.g_02410	Prbg.g_01157
OG0000115	Prbj.g_02268	Prbg.g_01287
OG0000116	Prbj.g_02260	Prbg.g_01291
OG0000117	Prbj.g_01841	Prbg.g_01237
OG0000118	Prbj.g_02066	Prbg.g_01531
OG0000119	Prbj.g_01992	Prbg.g_00752
OG0000120	Prbj.g_00843	Prbg.g_01480
OG0000121	Prbj.g_00003	Prbg.g_01457
OG0000122	Prbj.g_02156	Prbg.g_01437
OG0000123	Prbj.g_00020	Prbg.g_00352
OG0000124	Prbj.g_01848	Prbg.g_00687
OG0000125	Prbj.g_01742	Prbg.g_00490
OG0000126	Prbj.g_01639	Prbg.g_00529
OG0000127	Prbj.g_01040	Prbg.g_00579
OG0000128	Prbj.g_01057	Prbg.g_00592
OG0000129	Prbj.g_00656	Prbg.g_00628
OG0000130	Prbj.g_00863	Prbg.g_01647
OG0000131	Prbj.g_00461	Prbg.g_01686
OG0000132	Prbj.g_00458	Prbg.g_01689
OG0000133	Prbj.g_01024	Prbg.g_01743
OG0000134	Prbj.g_00987	Prbg.g_01779
OG0000135	Prbj.g_00985	Prbg.g_01781
OG0000136	Prbj.g_01516	Prbg.g_01831
OG0000137	Prbj.g_01280	Prbg.g_01865
OG0000138	Prbj.g_01963	Prbg.g_01900
OG0000139	Prbj.g_02047	Prbg.g_01931
OG0000140	Prbj.g_02074	Prbg.g_00768
OG0000141	Prbj.g_02075	Prbg.g_00769
OG0000142	Prbj.g_02077	Prbg.g_00771
OG0000143	Prbj.g_02078	Prbg.g_00772
OG0000144	Prbj.g_02080	Prbg.g_00774
OG0000145	Prbj.g_02082	Prbg.g_00775
OG0000146	Prbj.g_02083	Prbg.g_00776
OG0000147	Prbj.g_02084	Prbg.g_00777
OG0000148	Prbj.g_02086	Prbg.g_00779
OG0000149	Prbj.g_01182	Prbg.g_00860
OG0000150	Prbj.g_01183	Prbg.g_00859
OG0000151	Prbj.g_01188	Prbg.g_00858
OG0000152	Prbj.g_01189	Prbg.g_00857
OG0000153	Prbj.g_01190	Prbg.g_00856
OG0000154	Prbj.g_01191	Prbg.g_00855
OG0000155	Prbj.g_01192	Prbg.g_00854
OG0000156	Prbj.g_01193	Prbg.g_00853
OG0000157	Prbj.g_01194	Prbg.g_00852
OG0000158	Prbj.g_01196	Prbg.g_00850
OG0000159	Prbj.g_01197	Prbg.g_00849
OG0000160	Prbj.g_01198	Prbg.g_00848
OG0000161	Prbj.g_01199	Prbg.g_00847
OG0000162	Prbj.g_01200	Prbg.g_00846
OG0000163	Prbj.g_01202	Prbg.g_00844
OG0000164	Prbj.g_01207	Prbg.g_00841
OG0000165	Prbj.g_01212	Prbg.g_00838
OG0000166	Prbj.g_01213	Prbg.g_00837
OG0000167	Prbj.g_01214	Prbg.g_00836
OG0000168	Prbj.g_01215	Prbg.g_00834
OG0000169	Prbj.g_01217	Prbg.g_00832
OG0000170	Prbj.g_01953	Prbg.g_00830
OG0000171	Prbj.g_01951	Prbg.g_00829
OG0000172	Prbj.g_01950	Prbg.g_00828
OG0000173	Prbj.g_01943	Prbg.g_00825
OG0000174	Prbj.g_01936	Prbg.g_00824
OG0000175	Prbj.g_01928	Prbg.g_00823
OG0000176	Prbj.g_01920	Prbg.g_00821
OG0000177	Prbj.g_01919	Prbg.g_00820
OG0000178	Prbj.g_01918	Prbg.g_00818
OG0000179	Prbj.g_00558	Prbg.g_00806
OG0000180	Prbj.g_00560	Prbg.g_00805
OG0000181	Prbj.g_00561	Prbg.g_00804
OG0000182	Prbj.g_00564	Prbg.g_00800
OG0000183	Prbj.g_00565	Prbg.g_00799
OG0000184	Prbj.g_00569	Prbg.g_00796
OG0000185	Prbj.g_00575	Prbg.g_00792
OG0000186	Prbj.g_00576	Prbg.g_00791
OG0000187	Prbj.g_00047	Prbg.g_00017
OG0000188	Prbj.g_00577	Prbg.g_00790
OG0000189	Prbj.g_00580	Prbg.g_00789
OG0000190	Prbj.g_00581	Prbg.g_00788
OG0000191	Prbj.g_00582	Prbg.g_00787
OG0000192	Prbj.g_00583	Prbg.g_00786
OG0000193	Prbj.g_00584	Prbg.g_00785
OG0000194	Prbj.g_00585	Prbg.g_00784
OG0000195	Prbj.g_00589	Prbg.g_00782
OG0000196	Prbj.g_00590	Prbg.g_00781
OG0000197	Prbj.g_00596	Prbg.g_00780
OG0000198	Prbj.g_00600	Prbg.g_00861
OG0000199	Prbj.g_00605	Prbg.g_00864
OG0000200	Prbj.g_00606	Prbg.g_00865
OG0000201	Prbj.g_00607	Prbg.g_00866
OG0000202	Prbj.g_00609	Prbg.g_00868
OG0000203	Prbj.g_00610	Prbg.g_00869
OG0000204	Prbj.g_00611	Prbg.g_00870
OG0000205	Prbj.g_00613	Prbg.g_00872
OG0000206	Prbj.g_00614	Prbg.g_00873
OG0000207	Prbj.g_00615	Prbg.g_00874
OG0000208	Prbj.g_00616	Prbg.g_00875
OG0000209	Prbj.g_00617	Prbg.g_00876
OG0000210	Prbj.g_00619	Prbg.g_00877
OG0000211	Prbj.g_00620	Prbg.g_00879
OG0000212	Prbj.g_00621	Prbg.g_00880
OG0000213	Prbj.g_00624	Prbg.g_00881
OG0000214	Prbj.g_00630	Prbg.g_00885
OG0000215	Prbj.g_01550	Prbg.g_00886
OG0000216	Prbj.g_01552	Prbg.g_00888
OG0000217	Prbj.g_01554	Prbg.g_00889
OG0000218	Prbj.g_01556	Prbg.g_00890
OG0000219	Prbj.g_01557	Prbg.g_00891
OG0000220	Prbj.g_01562	Prbg.g_00894
OG0000221	Prbj.g_01567	Prbg.g_00897
OG0000222	Prbj.g_01568	Prbg.g_00898
OG0000223	Prbj.g_01569	Prbg.g_00899
OG0000224	Prbj.g_01530	Prbg.g_00901
OG0000225	Prbj.g_01532	Prbg.g_00903
OG0000226	Prbj.g_01535	Prbg.g_00905
OG0000227	Prbj.g_01537	Prbg.g_00906
OG0000228	Prbj.g_01538	Prbg.g_00907
OG0000229	Prbj.g_01539	Prbg.g_00908
OG0000230	Prbj.g_01540	Prbg.g_00909
OG0000231	Prbj.g_01542	Prbg.g_01349
OG0000232	Prbj.g_01543	Prbg.g_00911
OG0000233	Prbj.g_01548	Prbg.g_00914
OG0000234	Prbj.g_00545	Prbg.g_00916
OG0000235	Prbj.g_00543	Prbg.g_00922
OG0000236	Prbj.g_00542	Prbg.g_00923
OG0000237	Prbj.g_00541	Prbg.g_00924
OG0000238	Prbj.g_00540	Prbg.g_00925
OG0000239	Prbj.g_00539	Prbg.g_00926
OG0000240	Prbj.g_00537	Prbg.g_00928
OG0000241	Prbj.g_00536	Prbg.g_00929
OG0000242	Prbj.g_00535	Prbg.g_00930
OG0000243	Prbj.g_00534	Prbg.g_00931
OG0000244	Prbj.g_00533	Prbg.g_00932
OG0000245	Prbj.g_00531	Prbg.g_00934
OG0000246	Prbj.g_00529	Prbg.g_00936
OG0000247	Prbj.g_00528	Prbg.g_00937
OG0000248	Prbj.g_00527	Prbg.g_00938
OG0000249	Prbj.g_00526	Prbg.g_00939
OG0000250	Prbj.g_00525	Prbg.g_00940
OG0000251	Prbj.g_00524	Prbg.g_00941
OG0000252	Prbj.g_00523	Prbg.g_00942
OG0000253	Prbj.g_00522	Prbg.g_00943
OG0000254	Prbj.g_00520	Prbg.g_00945
OG0000255	Prbj.g_00519	Prbg.g_00946
OG0000256	Prbj.g_00516	Prbg.g_00949
OG0000257	Prbj.g_00515	Prbg.g_00951
OG0000258	Prbj.g_00514	Prbg.g_00952
