Orthogroup	Prax	Prbi
OG0000000	Prax.g_01608	Prbi.g_01709
OG0000000	Prax.g_01609	Prbi.g_01708
OG0000000	Prax.g_01920	Prbi.g_01370
OG0000001	Prax.g_01870	Prbi.g_01432
OG0000001	Prax.g_00964	Prbi.g_00681
OG0000002	Prax.g_00522	Prbi.g_01270
OG0000002	Prax.g_01878	Prbi.g_01424
OG0000003	Prax.g_01976	Prbi.g_00047
OG0000004	Prax.g_01919	Prbi.g_01371
OG0000004	Prax.g_01606	Prbi.g_01710
OG0000005	Prax.g_00444	Prbi.g_00775
OG0000005	Prax.g_00437	Prbi.g_00782
OG0000006	Prax.g_01936	Prbi.g_01352
OG0000006	Prax.g_00424	Prbi.g_00797
OG0000006	Prax.g_00141	Prbi.g_01156
OG0000007	Prax.g_01162	Prbi.g_01042
OG0000007	Prax.g_01958	Prbi.g_01331
OG0000007	Prax.g_00791	Prbi.g_00408
OG0000008	Prax.g_00704	Prbi.g_00500
OG0000008	Prax.g_01559	Prbi.g_01787
OG0000010	Prax.g_00393	Prbi.g_00827
OG0000010	Prax.g_00926	Prbi.g_00273
OG0000011	Prax.g_00798	Prbi.g_00399
OG0000011	Prax.g_00425	Prbi.g_00796
OG0000012	Prax.g_00799	Prbi.g_00398
OG0000013	Prax.g_01617	Prbi.g_01701
OG0000014	Prax.g_00869	Prbi.g_00330
OG0000015	Prax.g_00843	Prbi.g_00354
OG0000016	Prax.g_00523	Prbi.g_01304
OG0000017	Prax.g_01916	Prbi.g_01374
OG0000018	Prax.g_00057	Prbi.g_00600
OG0000019	Prax.g_00793	Prbi.g_00406
OG0000020	Prax.g_01867	Prbi.g_01435
OG0000021	Prax.g_01708	Prbi.g_01611
OG0000022	Prax.g_01972	Prbi.g_00265
OG0000023	Prax.g_01587	Prbi.g_01742
OG0000023	Prax.g_00808	Prbi.g_00389
OG0000024	Prax.g_01931	Prbi.g_01360
OG0000025	Prax.g_00432	Prbi.g_00788
OG0000026	Prax.g_01917	Prbi.g_01373
OG0000027	Prax.g_00970	Prbi.g_00675
OG0000028	Prax.g_01943	Prbi.g_01344
OG0000029	Prax.g_00392	Prbi.g_00828
OG0000030	Prax.g_00391	Prbi.g_00829
OG0000031	Prax.g_01401	Prbi.g_02001
OG0000032	Prax.g_00280	Prbi.g_00033
OG0000033	Prax.g_01641	Prbi.g_01677
OG0000033	Prax.g_00441	Prbi.g_00778
OG0000034	Prax.g_01733	Prbi.g_01589
OG0000034	Prax.g_01728	Prbi.g_01591
OG0000035	Prax.g_01616	Prbi.g_01702
OG0000036	Prax.g_00138	Prbi.g_01153
OG0000037	Prax.g_01927	Prbi.g_01364
OG0000040	Prax.g_01930	Prbi.g_01361
OG0000040	Prax.g_00776	Prbi.g_00426
OG0000041	Prax.g_00082	Prbi.g_00625
OG0000042	Prax.g_01447	Prbi.g_02059
OG0000045	Prax.g_00045	Prbi.g_00587
OG0000046	Prax.g_00415	Prbi.g_00805
OG0000047	Prax.g_00200	Prbi.g_01207
OG0000049	Prax.g_01823	Prbi.g_01461
OG0000050	Prax.g_01052	Prbi.g_00190
OG0000051	Prax.g_00813	Prbi.g_00384
OG0000053	Prax.g_00485	Prbi.g_00745
OG0000054	Prax.g_01566	Prbi.g_01780
OG0000055	Prax.g_01394	Prbi.g_01994
OG0000056	Prax.g_00282	Prbi.g_00031
OG0000057	Prax.g_01061	Prbi.g_00181
OG0000058	Prax.g_00803	Prbi.g_00394
OG0000059	Prax.g_00662	Prbi.g_00542
OG0000060	Prax.g_00472	Prbi.g_00758
OG0000061	Prax.g_00421	Prbi.g_00799
OG0000062	Prax.g_00351	Prbi.g_00869
OG0000063	Prax.g_00148	Prbi.g_01163
OG0000065	Prax.g_00981	Prbi.g_00261
OG0000065	Prax.g_01581	Prbi.g_01748
OG0000066	Prax.g_00727	Prbi.g_00478
OG0000067	Prax.g_00944	Prbi.g_00702
OG0000068	Prax.g_00439	Prbi.g_00780
OG0000069	Prax.g_00159	Prbi.g_01172
OG0000069	Prax.g_01149	Prbi.g_01029
OG0000070	Prax.g_01204	Prbi.g_01086
OG0000071	Prax.g_01959	Prbi.g_01330
OG0000072	Prax.g_01899	Prbi.g_01391
OG0000074	Prax.g_01832	Prbi.g_01460
OG0000075	Prax.g_01338	Prbi.g_01938
OG0000076	Prax.g_01838	Prbi.g_01497
OG0000077	Prax.g_01974	Prbi.g_00011
OG0000078	Prax.g_00853, Prax.g_00852	Prbi.g_00346
OG0000079	Prax.g_00792	Prbi.g_00407
OG0000080	Prax.g_00973	Prbi.g_00672
OG0000081	Prax.g_00951	Prbi.g_00694
OG0000082	Prax.g_00366	Prbi.g_00854
OG0000083	Prax.g_00501, Prax.g_00530, Prax.g_00301	Prbi.g_00918
OG0000084	Prax.g_01129	Prbi.g_01009
