Orthogroup	Prax	Prbb
OG0000000	Prax.g_01608, Prax.g_00496	Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244
OG0000000	Prax.g_00259, Prax.g_01609	Prbb.g_01145, Prbb.g_01352, Prbb.g_01123, Prbb.g_01403, Prbb.g_01787
OG0000001	Prax.g_01870	Prbb.g_00844
OG0000001	Prax.g_00964	Prbb.g_00683, Prbb.g_01549, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544
OG0000002	Prax.g_00522	Prbb.g_01915, Prbb.g_00474, Prbb.g_01157
OG0000002	Prax.g_01878	Prbb.g_01611
OG0000003	Prax.g_01963	Prbb.g_00077
OG0000003	Prax.g_01976	Prbb.g_01570, Prbb.g_00045, Prbb.g_01562
OG0000004	Prax.g_01919, Prax.g_01606, Prax.g_00494	Prbb.g_01144, Prbb.g_00429, Prbb.g_01321, Prbb.g_01356, Prbb.g_01246, Prbb.g_01792
OG0000005	Prax.g_00437	Prbb.g_00425, Prbb.g_00748
OG0000006	Prax.g_01936, Prax.g_00500, Prax.g_00424, Prax.g_00141	Prbb.g_01294
OG0000008	Prax.g_00704	Prbb.g_00501
OG0000008	Prax.g_01559	Prbb.g_01823
OG0000010	Prax.g_00393	Prbb.g_00757, Prbb.g_00761
OG0000011	Prax.g_00425	Prbb.g_01800
OG0000012	Prax.g_00173	Prbb.g_00325
OG0000015	Prax.g_00843	Prbb.g_00386
OG0000016	Prax.g_00523	Prbb.g_01158
OG0000017	Prax.g_01916	Prbb.g_01375
OG0000018	Prax.g_00057	Prbb.g_00598
OG0000019	Prax.g_00793	Prbb.g_01189
OG0000020	Prax.g_01867	Prbb.g_01632
OG0000021	Prax.g_01708	Prbb.g_01705
OG0000022	Prax.g_01972	Prbb.g_01328, Prbb.g_01560, Prbb.g_00299
OG0000023	Prax.g_01587, Prax.g_00808	Prbb.g_00099
OG0000024	Prax.g_01931	Prbb.g_01207, Prbb.g_01182, Prbb.g_01192
OG0000025	Prax.g_00432	Prbb.g_01175, Prbb.g_00680
