Orthogroup	Prax	Prau
OG0000000	Prax.g_01608	Prau.g_01648
OG0000000	Prax.g_01609	Prau.g_01266
OG0000001	Prax.g_01870	Prau.g_01402
OG0000001	Prax.g_00964	Prau.g_00718
OG0000002	Prax.g_01878	Prau.g_01394
OG0000003	Prax.g_01963	Prau.g_01315
OG0000003	Prax.g_01976	Prau.g_01268
OG0000004	Prax.g_01919	Prau.g_01350
OG0000004	Prax.g_01606	Prau.g_01650
OG0000004	Prax.g_00494	Prau.g_01300
OG0000005	Prax.g_00444	Prau.g_00785
OG0000005	Prax.g_00437	Prau.g_00792
OG0000006	Prax.g_01936	Prau.g_01331
OG0000006	Prax.g_00424	Prau.g_00805
OG0000006	Prax.g_00141	Prau.g_01156
OG0000007	Prax.g_01960	Prau.g_01303
OG0000007	Prax.g_01958	Prau.g_01319
OG0000007	Prax.g_00791	Prau.g_00387
OG0000008	Prax.g_00704	Prau.g_00538
OG0000008	Prax.g_01559	Prau.g_01732
OG0000010	Prax.g_00393	Prau.g_00834
OG0000010	Prax.g_00926	Prau.g_00251
OG0000011	Prax.g_00798	Prau.g_00378
OG0000011	Prax.g_00425	Prau.g_00804
OG0000012	Prax.g_00799	Prau.g_00377
OG0000013	Prax.g_01617	Prau.g_01641
OG0000014	Prax.g_00869	Prau.g_00308
OG0000015	Prax.g_00843	Prau.g_00332
OG0000016	Prax.g_00523	Prau.g_00817
OG0000017	Prax.g_01916	Prau.g_01353
OG0000018	Prax.g_00057	Prau.g_00636
OG0000019	Prax.g_00793	Prau.g_00385
OG0000020	Prax.g_01867	Prau.g_01405
OG0000021	Prax.g_01708	Prau.g_01551
OG0000022	Prax.g_01972	Prau.g_01316
OG0000023	Prax.g_01587	Prau.g_01680
OG0000023	Prax.g_00808	Prau.g_00367
OG0000024	Prax.g_01931	Prau.g_01344
OG0000025	Prax.g_00432	Prau.g_00796
OG0000026	Prax.g_01917	Prau.g_01352
OG0000027	Prax.g_00970	Prau.g_00712
OG0000029	Prax.g_00392	Prau.g_00835
OG0000030	Prax.g_00391	Prau.g_00836
OG0000031	Prax.g_01401	Prau.g_01932
OG0000032	Prax.g_00280	Prau.g_00032
OG0000033	Prax.g_01641	Prau.g_01618
OG0000033	Prax.g_00441	Prau.g_00788
OG0000034	Prax.g_01733	Prau.g_01528
OG0000034	Prax.g_01728	Prau.g_01531
OG0000035	Prax.g_01616	Prau.g_01642
OG0000036	Prax.g_00138	Prau.g_01153
OG0000037	Prax.g_01927	Prau.g_01347
OG0000040	Prax.g_01930, Prax.g_00460	Prau.g_00441
OG0000041	Prax.g_00082	Prau.g_00663
OG0000042	Prax.g_01447	Prau.g_01978
OG0000043	Prax.g_01244	Prau.g_01126
OG0000045	Prax.g_00045	Prau.g_00624
OG0000046	Prax.g_00415	Prau.g_00814
OG0000047	Prax.g_00200	Prau.g_01206
OG0000050	Prax.g_01052	Prau.g_00167
OG0000051	Prax.g_00813	Prau.g_00362
OG0000052	Prax.g_00772	Prau.g_00458, Prau.g_00432
OG0000053	Prax.g_00485	Prau.g_00755
OG0000054	Prax.g_01566	Prau.g_01725
OG0000055	Prax.g_01394	Prau.g_01925
OG0000056	Prax.g_00282	Prau.g_00030
OG0000057	Prax.g_01061	Prau.g_00158
OG0000058	Prax.g_00803	Prau.g_00373
OG0000059	Prax.g_00662	Prau.g_00579
OG0000060	Prax.g_00472	Prau.g_00768
OG0000061	Prax.g_00421	Prau.g_00808
OG0000062	Prax.g_00351	Prau.g_00876
OG0000063	Prax.g_00148	Prau.g_01162
OG0000065	Prax.g_00981	Prau.g_00238
OG0000065	Prax.g_01581	Prau.g_00784
OG0000066	Prax.g_00727	Prau.g_00516
OG0000067	Prax.g_00944	Prau.g_00738
OG0000068	Prax.g_00439	Prau.g_00790
OG0000069	Prax.g_00159	Prau.g_01172
OG0000069	Prax.g_01149	Prau.g_01035
OG0000070	Prax.g_01204	Prau.g_01089
