Orthogroup	Prax	Pram
OG0000000	Prax.g_01608, Prax.g_00496	Pram.g_01511
OG0000000	Prax.g_00259, Prax.g_01609	Pram.g_01556, Pram.g_01512
OG0000001	Prax.g_01870	Pram.g_00873, Pram.g_00879
OG0000001	Prax.g_00964	Pram.g_00768, Pram.g_01278, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174
OG0000002	Prax.g_00522	Pram.g_00719
OG0000002	Prax.g_01878	Pram.g_01953, Pram.g_01954
OG0000004	Prax.g_01919, Prax.g_01606, Prax.g_00494	Pram.g_01513, Pram.g_01176
OG0000005	Prax.g_00437	Pram.g_01207
OG0000006	Prax.g_01936, Prax.g_00500, Prax.g_00424, Prax.g_00141	Pram.g_01505, Pram.g_00621
OG0000008	Prax.g_00704	Pram.g_00433
OG0000008	Prax.g_01559	Pram.g_01632
OG0000010	Prax.g_00393	Pram.g_01164
OG0000010	Prax.g_00926	Pram.g_00237
OG0000011	Prax.g_00798	Pram.g_01723
OG0000011	Prax.g_00425	Pram.g_01529
OG0000013	Prax.g_01617	Pram.g_00390, Pram.g_01284
OG0000016	Prax.g_00523	Pram.g_01545, Pram.g_00696
OG0000018	Prax.g_00057	Pram.g_00535, Pram.g_00542
OG0000019	Prax.g_00793	Pram.g_00662, Pram.g_00618, Pram.g_01597
OG0000020	Prax.g_01867	Pram.g_01283
OG0000022	Prax.g_01972	Pram.g_00229
OG0000023	Prax.g_01587, Prax.g_00808	Pram.g_00794
OG0000024	Prax.g_01931	Pram.g_00629, Pram.g_01186
OG0000025	Prax.g_00432	Pram.g_01004, Pram.g_00765
OG0000026	Prax.g_01917	Pram.g_01561
OG0000029	Prax.g_00392	Pram.g_01189, Pram.g_01617
OG0000030	Prax.g_00391	Pram.g_01544, Pram.g_00644
OG0000031	Prax.g_01401	Pram.g_01841
OG0000034	Prax.g_01733	Pram.g_01381
OG0000034	Prax.g_01728	Pram.g_01378
OG0000035	Prax.g_01616	Pram.g_00391
OG0000036	Prax.g_00138	Pram.g_01275
OG0000038	Prax.g_01831	Pram.g_01413
OG0000041	Prax.g_00082	Pram.g_00561
OG0000045	Prax.g_00045	Pram.g_01559
OG0000046	Prax.g_00415	Pram.g_01287
OG0000047	Prax.g_00200	Pram.g_01140
OG0000049	Prax.g_01823	Pram.g_01447
OG0000050	Prax.g_01052	Pram.g_00151
OG0000051	Prax.g_00813	Pram.g_00689
OG0000053	Prax.g_00485	Pram.g_00801
OG0000054	Prax.g_01566	Pram.g_01265
OG0000055	Prax.g_01394	Pram.g_01833
OG0000056	Prax.g_00282, Prax.g_00458	Pram.g_00018
OG0000057	Prax.g_01061	Pram.g_00142
OG0000058	Prax.g_00803	Pram.g_00677
OG0000059	Prax.g_00662	Pram.g_01558
OG0000060	Prax.g_00452	Pram.g_01017
OG0000061	Prax.g_00457	Pram.g_01517
OG0000062	Prax.g_00351	Pram.g_00832
OG0000065	Prax.g_00981, Prax.g_01581	Pram.g_00224
OG0000066	Prax.g_00727	Pram.g_00411
OG0000067	Prax.g_00944	Pram.g_00792
OG0000068	Prax.g_00439	Pram.g_00631
OG0000070	Prax.g_01204	Pram.g_00888
OG0000071	Prax.g_01959	Pram.g_01112
OG0000072	Prax.g_01899	Pram.g_01230
OG0000074	Prax.g_01832	Pram.g_01446
OG0000075	Prax.g_01338	Pram.g_01770
OG0000077	Prax.g_01974	Pram.g_01949
OG0000078	Prax.g_01783, Prax.g_00853, Prax.g_00852	Pram.g_00310
OG0000079	Prax.g_00792	Pram.g_01589
OG0000080	Prax.g_00973	Pram.g_01039
OG0000081	Prax.g_00951	Pram.g_00782
OG0000082	Prax.g_00366	Pram.g_00816
OG0000083	Prax.g_00501, Prax.g_00530, Prax.g_00301	Pram.g_01161
OG0000084	Prax.g_01129	Pram.g_00943
OG0000085	Prax.g_01254, Prax.g_01759	Pram.g_01185
OG0000086	Prax.g_00161	Pram.g_01546
OG0000090	Prax.g_01825	Pram.g_01445
OG0000091	Prax.g_01720	Pram.g_01370
OG0000092	Prax.g_01600	Pram.g_01554
OG0000093	Prax.g_01286	Pram.g_01719
OG0000094	Prax.g_01335	Pram.g_01766
OG0000095	Prax.g_01368	Pram.g_01805
OG0000096	Prax.g_01439	Pram.g_01878
OG0000098	Prax.g_01493	Pram.g_01941
OG0000099	Prax.g_00290	Pram.g_00010
OG0000101	Prax.g_00624	Pram.g_00036
