Orthogroup	Prad	Prbj
OG0000000	Prad.g_00392	Prbj.g_00164
OG0000000	Prad.g_01297, Prad.g_01435, Prad.g_00393, Prad.g_00349, Prad.g_00372	Prbj.g_00166
OG0000001	Prad.g_00601	Prbj.g_02517
OG0000001	Prad.g_01252	Prbj.g_00030
OG0000002	Prad.g_00609	Prbj.g_00169, Prbj.g_00672, Prbj.g_01549, Prbj.g_02662, Prbj.g_02690
OG0000004	Prad.g_00350, Prad.g_00389	Prbj.g_00165
OG0000005	Prad.g_01082	Prbj.g_00697, Prbj.g_00073
OG0000008	Prad.g_00132	Prbj.g_01610
OG0000008	Prad.g_00941	Prbj.g_00857
OG0000010	Prad.g_01125, Prad.g_01742	Prbj.g_01349
OG0000011	Prad.g_00734, Prad.g_01096	Prbj.g_00378
OG0000013	Prad.g_00401, Prad.g_01888	Prbj.g_01300, Prbj.g_00618
OG0000015	Prad.g_00683	Prbj.g_02509
OG0000015	Prad.g_01661	Prbj.g_00666
OG0000016	Prad.g_01108	Prbj.g_02502
OG0000018	Prad.g_01387	Prbj.g_01769, Prbj.g_01761
OG0000020	Prad.g_00598	Prbj.g_00740, Prbj.g_00778
OG0000022	Prad.g_01750	Prbj.g_02699
OG0000023	Prad.g_01981, Prad.g_00745	Prbj.g_01774
OG0000024	Prad.g_00338	Prbj.g_00731
OG0000025	Prad.g_01088	Prbj.g_00773
OG0000027	Prad.g_01246	Prbj.g_00928
OG0000031	Prad.g_01624	Prbj.g_01808, Prbj.g_00001, Prbj.g_02010
OG0000032	Prad.g_01953, Prad.g_00081	Prbj.g_01208
OG0000034	Prad.g_00515	Prbj.g_01056
OG0000037	Prad.g_00342	Prbj.g_00705
OG0000040	Prad.g_00339, Prad.g_01218	Prbj.g_00897
OG0000041	Prad.g_01412	Prbj.g_02552
OG0000045	Prad.g_01374	Prbj.g_01789
OG0000046	Prad.g_01105	Prbj.g_00050, Prbj.g_01572
OG0000047	Prad.g_01496	Prbj.g_00971
OG0000048	Prad.g_00571	Prbj.g_01487
OG0000049	Prad.g_00565	Prbj.g_01467
OG0000050	Prad.g_01825	Prbj.g_00912, Prbj.g_00521
OG0000051	Prad.g_00751	Prbj.g_02392
OG0000053	Prad.g_01049	Prbj.g_00913, Prbj.g_02178
OG0000054	Prad.g_00948	Prbj.g_00869
OG0000055	Prad.g_01631	Prbj.g_01598
OG0000056	Prad.g_01955	Prbj.g_01204
OG0000057	Prad.g_01834	Prbj.g_00530
OG0000058	Prad.g_00739	Prbj.g_00875
OG0000059	Prad.g_00090	Prbj.g_02141
OG0000061	Prad.g_01099	Prbj.g_01324
OG0000062	Prad.g_01168	Prbj.g_02437
OG0000063	Prad.g_00657	Prbj.g_00227
OG0000066	Prad.g_00032	Prbj.g_00128
OG0000067	Prad.g_01272	Prbj.g_00758
OG0000070	Prad.g_01018	Prbj.g_01838
OG0000071	Prad.g_01214	Prbj.g_01915
OG0000072	Prad.g_00628	Prbj.g_01728
OG0000074	Prad.g_00564	Prbj.g_01465
OG0000075	Prad.g_00807	Prbj.g_00415, Prbj.g_00981
OG0000076	Prad.g_00572	Prbj.g_00659
OG0000076	Prad.g_00561	Prbj.g_01468
OG0000077	Prad.g_01975	Prbj.g_02085
OG0000078	Prad.g_01669	Prbj.g_01460
OG0000079	Prad.g_00727	Prbj.g_02004
OG0000080	Prad.g_01243	Prbj.g_00824
OG0000081	Prad.g_01265	Prbj.g_00933
OG0000082	Prad.g_01153	Prbj.g_02419
OG0000084	Prad.g_00186	Prbj.g_02268
OG0000085	Prad.g_00972	Prbj.g_02066
OG0000086	Prad.g_01989	Prbj.g_01990
OG0000090	Prad.g_00566	Prbj.g_01464
OG0000091	Prad.g_00507	Prbj.g_01072
OG0000092	Prad.g_00383	Prbj.g_01678
OG0000093	Prad.g_00855	Prbj.g_01029
OG0000094	Prad.g_00810	Prbj.g_00985
OG0000095	Prad.g_00777	Prbj.g_01500
OG0000096	Prad.g_01588	Prbj.g_01218
OG0000098	Prad.g_01533	Prbj.g_02076
OG0000099	Prad.g_01963	Prbj.g_01195
OG0000101	Prad.g_01937	Prbj.g_01921
OG0000102	Prad.g_01880, Prad.g_00011	Prbj.g_01551
OG0000103	Prad.g_01872	Prbj.g_01566
OG0000104	Prad.g_01854	Prbj.g_01547
OG0000105	Prad.g_01821	Prbj.g_00517
OG0000106	Prad.g_01807	Prbj.g_01138
OG0000107	Prad.g_01799	Prbj.g_01157
OG0000108	Prad.g_01789	Prbj.g_01167
OG0000109	Prad.g_01752	Prbj.g_02614
OG0000110	Prad.g_01740	Prbj.g_01352
OG0000111	Prad.g_01717	Prbj.g_01397
OG0000113	Prad.g_01694	Prbj.g_01426
OG0000114	Prad.g_01666	Prbj.g_01480
OG0000115	Prad.g_00033	Prbj.g_00129
OG0000116	Prad.g_00031	Prbj.g_00127
OG0000117	Prad.g_00027	Prbj.g_01630
OG0000118	Prad.g_00130	Prbj.g_01608
OG0000119	Prad.g_00097	Prbj.g_02125
OG0000120	Prad.g_00096	Prbj.g_02127
OG0000121	Prad.g_01333	Prbj.g_02668
OG0000122	Prad.g_01342	Prbj.g_01866
OG0000123	Prad.g_01373	Prbj.g_01790
OG0000124	Prad.g_01225	Prbj.g_00792
OG0000125	Prad.g_01226	Prbj.g_00793
OG0000126	Prad.g_01227	Prbj.g_00794
OG0000127	Prad.g_01260	Prbj.g_00429
OG0000128	Prad.g_01051	Prbj.g_02181
OG0000129	Prad.g_01071	Prbj.g_02314
OG0000130	Prad.g_01130	Prbj.g_00023
OG0000131	Prad.g_01144	Prbj.g_02410
OG0000132	Prad.g_01180	Prbj.g_02474
OG0000133	Prad.g_00228	Prbj.g_02382
OG0000134	Prad.g_00218	Prbj.g_02388
OG0000135	Prad.g_00182	Prbj.g_02260
OG0000136	Prad.g_01021	Prbj.g_01841
OG0000137	Prad.g_01526	Prbj.g_01992
OG0000139	Prad.g_01490	Prbj.g_00843
OG0000140	Prad.g_01438	Prbj.g_00020
OG0000141	Prad.g_00076	Prbj.g_01848
OG0000142	Prad.g_00616	Prbj.g_01742
OG0000143	Prad.g_00594	Prbj.g_01639
OG0000144	Prad.g_00528	Prbj.g_01040
OG0000145	Prad.g_00514	Prbj.g_01057
OG0000146	Prad.g_00477	Prbj.g_00656
OG0000147	Prad.g_00437	Prbj.g_00882
OG0000148	Prad.g_00436	Prbj.g_00881
OG0000149	Prad.g_00943	Prbj.g_00863
OG0000150	Prad.g_00905	Prbj.g_00461
OG0000151	Prad.g_00902	Prbj.g_00458
OG0000152	Prad.g_00882	Prbj.g_00425
OG0000153	Prad.g_00848	Prbj.g_01024
OG0000154	Prad.g_00812	Prbj.g_00987
OG0000155	Prad.g_00794	Prbj.g_00400
OG0000156	Prad.g_01294, Prad.g_00766	Prbj.g_01516
OG0000157	Prad.g_01615	Prbj.g_01280
OG0000158	Prad.g_01553	Prbj.g_02047
OG0000160	Prad.g_01535	Prbj.g_02074
OG0000161	Prad.g_01534	Prbj.g_02075
OG0000162	Prad.g_01532	Prbj.g_02077
OG0000163	Prad.g_01531	Prbj.g_02078
OG0000164	Prad.g_01530	Prbj.g_02079
OG0000165	Prad.g_01529	Prbj.g_02080
OG0000166	Prad.g_01528	Prbj.g_02082
OG0000167	Prad.g_01527	Prbj.g_02083
OG0000168	Prad.g_01976	Prbj.g_02084
OG0000169	Prad.g_01974	Prbj.g_02086
OG0000170	Prad.g_01972	Prbj.g_01182
OG0000171	Prad.g_01971	Prbj.g_01183
OG0000172	Prad.g_01970	Prbj.g_01188
OG0000173	Prad.g_01969	Prbj.g_01189
OG0000174	Prad.g_01968	Prbj.g_01190
OG0000175	Prad.g_01967	Prbj.g_01191
OG0000176	Prad.g_01966	Prbj.g_01192
OG0000177	Prad.g_01965	Prbj.g_01193
OG0000178	Prad.g_01964	Prbj.g_01194
OG0000179	Prad.g_01962	Prbj.g_01196
OG0000180	Prad.g_01961	Prbj.g_01197
OG0000181	Prad.g_01960	Prbj.g_01198
OG0000182	Prad.g_01959	Prbj.g_01199
OG0000183	Prad.g_01958	Prbj.g_01200
OG0000184	Prad.g_01957	Prbj.g_01202
OG0000185	Prad.g_01954	Prbj.g_01207
OG0000186	Prad.g_01951	Prbj.g_01212
OG0000187	Prad.g_01950	Prbj.g_01213
OG0000188	Prad.g_01949	Prbj.g_01214
OG0000189	Prad.g_01947	Prbj.g_01215
OG0000190	Prad.g_01945	Prbj.g_01217
OG0000191	Prad.g_01944	Prbj.g_01953
OG0000192	Prad.g_01943	Prbj.g_01951
OG0000193	Prad.g_01941	Prbj.g_01950
OG0000194	Prad.g_01940	Prbj.g_01943
OG0000195	Prad.g_01939	Prbj.g_01936
OG0000196	Prad.g_01938	Prbj.g_01928
OG0000197	Prad.g_01936	Prbj.g_01920
OG0000198	Prad.g_01935	Prbj.g_01919
OG0000199	Prad.g_01934	Prbj.g_01918
OG0000200	Prad.g_01929	Prbj.g_00558
OG0000201	Prad.g_01928	Prbj.g_00560
OG0000202	Prad.g_01927	Prbj.g_00561
OG0000203	Prad.g_01924	Prbj.g_00564
OG0000204	Prad.g_01923	Prbj.g_00565
OG0000205	Prad.g_01920	Prbj.g_00569
OG0000206	Prad.g_01918	Prbj.g_00571
OG0000207	Prad.g_01916	Prbj.g_00575
OG0000208	Prad.g_01915	Prbj.g_00576
OG0000209	Prad.g_01914	Prbj.g_00047
OG0000210	Prad.g_01913	Prbj.g_00577
OG0000211	Prad.g_01912	Prbj.g_00580
OG0000212	Prad.g_01911	Prbj.g_00581
OG0000213	Prad.g_01910	Prbj.g_00582
OG0000214	Prad.g_01909	Prbj.g_00583
OG0000215	Prad.g_01908	Prbj.g_00584
OG0000216	Prad.g_01907	Prbj.g_00585
OG0000217	Prad.g_01905	Prbj.g_00589
OG0000218	Prad.g_01904	Prbj.g_00590
OG0000219	Prad.g_01903	Prbj.g_00596
OG0000220	Prad.g_01902	Prbj.g_00600
OG0000221	Prad.g_01899	Prbj.g_00605
OG0000222	Prad.g_01898	Prbj.g_00606
OG0000223	Prad.g_01897	Prbj.g_00607
OG0000224	Prad.g_01896	Prbj.g_00609
OG0000225	Prad.g_01895	Prbj.g_00610
OG0000226	Prad.g_01894	Prbj.g_00611
OG0000227	Prad.g_01893	Prbj.g_00613
OG0000228	Prad.g_01892	Prbj.g_00614
OG0000229	Prad.g_01891	Prbj.g_00615
OG0000230	Prad.g_01890	Prbj.g_00616
OG0000231	Prad.g_01889	Prbj.g_00617
OG0000232	Prad.g_01887	Prbj.g_00619
OG0000233	Prad.g_01886	Prbj.g_00620
OG0000234	Prad.g_01885	Prbj.g_00621
OG0000235	Prad.g_01884	Prbj.g_00624
OG0000236	Prad.g_01883	Prbj.g_00628
OG0000237	Prad.g_01882	Prbj.g_00630
OG0000238	Prad.g_01881	Prbj.g_01550
OG0000239	Prad.g_01879	Prbj.g_01552
OG0000240	Prad.g_01878	Prbj.g_01554
OG0000241	Prad.g_01877	Prbj.g_01556
OG0000242	Prad.g_01876	Prbj.g_01557
OG0000243	Prad.g_01873	Prbj.g_01562
OG0000244	Prad.g_01871	Prbj.g_01567
OG0000245	Prad.g_01870	Prbj.g_01568
OG0000246	Prad.g_01869	Prbj.g_01569
OG0000247	Prad.g_01866	Prbj.g_01530
OG0000248	Prad.g_01864	Prbj.g_01532
OG0000249	Prad.g_01863	Prbj.g_01535
OG0000250	Prad.g_01862	Prbj.g_01537
OG0000251	Prad.g_01861	Prbj.g_01538
OG0000252	Prad.g_01860	Prbj.g_01539
OG0000253	Prad.g_01859	Prbj.g_01540
OG0000254	Prad.g_01857	Prbj.g_01542
OG0000255	Prad.g_01856	Prbj.g_01543
OG0000256	Prad.g_01853	Prbj.g_01548
OG0000257	Prad.g_01851	Prbj.g_00545
OG0000258	Prad.g_01846	Prbj.g_00543
OG0000259	Prad.g_01845	Prbj.g_00542
OG0000260	Prad.g_01844	Prbj.g_00541
OG0000261	Prad.g_01843	Prbj.g_00540
OG0000262	Prad.g_01842	Prbj.g_00539
OG0000263	Prad.g_01840	Prbj.g_00537
OG0000264	Prad.g_01839	Prbj.g_00536
OG0000265	Prad.g_01838	Prbj.g_00535
OG0000266	Prad.g_01837	Prbj.g_00534
OG0000267	Prad.g_01836	Prbj.g_00533
OG0000268	Prad.g_01835	Prbj.g_00531
OG0000269	Prad.g_01833	Prbj.g_00529
OG0000270	Prad.g_01832	Prbj.g_00528
OG0000271	Prad.g_01831	Prbj.g_00527
OG0000272	Prad.g_01830	Prbj.g_00526
OG0000273	Prad.g_01829	Prbj.g_00525
OG0000274	Prad.g_01828	Prbj.g_00524
OG0000275	Prad.g_01827	Prbj.g_00523
OG0000276	Prad.g_01826	Prbj.g_00522
OG0000277	Prad.g_01824	Prbj.g_00520
OG0000278	Prad.g_01823	Prbj.g_00519
OG0000279	Prad.g_01822	Prbj.g_00518
OG0000280	Prad.g_01820	Prbj.g_00516
OG0000281	Prad.g_01818	Prbj.g_00515
OG0000282	Prad.g_01817	Prbj.g_00514
OG0000283	Prad.g_01816	Prbj.g_00513
OG0000284	Prad.g_01815	Prbj.g_00512
OG0000285	Prad.g_01814	Prbj.g_00511
OG0000286	Prad.g_01813	Prbj.g_00510
OG0000287	Prad.g_01812	Prbj.g_00509
OG0000288	Prad.g_01810	Prbj.g_02369
OG0000289	Prad.g_01809	Prbj.g_01135
OG0000290	Prad.g_01808	Prbj.g_01137
OG0000291	Prad.g_01806	Prbj.g_01141
OG0000292	Prad.g_01805	Prbj.g_01143
OG0000293	Prad.g_01804	Prbj.g_01146
OG0000294	Prad.g_01803	Prbj.g_01148
OG0000295	Prad.g_01802	Prbj.g_01151
OG0000296	Prad.g_01801	Prbj.g_01152
OG0000297	Prad.g_01800	Prbj.g_01155
OG0000298	Prad.g_01798	Prbj.g_01158
OG0000299	Prad.g_01797	Prbj.g_01159
OG0000300	Prad.g_01796	Prbj.g_01160
OG0000301	Prad.g_01795	Prbj.g_01161
OG0000302	Prad.g_01794	Prbj.g_01162
OG0000303	Prad.g_01793	Prbj.g_01163
OG0000304	Prad.g_01791	Prbj.g_01165
OG0000305	Prad.g_01790	Prbj.g_01166
OG0000306	Prad.g_01787	Prbj.g_01173
OG0000307	Prad.g_01786	Prbj.g_01174
OG0000308	Prad.g_01785	Prbj.g_00289
OG0000309	Prad.g_01784	Prbj.g_00288
OG0000310	Prad.g_01783	Prbj.g_00287
OG0000311	Prad.g_01782	Prbj.g_00234
OG0000312	Prad.g_01781	Prbj.g_00235
