Orthogroup	Prai	Syaq
OG0000001	Prai.g_01235, Prai.g_01356	Syaq.g_01436, Syaq.g_00118, Syaq.g_01435, Syaq.g_00115, Syaq.g_01434, Syaq.g_02178, Syaq.g_02413
OG0000004	Prai.g_00724	Syaq.g_02603
OG0000004	Prai.g_00243	Syaq.g_02042, Syaq.g_01567
OG0000005	Prai.g_01651	Syaq.g_01658
OG0000005	Prai.g_01538	Syaq.g_01692
OG0000006	Prai.g_00252, Prai.g_00254	Syaq.g_02108, Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Prai.g_00527	Syaq.g_01793
OG0000007	Prai.g_01638	Syaq.g_01673
OG0000008	Prai.g_00701	Syaq.g_02162, Syaq.g_02575
OG0000009	Prai.g_00105	Syaq.g_01489
OG0000010	Prai.g_01292, Prai.g_01067	Syaq.g_00443
OG0000012	Prai.g_00652	Syaq.g_02059, Syaq.g_00077
OG0000013	Prai.g_00340	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Prai.g_00319	Syaq.g_00862
OG0000015	Prai.g_01243	Syaq.g_00121, Syaq.g_01171, Syaq.g_02255
OG0000016	Prai.g_00013	Syaq.g_01136
OG0000017	Prai.g_00626	Syaq.g_01992, Syaq.g_01999
OG0000018	Prai.g_01153	Syaq.g_00401
OG0000019	Prai.g_00262, Prai.g_00867	Syaq.g_00717
OG0000022	Prai.g_01139	Syaq.g_02126
OG0000023	Prai.g_00373	Syaq.g_02540
OG0000025	Prai.g_00344, Prai.g_00812	Syaq.g_02381
OG0000026	Prai.g_00031, Prai.g_01074	Syaq.g_01114
OG0000028	Prai.g_01297, Prai.g_00333	Syaq.g_00878
OG0000030	Prai.g_01848	Syaq.g_01047, Syaq.g_01048
OG0000034	Prai.g_01345	Syaq.g_00312, Syaq.g_01431
OG0000035	Prai.g_01463	Syaq.g_00372, Syaq.g_00371
OG0000037	Prai.g_00109	Syaq.g_01483
OG0000038	Prai.g_01890	Syaq.g_01260, Syaq.g_01258
OG0000039	Prai.g_00715	Syaq.g_01601, Syaq.g_01241
OG0000041	Prai.g_01684	Syaq.g_02688, Syaq.g_01612
OG0000042	Prai.g_01845	Syaq.g_00200, Syaq.g_01044
OG0000045	Prai.g_00384, Prai.g_01274	Syaq.g_02047
OG0000048	Prai.g_00387	Syaq.g_00749
OG0000052	Prai.g_00154	Syaq.g_00935
OG0000053	Prai.g_01483	Syaq.g_00397
OG0000054	Prai.g_00634	Syaq.g_02005
OG0000055	Prai.g_00866	Syaq.g_02700
OG0000057	Prai.g_00727	Syaq.g_02541, Syaq.g_02605
OG0000059	Prai.g_01725	Syaq.g_00657
OG0000061	Prai.g_01171	Syaq.g_00249
OG0000062	Prai.g_01540	Syaq.g_01690
