Orthogroup	Prai	Prbf
OG0000000	Prai.g_01612, Prai.g_01592	Prbf.g_00776
OG0000001	Prai.g_01235, Prai.g_01356	Prbf.g_00068
OG0000002	Prai.g_01363	Prbf.g_01182, Prbf.g_01177
OG0000002	Prai.g_00707	Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285
OG0000004	Prai.g_00724	Prbf.g_01264
OG0000004	Prai.g_00243	Prbf.g_01570
OG0000005	Prai.g_01538	Prbf.g_00240
OG0000006	Prai.g_00252, Prai.g_00254	Prbf.g_01580
OG0000007	Prai.g_00527	Prbf.g_01780
OG0000007	Prai.g_01638	Prbf.g_00693
OG0000008	Prai.g_00701	Prbf.g_00793, Prbf.g_00792
OG0000009	Prai.g_01578	Prbf.g_00252
OG0000010	Prai.g_00504	Prbf.g_01757
OG0000010	Prai.g_01292, Prai.g_01067	Prbf.g_00847, Prbf.g_01056
OG0000011	Prai.g_01599	Prbf.g_00347
OG0000012	Prai.g_00652	Prbf.g_01905, Prbf.g_00272
OG0000013	Prai.g_00340	Prbf.g_01665
OG0000014	Prai.g_00319	Prbf.g_01647
OG0000015	Prai.g_01243	Prbf.g_00754, Prbf.g_00708
OG0000016	Prai.g_01573	Prbf.g_00860
OG0000017	Prai.g_00626	Prbf.g_01880, Prbf.g_01887
OG0000018	Prai.g_00820	Prbf.g_01217
OG0000018	Prai.g_01153	Prbf.g_00896
OG0000019	Prai.g_00262	Prbf.g_01588
OG0000019	Prai.g_00867	Prbf.g_00894
OG0000020	Prai.g_00400	Prbf.g_00811
OG0000021	Prai.g_00378	Prbf.g_00265, Prbf.g_01259
OG0000022	Prai.g_00885	Prbf.g_00248
OG0000023	Prai.g_00373	Prbf.g_00287
OG0000024	Prai.g_00899	Prbf.g_01052
OG0000024	Prai.g_00704	Prbf.g_01288
OG0000025	Prai.g_00344, Prai.g_00812	Prbf.g_01209
OG0000026	Prai.g_00031, Prai.g_01074	Prbf.g_01354
OG0000027	Prai.g_00904	Prbf.g_00817, Prbf.g_00774
OG0000028	Prai.g_01297	Prbf.g_00794
OG0000029	Prai.g_00890	Prbf.g_00804, Prbf.g_00762
OG0000030	Prai.g_01848	Prbf.g_00484
OG0000031	Prai.g_01444	Prbf.g_00116
OG0000034	Prai.g_01345	Prbf.g_00015
OG0000035	Prai.g_01463	Prbf.g_00157
OG0000037	Prai.g_00109	Prbf.g_01437
OG0000038	Prai.g_01890	Prbf.g_00445
OG0000039	Prai.g_00715	Prbf.g_01276
OG0000041	Prai.g_01684	Prbf.g_00646
OG0000042	Prai.g_01845	Prbf.g_00487
OG0000043	Prai.g_00910, Prai.g_01064	Prbf.g_00897
OG0000047	Prai.g_00424	Prbf.g_01707
OG0000048	Prai.g_00387	Prbf.g_00039, Prbf.g_01611
OG0000052	Prai.g_00154	Prbf.g_00135
OG0000053	Prai.g_01483	Prbf.g_00178, Prbf.g_00748
OG0000054	Prai.g_00634	Prbf.g_01889
OG0000055	Prai.g_00866	Prbf.g_00869, Prbf.g_00719
OG0000057	Prai.g_00727	Prbf.g_01261
OG0000058	Prai.g_01859	Prbf.g_00117
OG0000059	Prai.g_01725	Prbf.g_00606
OG0000061	Prai.g_01171	Prbf.g_00918
OG0000062	Prai.g_01540	Prbf.g_00242
OG0000063	Prai.g_01261	Prbf.g_00808
OG0000065	Prai.g_00107	Prbf.g_01435
OG0000066	Prai.g_00567	Prbf.g_01820, Prbf.g_00781
OG0000067	Prai.g_00848	Prbf.g_01245
OG0000068	Prai.g_01370	Prbf.g_00095
OG0000069	Prai.g_01579	Prbf.g_01738
OG0000070	Prai.g_00481	Prbf.g_01734
OG0000071	Prai.g_01335	Prbf.g_00026
OG0000072	Prai.g_00182	Prbf.g_01505
OG0000073	Prai.g_00529	Prbf.g_01783
OG0000074	Prai.g_00711	Prbf.g_01281, Prbf.g_00836, Prbf.g_00295
OG0000075	Prai.g_01814	Prbf.g_00522
OG0000076	Prai.g_01838	Prbf.g_00496
OG0000077	Prai.g_00078	Prbf.g_01405
OG0000078	Prai.g_00250	Prbf.g_01578
OG0000079	Prai.g_00265	Prbf.g_01591
OG0000081	Prai.g_00559	Prbf.g_01812
OG0000082	Prai.g_00613	Prbf.g_01867, Prbf.g_00704
OG0000084	Prai.g_01459	Prbf.g_00154
OG0000085	Prai.g_01631	Prbf.g_00822, Prbf.g_00701
OG0000086	Prai.g_00088	Prbf.g_01414
OG0000087	Prai.g_00139	Prbf.g_01469
OG0000088	Prai.g_00177	Prbf.g_01500
OG0000089	Prai.g_00368	Prbf.g_01701
OG0000090	Prai.g_00561	Prbf.g_01814
OG0000091	Prai.g_00671	Prbf.g_00990
OG0000092	Prai.g_01041	Prbf.g_01315
OG0000093	Prai.g_01021	Prbf.g_01019
OG0000094	Prai.g_00937	Prbf.g_01068
OG0000095	Prai.g_00918	Prbf.g_01170
OG0000096	Prai.g_01588	Prbf.g_00306
OG0000097	Prai.g_01214	Prbf.g_00964
OG0000098	Prai.g_01353	Prbf.g_00071
OG0000099	Prai.g_01393	Prbf.g_00118
OG0000100	Prai.g_01536	Prbf.g_00236
OG0000101	Prai.g_01782	Prbf.g_00558
