Orthogroup	Prai	Syah
OG0000001	Prai.g_01235, Prai.g_01356	Syah.g_00726, Syah.g_01516, Syah.g_00040, Syah.g_00041, Syah.g_00710
OG0000002	Prai.g_01363, Prai.g_00707	Syah.g_01829
OG0000004	Prai.g_00724	Syah.g_02017
OG0000004	Prai.g_00243	Syah.g_01967, Syah.g_00901
OG0000005	Prai.g_01651	Syah.g_02403
OG0000005	Prai.g_01538	Syah.g_02363
OG0000006	Prai.g_00252, Prai.g_00254	Syah.g_01912, Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918
OG0000007	Prai.g_00527	Syah.g_01016
OG0000007	Prai.g_01638	Syah.g_02384
OG0000008	Prai.g_00701	Syah.g_01994, Syah.g_01993
OG0000009	Prai.g_01578	Syah.g_02457
OG0000009	Prai.g_00105	Syah.g_01910, Syah.g_02535
OG0000010	Prai.g_01292, Prai.g_01067	Syah.g_01220
OG0000012	Prai.g_00652	Syah.g_01960, Syah.g_02169, Syah.g_01340
OG0000013	Prai.g_00340	Syah.g_00822, Syah.g_00831, Syah.g_00817
OG0000014	Prai.g_00319	Syah.g_00127
OG0000015	Prai.g_01243	Syah.g_01511, Syah.g_01510
OG0000016	Prai.g_00013	Syah.g_00359
OG0000016	Prai.g_01573	Syah.g_01859
OG0000017	Prai.g_00626	Syah.g_01152, Syah.g_01159
OG0000018	Prai.g_01153	Syah.g_01264
OG0000019	Prai.g_00262, Prai.g_00867	Syah.g_00669
OG0000022	Prai.g_01139	Syah.g_01881
OG0000023	Prai.g_00373	Syah.g_01330, Syah.g_02167, Syah.g_00930
OG0000024	Prai.g_00899, Prai.g_00704	Syah.g_01990
OG0000025	Prai.g_00344, Prai.g_00812	Syah.g_02082
OG0000026	Prai.g_00031, Prai.g_01074	Syah.g_00340
OG0000027	Prai.g_00904	Syah.g_01541
OG0000028	Prai.g_01297, Prai.g_00333	Syah.g_00141
OG0000029	Prai.g_00890	Syah.g_01292
OG0000030	Prai.g_01848	Syah.g_00264, Syah.g_00265
OG0000031	Prai.g_01444	Syah.g_00226, Syah.g_00322
OG0000034	Prai.g_01345	Syah.g_00048, Syah.g_02213
OG0000035	Prai.g_01463	Syah.g_01293
OG0000037	Prai.g_00109	Syah.g_02541, Syah.g_00956, Syah.g_01365
OG0000038	Prai.g_01890	Syah.g_00508, Syah.g_00506
OG0000039	Prai.g_00715	Syah.g_02074
OG0000041	Prai.g_01684	Syah.g_02271, Syah.g_02039
OG0000042	Prai.g_01845	Syah.g_00261
OG0000043	Prai.g_00910	Syah.g_02119
OG0000045	Prai.g_00384	Syah.g_01872
OG0000045	Prai.g_01274	Syah.g_02356
OG0000047	Prai.g_00343, Prai.g_00424	Syah.g_00847
OG0000048	Prai.g_00387	Syah.g_00637
OG0000050	Prai.g_01093	Syah.g_00941
OG0000051	Prai.g_00434	Syah.g_02473
OG0000053	Prai.g_01483	Syah.g_01267
OG0000054	Prai.g_00634	Syah.g_01982, Syah.g_01862
OG0000055	Prai.g_00866	Syah.g_01878, Syah.g_02071
OG0000057	Prai.g_00727	Syah.g_02020
OG0000059	Prai.g_01725	Syah.g_00737
OG0000061	Prai.g_01171	Syah.g_02158
OG0000062	Prai.g_01540	Syah.g_02365
OG0000063	Prai.g_00033, Prai.g_01261	Syah.g_00337
OG0000065	Prai.g_00107	Syah.g_02537, Syah.g_02443
OG0000066	Prai.g_00567	Syah.g_01073
OG0000067	Prai.g_00848	Syah.g_01779
OG0000068	Prai.g_01370	Syah.g_00986
OG0000069	Prai.g_01579	Syah.g_01715
OG0000070	Prai.g_00481	Syah.g_02217
OG0000071	Prai.g_01335	Syah.g_01863, Syah.g_02199
OG0000072	Prai.g_00182	Syah.g_00080
OG0000073	Prai.g_00529	Syah.g_01018
OG0000074	Prai.g_00711	Syah.g_00951
OG0000075	Prai.g_01814	Syah.g_00186
OG0000076	Prai.g_01838	Syah.g_00250
OG0000077	Prai.g_00078	Syah.g_02494
OG0000078	Prai.g_00250	Syah.g_00912
OG0000079	Prai.g_00265	Syah.g_00665
OG0000080	Prai.g_01411	Syah.g_00290
OG0000081	Prai.g_00559	Syah.g_00922, Syah.g_02471
OG0000082	Prai.g_00613	Syah.g_01136
OG0000084	Prai.g_01459	Syah.g_02105, Syah.g_01296
OG0000085	Prai.g_01631	Syah.g_02372
OG0000086	Prai.g_00088	Syah.g_02511
OG0000087	Prai.g_00139	Syah.g_00038
OG0000088	Prai.g_00177	Syah.g_00074
OG0000089	Prai.g_00368	Syah.g_00888
OG0000090	Prai.g_00561	Syah.g_01064
OG0000091	Prai.g_00671	Syah.g_01927
OG0000093	Prai.g_01021	Syah.g_01794
OG0000094	Prai.g_00937	Syah.g_01692
OG0000095	Prai.g_00918	Syah.g_02030
OG0000097	Prai.g_01214	Syah.g_01400
OG0000098	Prai.g_01353	Syah.g_00723
OG0000099	Prai.g_01393	Syah.g_00144
OG0000100	Prai.g_01536	Syah.g_01747
OG0000101	Prai.g_01782	Syah.g_00785
OG0000102	Prai.g_01843	Syah.g_00255
OG0000103	Prai.g_01923	Syah.g_00391
OG0000104	Prai.g_01932	Syah.g_00377
OG0000105	Prai.g_00286, Prai.g_00287	Syah.g_00632
OG0000106	Prai.g_00383	Syah.g_01544
OG0000107	Prai.g_00397	Syah.g_00688
OG0000108	Prai.g_00510	Syah.g_00997
OG0000109	Prai.g_00524	Syah.g_01012
OG0000110	Prai.g_00603	Syah.g_01124
OG0000111	Prai.g_00728	Syah.g_02021
OG0000112	Prai.g_00882	Syah.g_01613
OG0000113	Prai.g_00825	Syah.g_01752
OG0000114	Prai.g_01046	Syah.g_01529
OG0000115	Prai.g_01119	Syah.g_01269
OG0000116	Prai.g_01162	Syah.g_02175
OG0000117	Prai.g_01273	Syah.g_01425
OG0000118	Prai.g_01347	Syah.g_01173
OG0000120	Prai.g_01443	Syah.g_00145
OG0000121	Prai.g_01465	Syah.g_01287
OG0000123	Prai.g_01789	Syah.g_00793
OG0000124	Prai.g_01854	Syah.g_00272
OG0000125	Prai.g_01892	Syah.g_00504
OG0000126	Prai.g_01931	Syah.g_00379
OG0000128	Prai.g_00011	Syah.g_00361
OG0000129	Prai.g_00051	Syah.g_00516
OG0000130	Prai.g_00069	Syah.g_02483
OG0000131	Prai.g_00156	Syah.g_00052
OG0000132	Prai.g_00175	Syah.g_00072
OG0000133	Prai.g_00335	Syah.g_01618
OG0000134	Prai.g_00369	Syah.g_00891
OG0000135	Prai.g_00393	Syah.g_00465
OG0000136	Prai.g_00472	Syah.g_02227
OG0000137	Prai.g_00505	Syah.g_01221
OG0000138	Prai.g_00525	Syah.g_01013
OG0000139	Prai.g_00565	Syah.g_01070
OG0000140	Prai.g_00566	Syah.g_01071
OG0000141	Prai.g_00635	Syah.g_01981
OG0000142	Prai.g_00664	Syah.g_01935
OG0000143	Prai.g_00668	Syah.g_01931
OG0000144	Prai.g_00681	Syah.g_01824
OG0000145	Prai.g_00883	Syah.g_01019
OG0000146	Prai.g_00881	Syah.g_01612
OG0000147	Prai.g_00880	Syah.g_01611
OG0000148	Prai.g_00831	Syah.g_01758
OG0000149	Prai.g_00800	Syah.g_02096
OG0000150	Prai.g_00792	Syah.g_01980
OG0000151	Prai.g_01036	Syah.g_01820
OG0000152	Prai.g_00989	Syah.g_01622
OG0000153	Prai.g_00970	Syah.g_01656
OG0000154	Prai.g_00943	Syah.g_01682
OG0000155	Prai.g_01191	Syah.g_02123
OG0000156	Prai.g_01323	Syah.g_02185
OG0000157	Prai.g_01324	Syah.g_02186
OG0000158	Prai.g_01392	Syah.g_00204
OG0000160	Prai.g_01464	Syah.g_01289
OG0000161	Prai.g_01470	Syah.g_01282
OG0000162	Prai.g_01476	Syah.g_01276
OG0000163	Prai.g_01509	Syah.g_02315
OG0000164	Prai.g_01662	Syah.g_02423
OG0000165	Prai.g_01669	Syah.g_02251
OG0000166	Prai.g_01740	Syah.g_00747
OG0000167	Prai.g_01812	Syah.g_00183
OG0000168	Prai.g_01822	Syah.g_00205
OG0000169	Prai.g_01832	Syah.g_00237
OG0000170	Prai.g_01834	Syah.g_00245
OG0000171	Prai.g_01853	Syah.g_00271
OG0000172	Prai.g_01863	Syah.g_00293
OG0000173	Prai.g_01878	Syah.g_00313
OG0000174	Prai.g_01905	Syah.g_00461
OG0000175	Prai.g_01915	Syah.g_00402
OG0000176	Prai.g_00004	Syah.g_00369
OG0000177	Prai.g_00005	Syah.g_00368
OG0000178	Prai.g_00006	Syah.g_00367
OG0000179	Prai.g_00016	Syah.g_00355
OG0000180	Prai.g_00017	Syah.g_00354
OG0000181	Prai.g_00018	Syah.g_00353
OG0000182	Prai.g_00019	Syah.g_00352
OG0000183	Prai.g_00023	Syah.g_00348
OG0000184	Prai.g_00053	Syah.g_00525
OG0000185	Prai.g_00056	Syah.g_00528
OG0000186	Prai.g_00064	Syah.g_02479
OG0000187	Prai.g_00065	Syah.g_02480
OG0000188	Prai.g_00082	Syah.g_02501
OG0000189	Prai.g_00096	Syah.g_02526
OG0000190	Prai.g_00097	Syah.g_02528
OG0000191	Prai.g_00117	Syah.g_00008
OG0000192	Prai.g_00121	Syah.g_00013
OG0000193	Prai.g_00157	Syah.g_00053
OG0000194	Prai.g_00160	Syah.g_00056
OG0000195	Prai.g_00162	Syah.g_00058
OG0000196	Prai.g_00172	Syah.g_00069
OG0000197	Prai.g_00173	Syah.g_00070
OG0000198	Prai.g_00174	Syah.g_00071
OG0000199	Prai.g_00181	Syah.g_00079
OG0000200	Prai.g_00195	Syah.g_00616
OG0000201	Prai.g_00203	Syah.g_00601
OG0000202	Prai.g_00204	Syah.g_00600
OG0000203	Prai.g_00205	Syah.g_00599
OG0000204	Prai.g_00206	Syah.g_00598
OG0000205	Prai.g_00213	Syah.g_00591
OG0000206	Prai.g_00218	Syah.g_00578
OG0000207	Prai.g_00220	Syah.g_00575
OG0000208	Prai.g_00221	Syah.g_00574
OG0000209	Prai.g_00230	Syah.g_00544
OG0000210	Prai.g_00231	Syah.g_00543
OG0000211	Prai.g_00244	Syah.g_00904
OG0000212	Prai.g_00251	Syah.g_00913
OG0000213	Prai.g_00270	Syah.g_00657
OG0000214	Prai.g_00280	Syah.g_00641
OG0000215	Prai.g_00305	Syah.g_00101
OG0000216	Prai.g_00307	Syah.g_00105
OG0000217	Prai.g_00310	Syah.g_00109
OG0000218	Prai.g_00312	Syah.g_00111
OG0000219	Prai.g_00313	Syah.g_00112
OG0000220	Prai.g_00314	Syah.g_00113
OG0000221	Prai.g_00315	Syah.g_00120
OG0000222	Prai.g_00323	Syah.g_00131
OG0000223	Prai.g_00336	Syah.g_00153
OG0000224	Prai.g_00338	Syah.g_00162
OG0000225	Prai.g_00358	Syah.g_00874
OG0000226	Prai.g_00362	Syah.g_00878
OG0000227	Prai.g_00364	Syah.g_00880
OG0000228	Prai.g_00367	Syah.g_00887
OG0000229	Prai.g_00467	Syah.g_02236
OG0000230	Prai.g_00469	Syah.g_02234
OG0000231	Prai.g_00480	Syah.g_02218
OG0000232	Prai.g_00489	Syah.g_01206
OG0000233	Prai.g_00494	Syah.g_01210
OG0000234	Prai.g_00506	Syah.g_01222
OG0000235	Prai.g_00509	Syah.g_00996
OG0000236	Prai.g_00523	Syah.g_01011
OG0000237	Prai.g_00536	Syah.g_01028
OG0000238	Prai.g_00542	Syah.g_01032
OG0000239	Prai.g_00553	Syah.g_01048
OG0000240	Prai.g_00554	Syah.g_01049
OG0000241	Prai.g_00558	Syah.g_01944
OG0000242	Prai.g_00560	Syah.g_01062
OG0000243	Prai.g_00571	Syah.g_01079
OG0000244	Prai.g_00574	Syah.g_01087
OG0000245	Prai.g_00576	Syah.g_01090
OG0000246	Prai.g_00580	Syah.g_01094
OG0000247	Prai.g_00590	Syah.g_01106
OG0000248	Prai.g_00593	Syah.g_01109
OG0000249	Prai.g_00595	Syah.g_01111
OG0000250	Prai.g_00600	Syah.g_01120
OG0000251	Prai.g_00619	Syah.g_01145
OG0000252	Prai.g_00622	Syah.g_01148
OG0000253	Prai.g_00623	Syah.g_01149
OG0000254	Prai.g_00639	Syah.g_01976
OG0000255	Prai.g_00645	Syah.g_01968
OG0000256	Prai.g_00656	Syah.g_01952
OG0000257	Prai.g_00659	Syah.g_01945
OG0000258	Prai.g_00672	Syah.g_01926
OG0000259	Prai.g_00689	Syah.g_01494
OG0000260	Prai.g_00692	Syah.g_01497
OG0000261	Prai.g_00694	Syah.g_01500
OG0000262	Prai.g_00698	Syah.g_01505
OG0000263	Prai.g_00710	Syah.g_01410
OG0000264	Prai.g_00720	Syah.g_02000
OG0000265	Prai.g_00748	Syah.g_02252
OG0000266	Prai.g_00758	Syah.g_01714
OG0000267	Prai.g_00769	Syah.g_01574
OG0000268	Prai.g_00770	Syah.g_01575
OG0000269	Prai.g_00853	Syah.g_01784
OG0000270	Prai.g_00850	Syah.g_01781
OG0000271	Prai.g_00842	Syah.g_01773
OG0000272	Prai.g_00840, Prai.g_00841	Syah.g_01772
OG0000273	Prai.g_00817	Syah.g_02075
OG0000274	Prai.g_00816	Syah.g_02076
OG0000275	Prai.g_00741, Prai.g_00813	Syah.g_02081
OG0000276	Prai.g_00808	Syah.g_02088
OG0000277	Prai.g_00807	Syah.g_02089
OG0000278	Prai.g_00804	Syah.g_02092
OG0000279	Prai.g_00797	Syah.g_02100
OG0000280	Prai.g_00796	Syah.g_02112
OG0000281	Prai.g_00791	Syah.g_00722
OG0000282	Prai.g_01044	Syah.g_01531
OG0000283	Prai.g_01012	Syah.g_01585
OG0000284	Prai.g_01007	Syah.g_01591
OG0000285	Prai.g_01002	Syah.g_01603
OG0000286	Prai.g_00990	Syah.g_01621
OG0000287	Prai.g_00973	Syah.g_01231, Syah.g_01649
OG0000288	Prai.g_00944	Syah.g_01681
OG0000289	Prai.g_00934	Syah.g_01695
OG0000290	Prai.g_00921	Syah.g_02033
OG0000291	Prai.g_00919	Syah.g_02031
OG0000292	Prai.g_01107	Syah.g_00380
OG0000293	Prai.g_01163	Syah.g_02173
OG0000294	Prai.g_01164	Syah.g_02172
OG0000295	Prai.g_01183	Syah.g_02131
OG0000296	Prai.g_01185	Syah.g_02129
OG0000297	Prai.g_01193	Syah.g_01427
OG0000298	Prai.g_01194	Syah.g_01426
OG0000299	Prai.g_01213	Syah.g_01404
OG0000300	Prai.g_01216	Syah.g_01397
OG0000301	Prai.g_01217	Syah.g_01396
OG0000302	Prai.g_01219	Syah.g_01395
OG0000303	Prai.g_01226	Syah.g_01387
OG0000304	Prai.g_01230	Syah.g_01382
OG0000305	Prai.g_01362	Syah.g_02028
OG0000306	Prai.g_01365	Syah.g_02116
OG0000307	Prai.g_01379	Syah.g_00978
OG0000308	Prai.g_01380	Syah.g_00976
OG0000309	Prai.g_01384	Syah.g_00971
OG0000310	Prai.g_01448	Syah.g_01321
OG0000311	Prai.g_01450	Syah.g_01317
OG0000312	Prai.g_01453	Syah.g_01304
OG0000313	Prai.g_01467	Syah.g_01285
OG0000314	Prai.g_01489	Syah.g_01259
OG0000315	Prai.g_01499	Syah.g_01248
OG0000316	Prai.g_01519	Syah.g_02333
OG0000317	Prai.g_01636	Syah.g_02380
OG0000318	Prai.g_01639	Syah.g_02385
OG0000319	Prai.g_01652	Syah.g_02405
OG0000320	Prai.g_01654	Syah.g_02407
OG0000321	Prai.g_01655	Syah.g_02408
OG0000322	Prai.g_01656	Syah.g_02409
OG0000323	Prai.g_01665	Syah.g_02425
OG0000324	Prai.g_01691	Syah.g_02278
OG0000325	Prai.g_01702	Syah.g_00689
OG0000326	Prai.g_01708	Syah.g_00696
OG0000327	Prai.g_01735	Syah.g_00742
OG0000328	Prai.g_01736	Syah.g_00743
OG0000329	Prai.g_01754	Syah.g_00760
OG0000330	Prai.g_01755	Syah.g_00761
OG0000331	Prai.g_01756	Syah.g_00762
OG0000332	Prai.g_01770	Syah.g_00776
OG0000333	Prai.g_01777	Syah.g_00779
OG0000334	Prai.g_01785	Syah.g_00789
OG0000335	Prai.g_01790	Syah.g_00794
OG0000336	Prai.g_01794	Syah.g_00798
OG0000337	Prai.g_01810	Syah.g_00178
OG0000338	Prai.g_01811	Syah.g_00181
OG0000339	Prai.g_01815	Syah.g_00188
OG0000340	Prai.g_01823	Syah.g_00206
OG0000341	Prai.g_01825	Syah.g_00208
OG0000342	Prai.g_01826	Syah.g_00209
OG0000343	Prai.g_01827	Syah.g_00231
OG0000344	Prai.g_01830	Syah.g_00235
OG0000345	Prai.g_01835	Syah.g_00246
OG0000346	Prai.g_01839	Syah.g_00251
