Orthogroup	Prai	Syae
OG0000001	Prai.g_01235, Prai.g_01356	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055
OG0000004	Prai.g_00724	Syae.g_00779
OG0000004	Prai.g_00243	Syae.g_00042, Syae.g_02231
OG0000005	Prai.g_01651	Syae.g_01179
OG0000005	Prai.g_01538	Syae.g_01143
OG0000006	Prai.g_00252, Prai.g_00254	Syae.g_00096, Syae.g_02030, Syae.g_02248
OG0000007	Prai.g_00527	Syae.g_02328
OG0000007	Prai.g_01638	Syae.g_01163
OG0000008	Prai.g_00701	Syae.g_00753, Syae.g_00752
OG0000009	Prai.g_01578	Syae.g_00561, Syae.g_00171
OG0000009	Prai.g_00105	Syae.g_00100, Syae.g_01361
OG0000010	Prai.g_01292, Prai.g_01067	Syae.g_02529
OG0000012	Prai.g_00652	Syae.g_00049, Syae.g_02397, Syae.g_02562
OG0000013	Prai.g_00340	Syae.g_02160, Syae.g_02169, Syae.g_02155
OG0000014	Prai.g_00319	Syae.g_01930
OG0000015	Prai.g_01243	Syae.g_01693, Syae.g_00590
OG0000016	Prai.g_00013	Syae.g_01726
OG0000016	Prai.g_01573	Syae.g_00233
OG0000017	Prai.g_00626	Syae.g_02462, Syae.g_02469
OG0000018	Prai.g_01153	Syae.g_02625
OG0000019	Prai.g_00262, Prai.g_00867	Syae.g_02015
OG0000021	Prai.g_00378	Syae.g_01261, Syae.g_00481
OG0000022	Prai.g_01139	Syae.g_00144
OG0000023	Prai.g_00373	Syae.g_00439, Syae.g_00930
OG0000025	Prai.g_00344, Prai.g_00812	Syae.g_00833
OG0000026	Prai.g_00031, Prai.g_01074	Syae.g_01748
OG0000027	Prai.g_00904	Syae.g_00103, Syae.g_00814
OG0000028	Prai.g_01297, Prai.g_00333	Syae.g_01916
OG0000029	Prai.g_00890	Syae.g_00136
OG0000030	Prai.g_01848	Syae.g_01817, Syae.g_01816
OG0000034	Prai.g_01345	Syae.g_00975, Syae.g_01424
OG0000035	Prai.g_01463	Syae.g_02653
OG0000037	Prai.g_00109	Syae.g_01367
OG0000038	Prai.g_01890	Syae.g_01571
OG0000039	Prai.g_00715	Syae.g_00822, Syae.g_02495
OG0000041	Prai.g_01684	Syae.g_01042, Syae.g_00802
OG0000042	Prai.g_01845	Syae.g_01821
OG0000045	Prai.g_01274	Syae.g_00732
OG0000047	Prai.g_00343, Prai.g_00424	Syae.g_02184
OG0000048	Prai.g_00387	Syae.g_01982
OG0000050	Prai.g_01233	Syae.g_00122
OG0000050	Prai.g_01093	Syae.g_01023
OG0000051	Prai.g_00434	Syae.g_00438
