Orthogroup	Prai	Syac
OG0000001	Prai.g_01235, Prai.g_01356	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169
OG0000002	Prai.g_01363, Prai.g_00707	Syac.g_01084
OG0000004	Prai.g_00724	Syac.g_00898
OG0000004	Prai.g_00243	Syac.g_00948, Syac.g_01975
OG0000005	Prai.g_01651	Syac.g_00527
OG0000005	Prai.g_01538	Syac.g_00569
OG0000006	Prai.g_00252, Prai.g_00254	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194
OG0000007	Prai.g_00527	Syac.g_01885
OG0000007	Prai.g_01638	Syac.g_00544
OG0000008	Prai.g_00701	Syac.g_00921, Syac.g_00922
OG0000009	Prai.g_00105	Syac.g_01004, Syac.g_00398
OG0000010	Prai.g_01292, Prai.g_01067	Syac.g_01701
OG0000012	Prai.g_00652	Syac.g_00955, Syac.g_00758, Syac.g_01577
OG0000013	Prai.g_00340	Syac.g_02056, Syac.g_02046, Syac.g_02062
OG0000014	Prai.g_00319	Syac.g_00253
OG0000015	Prai.g_01243	Syac.g_01408
OG0000016	Prai.g_00013	Syac.g_00014
OG0000016	Prai.g_01573	Syac.g_01053
OG0000017	Prai.g_00626	Syac.g_01749, Syac.g_01742
OG0000018	Prai.g_01153	Syac.g_01660
OG0000019	Prai.g_00262, Prai.g_00867	Syac.g_02207
OG0000022	Prai.g_01139	Syac.g_01031
OG0000023	Prai.g_00373	Syac.g_00760
OG0000024	Prai.g_00899, Prai.g_00704	Syac.g_00925
OG0000025	Prai.g_00344, Prai.g_00812	Syac.g_00847
OG0000026	Prai.g_00031, Prai.g_01074	Syac.g_00034
OG0000027	Prai.g_00904	Syac.g_01095, Syac.g_01009
OG0000028	Prai.g_01297, Prai.g_00333	Syac.g_00237
OG0000029	Prai.g_00890	Syac.g_01942
OG0000030	Prai.g_01848	Syac.g_00143, Syac.g_00142
OG0000034	Prai.g_01345	Syac.g_00334, Syac.g_00715
OG0000035	Prai.g_01463	Syac.g_01630
OG0000037	Prai.g_00109	Syac.g_01077
OG0000038	Prai.g_01890	Syac.g_02357, Syac.g_02358
OG0000039	Prai.g_00715	Syac.g_00856, Syac.g_02378
OG0000041	Prai.g_01684	Syac.g_00655, Syac.g_00876
OG0000042	Prai.g_01845	Syac.g_00146
OG0000043	Prai.g_00910	Syac.g_00808
OG0000045	Prai.g_00384	Syac.g_01040
OG0000045	Prai.g_01274	Syac.g_00576
OG0000047	Prai.g_00343, Prai.g_00424	Syac.g_02031
OG0000048	Prai.g_00387	Syac.g_02240
OG0000050	Prai.g_01093	Syac.g_01937
OG0000051	Prai.g_01263	Syac.g_01292
OG0000051	Prai.g_00434	Syac.g_01073
OG0000053	Prai.g_01483	Syac.g_01657
OG0000054	Prai.g_00634	Syac.g_00933, Syac.g_01050
OG0000055	Prai.g_00866	Syac.g_01034, Syac.g_00859
OG0000057	Prai.g_00727	Syac.g_00894
OG0000059	Prai.g_01725	Syac.g_02142
OG0000061	Prai.g_01171	Syac.g_00769
OG0000062	Prai.g_01540	Syac.g_00567
OG0000063	Prai.g_00033, Prai.g_01261	Syac.g_00037
OG0000065	Prai.g_00107	Syac.g_00396, Syac.g_00490
OG0000066	Prai.g_00567	Syac.g_01827
OG0000067	Prai.g_00848	Syac.g_01341
OG0000068	Prai.g_01370	Syac.g_01916
OG0000069	Prai.g_01579	Syac.g_01272
OG0000070	Prai.g_00481	Syac.g_00711
OG0000071	Prai.g_01335	Syac.g_01049, Syac.g_00729
OG0000072	Prai.g_00182	Syac.g_00302
OG0000073	Prai.g_00529	Syac.g_01883
OG0000075	Prai.g_01814	Syac.g_00191
OG0000076	Prai.g_01838	Syac.g_00156
OG0000077	Prai.g_00078	Syac.g_00439
OG0000078	Prai.g_00250	Syac.g_01964
OG0000079	Prai.g_00265	Syac.g_02211
OG0000081	Prai.g_00559	Syac.g_01954, Syac.g_00461
OG0000082	Prai.g_00613	Syac.g_01766
OG0000084	Prai.g_01459	Syac.g_00822, Syac.g_01627
OG0000085	Prai.g_01631	Syac.g_00560
OG0000086	Prai.g_00088	Syac.g_00423
OG0000087	Prai.g_00139	Syac.g_00343
OG0000088	Prai.g_00177	Syac.g_00308
OG0000089	Prai.g_00368	Syac.g_01988, Syac.g_01543
OG0000090	Prai.g_00561	Syac.g_01836
OG0000091	Prai.g_00671	Syac.g_00987
OG0000093	Prai.g_01021	Syac.g_01357
OG0000094	Prai.g_00937	Syac.g_01251
OG0000095	Prai.g_00918	Syac.g_00884
OG0000097	Prai.g_01214	Syac.g_01507
OG0000098	Prai.g_01353	Syac.g_02157
OG0000099	Prai.g_01393	Syac.g_00234
OG0000100	Prai.g_01536	Syac.g_01309
OG0000101	Prai.g_01782	Syac.g_02094
OG0000102	Prai.g_01843	Syac.g_00151
OG0000103	Prai.g_01923	Syac.g_02476
OG0000104	Prai.g_01932	Syac.g_02490
OG0000105	Prai.g_00286, Prai.g_00287	Syac.g_02245
OG0000106	Prai.g_00383	Syac.g_01098
OG0000107	Prai.g_00397	Syac.g_02191
OG0000108	Prai.g_00510	Syac.g_01904
OG0000109	Prai.g_00524	Syac.g_01889
OG0000110	Prai.g_00603	Syac.g_01778
OG0000111	Prai.g_00728	Syac.g_00893
OG0000112	Prai.g_00882	Syac.g_01173
OG0000113	Prai.g_00825	Syac.g_01314
OG0000114	Prai.g_01046	Syac.g_01394
OG0000115	Prai.g_01119	Syac.g_01655
OG0000116	Prai.g_01162	Syac.g_00753
OG0000117	Prai.g_01273	Syac.g_01477
OG0000118	Prai.g_01347	Syac.g_01728
OG0000120	Prai.g_01443	Syac.g_00233
OG0000121	Prai.g_01465	Syac.g_01635
OG0000123	Prai.g_01789	Syac.g_02086
OG0000124	Prai.g_01854	Syac.g_00135
OG0000125	Prai.g_01892	Syac.g_02360
OG0000126	Prai.g_01931	Syac.g_02488
OG0000128	Prai.g_00011	Syac.g_00012
OG0000129	Prai.g_00051	Syac.g_02349
OG0000130	Prai.g_00069	Syac.g_00450
OG0000131	Prai.g_00156	Syac.g_00330
OG0000132	Prai.g_00175	Syac.g_00310
OG0000133	Prai.g_00335	Syac.g_01178
OG0000134	Prai.g_00369	Syac.g_01985
OG0000135	Prai.g_00393	Syac.g_02398
OG0000136	Prai.g_00472	Syac.g_00701
OG0000137	Prai.g_00505	Syac.g_01700
OG0000138	Prai.g_00525	Syac.g_01888
OG0000139	Prai.g_00565	Syac.g_01830
OG0000140	Prai.g_00566	Syac.g_01829
OG0000141	Prai.g_00635	Syac.g_00934
OG0000142	Prai.g_00664	Syac.g_00979
OG0000143	Prai.g_00668	Syac.g_00983
OG0000144	Prai.g_00681	Syac.g_01090
OG0000145	Prai.g_00883	Syac.g_01882
OG0000146	Prai.g_00881	Syac.g_01172
OG0000147	Prai.g_00880	Syac.g_01171
OG0000148	Prai.g_00831	Syac.g_01320
OG0000149	Prai.g_00800	Syac.g_00832
OG0000150	Prai.g_00792	Syac.g_00935
OG0000151	Prai.g_01036	Syac.g_01383
OG0000152	Prai.g_00989	Syac.g_01182
OG0000153	Prai.g_00970	Syac.g_01217
OG0000154	Prai.g_00943	Syac.g_01241
OG0000155	Prai.g_01191	Syac.g_00804
OG0000156	Prai.g_01323	Syac.g_00743
OG0000157	Prai.g_01324	Syac.g_00742
OG0000158	Prai.g_01392	Syac.g_00182
OG0000160	Prai.g_01464	Syac.g_01633
OG0000161	Prai.g_01470	Syac.g_01641
OG0000162	Prai.g_01476	Syac.g_01648
OG0000163	Prai.g_01509	Syac.g_00619
OG0000164	Prai.g_01662	Syac.g_00508
OG0000165	Prai.g_01669	Syac.g_00674
OG0000166	Prai.g_01740	Syac.g_02132
OG0000167	Prai.g_01812	Syac.g_00194
OG0000168	Prai.g_01822	Syac.g_00179
OG0000169	Prai.g_01832	Syac.g_00168
OG0000170	Prai.g_01834	Syac.g_00161
OG0000171	Prai.g_01853	Syac.g_00136
OG0000172	Prai.g_01863	Syac.g_00084
OG0000173	Prai.g_01878	Syac.g_00057
OG0000174	Prai.g_01905	Syac.g_02401
OG0000175	Prai.g_01915	Syac.g_02465
OG0000176	Prai.g_00004	Syac.g_00004
OG0000177	Prai.g_00005	Syac.g_00005
OG0000178	Prai.g_00006	Syac.g_00006
OG0000179	Prai.g_00016	Syac.g_00019
OG0000180	Prai.g_00017	Syac.g_00020
OG0000181	Prai.g_00018	Syac.g_00021
OG0000182	Prai.g_00019	Syac.g_00022
OG0000183	Prai.g_00023	Syac.g_00026
OG0000184	Prai.g_00053	Syac.g_02339
OG0000185	Prai.g_00056	Syac.g_02336
OG0000186	Prai.g_00064	Syac.g_00454
OG0000187	Prai.g_00065	Syac.g_00453
OG0000188	Prai.g_00082	Syac.g_00433
OG0000189	Prai.g_00096	Syac.g_00408
OG0000190	Prai.g_00097	Syac.g_00406
OG0000191	Prai.g_00117	Syac.g_00373
OG0000192	Prai.g_00121	Syac.g_00368
OG0000193	Prai.g_00157	Syac.g_00329
OG0000194	Prai.g_00160	Syac.g_00326
OG0000195	Prai.g_00162	Syac.g_00324
OG0000196	Prai.g_00172	Syac.g_00313
OG0000197	Prai.g_00173	Syac.g_00312
OG0000198	Prai.g_00174	Syac.g_00311
OG0000199	Prai.g_00181	Syac.g_00303
OG0000200	Prai.g_00195	Syac.g_02261
OG0000201	Prai.g_00203	Syac.g_02278
OG0000202	Prai.g_00204	Syac.g_02279
OG0000203	Prai.g_00205	Syac.g_02280
OG0000204	Prai.g_00206	Syac.g_02281
OG0000205	Prai.g_00213	Syac.g_02288
OG0000206	Prai.g_00218	Syac.g_02297
OG0000207	Prai.g_00220	Syac.g_02300
OG0000208	Prai.g_00221	Syac.g_02301
OG0000209	Prai.g_00230	Syac.g_02316
OG0000210	Prai.g_00231	Syac.g_02317
OG0000211	Prai.g_00244	Syac.g_01972
OG0000212	Prai.g_00251	Syac.g_01963
OG0000213	Prai.g_00270	Syac.g_02219
OG0000214	Prai.g_00280	Syac.g_02236
OG0000215	Prai.g_00305	Syac.g_00281
OG0000216	Prai.g_00307	Syac.g_00277
OG0000217	Prai.g_00310	Syac.g_00273
OG0000218	Prai.g_00312	Syac.g_00271
OG0000219	Prai.g_00313	Syac.g_00270
OG0000220	Prai.g_00314	Syac.g_00269
OG0000221	Prai.g_00315	Syac.g_00261
OG0000222	Prai.g_00323	Syac.g_00247
OG0000223	Prai.g_00336	Syac.g_00225
OG0000224	Prai.g_00338	Syac.g_00217
OG0000225	Prai.g_00358	Syac.g_02004
