Orthogroup	Prai	Pray
OG0000000	Prai.g_00905, Prai.g_01772	Pray.g_01888
OG0000000	Prai.g_01612	Pray.g_01576
OG0000000	Prai.g_01592	Pray.g_01603
OG0000000	Prai.g_00908	Pray.g_00003
OG0000000	Prai.g_00908	Pray.g_01604
OG0000000	Prai.g_01234	Pray.g_00003
OG0000000	Prai.g_01234	Pray.g_01604
OG0000000	Prai.g_01591	Pray.g_00003
OG0000000	Prai.g_01591	Pray.g_01604
OG0000000	Prai.g_01775	Pray.g_00003
OG0000000	Prai.g_01775	Pray.g_01604
OG0000000	Prai.g_01314	Pray.g_01890
OG0000000	Prai.g_01596	Pray.g_01602
OG0000001	Prai.g_01235, Prai.g_01356	Pray.g_01844
OG0000001	Prai.g_01236	Pray.g_00247, Pray.g_00246
OG0000002	Prai.g_01363	Pray.g_01836
OG0000002	Prai.g_00707	Pray.g_01085
OG0000004	Prai.g_00724	Pray.g_01068
OG0000004	Prai.g_00243	Pray.g_00713
OG0000005	Prai.g_01651	Pray.g_01546
OG0000005	Prai.g_01538	Pray.g_01646
OG0000006	Prai.g_00252, Prai.g_00254	Pray.g_00722
OG0000007	Prai.g_00527	Pray.g_00988, Pray.g_00987
OG0000007	Prai.g_01638	Pray.g_01559
OG0000008	Prai.g_00701	Pray.g_01931, Pray.g_01091
OG0000009	Prai.g_01578	Pray.g_01920, Pray.g_01610
OG0000009	Prai.g_00105	Pray.g_00184
OG0000010	Prai.g_00504	Pray.g_00964
OG0000010	Prai.g_01067	Pray.g_00592
OG0000012	Prai.g_00652	Pray.g_01140
OG0000013	Prai.g_00340	Pray.g_00805
OG0000014	Prai.g_00319	Pray.g_00784
OG0000015	Prai.g_01243	Pray.g_00309
OG0000016	Prai.g_00013	Pray.g_01475
OG0000017	Prai.g_00626	Pray.g_01165
OG0000018	Prai.g_00820	Pray.g_00375
OG0000018	Prai.g_01153	Pray.g_00083
OG0000019	Prai.g_00262	Pray.g_00730
OG0000019	Prai.g_00867	Pray.g_00328
OG0000020	Prai.g_01125	Pray.g_00120
OG0000021	Prai.g_00378	Pray.g_01578, Pray.g_00842
OG0000022	Prai.g_01139	Pray.g_00101
OG0000022	Prai.g_00885	Pray.g_00304
OG0000023	Prai.g_00373	Pray.g_00838
OG0000024	Prai.g_00899	Pray.g_00289
OG0000024	Prai.g_00704	Pray.g_01088
OG0000025	Prai.g_00344	Pray.g_00809
OG0000025	Prai.g_00812	Pray.g_00383
OG0000026	Prai.g_00031	Pray.g_01493
OG0000026	Prai.g_01074	Pray.g_00599
OG0000027	Prai.g_00904	Pray.g_00960, Pray.g_01887
OG0000028	Prai.g_01297	Pray.g_01935
OG0000028	Prai.g_00333	Pray.g_00798
OG0000029	Prai.g_00890	Pray.g_00296
OG0000030	Prai.g_01848	Pray.g_01374
OG0000031	Prai.g_01444	Pray.g_01806
OG0000033	Prai.g_00180	Pray.g_00650
OG0000034	Prai.g_01345	Pray.g_01860
OG0000035	Prai.g_01463	Pray.g_01722
