Orthogroup	Prai	Prbg
OG0000000	Prai.g_01612, Prai.g_01592	Prbg.g_01567
OG0000001	Prai.g_01235, Prai.g_01356	Prbg.g_00502
OG0000002	Prai.g_01363	Prbg.g_01222, Prbg.g_01227
OG0000002	Prai.g_00707	Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694, Prbg.g_01119
OG0000004	Prai.g_00724	Prbg.g_01140
OG0000004	Prai.g_00243	Prbg.g_01014
OG0000005	Prai.g_01538	Prbg.g_00674
OG0000006	Prai.g_00252, Prai.g_00254	Prbg.g_01024
OG0000007	Prai.g_00527	Prbg.g_00216
OG0000007	Prai.g_01638	Prbg.g_01650
OG0000008	Prai.g_00701	Prbg.g_00744, Prbg.g_00745
OG0000009	Prai.g_01578	Prbg.g_00686
OG0000010	Prai.g_00504	Prbg.g_00193
OG0000010	Prai.g_01292, Prai.g_01067	Prbg.g_01053, Prbg.g_01348
OG0000011	Prai.g_01599	Prbg.g_00415
OG0000012	Prai.g_00652	Prbg.g_00342, Prbg.g_00706
OG0000013	Prai.g_00340	Prbg.g_00104
OG0000014	Prai.g_00319	Prbg.g_00086
OG0000015	Prai.g_01243	Prbg.g_01589, Prbg.g_01635
OG0000016	Prai.g_01573	Prbg.g_01544
OG0000017	Prai.g_00626	Prbg.g_00317, Prbg.g_00324
OG0000018	Prai.g_00820	Prbg.g_01187
OG0000018	Prai.g_01153	Prbg.g_01508
OG0000019	Prai.g_00262	Prbg.g_01032
OG0000019	Prai.g_00867	Prbg.g_01510
OG0000020	Prai.g_00400	Prbg.g_00727
OG0000021	Prai.g_00378	Prbg.g_00699, Prbg.g_01145
OG0000022	Prai.g_00885	Prbg.g_00682
OG0000023	Prai.g_00373	Prbg.g_00013
OG0000024	Prai.g_00899	Prbg.g_01352
OG0000024	Prai.g_00704	Prbg.g_01116
OG0000025	Prai.g_00344, Prai.g_00812	Prbg.g_01195
OG0000026	Prai.g_00031, Prai.g_01074	Prbg.g_00842
OG0000027	Prai.g_00904	Prbg.g_00721, Prbg.g_01569
OG0000028	Prai.g_01297	Prbg.g_00743
OG0000029	Prai.g_00890	Prbg.g_00734, Prbg.g_01581
OG0000030	Prai.g_01848	Prbg.g_01858
OG0000031	Prai.g_01444	Prbg.g_00550
OG0000034	Prai.g_01345	Prbg.g_00488
OG0000035	Prai.g_01463	Prbg.g_00591
