Orthogroup	Species	Prbc	Orthologs
OG0000000	Pray	Prbc.g_01920	Pray.g_01836
OG0000000	Prbd	Prbc.g_01920	Prbd.g_01771
OG0000000	Prau	Prbc.g_01920	Prau.g_01402
OG0000000	Pras	Prbc.g_01920	Pras.g_00243
OG0000000	Prbi	Prbc.g_01920	Prbi.g_01432
OG0000000	Praz	Prbc.g_01920	Praz.g_01146
OG0000000	Prba	Prbc.g_01920	Prba.g_00203
OG0000000	Prao	Prbc.g_01920	Prao.g_01246
OG0000000	Prae	Prbc.g_01920	Prae.g_01361
OG0000000	Praa	Prbc.g_01920	Praa.g_01359
OG0000000	Prax	Prbc.g_01920	Prax.g_01870
OG0000000	Prad	Prbc.g_01920	Prad.g_00601
OG0000000	Prai	Prbc.g_01920	Prai.g_01363
OG0000000	Prar	Prbc.g_01920	Prar.g_00918
OG0000000	Praq	Prbc.g_01920	Praq.g_00168
OG0000000	Prac	Prbc.g_01920	Prac.g_00210
OG0000000	Praw	Prbc.g_01920	Praw.g_01009
OG0000000	Prag	Prbc.g_01920	Prag.g_01382
OG0000000	Prav	Prbc.g_01920	Prav.g_01466
OG0000000	Praf	Prbc.g_01920	Praf.g_01631
OG0000000	Prah	Prbc.g_01920	Prah.g_00562
OG0000000	Prbl	Prbc.g_01920	Prbl.g_01582
OG0000000	Prbj	Prbc.g_01920	Prbj.g_02517
OG0000000	Prbk	Prbc.g_01920	Prbk.g_02574
OG0000000	Prbf	Prbc.g_01920	Prbf.g_01182
OG0000000	Prbg	Prbc.g_01920	Prbg.g_01222
OG0000000	Prbe	Prbc.g_01920	Prbe.g_01285
OG0000000	Prap	Prbc.g_01920	Prap.g_00720
OG0000000	Prak	Prbc.g_01920	Prak.g_00908
OG0000000	Prbn	Prbc.g_01920	Prbn.g_01483
OG0000000	Pram	Prbc.g_01920	Pram.g_00873
OG0000000	Prbh	Prbc.g_01920	Prbh.g_01016
OG0000000	Pral	Prbc.g_01920	Pral.g_01549
OG0000000	Prat	Prbc.g_01920	Prat.g_00977
OG0000000	Prbm	Prbc.g_01920	Prbm.g_00874
OG0000000	Prbb	Prbc.g_01920	Prbb.g_00844
