Orthogroup	Species	Prag	Orthologs
OG0000000	Praf	Prag.g_01382	Praf.g_01631
OG0000000	Prah	Prag.g_01382	Prah.g_00562
OG0000000	Prbl	Prag.g_01382	Prbl.g_01582
OG0000000	Prbj	Prag.g_01382	Prbj.g_02517
OG0000000	Prbk	Prag.g_01382	Prbk.g_02574
OG0000000	Prbf	Prag.g_01382	Prbf.g_01182, Prbf.g_01177
OG0000000	Prbg	Prag.g_01382	Prbg.g_01222, Prbg.g_01227
OG0000000	Prbe	Prag.g_01382	Prbe.g_01285, Prbe.g_01290
OG0000000	Prap	Prag.g_01382	Prap.g_00720, Prap.g_00715
OG0000000	Prak	Prag.g_01382	Prak.g_00908, Prak.g_00913
OG0000000	Prbn	Prag.g_01382	Prbn.g_01483, Prbn.g_01478
OG0000000	Pram	Prag.g_01382	Pram.g_00873, Pram.g_00879
OG0000000	Prbh	Prag.g_01382	Prbh.g_01016, Prbh.g_01022
OG0000000	Pral	Prag.g_01382	Pral.g_01549, Pral.g_01554
OG0000000	Prat	Prag.g_01382	Prat.g_00977
OG0000000	Prbc	Prag.g_01382	Prbc.g_01920
OG0000000	Praj	Prag.g_01382	Praj.g_00832
OG0000000	Prbb	Prag.g_01382	Prbb.g_00844
OG0000000	Prbm	Prag.g_01382	Prbm.g_00874
OG0000000	Pray	Prag.g_01382	Pray.g_01836
OG0000000	Prbd	Prag.g_01382	Prbd.g_01771
OG0000000	Prau	Prag.g_01382	Prau.g_01402
OG0000000	Pras	Prag.g_01382	Pras.g_00243
OG0000000	Prbi	Prag.g_01382	Prbi.g_01432
OG0000000	Praz	Prag.g_01382	Praz.g_01146
OG0000000	Prba	Prag.g_01382	Prba.g_00203
OG0000000	Prao	Prag.g_01382	Prao.g_01246
OG0000000	Prae	Prag.g_01382	Prae.g_01361
OG0000000	Praa	Prag.g_01382	Praa.g_01359
OG0000000	Prax	Prag.g_01382	Prax.g_01870
OG0000000	Prad	Prag.g_01382	Prad.g_00601
OG0000000	Prai	Prag.g_01382	Prai.g_01363
OG0000000	Prar	Prag.g_01382	Prar.g_00918
OG0000000	Praq	Prag.g_01382	Praq.g_00168
OG0000000	Prac	Prag.g_01382	Prac.g_00210
OG0000000	Prav	Prag.g_01382	Prav.g_01466
OG0000000	Praw	Prag.g_01382	Praw.g_01009
OG0000000	Prbl	Prag.g_00656	Prbl.g_01092
OG0000000	Prbk	Prag.g_00656	Prbk.g_01649
OG0000000	Prbj	Prag.g_00656	Prbj.g_00030
OG0000000	Praf	Prag.g_00656	Praf.g_00948
OG0000000	Prah	Prag.g_00656	Prah.g_01226
OG0000000	Pral	Prag.g_00656	Pral.g_01764, Pral.g_01052, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337
OG0000000	Prap	Prag.g_00656	Prap.g_00823, Prap.g_00224, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491
OG0000000	Prbf	Prag.g_00656	Prbf.g_01285, Prbf.g_00260, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883
OG0000000	Prak	Prag.g_00656	Prak.g_00805, Prak.g_01494, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207
OG0000000	Prbn	Prag.g_00656	Prbn.g_01586, Prbn.g_00879, Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154
OG0000000	Prbe	Prag.g_00656	Prbe.g_00452, Prbe.g_00208, Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584
OG0000000	Prbg	Prag.g_00656	Prbg.g_01119, Prbg.g_00694, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521
OG0000000	Prbh	Prag.g_00656	Prbh.g_00912, Prbh.g_00199, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317
OG0000000	Pram	Prag.g_00656	Pram.g_00768, Pram.g_01278, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174
OG0000000	Prat	Prag.g_00656	Prat.g_00751, Prat.g_01462, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187
OG0000000	Prbm	Prag.g_00656	Prbm.g_00712, Prbm.g_01581, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576
OG0000000	Prbc	Prag.g_00656	Prbc.g_01759, Prbc.g_01478, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473
OG0000000	Prbb	Prag.g_00656	Prbb.g_00683, Prbb.g_01549, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544
OG0000000	Praj	Prag.g_00656	Praj.g_00670, Praj.g_01492, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487
OG0000000	Praa	Prag.g_00656	Praa.g_00678
OG0000000	Prbi	Prag.g_00656	Prbi.g_00681
OG0000000	Prae	Prag.g_00656	Prae.g_00652
OG0000000	Prax	Prag.g_00656	Prax.g_00964
OG0000000	Prau	Prag.g_00656	Prau.g_00718
OG0000000	Pras	Prag.g_00656	Pras.g_01554
OG0000000	Prar	Prag.g_00656	Prar.g_01508
OG0000000	Praq	Prag.g_00656	Praq.g_00807
OG0000000	Prac	Prag.g_00656	Prac.g_00693
OG0000000	Prad	Prag.g_00656	Prad.g_01252
