Orthogroup	Species	Pran	Orthologs
OG0000000	Prbl	Pran.g_01500	Prbl.g_01092
OG0000000	Prbk	Pran.g_01500	Prbk.g_01649
OG0000000	Prbj	Pran.g_01500	Prbj.g_00030
OG0000000	Praf	Pran.g_01500	Praf.g_00948
OG0000000	Prah	Pran.g_01500	Prah.g_01226
OG0000000	Pral	Pran.g_01500	Pral.g_01764, Pral.g_01052, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337
OG0000000	Prap	Pran.g_01500	Prap.g_00823, Prap.g_00224, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491
OG0000000	Prbf	Pran.g_01500	Prbf.g_01285, Prbf.g_00260, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883
OG0000000	Prak	Pran.g_01500	Prak.g_00805, Prak.g_01494, Prak.g_01202, Prak.g_01323, Prak.g_01200, Prak.g_01207
OG0000000	Prbn	Pran.g_01500	Prbn.g_01586, Prbn.g_00879, Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154
OG0000000	Prbe	Pran.g_01500	Prbe.g_00452, Prbe.g_00208, Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584
OG0000000	Prbg	Pran.g_01500	Prbg.g_01119, Prbg.g_00694, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521
OG0000000	Prbh	Pran.g_01500	Prbh.g_00912, Prbh.g_00199, Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317
OG0000000	Pram	Pran.g_01500	Pram.g_00768, Pram.g_01278, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174
OG0000000	Prat	Pran.g_01500	Prat.g_00751, Prat.g_01462, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187
OG0000000	Prbm	Pran.g_01500	Prbm.g_00712, Prbm.g_01581, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576
OG0000000	Prbc	Pran.g_01500	Prbc.g_01759, Prbc.g_01478, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473
OG0000000	Prbb	Pran.g_01500	Prbb.g_00683, Prbb.g_01549, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544
OG0000000	Praj	Pran.g_01500	Praj.g_00670, Praj.g_01492, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487
OG0000000	Prag	Pran.g_01500	Prag.g_00656
OG0000000	Praw	Pran.g_01500	Praw.g_01844
OG0000000	Prav	Pran.g_01500	Prav.g_01276
OG0000000	Praa	Pran.g_01500	Praa.g_00678
OG0000000	Prbi	Pran.g_01500	Prbi.g_00681
OG0000000	Prae	Pran.g_01500	Prae.g_00652
OG0000000	Prax	Pran.g_01500	Prax.g_00964
OG0000000	Prau	Pran.g_01500	Prau.g_00718
OG0000000	Pras	Pran.g_01500	Pras.g_01554
OG0000000	Prar	Pran.g_01500	Prar.g_01508
OG0000000	Praq	Pran.g_01500	Praq.g_00807
OG0000000	Prac	Pran.g_01500	Prac.g_00693
OG0000000	Prad	Pran.g_01500	Prad.g_01252
OG0000000	Pray	Pran.g_01500	Pray.g_01085
OG0000000	Prbd	Pran.g_01500	Prbd.g_00566
OG0000000	Prba	Pran.g_01500	Prba.g_01639
OG0000000	Praz	Pran.g_01500	Praz.g_01652
OG0000000	Prao	Pran.g_01500	Prao.g_00116
OG0000000	Prai	Pran.g_01500	Prai.g_00707
OG0000000	Prab	Pran.g_01500	Prab.g_00683
OG0000001	Prao	Pran.g_00001, Pran.g_00602	Prao.g_01029
OG0000001	Praa	Pran.g_00001, Pran.g_00602	Praa.g_01597
OG0000001	Prae	Pran.g_00001, Pran.g_00602	Prae.g_01222
OG0000001	Praw	Pran.g_00001, Pran.g_00602	Praw.g_00294
OG0000001	Prab	Pran.g_00001, Pran.g_00602	Prab.g_01597
OG0000001	Prai	Pran.g_00001	Prai.g_01591
OG0000001	Prba	Pran.g_00001	Prba.g_00003
OG0000001	Prba	Pran.g_00602	Prba.g_00270
OG0000001	Pray	Pran.g_00602	Pray.g_01604
OG0000001	Prac	Pran.g_00602	Prac.g_00926
OG0000001	Prad	Pran.g_00602	Prad.g_01435
OG0000001	Praz	Pran.g_00602	Praz.g_00694
OG0000001	Pras	Pran.g_00602	Pras.g_00469
OG0000001	Prbi	Pran.g_00602	Prbi.g_01268
OG0000001	Praq	Pran.g_00602	Praq.g_00025
OG0000001	Prav	Pran.g_00602	Prav.g_01821
OG0000001	Prau	Pran.g_00602	Prau.g_01647, Prau.g_01266
OG0000001	Prax	Pran.g_00602	Prax.g_01609
OG0000001	Prai	Pran.g_00602	Prai.g_01775
OG0000001	Prar	Pran.g_00602	Prar.g_01204
OG0000001	Prag	Pran.g_00602	Prag.g_01213
OG0000001	Prbd	Pran.g_00602	Prbd.g_00528
OG0000001	Prbc	Pran.g_00593	Prbc.g_00525
OG0000001	Prbb	Pran.g_00593	Prbb.g_01313, Prbb.g_00103
OG0000001	Praj	Pran.g_00593	Praj.g_01267, Praj.g_00087
OG0000001	Prbk	Pran.g_00593	Prbk.g_00167
OG0000001	Prbl	Pran.g_00593	Prbl.g_00118
OG0000001	Praf	Pran.g_00593	Praf.g_01039, Praf.g_01042, Praf.g_00815
OG0000001	Prah	Pran.g_00593	Prah.g_01154, Prah.g_01152, Prah.g_01346
OG0000001	Prbj	Pran.g_00593	Prbj.g_00166
OG0000001	Prag	Pran.g_00593	Prag.g_01626
OG0000001	Prao	Pran.g_00593	Prao.g_01297, Prao.g_01528
OG0000001	Praa	Pran.g_00593	Praa.g_01297
OG0000001	Prax	Pran.g_00593	Prax.g_01920
OG0000001	Prbd	Pran.g_00593	Prbd.g_01836
OG0000001	Prae	Pran.g_00593	Prae.g_01300
OG0000001	Prbi	Pran.g_00593	Prbi.g_01370
OG0000001	Prad	Pran.g_00593	Prad.g_00372, Prad.g_00349
OG0000001	Prav	Pran.g_00593	Prav.g_01730, Prav.g_01715
OG0000001	Praw	Pran.g_00593	Praw.g_00472
OG0000001	Prab	Pran.g_00593	Prab.g_01606
OG0000001	Prav	Pran.g_00579	Prav.g_01738
OG0000001	Prbk	Pran.g_00579	Prbk.g_00165
OG0000001	Prbl	Pran.g_00579	Prbl.g_00116
OG0000001	Prbj	Pran.g_00579	Prbj.g_00164
OG0000001	Praf	Pran.g_00579	Praf.g_00813
OG0000001	Prah	Pran.g_00579	Prah.g_01348
OG0000001	Prat	Pran.g_00579	Prat.g_01549
OG0000001	Prbd	Pran.g_00579	Prbd.g_01569
OG0000001	Prao	Pran.g_00579	Prao.g_01514
OG0000001	Prab	Pran.g_00579	Prab.g_01620, Prab.g_00918
OG0000002	Prbf	Pran.g_01395	Prbf.g_00831
OG0000002	Prap	Pran.g_01395	Prap.g_00653
OG0000002	Prbe	Pran.g_01395	Prbe.g_00112
