Orthogroup	Praq	Syak
OG0000001	Praq.g_00160, Praq.g_01394, Praq.g_01393	Syak.g_00342
OG0000004	Praq.g_00824	Syak.g_01219, Syak.g_00720
OG0000004	Praq.g_01770	Syak.g_00003, Syak.g_02297
OG0000005	Praq.g_00484	Syak.g_02401
OG0000005	Praq.g_00370	Syak.g_00885, Syak.g_02436
OG0000006	Praq.g_01761	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Praq.g_01105	Syak.g_02595
OG0000007	Praq.g_00497	Syak.g_02416
OG0000008	Praq.g_00071	Syak.g_00267
OG0000009	Praq.g_01898	Syak.g_02194
OG0000010	Praq.g_00552, Praq.g_01626, Praq.g_00525	Syak.g_01119
OG0000012	Praq.g_00979	Syak.g_00010
OG0000013	Praq.g_01675	Syak.g_01275, Syak.g_01270
OG0000014	Praq.g_01696	Syak.g_01505
OG0000015	Praq.g_00065	Syak.g_00358
OG0000017	Praq.g_01004	Syak.g_02730
OG0000018	Praq.g_01314, Praq.g_01425	Syak.g_01072
OG0000019	Praq.g_01753, Praq.g_00649	Syak.g_01413
OG0000021	Praq.g_01179	Syak.g_00566
OG0000022	Praq.g_00635, Praq.g_01296	Syak.g_00088
OG0000023	Praq.g_01184	Syak.g_00316, Syak.g_00223
OG0000025	Praq.g_01432, Praq.g_01671	Syak.g_00610
OG0000026	Praq.g_01234, Praq.g_01633	Syak.g_01757
OG0000027	Praq.g_00521	Syak.g_00127
OG0000028	Praq.g_01682, Praq.g_00103	Syak.g_01522
OG0000029	Praq.g_01168, Praq.g_00627	Syak.g_00169, Syak.g_00178
OG0000030	Praq.g_00772	Syak.g_01684, Syak.g_01685
OG0000031	Praq.g_00209	Syak.g_01630
OG0000032	Praq.g_00202	Syak.g_01707
OG0000033	Praq.g_01833	Syak.g_02101
OG0000034	Praq.g_00143	Syak.g_00950, Syak.g_02133
OG0000035	Praq.g_00294	Syak.g_01041
OG0000037	Praq.g_01894	Syak.g_02188
OG0000038	Praq.g_00716	Syak.g_01938, Syak.g_01936
OG0000039	Praq.g_00815	Syak.g_00772, Syak.g_01918
OG0000041	Praq.g_00451	Syak.g_02354
