Orthogroup	Praq	Pram
OG0000000	Praq.g_00117	Pram.g_01561
OG0000000	Praq.g_01956, Praq.g_00026	Pram.g_01511
OG0000002	Praq.g_00168	Pram.g_00873, Pram.g_00879
OG0000002	Praq.g_00807	Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278, Pram.g_00768
OG0000004	Praq.g_00824	Pram.g_00789
OG0000004	Praq.g_01770	Pram.g_00219
OG0000005	Praq.g_00370	Pram.g_01295
OG0000006	Praq.g_01761	Pram.g_00229
OG0000007	Praq.g_01105	Pram.g_00433
OG0000007	Praq.g_00497	Pram.g_01632
OG0000008	Praq.g_00071	Pram.g_01263
OG0000010	Praq.g_00525	Pram.g_00704, Pram.g_01000, Pram.g_00410
OG0000011	Praq.g_00100	Pram.g_01579
OG0000012	Praq.g_00979	Pram.g_00561
OG0000013	Praq.g_01675	Pram.g_00315
OG0000014	Praq.g_01696	Pram.g_00295
OG0000015	Praq.g_00065	Pram.g_00696, Pram.g_01545
OG0000017	Praq.g_01004	Pram.g_00535
OG0000018	Praq.g_01314	Pram.g_01162
OG0000018	Praq.g_01425	Pram.g_00837
OG0000019	Praq.g_01753	Pram.g_00237
OG0000019	Praq.g_00649	Pram.g_01164
OG0000020	Praq.g_01281	Pram.g_01275
OG0000020	Praq.g_00073	Pram.g_01595
OG0000020	Praq.g_00041, Praq.g_00080, Praq.g_00547	Pram.g_01516
OG0000021	Praq.g_01179	Pram.g_01274
OG0000022	Praq.g_00635	Pram.g_01287
OG0000023	Praq.g_01184	Pram.g_00689
OG0000024	Praq.g_00618	Pram.g_01004
OG0000024	Praq.g_00804	Pram.g_00765
OG0000025	Praq.g_01432, Praq.g_01671	Pram.g_00844
OG0000026	Praq.g_01633	Pram.g_00018
OG0000028	Praq.g_01682	Pram.g_00308
OG0000028	Praq.g_00103	Pram.g_00363
OG0000029	Praq.g_01168	Pram.g_01723
OG0000029	Praq.g_00627	Pram.g_01529
OG0000030	Praq.g_00772	Pram.g_01844
OG0000031	Praq.g_00209	Pram.g_01413
OG0000033	Praq.g_01833	Pram.g_00154
OG0000034	Praq.g_00143	Pram.g_01240
OG0000035	Praq.g_00294	Pram.g_01381
OG0000037	Praq.g_01894	Pram.g_00093
OG0000038	Praq.g_00716	Pram.g_01884
OG0000039	Praq.g_00815	Pram.g_00777
OG0000040	Praq.g_01955	Pram.g_01599
OG0000041	Praq.g_00451	Pram.g_01680
OG0000042	Praq.g_00770	Pram.g_01841
OG0000043	Praq.g_01469	Pram.g_01161
OG0000044	Praq.g_00058	Pram.g_01620
OG0000045	Praq.g_01172	Pram.g_01184
OG0000047	Praq.g_01137	Pram.g_00359
OG0000048	Praq.g_01169	Pram.g_00259
OG0000053	Praq.g_01246, Praq.g_00314	Pram.g_01580, Pram.g_01357
OG0000054	Praq.g_00996	Pram.g_00544
OG0000055	Praq.g_00650	Pram.g_01189
OG0000057	Praq.g_00827	Pram.g_00792
OG0000058	Praq.g_00218	Pram.g_01447
OG0000059	Praq.g_00927	Pram.g_01719
OG0000061	Praq.g_01333	Pram.g_01140
OG0000062	Praq.g_00372	Pram.g_01293
OG0000063	Praq.g_00075	Pram.g_01258
OG0000065	Praq.g_01896	Pram.g_00091
OG0000066	Praq.g_01063	Pram.g_01558
OG0000067	Praq.g_00670	Pram.g_00809
OG0000068	Praq.g_00175	Pram.g_01468
OG0000069	Praq.g_00056, Praq.g_00018	Pram.g_00391
OG0000070	Praq.g_01107	Pram.g_00385
OG0000071	Praq.g_00133	Pram.g_01230
OG0000072	Praq.g_01831	Pram.g_00156
OG0000073	Praq.g_01103	Pram.g_00437, Pram.g_01426
OG0000074	Praq.g_00811	Pram.g_00772
OG0000075	Praq.g_00739	Pram.g_01807
OG0000076	Praq.g_01243, Praq.g_00763	Pram.g_01833
OG0000077	Praq.g_01925	Pram.g_00063
OG0000078	Praq.g_01763	Pram.g_00227
OG0000081	Praq.g_01071	Pram.g_00469
OG0000082	Praq.g_01018	Pram.g_01559
OG0000084	Praq.g_00290	Pram.g_01384
OG0000086	Praq.g_01915	Pram.g_00072
OG0000087	Praq.g_01864	Pram.g_00125
OG0000088	Praq.g_01836	Pram.g_00151
OG0000089	Praq.g_01188	Pram.g_00352
OG0000090	Praq.g_01069	Pram.g_00471
OG0000091	Praq.g_00960	Pram.g_01068
OG0000092	Praq.g_01495	Pram.g_00739
OG0000093	Praq.g_01516	Pram.g_01038
OG0000094	Praq.g_01600	Pram.g_00987
OG0000095	Praq.g_01619	Pram.g_00888
OG0000096	Praq.g_00081, Praq.g_01283, Praq.g_00097	Pram.g_01505, Pram.g_00621
OG0000097	Praq.g_01374	Pram.g_01093
OG0000098	Praq.g_00157	Pram.g_01478
OG0000099	Praq.g_00216	Pram.g_01445
OG0000100	Praq.g_00368	Pram.g_01298
OG0000101	Praq.g_00879	Pram.g_01770
OG0000102	Praq.g_00768	Pram.g_01838
OG0000103	Praq.g_00414	Pram.g_01925
OG0000104	Praq.g_00422	Pram.g_01934
OG0000105	Praq.g_01729	Pram.g_00262
OG0000106	Praq.g_01173	Pram.g_00677
OG0000107	Praq.g_01158	Pram.g_01696
OG0000108	Praq.g_00531	Pram.g_00416
OG0000109	Praq.g_00545	Pram.g_00430
OG0000110	Praq.g_01028	Pram.g_00513
OG0000111	Praq.g_00828	Pram.g_00793
OG0000112	Praq.g_00638	Pram.g_00935
OG0000113	Praq.g_01420	Pram.g_00832
OG0000114	Praq.g_01490	Pram.g_00734
OG0000115	Praq.g_01278	Pram.g_01201
OG0000116	Praq.g_01323	Pram.g_01151
OG0000117	Praq.g_00084	Pram.g_01112
OG0000118	Praq.g_00145	Pram.g_01242
OG0000119	Praq.g_00171	Pram.g_01283
OG0000120	Praq.g_00208	Pram.g_01446
OG0000121	Praq.g_00296	Pram.g_01376
OG0000122	Praq.g_00334	Pram.g_01204, Pram.g_01334
