Orthogroup	Praq	Prba
OG0000000	Praq.g_00117	Prba.g_01174
OG0000000	Praq.g_01956	Prba.g_00243
OG0000000	Praq.g_00026	Prba.g_00269
OG0000000	Praq.g_00025	Prba.g_00003
OG0000000	Praq.g_00025	Prba.g_00270
OG0000000	Praq.g_01392	Prba.g_00003
OG0000000	Praq.g_01392	Prba.g_00270
OG0000000	Praq.g_00028	Prba.g_01172
OG0000001	Praq.g_00160	Prba.g_00211
OG0000001	Praq.g_01394	Prba.g_01081
OG0000002	Praq.g_00168	Prba.g_00203
OG0000002	Praq.g_00807	Prba.g_01639
OG0000004	Praq.g_00824	Prba.g_01622
OG0000004	Praq.g_01770	Prba.g_00451
OG0000005	Praq.g_00484	Prba.g_00607
OG0000005	Praq.g_00370	Prba.g_00312
OG0000006	Praq.g_01761	Prba.g_00460
OG0000007	Praq.g_01105	Prba.g_00964
OG0000007	Praq.g_00497	Prba.g_00226
OG0000008	Praq.g_00071	Prba.g_01131
OG0000008	Praq.g_00801	Prba.g_01645
OG0000009	Praq.g_00017	Prba.g_00276
OG0000009	Praq.g_01898	Prba.g_01893
OG0000010	Praq.g_01626	Prba.g_01256
OG0000010	Praq.g_00525	Prba.g_00987
OG0000011	Praq.g_00110	Prba.g_01165
OG0000011	Praq.g_00100	Prba.g_01132
OG0000012	Praq.g_00979	Prba.g_01694
OG0000013	Praq.g_01675	Prba.g_00543
OG0000014	Praq.g_01696	Prba.g_00522
OG0000015	Praq.g_00065	Prba.g_01538
OG0000017	Praq.g_01004	Prba.g_01719
OG0000018	Praq.g_01314	Prba.g_00083
OG0000018	Praq.g_01425	Prba.g_01472
OG0000019	Praq.g_01753	Prba.g_00468
OG0000019	Praq.g_00649	Prba.g_01519
OG0000020	Praq.g_01281	Prba.g_00737
OG0000021	Praq.g_01179	Prba.g_00858
OG0000022	Praq.g_00635	Prba.g_01543
OG0000022	Praq.g_01296	Prba.g_00101
OG0000023	Praq.g_01184	Prba.g_00854
OG0000024	Praq.g_00618	Prba.g_01558
OG0000024	Praq.g_00804	Prba.g_01642
OG0000025	Praq.g_01432	Prba.g_01464
OG0000025	Praq.g_01671	Prba.g_00547
OG0000026	Praq.g_01234	Prba.g_01824
OG0000026	Praq.g_01633	Prba.g_01249
OG0000027	Praq.g_00521	Prba.g_00991
OG0000028	Praq.g_01682	Prba.g_00536
OG0000028	Praq.g_00103	Prba.g_01126
OG0000029	Praq.g_01168	Prba.g_00869
OG0000029	Praq.g_00627	Prba.g_01551
OG0000030	Praq.g_00772	Prba.g_00778
OG0000031	Praq.g_00209	Prba.g_00173
OG0000033	Praq.g_01833	Prba.g_00625
OG0000034	Praq.g_00143	Prba.g_01202
OG0000035	Praq.g_00294	Prba.g_00713
OG0000037	Praq.g_01894	Prba.g_01897
OG0000038	Praq.g_00716	Prba.g_00819
OG0000039	Praq.g_00815	Prba.g_01631
OG0000040	Praq.g_01955	Prba.g_00251
OG0000040	Praq.g_01313	Prba.g_00084
OG0000042	Praq.g_00770	Prba.g_00775
OG0000043	Praq.g_01469	Prba.g_01427
OG0000044	Praq.g_00058	Prba.g_00002
OG0000045	Praq.g_01172	Prba.g_00865
OG0000047	Praq.g_01137	Prba.g_00913
OG0000047	Praq.g_01672	Prba.g_00546
OG0000048	Praq.g_01169	Prba.g_00868
OG0000049	Praq.g_01159	Prba.g_00878
OG0000049	Praq.g_00059	Prba.g_01104
OG0000049	Praq.g_00085	Prba.g_00901
OG0000049	Praq.g_00046	Prba.g_01115
OG0000050	Praq.g_01654	Prba.g_01229
OG0000053	Praq.g_00314	Prba.g_00693
OG0000054	Praq.g_00996	Prba.g_01711
OG0000055	Praq.g_00650	Prba.g_01518
OG0000057	Praq.g_00827	Prba.g_01619
OG0000058	Praq.g_00218, Praq.g_00271	Prba.g_00153
OG0000059	Praq.g_00927	Prba.g_00381
OG0000061	Praq.g_01333	Prba.g_00064
OG0000062	Praq.g_00372	Prba.g_00310
OG0000063	Praq.g_01237, Praq.g_01236	Prba.g_01826
OG0000065	Praq.g_01896	Prba.g_01895
OG0000066	Praq.g_01063	Prba.g_00922
OG0000068	Praq.g_00175	Prba.g_00196
OG0000069	Praq.g_00018	Prba.g_00275
OG0000070	Praq.g_01107	Prba.g_01011
